ID,Form,IPA,Gloss,Language_ID
0,-',/ʔ/,"verb nominalizing suffix
‎illi + ‎-' → ‎illi'
‎impa + ‎-' → ‎impa'",0
1,a'chi,,will be,0
2,-a'na'n,,Modal verb suffix reflecting that the subject of the verb should do the action/event/state expressed by the verb.,0
3,aabi,,to paint,0
4,aachi,,to say (something),0
5,aachompa',,"city, town, store, trading post",0
6,aachomposhi',,store(s),0
7,aaholissochi',,desk,0
8,aaimpa',,table(s),0
9,aaishi,,to take away from,0
10,aakapassachi',,"refrigerator, fridge",0
11,aakapassali',,"refrigerator, fridge",0
12,-aako̠,,Contrastive object ending used with vowel-loss nouns and pronouns.,0
13,aba',,up,0
14,aballaka',,following,0
15,abi,,to kill,0
16,abikoppolo',,plague,0
17,aboa,,house,0
18,aboha,,house,0
19,abooha,,house,0
20,aboowa,,house,0
21,aboshi,,"restroom, outhouse",0
22,achi,,to say,0
23,acho'li,,to sew,0
24,achumpa,,town,0
25,afammi,,years,0
26,afammi,,"to be another year old, to have a birthday",0
27,afehna,,very,0
28,ah,,"yes
Synonym: hohmi",0
29,ahi',,potato,0
30,aholissochi,,desk,0
31,ahunta,,"to live (somewhere), to reside",0
32,aiimpa,,table,0
33,aiissachi,,to stop,0
34,aiohlponi,,kitchen,0
35,aiombinili,,chair,0
36,aiya,,to go,0
37,akaka,,chicken,0
38,akanka',,chicken,0
39,akankawaalhaali',,fried chicken,0
40,akankishniha',,tomato,0
41,akankoshi',,egg(s),0
42,-akookya,,too,0
43,akostinichi,,to understand,0
44,alba,,a weed,0
45,alhchimbakma̠,,later,0
46,alhpisa,,right (as opposed to left),0
47,amboowa,,room,0
48,amo,,to mow,0
49,ani,,to produce,0
50,apisa,,straight ahead,0
51,apisachi,,To watch,0
52,ashiila,,soup,0
53,ashiila,,to melt on to,0
54,awa,,and (used only in numerical expressions such as awa chaffa),0
55,awa-ontoklo,,seventeen,0
56,awa-ontoklo,,to be seventeen in number,0
57,awa-oshta,,fourteen,0
58,awa-oshta,,to be fourteen in number,0
59,awa-tochchí'na,,thirteen,0
60,awa-tochchí'na,,to be thirteen in number,0
61,awaalhaali,,to be fried,0
62,ayachi,,to send off (a letter),0
63,ayokpa,,to be happy,0
64,ayokpánchi,,to like sb/sth,0
65,ayoppa,,to be happy,0
66,ayoppachi,,"to worship, to praise",0
67,ayoppánchi,,to like,0
68,ayukpa,,to be happy,0
69,ayukpa,,happy,0
70,ayukpachi,,To like,0
71,ba,,Alternative spelling of ba',0
72,ba',,"or (conjunction used between two complete but parallel sentences or, less often, between two noun phrases.",0
73,ba',,"so, hey (used to introduce a question or exclamation formed with verb question suffix +taa)
Chihaksi ba’? ― Hey/So/Are you crazy?
Ba’ ishlataa?/! ― Hey/So, you have arrived?/!",0
74,bagi',,"carriage, buggy",0
75,balaafka',,pants,0
76,balaafokha',,Alternative form of balaafka',0
77,banaha,,flour,0
78,banna,,to want,0
79,bashpo,,knife,0
80,biits,,beets,0
81,bila,,to melt,0
82,bokushi,,river,0
83,bunna,,to want,0
84,bíyyi'ka,,used after a verb with the modal suffix -a'hi to express,0
85,bíyyi'ka,,to have (something) all over (itself/oneself),0
86,chaaha,,tall,0
87,chaffa,,one,0
88,chahta,,Choctaw,0
89,chaklit,,chocolate,0
90,chakwihili',,opossum,0
91,Chalakki',,Cherokee,0
92,chaloklowa',,turkey,0
93,champoli,,to taste good,0
94,cheli',,"preserves, jelly",0
95,chepota,,child,0
96,-chi,,Causative verb suffix.,0
97,chifalli,,to clean,0
98,Chihoowa,,God,0
99,Chikasha,,the Chickasaw people.,0
100,Chikasha,,Chickasaw,0
101,Chikashshanompa,,Alternative form of Chikashshanompa',0
102,Chikashshanompa',,the Chickasaw language.,0
103,Chikashshihoo,,Chickasaw woman,0
104,Chikashshihoo',,Alternative form of Chikashshihoo,0
105,chikimba,,supposedly,0
106,chilita,,to try,0
107,chimmi,,yours,0
108,chipota,,child,0
109,chofaak,,fork(s),0
110,chofalli,,to clean,0
111,chofata,,to be clean,0
112,chofatli,,to clean,0
113,chokfi,,"rabbit, sheep",0
114,chokka',,house,0
115,choklhiili,,to smile,0
116,chokma,,"good
Anchokma ― I'm fine",0
117,chokma,,"well
Chinchokma? ― Are you well?",0
118,chokma,,Hello!,0
119,chokma,,(active) to do/act good,0
120,chokma'shki,,"Hello! (a big hello), Thanks!, Thank you!",0
121,cholok,,hole,0
122,chomak,,tobacco,0
123,chompa,,to buy,0
124,chuka,,home,0
125,chukma,,"good, Toksali' chukma!Good work!",0
126,chukma,,well,0
127,chukma,,hello,0
128,chula,,fox,0
129,chumpah,,"to buy, purchase",0
130,fahli,,to wag,0
131,faloha,,long,0
132,falowa,,to be long,0
133,fama,,to be whipped,0
134,fammi,,to whip,0
135,fani',,squirrel,0
136,fimmi,,to throw out (something),0
137,fochosh,,duck,0
138,fohi',,a honey bee,0
139,fokha,,to be in (Class I sing. subject),0
140,fokha,,(auxiliary) to be about,0
141,folosh,,spoon,0
142,foni',,bone,0
143,footi,,to vote,0
144,foshi,,Alternative form of foshi',0
145,foshi',,bird,0
146,fóyyokha,,"to be wearing something, to be in something",0
147,hachishno',,you all,0
148,haklo,,to listen to,0
149,hakshop,,skin,0
150,haksi,,drunk,0
151,haksibish,,ear,0
152,haksichi,,to deceive,0
153,halhabli,,to kick,0
154,halhi,,to kick,0
155,hashi',,sun,0
156,hashintak,,comb,0
157,haship,,the area between the breasts,0
158,hashtola',,winter (season),0
159,hattak,,"person, man",0
160,hatuk,,person,0
161,hawi',,a prostitute,0
162,hayip,,lake,0
163,hekia,,to stand,0
164,hemona,,new,0
165,hemonna,,"to ready, get ready",0
166,hichito,,big,0
167,hichito,,to be big,0
168,hika,,"to stop, to halt",0
169,hilha,,to dance,0
170,himitta,,new,0
171,himmak,,Alternative form of himmaka',0
172,himmaka',,now,0
173,himmaka̠,,Alternative form of himmaka',0
174,himona,,to wait,0
175,hishi',,body hair,0
176,-hmano,,"Where is/are X?
Holissohmano? [Holisso-hmano?]Where is/are the book(s)?",0
177,ho,,they,0
178,ho'mi,,okay,0
179,ho'mi,,you're welcome,0
180,hoba,,to present,0
181,hochifo,,"to name somebody/something (Class I subject, Class II/noun object)",0
182,hohmi,,"yes
Synonym: ah",0
183,holba,,to be photographed,0
184,holhchifo,,name,0
185,holhchifo,,(intransitive) to be named (Class II subject),0
186,holissaapisa',,school,0
187,holisso-aapisa',,Alternative form of holissaapisa',0
188,holissochi,,to write,0
189,hollonkso',,a fart,0
190,homa,,red,0
191,homi,,to be bitter (noun subject),0
192,homi,,spicy,0
193,homichi,,to make spicy,0
194,homma,,red,0
195,homma,,to be red,0
196,homma',,red,0
197,hommayyi',,pink,0
198,homo,,to roof,0
