ID,Form,IPA,Gloss,Language_ID
0,ሀየል,,ibex,0
1,ሀገር,,"cultivated field, inhabited land, province, country,",0
2,ሁ,,"him, his, it, its (bound object pronoun)
ቤቱ ― betu ― his house)
ምንዳቤሁ ― məndabehu ― his anguish",0
3,ሃ,,"her (bound object pronoun)
ቤታ ― beta ― her house)
ምንዳቤሃ ― məndabeha ― her anguish",0
4,ህየ,,there,0
5,ለ-,,"to, for, belonging to.",0
6,ለውዝ,,almond,0
7,ለፌ,,"thence, here and there, hither thither, from there,",0
8,ላህም,,"cow, bull, cattle",0
9,ሌሊት,,night,0
10,ልሳን,,"tongue, speech, an isthmus, peninsula",0
11,ልብ,,heart,0
12,ሐሊብ,,milk,0
13,ሐሊብ,,Aleppo,0
14,ሐሊብ,,Aleppo,0
15,ሐመዳ,,"snow, frost",0
16,ሐራቅሊ,,Heraclea,0
17,ሐብስ,,"prison, jail",0
18,ሓሳብ,,"account, accounting, reckoning, calculation, chronology,",0
19,ሕምሥ,,"belly, stomach",0
20,ሕዝብ,,"tribe, people, nation",0
21,መሀረ,,"to teach, instruct, to educate, train, discipline",0
22,መሀር,,The meaning of this term is uncertain. Possibilities,0
23,መሀር,,"imperative of መሀረ (mähärä, “to teach”)",0
24,መሀር,,"imperative of መሀረ (mähärä, “to teach”)",0
25,መልአክ,,(religion) angel,0
26,መልዕልተ,,"on, upon, on top of, ወመንፈሰ፡እግዚአብሔር፡ይጼልል፡መልዕልተ፡ማይ።wämänfäsä",0
27,መምክር,,"counselor, adviser",0
28,መርከብ,,"boat, ship",0
29,መስከረም,,"First month of the Ethiopian calendar, roughly equivalent to September in the Gregorian Calendar.",0
30,መስኮት,,window,0
31,መስፍሕ,,"anvil, surface, measure, hammer, mallet",0
32,መስፍን,,"prince, prefect, governor, satrap, (biblical) judges",0
33,መብልዕ,,"food, sustenance",0
34,መብረቅ,,lightning,0
35,መንግሥት,,kingdom,0
36,መንፈስ,,"breath, wind, spirit, vital force, life, soul, conscience,",0
37,መካ,,Mecca,0
38,መካን,,"place, space, occasion, inhabited place, region, land,",0
39,መዘምር,,"singer of psalms, psalmist, cantor",0
40,መዝሙር,,"psalm, hymn, sacred ode, book of psalms, psalter, psaltery,",0
41,መዲና,,Medina,0
42,መጽሐፍ,,"book, document, writing, inscription",0
43,ሙሴ,,(biblical) Moses,0
44,ሙዝ,,ensete,0
45,ማእረር,,"harvest, the action of reaping crops, harvest-time,",0
46,ማእድ,,"table, food, banquet, Eucharistic offering",0
47,ማይ,,water,0
48,ምልሓ,,"knowledge, judgement, wisdom",0
49,ምሴት,,evening,0
50,ምስማዕ,,"hearing, the sense of hearing, obedience, a hearing,",0
51,ምንዳቤ,,anguish,0
52,ምዕዋድ,,"circuit, orbit, circle, sphere, globe",0
53,ምድር,,"earth, world, land, nation, field, lands, soil, ground,",0
54,ምጽባእ,,"castle, fortress, citadel",0
55,ሞቅሕ,,"chain, shackles, jail, confinement, imprisonment",0
56,ሠለስቱ,,three (3),0
57,ሠላሳ,,thirty,0
58,ሠላስ,,three (3),0
59,ሠልስ,,third (3rd),0
60,ሠርዌ,,"beam, rafter, timber, column, trunk, stem, stalk, (nautical)",0
61,ሠቅ,,"sackcloth, a coarse fabric such as to make sacks, a",0
62,ሠያጢ,,"seller, vendor, merchant",0
63,ሣጹን,,"chest, box, casket, coffer",0
64,ሣፁን,,later form of ሣጹን (śaṣun),0
65,ሥርው,,"root, (figuratively) origin, cause, beginning, principle,",0
66,ሥጋ,,flesh,0
67,ረክብ,,"assembly, meeting",0
68,ርእስ,,"head, height, peak, summit, top, leader, prince, top",0
69,ርግብ,,"dove, pigeon",0
70,ሰማኒ,,eight (8),0
71,ሰማንቱ,,eight (8),0
72,ሰማይ,,"heaven, Genesis 1:1:, በቀዳሚ ፡ ገብረ ፡ እግዚአብሔር ፡ ሰማየ ፡",0
73,ሰምዐ,,"to hear, to have the sense of hearing, to perceive",0
74,ሰርዴስ,,"Sardis, Sardes",0
75,ሰበረ,,to break,0
76,ሰብዐቱ,,seven (7),0
77,ሰብዑ,,seven (7),0
78,ሰንቡላ,,virgin,0
79,ሰይፍ,,sword,0
80,ሰገም,,barley,0
81,ሲዶና,,Sidon,0
82,ስም,,name,0
83,ስርየት,,"remission, forgiveness, expiation",0
84,ስሱ,,six (6),0
85,ስግድ,,"almond tree, any nut tree",0
86,ሶር,,"ox, bull",0
87,ቀሬጢን,,Crete,0
88,ቀንአት,,galbanum or stacta,0
89,ቃህራ,,Cairo,0
90,ቃዴስ,,Mount Sinai,0
91,ቅዱስ,,"holy, sacred",0
92,ቅዱስ,,saint,0
93,ቆመ,,"to stand, to stop moving, remain in place, to stand",0
94,ቆባረ,,"blackness, darkness",0
95,ቈጽል,,"(singular and collective) leaf, leaves, page",0
96,ቍንፍዝ,,"hedgehog, porcupine",0
97,በለስ,,"fig, also sycomore (fruit and tree)",0
98,በልዐ,,"to eat, consume, (figuratively) to consume (of fire,",0
99,በረቀ,,"to lightning, to thunder",0
100,በቅል,,mule,0
101,በዐልበክ,,Baalbek,0
102,በግዕ,,sheep,0
103,በግዳድ,,Baghdad,0
