ID,Form,IPA,Gloss,Language_ID
0,অৗছকৗ,,today,0
1,আংঠা,,"charcoal, cinder coal",0
2,আত,,eight,0
3,আথাৰো,,eighteen,0
4,আহিবৗ,,to come,0
5,আৰেক,,another,0
6,ইংৰেজি,,English language,0
7,উন্নিশ,,nineteen,0
8,এক,,one,0
9,এগাৰ,,eleven,0
10,কত,,(interrogative) how much,0
11,কয়ৰা,,(interrogative) how many,0
12,কাদং,,mud,0
13,কান,,ear,0
14,কি,,(interrogative) what,0
15,কিনিবৗ,,to buy,0
16,কুমায়,,(interrogative) where,0
17,কেনে,,(interrogative) why,0
18,কৗই,,(interrogative) who,0
19,খাবৗ,,to eat,0
20,খুপ,,very,0
21,গাও,,village,0
22,গুলুংগুলুং,,smoky,0
23,চল্খা,,a long thread,0
24,চা,,tea,0
25,চান,,moon,0
26,চালাকচালাক,,lightning,0
27,চুদ্দো,,twenty,0
28,চুর্খা,,(weaving) a spinning wheel,0
29,চুলিশ,,forty,0
30,চৗল,,uncooked rice,0
31,চৗৰ,,four,0
32,ছয়,,six,0
33,জুথৰ,,(weaving) a spinning wheel,0
34,তই,,you (singular),0
35,তগে,,dative of তই (tôi),0
36,তলা,,"genitive of তই (tôi)
তলা কি নাম
Tôla ki nam?
What is your name?",0
37,তাত,,handloom,0
38,তামা,,copper,0
39,তিন,,three,0
40,তিৰিশ,,thirty,0
41,তেল,,oil,0
42,তেৰ,,thirteen,0
43,দশ,,ten,0
44,দাদু,,ringworm,0
45,দিবৗ,,to give,0
46,দুই,,two,0
47,দুলদুলি,,"quicksand, shifting ground",0
48,নয়,,nine,0
49,নাম,,name,0
50,-নি,,"locative case marker
বুড়িনি
burini
to/at the old lady",0
51,নিবৗ,,to take,0
52,পঞ্চাশ,,fifty,0
53,পন্দ্র,,fifteen,0
54,পাচ,,five,0
55,পানি,,water,0
56,পানিতেস,,thirst,0
57,পুইলৗ,,first,0
58,ফল,,fruit,0
59,বই,,book,0
60,বছৰ,,year,0
61,বাজাৰ,,market,0
62,বাৰো,,twelve,0
63,বিশ,,twenty,0
64,বুথি,,to roll,0
65,বেও,,weaving tool,0
66,ব্য়াং,,frog,0
67,বৱা,,"weaving net, a string net covered with plastic used",0
68,ভাত,,cooked rice,0
69,-ভায়,,"allative case marker
বুড়িভায়
buribhay
to the old lady",0
70,ভালা,,good,0
71,মই,,I (singular),0
72,মগে,,dative of মই (môi),0
73,মাখু,,(weaving) shuttle,0
74,মেক,,rain,0
75,যায়,,to go,0
76,লাগিবৗ,,to start,0
77,লুহা,,iron,0
78,-লৗ,,"genitive case marker
বুড়িলৗ
burilâ
of the old lady",0
79,শ,,hundred,0
80,শব্দজড়,,(grammar) phrase,0
81,সতৰ,,seventeen,0
82,সাট,,sixty,0
83,সাত,,seven,0
84,সুতু,,small,0
85,সুল,,sixteen,0
86,হাজাৰ,,thousand,0
87,হাপ,,snake,0
88,হিকিবৗ,,to learn,0
89,-ৰৗ,,"the definite marker
বুড়িৰৗ
burirâ
the old lady",0
90,-ৰৗগে,,"dative case marker
বুড়িৰৗগে
burirâge
to the old lady",0
