ID,Form,IPA,Gloss,Language_ID
0,anak,,"child (a female or male child, a daughter or son)",0
1,babayi,,"woman, female",0
2,bugas,,"milled rice, white rice",0
3,isda,,fish,0
4,kutkot,,"a Hanunuo ritual, believed to bring the dead back to life, involving exhuming the dead, every two years, and dressing up the corpse",0
5,lumut,,moss (plants of the division Bryophyta),0
6,padang,,"a short, small-leaved cogon grass, Imperata sp.",0
7,tuli,,ear,0
8,ᜠᜨᜣ᜴,,"child (a female or male child, a daughter or son)",0
9,ᜢᜩ,,four,0
10,ᜢᜭᜨ᜴,,rain,0
11,ᜧᜨᜳᜫ᜴,,"water, juice (of fruit)",0
