ID,Form,IPA,Gloss,Language_ID
0,A,,"The first letter of the Jarai alphabet, written in the Latin script.",0
1,aku,,tail,0
2,ala,,snake,0
3,ama,,father,0
4,amĭ,,mother,0
5,angĭn,/aː.ˈŋin/,wind (movement of air),0
6,arăt,/aːˈɾat/,"classifier for short 1-dimensional objects[1]
pă arăt ƀrom ― four arrows",0
7,asap,,smoke (visible particles and vapour given off by burning,0
8,aseh,,horse,0
9,asâo,,dog (animal),0
10,atâo,,ghost (spirit of the dead),0
11,añŭ,/(ʔ)aː.ˈɲuʔ/,necklace,0
12,bôh,,fruit,0
13,bôh,,classifier for various objects,0
14,bơnai,/bəː.ˈnaːj/,woman,0
15,DJ,/ʔd͡ʒ/,"The eighteenth letter of the Jarai alphabet, written in the Latin script.",0
16,dj,/ʔd͡ʒ/,"The eighteenth letter of the Jarai alphabet, written in the Latin script.",0
17,djai,,to die,0
18,drơi,/dɾəːj/,thorn[1],0
19,drơi,/dɾəːj/,form of adress used for each other by men married into,0
20,drơi,/dɾəːj/,classifier for animals[1][2],0
21,drơi,/dɾəːj/,form of adress used for each other by men married into,0
22,drơi,/dɾəːj/,classifier for animals[1][2],0
23,drơi,/dɾəːj/,classifier for animals[1][2],0
24,dua,/duː.ˈ(ʔ)a/,two,0
25,dơlăm,,deep,0
26,H'Rut,,Ruth,0
27,H'Êsther,,Esther,0
28,hia,,"to cry, weep, sob",0
29,hiam,,beautiful,0
30,hraŏ,/hɾaːwʔ/,crossbow,0
31,ia,/ia/,water (clear liquid H₂O),0
32,jrum,,needle (implement for sewing etc.),0
33,kơyâu,,wood; tree,0
34,mlun,/mluːn/,"(transitive) to cause to throw up, vomit",0
35,mơja,/məːˈdʒa/,fox; any species of the genus Vulpes,0
36,mơta,/məta/,eye (organ),0
37,pă,/paʔ/,four,0
38,pŏk,,classifier for small 2-dimensional objects,0
39,pŏk,,to open,0
40,pơ-,,"(added to verbs) causative prefix
‎pơ- + ‎mơnơi (“to take a bath”) → ‎pơmơnơi (“to bathe someone else”)",0
41,pơrơ-,,"each other, reciprocal prefix
‎pơrơ- + ‎taih (“to hit”) → ‎pơrơtaih (“to hit each other”)",0
42,rup,,"image, picture, photo",0
43,rơsĭ,,sea (body of water),0
44,sa,,one,0
45,sang,,house,0
46,thâo,,to know,0
47,tŭl,,pound with an object,0
48,tơkâo,,fingernail,0
49,tơlơi,,"problem, issue",0
50,tơlơi,,nominalizer tơlơi + hơdip (to live) = life,0
51,tơ̆ngia,/tə.ˈŋiːa̯/,(anatomy) ear (organ of hearing),0
52,yu,,parachute,0
53,čar,,"country, nation",0
54,čô,/t͡ʃo/,classifier for people,0
55,đah-kơmơi,/ɗah kəməj/,"female, woman",0
56,đao,/ʔdaːw/,a sword,0
57,Đawit,,David,0
58,ŏ,/(ʔ)ɔʔ/,"The twenty-sixth letter of the Jarai alphabet, written in the Latin script.",0
59,ŏ,/(ʔ)ɔʔ/,"(intransitive) to throw up, vomit",0
60,ƀlor,/ʔblɔːɾ/,"to lie, deceive",0
61,ƀlĕ,,"to leak, drip out, seep",0
62,ƀrom,/ʔbɾɔːm/,"arrow, projectile fired from a bow",0
63,ƀĕ,/ʔbɛʔ/,"classifier for 1-dimensional objects
dua ƀĕ đao ― two swords",0
