ID,Form,IPA,Gloss,Language_ID
0,abala,,to have an army,0
1,abang,/abaŋ/,red,0
2,abang,/abaŋ/,red,0
3,abg,,(text messaging) Initialism of abang.,0
4,abosah-basih,,"chaotically, esp. because of war or disaster, 1902,",0
5,abosah-basih,,"scattered, e.g. leaves, after being battered by wind,",0
6,abrit,,Krama of abang.,0
7,abrit,,Krama of abang.,0
8,adhi,,younger sibling (sister or brother),0
9,ageng,,Krama of gedhé.,0
10,aglis,,Archaic spelling of gelis.,0
11,agni,,(archaic) fire,0
12,agung,,"(archaic) large, (archaic) great, exalted",0
13,Agung,,A male given name from Old Javanese,0
14,agêng,,Dated spelling of ageng.,0
15,akerat,,Dated spelling of akérat.,0
16,akrab,,"family, relatives",0
17,aku,,"I (personal pronoun), Aku lagi mangan. ― Aku lagi mangan.",0
18,akèh,,many,0
19,akérat,,hereafter,0
20,alas,,"forest, fields outside a village",0
21,alit,,Krama of cilik.,0
22,alod,,Alternative spelling of alot,0
23,alon-alon,,"slowly, carefully",0
24,alot,,"tough, hard to pierce, not easily discouraged",0
25,amarga,,because,0
26,amargi,,Krama of amarga.,0
27,amargo,,Nonstandard spelling of amarga.,0
28,amben,,couch.,0
29,ambranang,,"to turn fiery red in color, 1937,  Raden Ngabehi Kartapradja,",0
30,amerga,,Alternative spelling of amarga,0
31,amergi,,"Alternative spelling of amargi, krama of amerga.",0
32,amergo,,Nonstandard spelling of amerga.,0
33,amtenar,,civil servant,0
34,amêrga,,Dated spelling of amerga.,0
35,amêrgi,,"Dated spelling of amergi, krama of amêrga.",0
36,ana,,there is/are; to be,0
37,anak,,"child (a female or male child, a daughter or son)",0
38,andhapan,,(polite) wild boar,0
39,andhuk,,towel,0
40,anem,,Dated spelling of anèm.,0
41,anget,/a.ŋət/,"warm, hot",0
42,angin,,wind (movement of air),0
43,angklung,,a musical instrument consisting of suspended bamboo tubes which tinkle against each other when shaken,0
44,angob,,to yawn,0
45,angrang,,weaver ant,0
46,anom,,(literary) Alternative spelling of nom,0
47,anyar,,new,0
48,anèm,,"(literary) Alternative spelling of nèm, krama of anom.",0
49,apa,,what,0
50,ara-ara,,a wide and uncultivated terrain,0
51,arad,,net,0
52,aran,,name,0
53,arep,,want,0
54,ari,,sibling (younger person who shares same parents),0
55,ari-ari,,afterbirth,0
56,Aristoteles,,Aristotle,0
57,arta,,Romanization of ꦲꦂꦠ.,0
58,arto,,Nonstandard spelling of arta.,0
59,aruman,,(honorific) afterbirth,0
60,asma,,Krama inggil of aran.,0
61,asmo,,Nonstandard spelling of asma.,0
62,asoe,,Dated spelling of asu.,0
63,asta,,(anatomy) Krama inggil of tangan.,0
64,asto,,Nonstandard spelling of asta.,0
65,asu,,"dog, Synonyms: baung, cemera, sona",0
66,atawa,,"(archaic, dialectal, obsolete) or",0
67,ati,,"(anatomy) liver (organ of the body), heart (emotions",0
68,atus,,hundred (102),0
69,awan,,the time between 10 o'clock until 15 o'clock,0
70,awoe,,Dated spelling of awu.,0
71,awu,,"ash (solid remains of a fire), dust",0
72,ayu,,"beautiful, pretty",0
73,ayu,,beauty,0
74,baja,,Dated spelling of baya.,0
75,bajingan,,"ox cart driver, scoundrel, rascal, thief, swindler,",0
76,bakul,,"market seller., trader in agricultural products., synonym",0
77,bala,,"(military) strength, (military) army, supporter, friend",0
78,Bala,,name of the twenty fifth week in Javanese calendar,0
79,bale,,Dated spelling of balé.,0
80,baloewarti,,Dated spelling of baluwarti.,0
81,baluarti,,Nonstandard spelling of baluwarti.,0
82,baluwarti,,"fort built around a royal court, Hypernym: bètèng",0
83,balé,,(literary) house,0
84,banawi,,"(literary) large river
Synonyms: bangawan, jahnawi
Hypernym: kali",0
85,banci,/ban.t͡ʃi/,a plant whose leaves are used in folk medicines or,0
86,bandha,,"property, wealth",0
87,bandhot,,"(dialectal) ram, male sheep or goat",0
88,bandot,,Nonstandard spelling of bandhot.,0
89,bang,,red,0
90,bang,,region,0
91,bang,,bank (institution),0
92,bang,,flower,0
93,bang,,region,0
94,bang,,bank (institution),0
95,bang,,flower,0
96,bang,,bank (institution),0
97,bang,,flower,0
98,bang,,flower,0
99,bangawan,,"large river
Synonyms: banawi, jahnawi
Hypernym: kali",0
100,bangjo,,traffic light,0
101,bangsat,,"(vulgar, offensive) asshole, motherfucker, bastard, son of a bitch (objectionable or despicable person)",0
102,banjoe,,Dated spelling of banyu.,0
103,bantal,,pillow,0
104,banyu,,water,0
105,banḍa,,Dated spelling of bandha.,0
