ID,Form,IPA,Gloss,Language_ID
0,ಀ,[ə̃],chandrabindu (a nasal vowel diacritic of the Old kannada,0
1,ಁ,[aə̃],chandrabindu (a nasal vowel diacritic of the Old Kannada  script),0
2,ಂ,[ə̃ŋ],anusvara,0
3,಄,,Used to write before writing a poem in olden times.,0
4,ಅ,[ə],The first vowel of the Kannada alphabet.,0
5,ಅ,[ə],"Vishnu, a Hindu god in AUM.",0
6,ಅ,[ə],un-,0
7,ಅ,[ə],remote demonstrative base,0
8,ಅ,[ə],of,0
9,ಅ,[ə],"A vocative particle; o, oh",0
10,ಅ,[ə],a pronominal base (Used in olden times while writing a poem),0
11,ಅಂಕ,,"number, numeral, Synonym: ಸಂಖ್ಯೆ (saṅkhye), mark, spot,",0
12,ಅಂಕಣ,,The place between two pillars in a house.,0
13,ಅಂಗ,,component,0
14,ಅಂಗಡಿ,,"store, shop
ಮಿಠಾಯಿ ಅಂಗಡಿಗೆ ಹೋಗುತ್ತಿದ್ದೇನೆ; ಯಾರು ಬರುತ್ತಾರೆ?miṭhāyi aṅgaḍige hōguttiddēne; yāru baruttāre?I am going to the sweet shop; who will come?",0
15,ಅಂಗಾಲು,,sole of leg,0
16,ಅಂಗೈ,,palm,0
17,ಅಂಟಂಟಾದ,,"glutinous, adhesive",0
18,ಅಂಟಾದ,,"glutinous, adhesive",0
19,ಅಂಟು,,"glue, adhesive
ಅದನ್ನೊಡೆದರೆ ಈ ಅಂಟನ್ನು ಸರಿಪಡಿಸಲಿಕ್ಕೆ ಬಳಸು.adannoḍedare ī aṇṭannu saripaḍisalikke baḷasu.If you break it, use this glue in order to fix it.",0
20,ಅಂಟು,,"To stick, to be sticking
ನನ್ನ ಪಾದಗಳು ನೆಲಕ್ಕೇಕಂಟುತ್ತಿವೆ?nanna pādagaḷu nelakkēkaṇṭuttive?Why are my feet sticking to the ground?
ಅದನ್ನು ಕಾಗದಕ್ಕಂಟುವೆನು.adannu kāgadakkaṇṭuvenu.I will stick it to the paper.",0
21,ಅಂಟುವ,,"glutinous, adhesive",0
22,ಅಂತಃಕರಣ,,"heart, mind",0
23,ಅಂತಃಕಲಹ,/əntəxkələɦa/,"internal struggle
ಅಮೇರಿಕದ ಅಂತಃಕಲಹದ ಪರಿಣಾಮವು ಅಮೇರಿಕ ಸಂಯುಕ್ತ ಸಂಸ್ಥಾನದ ಗೆಲುವು.amērikada antaḥkalahada pariṇāmavu amērika saṃyukta saṃsthānada geluvu.The result of the American Civil War was a win by the United States of America.",0
24,ಅಂವ,,"he, that one, that person, ಅಂವ ನನ್ನ ಅಪ್ಪ.aṃva nanna",0
25,ಅಂಶ,,"part, portion",0
26,ಅಂಶಿಕ,,"part, element, component, Synonyms: ಭಾಗ (bhāga), ಅಂಶ",0
27,ಅಂಶಿಕ,,"(with a prefixed noun) pertaining to, belonging to,",0
28,ಅಕಚ,,the planet of kēthu,0
29,ಅಕಚ,,being bold,0
30,ಅಕಟ,,being surprised,0
31,ಅಕರಣಿ,,defeat,0
32,ಅಕ್ಕ,,elder sister,0
33,ಅಕ್ಷರ,,"letter, character (of an alphabet)",0
34,ಅಗ್ನಿ,,"Agni, a Hindu deity of fire in Advaita Vedanta, A male",0
35,ಅಗ್ನಿ,,fire (oxidization reaction),0
36,ಅಗ್ನಿಪರ್ವತ,,(geology) volcano,0
37,ಅಟಕಾವು,,opposition,0
38,ಅಟ್ಟಂಗಡಿ,,bakery,0
39,ಅಟ್ಟಟ್ಟಿ,,precursor,0
40,ಅಟ್ಟಣಿಗೆ,,cradle,0
41,ಅಟ್ಟಿಗ,,follower,0
42,ಅಡವಿ,,forest (dense collection of trees),0
43,ಅಡುಸು,,(mineralogy) clay,0
44,ಅಣೆಕಟ್ಟು,,"anicut dam, a type of small head dam",0
45,ಅಣ್ಣ,,elder brother.,0
46,ಅಥವ,,Misspelling of ಅಥವಾ (athavā).,0
47,ಅದು,,"(neuter) that, (that thing) it, (Havyaka) she, ಅದು",0
48,ಅನಂತ,,"infinite, boundless, unlimited, without end, endless
ಗಣಿತಶಾಸ್ತ್ರದಲ್ಲಾಗಲಿ ದರ್ಶನಶಾಸ್ತ್ರದಲ್ಲಾಗಲಿ ಅನಂತ ಎಂಬುದರ ಪರಿಕಲ್ಪನೆ ಬಹಳ ಗಂಭೀರವಾಗಿದೆ.gaṇitaśāstradallāgali darśanaśāstradallāgali ananta embudara parikalpane bahaḷa gambhīravāgide.Whether in mathematics or in philosophy, the concept of ""infinite"" is very profound.",0
49,ಅನಾನಸ್,,pineapple (plant and fruit),0
50,ಅನುಭವ,,"experience, ಅಗಣಿತ ಸದ್ಗುಣಗಳಿದ್ದರೂ ರಾಜಕೀಯದಲ್ಲಿನ ಅನುಭವ",0
51,ಅನ್ನ,/ɑn.nɑ/,"boiled rice, food in general",0
52,ಅನ್ಯ,,"other, different",0
53,ಅಪ್ಪ,,father,0
54,ಅಪ್ಸರೆ,,(Hinduism) an apsara; a female spirit of the clouds,0
55,ಅಬ್ಬರ,,"noise, din, roar",0
56,ಅಬ್ಬೆ,,(Havyaka) a mother,0
57,ಅಭ್ಯಾಸ,,"practice
ಅಭ್ಯಾಸವಿಲ್ಲದೆ ಯಾವುದಾದರೂ ಕಲೆಯಲ್ಲಿ ಯಶಸ್ವಿಯಾಗುವುದು ಸಾಧ್ಯವೇ ಇಲ್ಲ.abhyāsavillade yāvudādarū kaleyalli yaśasviyāguvudu sādhyavē illa.It is not at all possible to become successful in any art without practice.",0
58,ಅಮ್ಮ,,mother,0
59,ಅರಮನೆ,,a palace,0
60,ಅರಸಿನ,,turmeric,0
61,ಅರಿಮೆ,,science,0
62,ಅರಿಲ್ಸುತ್ತುಗ,,(astronomy) planet,0
63,ಅರ್ಧ,/ɑɾ.d̪ʱɑ/,half,0
64,ಅಲಾಸ್ಕ,,Alaska (a state of the United States),0
65,ಅಳುಪು,,addict,0
66,ಅವಳು,,(feminine) that,0
67,ಅವುಗಳು,,(neuter) those,0
68,ಅಶ್ರು,/əʃ.ɾuː/,"(formal, literary) tear, Synonym: ಕಣ್ಣೀರು (kaṇṇīru)",0
69,ಅಶ್ವ,,"(rare, literary, formal) a horse",0
70,ಅಸಿಟೋನ್,,acetone,0
71,ಅಸ್ಥಿ,,"(literary or in compounds) bone, Synonym: ಮೂಳೆ (mūḷe)",0
72,ಅಸ್ಸಾಮೀಸ್,,Assamese (language),0
73,ಆ,[a],The second vowel of the Kannada alphabet.,0
74,ಆ,[a],"that, those",0
75,ಆಂಗ್ಲ,,(uncommon) English; of or pertaining to England,0
76,ಆಂಗ್ಲ,,the English language,0
77,ಆಕಾಶ,,"the sky, Synonyms: ಮುಗಿಲು (mugilu), ಗಗನ (gagana)",0
78,ಆನೆ,,elephant,0
79,ಆಮ್ಲಜನಕ,,oxygen,0
80,ಆಯ್ಕೆ,,"choice
ನಮಗೆ ಆಯ್ಕೆಯನ್ನು ನೀಡಲೇ ಇಲ್ಲ.namage āykeyannu nīḍalē illa.He did not offer us a choice at all.
ಆ ಆಯ್ಕೆಯು ನಿನ್ನದೇ.ā āykeyu ninnadē.That choice is all yours.",0
81,ಆರೋಗಣೆ,,"meal, repast",0
82,ಆರೋಗ್ಯದ,,health,0
83,ಆರ್ಯ,,"Aryan, Indo-Aryan, noble",0
84,ಆರ್ಯ,,"an Aryan, an Indo-Aryan",0
85,ಆಲೋಚಿಸು,,"to think, consider",0
86,ಆಳ್ಜುನಿಡ್,,Aljunied,0
87,ಆವರಿ,,steam,0
88,ಆವೆ,,(mineralogy) clay,0
89,ಆಸ್ಪತ್ರೆ,,"hospital, Synonyms: ದವಾಖಾನೆ (davākhāne), ಆಯುರಾಲಯ (āyurālaya),",0
90,ಇ,[i],The third vowel of the Kannada alphabet.,0
91,ಇಂಗಾಲ,,carbon,0
92,ಇಂಗು,,asafoetida,0
93,ಇಂಗುಶೇಟಿಯಾ,,Ingushetia (a republic of Russia),0
94,ಇಂಗ್ಲಿಷ್,,(colloquial) the English language,0
95,ಇಂದ್ರಚಾಪ,,(weather) rainbow,0
96,ಇಂದ್ರಧನುಸ್ಸು,,(weather) rainbow,0
97,ಇಚ್ಛಿಸು,/it͡ʃ.t͡ʃʰi.su/,"to wish, want, crave, desire, Synonyms: ಬಯಸು (bayasu),",0
98,ಇಚ್ಛೆ,/it͡ʃ.t͡ʃʰe/,"want, wish, desire, Synonym: ಬಯಕೆ (bayake)",0
99,ಇತಿಹಾಸ,,"history, ಆರ್ಯನು ತನ್ನ ಇತಿಹಾಸದ ಅಧ್ಯಾಪಕರನ್ನು ಮೆಚ್ಚುತ್ತಾನೆ.āryanu",0
100,ಇದು,,"(neuter) this, (this thing) it",0
101,ಇಪ್ಪತ್ತು,,twenty (numeral: ೨೦ (20)),0
102,ಇರಾದೆ,,intention,0
103,ಇರುಳು,,"(rare) night, Synonym: ರಾತ್ರಿ (rātri)",0
104,ಇಲಿ,,"mouse, rat",0
105,ಇಲ್ಲವೆ,,"or
ನನಗೆ ಸ್ವತಂತ್ರ್ಯವನ್ನು ಕೊಡು ಇಲ್ಲವೆ ಸಾವನ್ನು ಕೊಡು!nanage svatantryavannu koḍu illave sāvannu koḍu!Give me liberty or give me death!",0
106,ಇಳಿ,,"to descend, alight, get down
ವಿಮಾನದಿಂದ ಇಳಿಯುವುದಕ್ಕೆ ಮುಂಚೆ ಎಲ್ಲಾ ನಿಮ್ಮ ಸಾಮಾನುಗಳು ನಿಮ್ಮ ಹತ್ತಿರ ಇವೆ ಅಂತ ಕಂಡಿತಪಡಿಸಿರಿ.vimānadinda iḷiyuvudakke muñce ellā nimma sāmānugaḷu nimma hattira ive anta kaṇḍitapaḍisiri.Before getting off the airplane, please ensure that all your belongings are with you.",0
107,ಇವ,,(masculine) this,0
108,ಇವನು,,(masculine) this,0
109,ಇವರು,,(masculine and feminine) these,0
110,ಇವಳು,,(feminine) this,0
111,ಇವು,,(neuter) these,0
112,ಇವುಗಳು,,(neuter) these,0
113,ಇಶಾರೆ,,"gesture, sign, hint",0
114,-ಇಸು,,"Used to form verbs from nouns or adjectives.
‎ಉಪಯೋಗ (upayōga) + ‎-ಇಸು (-isu) → ‎ಉಪಯೋಗಿಸು (upayōgisu)
‎ಪ್ರಯತ್ನ (prayatna) + ‎-ಇಸು (-isu) → ‎ಪ್ರಯತ್ನಿಸು (prayatnisu)",0
115,ಈ,[iː],The fourth vowel of the Kannada alphabet.,0
116,ಈ,[iː],"this, this here",0
117,ಈ,[iː],"this, this here",0
118,ಈಗ,,"now, at this moment, at the present moment",0
119,ಈಜು,,"To swim
'ಕೆರೆಯಲ್ಲೀಜಬೇಡ!' ಮಗುವಿನ ತಾಯಿಯು ಹೇಳಿದಳು.'kereyallījabēḍa!' maguvina tāyiyu hēḷidaḷu.""Don't swim in the lake!"" said the child's mother.",0
120,ಈಟಿ,,"lance, spear",0
121,ಈಡಾಡು,,to scatter,0
122,ಈರು,,to comb,0
123,ಈರು,,to delouse,0
124,ಈರು,,to draw,0
125,ಈರು,,to delouse,0
126,ಈರು,,to draw,0
127,ಈರು,,to draw,0
128,ಈರ್ಷ್ಯೆ,,"(rare) envy, jealousy",0
129,ಉ,,5th letter in Kannada alphabet.,0
130,ಉಗುರು,,"(anatomy) nail, ಉಗುರುಗಳನ್ನು ಕಚ್ಚುವುದು ಕೆಟ್ಟ ಬಳಕೆ.ugurugaḷannu",0
131,ಉಗ್ರ,/uɡ.ɾɑ/,"(formal, literary) fierce, fearful, terrible",0
132,ಉಣ್ಣೆ,,wool,0
133,ಉತ್ತಮ,,"highest, superior, best, most excellent",0
134,ಉದ್ದ,,"tall, Synonym: ಎತ್ತರ (ettara)",0
135,ಉಪಯೋಗಿಸು,,"To use, utilize, ನಿನ್ನ ತಂದೆಗೆ ಮಾತನಾಡುವಾಗ ಅಂತಹ ಧ್ವನಿಯನ್ನು",0
136,ಉಪ್ಪು,,salt,0
137,ಉರಿಬೆಟ್ಟ,,(geology) volcano,0
138,ಉರಿಯುವ,,fiery,0
139,ಉರ್ದೂ,,Urdu (language),0
140,ಉಸಿರಾಟ,,"breathing, respiration
ಎಲ್ಲಾ ಪ್ರಾಣಿಗಳು ಜೀವನಕ್ಕಾಗಿ ಉಸಿರಾಟದ ಮೇಲೆ ಅವಲಂಬಿಸುತ್ತವೆ.ellā prāṇigaḷu jīvanakkāgi usirāṭada mēle avalambisuttave.All creatures depend on respiration for life.",0
141,ಉಸಿರು,,"breath
Synonym: ಶ್ವಾಸ (śvāsa)",0
142,ಊ,[uː],The sixth letter of the Kannada alphabet.,0
143,ಊರು,,"habitation, such as a city or town",0
144,ಋ,,The seventh vowel of the Kannada script.,0
145,ಋಗ್ವೇದ,,Rigveda,0
146,ಋತು,,"season, Synonym: -ಗಾಲ (-gāla, suffix)",0
147,ಋಷಭ,,"(formal, literary) a bull, (music) the second of the",0
148,ಌ,,8th letter of Kannada alphabet.,0
149,ಎ,[e],The ninth letter of the Kannada alphabet.,0
150,ಎಂಟು,[ẽ.ʈu],eight,0
151,ಎಣ್ಣೆ,,"oil
ಎಣ್ಣೆ ಬೆಂಕಿಯನ್ನು ಮಾಡುಲಿಕ್ಕೆ ಉಪಯೋಗಸಲ್ಪಡಬಹುದು.eṇṇe beṅkiyannu māḍulikke upayōgasalpaḍabahudu.Oil may be used to make a fire.",0
152,ಎರಕ,,casting,0
153,ಎರಚು,,to scatter,0
154,ಎರಡು,/e.ɾɑ.ɖu/,two (numeral: ೨ (2)),0
155,ಎರವಲುಕೊಡು,,"To lend
ನಾನವನಿಗೆ ಎರವಲುಕೊಟ್ಟಿದ್ದ ಸೀಸಕಡ್ಡಿಯನ್ನು ನನಗೆ ಇನ್ನೂ ಹಿಂದಿರುಗಿಸದೆ ಇದ್ದರೂ ನನಗೆ ಮತ್ತೊಂದನ್ನು ಎರವಲುಕೊಡಬೇಕೆಂದು ಹೇಳುತ್ತಿದ್ದಾನೆ.nānavanige eravalukoṭṭidda sīsakaḍḍiyannu nanage innū hindirugisade iddarū nanage mattondannu eravalukoḍabēkendu hēḷuttiddāne.Though he still has not returned to me the pencil that I had lent to him, he is telling me that I must lend him yet another.",0
156,ಎರುಗು,,"(Havyaka) ant, Synonym: ಇರುವೆ (iruve)",0
157,ಎರೆಚೀಲ,,crop,0
158,ಏ,[eː],The tenth vowel of the Kannada script.,0
159,ಏಡು,,a period of time,0
160,ಏಳು,[(j)eː.ɭu],seven,0
161,ಐ,[ai],The eleventh vowel of the Kannada script.,0
162,ಐದು,[ai.du],five (numeral: ೫ (5)),0
163,ಒಂಟೆ,,camel,0
164,ಒಂದು,[õ.d̪u],one (numeral: ೧ (1)),0
165,ಒಕ್ಕಲಿಗ,,"farmer, husbandman, peasant, ryot",0
166,ಒಜ್ಜೆ,,Alternative form of ವಜ್ಜೆ (vajje),0
167,ಒದವಿ,,"help
ನಿಮ್ಮ ಒದವಿಯನ್ನು ಕೊಟ್ಟದಿದ್ದರೆ ಈ ಕೆಲಸವು ಆಗುತ್ತಿರಲಿಲ್ಲ.nimma odaviyannu koṭṭadiddare ī kelasavu āguttiralilla.If you had not given your help, this work would not have been possible.",0
168,ಒನಕೆ,,pestle,0
169,ಒರಕು,,"(Havyaka) sleep, slumber, Synonym: ನಿದ್ರೆ (nidre)",0
170,ಒರಟು,,implying rudeness,0
171,ಒಲವು,,love,0
172,ಒಲವು,,disposition,0
173,ಒಲವು,,disposition,0
174,ಓ,[oː],The thirteenth vowel of the Kannada script.,0
175,ಓಜಸ್ಸು,,"energy, vigour, strength, power",0
176,ಓಡು,,To run,0
177,ಓದು,,"To read, study",0
178,ಓದುಗೆ,,A book,0
179,ಔ,[au],The fourteenth vowel of the Kannada script.,0
180,ಕ,[kə],"The Kannada letter ka, called karagappa.",0
181,ಕಂಕ,,Vulture,0
182,ಕಂಕುಳ,,armpit,0
183,ಕಂಚುಳಿಕೆ,,syringe,0
184,ಕಂಜ,,lotus,0
185,ಕಂಡ,,"flesh, meat",0
186,ಕಂದರ,,(geography) gulf,0
187,ಕಂಪ,,(mineralogy) clay,0
188,ಕಂಮಠ,,sledgehammer,0
189,ಕಕ್ಕು,,"vomiting,vomit",0
190,ಕಕ್ಕುಲತೆ,,love,0
191,ಕಕ್ಕೆ,,Cassia fistula L.,0
192,ಕಗ್ಗತ್ತಲೆ,,midnight,0
193,ಕಗ್ಗಾರು,,famine,0
194,ಕಗ್ಗೊಲೆ,,butchery,0
195,ಕಚಾಕ,,smoke,0
196,ಕಚೇರಿ,,office (in general; essentially a place of business),0
197,ಕಟಕರವ,,butcher,0
198,ಕಟಿಕ,,butcher,0
199,ಕಟು,/kə.ʈu/,"(formal, literary) bitter",0
200,ಕಟ್ಟರಸು,,checkmate,0
201,ಕಡಜ,,wasp,0
202,ಕಡಲಕಳೆ,,"seaweed
Synonym: ಕಡಲಜೊಂಡು (kaḍalajoṇḍu)",0
203,ಕಡಲಜೊಂಡು,,seaweed,0
204,ಕಡಲು,,sea,0
205,ಕಡುನುರುವು,,wasp,0
206,ಕಣ,,"(formal) a small particle, fragment, Synonyms: ಚಕ್ಕೆ",0
207,ಕಣಜ,,"granary, barn, garner, cellar",0
208,ಕಣ್ಗೆವೆ,,eyelid,0
209,ಕಣ್ಣೀರು,,"tear, Synonym: ಅಶ್ರು (aśru)",0
210,ಕತ್ತೆ,/kɑt̪.t̪ɛ/,"a donkey, an ass",0
211,ಕದ,,door,0
212,ಕದಂಬ,,"kadam, common bur-flower tree (Neolamarckia cadamba, syn. Anthocephalus cadamba,[1] Nauclea cadamba)
Synonyms: ನೀಪ (nīpa), ಜಾಲ (jāla), ಪ್ರಿಯಕ (priyaka), ಹಲಿಪ್ರಿಯ (halipriya)",0
213,ಕದಮ್ಬ,,Alternative spelling of ಕದಂಬ (kadamba).,0
214,ಕನಸು,,"dream, ನಾವೆಷ್ಟೇ ಒಡಂಬಡಿಸಲು ಪ್ರಯತ್ನಿಸಿದರೂ ತನ್ನ ಕನಸು ನಿಜವಲ್ಲವೆಂದು",0
215,ಕನಿಷ್ಠ,,"smallest, youngest",0
216,ಕನ್ನಡ,,"the Kannada language, ಕನ್ನಡ ಭಾಷೆಯ ವೈಭವವು ಪ್ರಾಚೀನ ಕಾಲದಿಂದ",0
217,ಕನ್ನಡಿಗರು,,"Kannadigas, native Kannada speakers",0
218,ಕನ್ಯೆ,/kən.je/,"young girl, maiden, Synonym: ಹುಡುಗಿ (huḍugi)",0
219,ಕಪಟ,,"ruse, deceit, fraud, Synonym: ಮೋಸ (mōsa)",0
220,ಕಪೋತ,,"a pigeon, a dove, Synonym: ಪಾರಿವಾಳ (pārivāḷa)",0
221,ಕಫ,,sputum,0
222,ಕಬ್ಬಿಣ,,iron,0
223,ಕಬ್ಬು,,sugar cane,0
224,ಕರಡಿ,,bear,0
225,ಕರಡಿ,,An oblong drum beaten on both sides.,0
226,ಕರಾಳ,,black,0
227,ಕರು,/kə.ɾu/,calf (a young cow or bull),0
228,ಕರುಳು,,intestine,0
229,ಕರೆ,,"To call, summon, beckon, To invite",0
230,ಕರೆ,,to milk,0
231,ಕರೆ,,"The border, fringe, The edge, The hem",0
232,ಕರೆ,,to milk,0
233,ಕರೆ,,"The border, fringe, The edge, The hem",0
234,ಕರೆ,,"The border, fringe, The edge, The hem",0
235,ಕರ್ತವ್ಯ,,"duty, obligation",0
236,ಕರ್ನಾಟಕ,[kəɾˈnɑːʈəkɑ],Karnataka,0
237,ಕಲ್ಪನೆ,,"conception, imagination",0
238,ಕಲ್ಪಿಸು,,"to imagine, come up with, to conjure up",0
239,ಕಲ್ಲಂಗಡಿ,,watermelon,0
240,ಕಲ್ಲರಗು,,asphalt,0
241,ಕಲ್ಲು,,"rock, stone, pebble, ಕಲ್ಲಿನಷ್ಟು ಗಟ್ಟಿಯಾಗಿದ್ದಾನೆ.kallinaṣṭu",0
242,ಕವಿ,,a poet,0
243,ಕಸುಬು,,"occupation, profession, trade",0
244,ಕಾಗೆ,,a crow,0
245,ಕಾಡು,,"forest (dense collection of trees), ಕತ್ತಲೆಯ ಕಾಡಿಗೊಳಹೋಗಿ",0
246,ಕಾಡು,,"to pester, annoy, ಏಕೆ ಯಾವಾಗಲೂ ನನ್ನನ್ನು ಕಾಡುತ್ತಲೇ ಇರುತ್ತೀಯೇ?ēke",0
247,ಕಾನನ,,forest (dense collection of trees),0
248,ಕಾನು,,forest (dense collection of trees),0
249,ಕಾಪಾಡು,,"To protect, preserve, maintain
ನನ್ನನ್ನು ಕಾಪಾಡು ಹೇ ಪ್ರಭು!nannannu kāpāḍu hē prabhu!Protect me, O Lord!
ಅರಸನು ತನ್ನ ನಾಡಿನವರನ್ನು ಕಾಪಾಡಿದನು.arasanu tanna nāḍinavarannu kāpāḍidanu.The king protected the people of his country.",0
250,ಕಾಪು,,"protection
ತನ್ನ ಅನಂತ ದಯದಿಂದ ದೊರೆಗಳು ತನ್ನ ಕಾಪನ್ನು ನಮಗೆ ಕೊಟ್ಟರು.tanna ananta dayadinda doregaḷu tanna kāpannu namage koṭṭaru.By his boundless grace the king gave us his protection.",0
251,ಕಾಫಿ,,coffee,0
252,ಕಾಮನಬಿಲ್ಲು,,(weather) rainbow,0
253,ಕಾಯಿಲೆ,,"disease, malady, illness, Synonym: ರೋಗ (rōga)",0
254,ಕಾರು,,"car, automobile",0
255,ಕಾರ್ಯ,,"action, activity, operation, function",0
256,ಕಾಲು,,"leg, ಮನುಷ್ಯರು ಕಾಲುಗಳಿಂದ ನಡೆಯುತ್ತಾರೆ.manuṣyaru kālugaḷinda",0
257,ಕಾಳಗ,,battle,0
258,ಕಾವಿ,,"red ochre, saffron",0
259,ಕಾವಿಬಣ್ಣ,,ochre,0
260,ಕಿ,,The Kannada letter ki.,0
261,ಕಿಚ್ಚು,,fire,0
262,ಕಿರುಬ,,"hyena
Synonym: ಕುರ್ಕ (kurka)",0
263,ಕಿವಿ,,ear,0
264,ಕೀಲಿಕೈ,,key,0
265,ಕುಂಕುಮ,,saffron,0
266,ಕುಂಬಳಕಾಯಿ,,pumpkin,0
267,ಕುಗ್ಗಟೆ,,soapnut,0
268,ಕುಠಾರ,,axe,0
269,ಕುಡಿ,,"To drink
ಹೆಂಡವನ್ನು ಕುಡಿಯುವುದರಲ್ಲಿ ಏನೂ ಲಾಭವಿಲ್ಲ.heṇḍavannu kuḍiyuvudaralli ēnū lābhavilla.There is no reward in drinking liquor.",0
270,ಕುಡಿಕೆ,,inkstand,0
271,ಕುಡುಪ,,drumstick,0
272,ಕುಣಿ,,hole,0
273,ಕುಣಿ,,dance,0
274,ಕುದುರೆ,[ku.du.ɾe],"horse, ಕುದುರೆಯು ತನ್ನ ಒಡೆಯನನ್ನು ಇಪ್ಪತ್ತು ಏಡುಗಳಿಗೆ ಓಲಗಿಸಿದೆ.kudureyu",0
275,ಕುಪ್ಪಿ,,bottle,0
276,ಕುರರ,,osprey,0
277,ಕುರಿ,/ku.ɾi/,sheep,0
278,ಕುರ್ಚಿ,,chair,0
279,ಕುಳ್ಳ,,"short, dwarfish",0
280,ಕುಸುವು,,hemp,0
281,ಕೂಟಾಕ,,hammer,0
282,ಕೂದಲು,,hair,0
283,ಕೂಸು,,"(Havyaka) girl, maiden, Synonyms: ಹುಡುಗಿ (huḍugi),",0
284,ಕೃಶ,,"weak, emaciated, frail, gaunt",0
285,ಕೃಷ್ಣ,,"Krishna (Hindu deity), A male given name, equivalent",0
286,ಕೆ,,The Kannada letter ke.,0
287,ಕೆಂಪು,,red,0
288,ಕೆಂಪು,,the red color,0
289,ಕೆತ್ತನೆಕೆಲಸ,,sculpture,0
290,ಕೆತ್ತನೆಗ,,sculptor,0
291,ಕೆತ್ತುಗ,,"engraver, sculptor",0
292,ಕೆನ್ನೆ,,cheek,0
293,ಕೆಮ್ಮು,,"An act of coughing
ಅವನ ಕೆಮ್ಮನ್ನು ಕೇಳಿದೆಯಾ? ಉಬ್ಬಸವಿರಬಹುದು.avana kemmannu kēḷideyā? ubbasavirabahudu.Did you hear his cough? He might have some kind of breathing difficulty.",0
294,ಕೆಮ್ಮು,,"To cough
ರೇಗಿಹೋದೆನು ಏಕೆಂದರೆ ನನ್ನ ಮೇಲೆಯೇ ಕೆಮ್ಮತ್ತಿದ್ದಳು.rēgihōdenu ēkendare nanna mēleyē kemmattiddaḷu.I got very enraged because she kept coughing on me.",0
295,ಕೆರೆ,,lake (body of water),0
296,ಕೆರೆ,,"to scratch, scrape",0
297,ಕೆಲಸ,,"work
ಏನೂ ಕೆಲಸವನ್ನು ಇವನು ಮಾಡನು.ēnū kelasavannu ivanu māḍanu.This man does not do any work.",0
298,ಕೆಲಸಗಾರ,,"artisan, craftsman",0
299,ಕೆಲಸಗಾರರು,,"labor, personnel, proletariat",0
300,ಕೇರಳ,,Kerala,0
301,ಕೇಳು,,To ask,0
302,ಕೇವಲ,,"only, just, Synonyms: ಮಾತ್ರ (mātra), ಅಶ್ಟೆ (aśṭe)",0
