ID,Form,IPA,Gloss,Language_ID
0,ааль,/a᷈ːlʲ/,soup,0
1,аас,,similar,0
2,ааӈ,,hot,0
3,ааӈ,,hotly,0
4,аббет,,to wipe,0
5,ассанно,,hunt,0
6,ассель,,animal,0
7,аӄӄут,,rainbow,0
8,аӈгаль,,brushwood,0
9,баам,/ba᷈ːm/,old woman,0
10,баат,,old man,0
11,баттат,,face,0
12,бись,,evening,0
13,бо’к,/bɔ̌ˀk/,fire,0
14,бу,,"he, she",0
15,десь,,eye,0
16,ду’,,smoke,0
17,дэ’,,lake,0
18,иӈӷусь,,house,0
19,и’нь,,needle,0
20,ки’сь,,leg,0
21,колет,,town,0
22,коска,,cat,0
23,къе,,head,0
24,кәӄтә,,neck,0
25,ляӈат,,hand,0
26,мора,/ˈmɔ̌râ/,"sea, ocean",0
27,огдэ,,ear,0
28,саал,,night,0
29,сеӈ,,liver,0
30,сукколь,,"nape, back of the head, occiput",0
31,сюлем,,red,0
32,сюлемла,,reddish,0
33,сюль,,cradle hook,0
34,сюль,,blood,0
35,сюль,,blood,0
36,сюуль,/sʲu᷈ːlʲ/,snow sled,0
37,сю’ль,/sʲǔˀlʲ/,nelma,0
38,тум,,black,0
39,тумла,/tumla/,blackish,0
40,тусяӈ,,here,0
41,тыль,,navel,0
42,уль,/úˑlʲ/,water,0
43,ульгит,/ˈulʲɡit/,elbow,0
44,хиссый,,forest,0
45,ху,,heart,0
46,ху’н,,daughter,0
47,хыль,,belly,0
48,хы’б,,son,0
49,эй,,tongue,0
50,эӈӈуӈ,/ˈɛŋŋuŋ/,village,0
51,эӈӈуӈ,/ˈɛŋŋuŋ/,"absolutive plural of иӈӷусь (iŋɢus’, “house”)",0
52,ят,,I,0
53,ӄа’,/qǎˀ/,speech,0
54,ӄип,/qíˑp/,grandfather,0
55,ӄип,/qíˑp/,moon,0
56,ӄип,/qíˑp/,month,0
57,ӄобет,,good,0
58,ӄоӄпунь,/ˈqɔqpunʲ/,cuckoo,0
59,ӄо’т,/qɔ̌ˀt/,"road, way",0
