ID,Form,IPA,Gloss,Language_ID
0,аддзыны,,see,0
1,айморт,,man,0
2,ан,,gum (part of mouth),0
3,ань,,woman,0
4,ар,,autumn,0
5,артавны,,count,0
6,ас,,own,0
7,бадь,,willow,0
8,байдӧг,,partridge,0
9,бан,,face,0
10,бать,,father,0
11,бергавны,,turn (intr.),0
12,берд,,wall,0
13,би,,fire,0
14,бобув,,butterfly,0
15,боль,,bubble,0
16,борд,,wing,0
17,Братислава,,Bratislava (the capital and largest city of Slovakia),0
18,бур,,good,0
19,быд,,all,0
20,бӧр,,a place behind,0
21,ва,,water,0
22,важ,,old (of things),0
23,вайны,,bring,0
24,ведра,,bucket,0
25,веж,,green,0
26,вежны,,change (tr.),0
27,вежон,,week,0
28,велавны,,learn,0
29,вем,,brain,0
30,вердны,,feed,0
31,ви,,butter,0
32,вила,,pitchfork,0
33,вина,,"wine, liquor",0
34,вины,,kill,0
35,вир,,blood,0
36,висьлӧс,,sickly,0
37,висьны,,"be ill, feel pain, ache",0
38,вит,,five,0
39,во,,year,0
40,вой,,night,0
41,война,,war,0
42,волявны,,shine,0
43,вом,,mouth,0
44,воны,,arrive,0
45,восны,,vomit,0
46,воторник,,Tuesday,0
47,вуг,,handle,0
48,вузавны,,sell,0
49,вунӧдны,,forget,0
50,вурны,,sew,0
51,выв,,a place above,0
52,вый,,butter,0
53,выль,,new,0
54,вӧв,,horse,0
55,вӧнь,,belt,0
56,вӧр,,forest,0
57,вӧрӧг,,enemy,0
58,гадь,,bladder,0
59,гач,,trousers,0
60,гид,,barn,0
61,гижны,,write,0
62,гоб,,mushroom,0
63,гож,,"sunshine, heat (in summer)",0
64,гожӧм,,summer,0
65,голя,,neck,0
66,горт,,home,0
67,гу,,"pit, cave",0
68,гусь,,thief,0
69,гут,,fly (insect),0
70,гыж,,nail (on fingers/toes),0
71,гырддза,,elbow,0
72,гӧр,,plough,0
73,гӧрд,,red,0
74,гӧрддзавны,,"tie (a knot), join (tr.)",0
75,гӧрны,,plough,0
76,дас,,ten,0
77,дась,,ready,0
78,джадж,,shelf,0
79,джек,,chair,0
80,джуджыд,,high,0
81,дзебны,,hide,0
82,дзодзӧг,,goose,0
83,дзор,,white (of hair),0
84,додь,,sled,0
85,дон,,price,0
86,дундыны,,swell,0
87,дуриан,,durian,0
88,дӧра,,"linen, fabric",0
89,дӧрӧм,,shirt,0
90,ем,,needle,0
91,зарни,,gold,0
92,зэр,,rain,0
93,ид,,barley,0
94,из,,stone,0
95,изны,,grind,0
96,йи,,ice,0
97,йӧв,,milk,0
98,кар,,town,0
99,квайт,,six,0
100,керку,,house,0
101,керны,,do,0
102,ки,,hand,0
103,кодзув,,star,0
104,кодзувкот,,ant,0
105,коз,,fir,0
106,козин,,gift,0
107,кок,,leg,0
108,кольта,,sheaf,0
109,коньӧр,,poor,0
110,кор,,leaf,0
111,корны,,"beg, call",0
112,кос,,dry,0
113,ку,,"leather, hide",0
114,кувны,,die,0
115,кудз,,urine,0
116,кузь,,long,0
117,куим,,three,0
118,куньны,,close (eyes),0
119,курӧг,,hen,0
120,кыа,,dawn,0
121,кыв,,tongue,0
122,кывны,,hear,0
123,кызь,,twenty,0
124,кык,,two,0
125,кын,,frozen,0
126,кыны,,weave,0
127,кыр,,male,0
128,кырныш,,raven,0
129,кӧдзыд,,cold,0
130,кӧин,,wolf,0
131,кӧк,,cuckoo,0
132,кӧрт,/kɘrt/,iron,0
133,лов,,soul,0
134,лола,,"(Alces alces) elk, moose",0
135,лоп,,spleen,0
136,луа,,sand,0
137,лун,,"day, south",0
138,лы,,bone,0
139,лыа,,sand,0
140,лыдд́ыны,,(transitive) to count,0
141,лым,,snow,0
142,лэбны,,fly,0
143,ма,,honey,0
144,майтӧг,,soap,0
145,ме,,(personal) I,0
146,мед,,pay,0
147,ми,,we,0
148,мой,,beaver,0
149,монь,,daughter-in-law,0
150,морт,,"man, human, person",0
151,му,,earth,0
152,мужичӧй,/ˈmuʒit͡ɕəj/,"man, masculine",0
153,мукӧд,,other,0
154,мунны,,go,0
155,мус,,liver,0
156,мый,,what,0
157,мыськыны,,wash,0
158,нёль,,four,0
159,небыд,,soft,0
160,низь,,sable,0
161,ним,,name,0
162,нин,,bast,0
163,новлыны,,"wear, carry",0
164,нуны,,carry,0
165,ныв,,"daughter, girl",0
166,ныр,,nose,0
167,ньӧв,,arrow,0
168,нювны,,lick,0
169,нюр,,swamp,0
170,нянь,,bread,0
171,няньдоз,,breadbox,0
172,овны,,to live,0
173,олӧм,,life,0
174,он,/ˈon/,"sleep, dream",0
175,пель,,ear,0
176,пемыд,,dark,0
177,петны,,exit,0
178,пи,,son,0
179,пинь,,tooth,0
180,повны,,fear,0
181,пом,,end,0
182,пон,,dog,0
183,порсь,,pig,0
184,пу,,"tree, wood (as material)",0
185,пукавны,,sit,0
186,пуны,,"boil, cook",0
187,пурт,,knife,0
188,пыдӧс,,bottom,0
189,пызь,,flour,0
190,пырны,,enter,0
191,пыш,,hemp,0
192,пӧв,,half,0
193,пӧрысь,,old,0
194,пӧсь,,hot,0
195,рой,,moss,0
196,рок,,porridge,0
197,роч,,Russian,0
198,руч,,fox,0
199,рыт,,evening,0
200,сё,,hundred,0
201,сёй,,clay,0
202,сёйны,,eat,0
203,сіт,,shit,0
204,сія,,"he, she, it",0
205,са,,soot,0
206,сетны,,give,0
207,сизим,,seven,0
208,син,,eye,0
209,сир,,resin,0
210,сов,,salt,0
211,совдоз,,salt cellar; salt shaker,0
212,сол,,Alternative form of сов (sov),0
213,сос,,sleeve,0
214,сук,,dense,0
215,сулавны,,stand,0
216,сур,,beer,0
217,сурым,,death,0
218,сыв,,fat,0
219,сывны,,melt,0
220,сьӧд,,black,0
221,сьӧкыд,,heavy,0
222,сьӧлӧм,,heart,0
223,сьӧм,,scale (of fish),0
224,сэтӧр,,currant,0
225,сю,,rye,0
226,сюр,,horn,0
227,сюрс,,thousand,0
228,сӧн,,vein,0
229,сӧп,,gall bladder,0
230,та,,this,0
231,талун,,today,0
232,тар,,black grouse,0
233,той,,louse,0
234,тош,,beard,0
235,туй,,"way, road",0
236,тулыс,,springtime,0
237,тури,,crane,0
238,турун,,grass,0
239,тыр,,full,0
240,тӧв,,wind,0
241,тӧв,,winter,0
242,тӧв,,winter,0
243,тӧдны,,know,0
244,тӧлісь,,month,0
245,ув,,bottom,0
246,удж,,work,0
247,улич,,street,0
248,уна,,many,0
249,ур,,squirrel,0
250,чарла,,sickle,0
251,чери,,fish,0
252,чож,,uncle,0
253,чӧскыд,,sweet,0
254,шебравны,,cover,0
255,шоныд,,warm,0
256,шор,,creek,0
257,шуны,,say,0
258,шыд,,soup,0
259,шыр,,mouse,0
260,шырны,,reap,0
261,шӧр,,middle,0
262,ыж,,ewe,0
263,эзысь,,silver,0
264,эскыны,,believe,0
265,юавны,,ask (a question),0
266,югыд,,bright,0
267,юны,,drink,0
268,юр,,head,0
269,юрвисянісь,,headache,0
270,юсь,,swan,0
271,юӧр,,news,0
272,ӧдзӧс,,door,0
273,ӧзйыны,,ignite (intrans.),0
274,ӧкмыс,,nine,0
275,ӧм,,mouth,0
276,ӧті,,one,0
277,ӧти,,one,0
278,durian,,,1
