ID,Form,IPA,Gloss,Language_ID
0,ёг,/ˈjoɡ/,"litter, rubbish",0
1,Ёма,/ˈjomɑ/,(mythology) Yoma; A folkloric character resembling,0
2,-а,/-ɑ/,Used to form nouns describing the quality of an adjective; -ness,0
3,А,,"The first letter of the Komi-Zyrian alphabet, written in the Cyrillic script.",0
4,агас,/ˈɑɡɑs/,harrow,0
5,-анӧй,/ɑnəj/,"Forms endearing nouns.
ныв (nyv, “girl”) → ныланӧй (nylanöj, “girlie”)",0
6,ар,/ˈɑr/,"autumn, fall, (of an age) year",0
7,Армения,,Armenia (a country in the South Caucasus in Western Asia),0
8,ас,,own,0
9,аски,/ˈɑski/,tomorrow,0
10,аскомысь,/ˈɑskomɨsʲ/,the day after tomorrow,0
11,асыв,/ˈɑsɨv/,morning,0
12,баба,/ˈbɑbɑ/,"woman, old woman, wife",0
13,бадь,/ˈbɑdʲ/,willow,0
14,бать,/ˈbɑtʲ/,"father, dad",0
15,бедь,/ˈbedʲ/,stick,0
16,Беларусь,,Belarus (a country in Eastern Europe),0
17,берд,/ˈberd/,"a unit of length, equal to ca. 8 m or 26 ft., (obsolete)",0
18,блюд,/ˈblʲud/,"dish, plate",0
19,бобув,/ˈbobuv/,butterfly,0
20,бон,/ˈbon/,bast,0
21,бон,/ˈbon/,"completely, entirely, utterly",0
22,бон,/ˈbon/,"completely, entirely, utterly",0
23,борд,/ˈbord/,"wing, fin, flipper (of a fish), feather",0
24,булка,/ˈbulkɑ/,"bread roll, bun",0
25,бус,/ˈbus/,dust,0
26,бутылка,/buˈtɨlkɑ/,bottle,0
27,быг,/ˈbɨɡ/,"foam, seafoam",0
28,ва,/ˈvɑ/,"water, juice, broth",0
29,ва,/ˈvɑ/,"wet, humid",0
30,вад,/ˈvɑd/,"bog, swamp",0
31,важ,/ˈvɑʒ/,"old (of objects), Важ керка. ― Važ kerka. ― An old",0
32,вал,/ˈvɑl/,"billow, wave",0
33,вевт,/ˈvevt/,"roof, covering, cover, lid",0
34,вевтӧс,/ˈvevtəs/,front side,0
35,вежон,/ˈveʒon/,week,0
36,ветымын,/ˈvetɨmɨn/,fifty,0
37,видз,/ˈvid͡zʲ/,meadow,0
38,видз,/ˈvid͡zʲ/,"fasting, fast",0
39,видз,/ˈvid͡zʲ/,"imperative singular of видзны (vidzny), connegative",0
40,видз,/ˈvid͡zʲ/,"fasting, fast",0
41,видз,/ˈvid͡zʲ/,"imperative singular of видзны (vidzny), connegative",0
42,видз,/ˈvid͡zʲ/,"imperative singular of видзны (vidzny), connegative",0
43,видзысь,/ˈvid͡zʲɨsʲ/,present participle of видзны (vidzny),0
44,видзысь,/ˈvid͡zʲɨsʲ/,"guard, watchman",0
45,визув,/ˈvizuv/,"current, flow",0
46,вина,,"wine, vodka",0
47,вина,,"fault, guilt",0
48,вина,,(card games) spades,0
49,вина,,"fault, guilt",0
50,вина,,(card games) spades,0
51,вина,,(card games) spades,0
52,вины,/ˈvinɨ/,"(transitive) to kill, murder, (transitive) to exterminate,",0
53,вир,,blood,0
54,вис,/ˈvis/,"strait, channel",0
55,вит,/ˈvit/,five,0
56,вичко,/ˈvit͡sʲko/,church,0
57,виысь,/ˈviɨsʲ/,present participle of вины (viny),0
58,виысь,/ˈviɨsʲ/,killer,0
59,во,/ˈvo/,year,0
60,водз,/ˈvod͡zʲ/,early,0
61,водз,/ˈvod͡zʲ/,"front, beginning, earliness",0
62,водзир,/ˈvod͡zʲir/,fang,0
63,вож,/ˈvoʒ/,shaft,0
64,вож,/ˈvoʒ/,"branching, tributary, affluent, spike of a pitchfork,",0
65,вож,/ˈvoʒ/,"branching, tributary, affluent, spike of a pitchfork,",0
66,воз,/ˈvoz/,moth,0
67,вой,/ˈvoj/,"night, north",0
68,вок,/ˈvok/,brother,0
69,воль,/ˈvolʲ/,"deerskin, elkskin",0
70,вольӧс,/ˈvolʲəs/,bedding (for animals),0
71,вом,/ˈvom/,"mouth, rivermouth",0
72,вон,/ˈvon/,canopy,0
73,воны,,arrive,0
74,воськов,/ˈvosʲkov/,step,0
75,вуг,/ˈvuɡ/,handle,0
76,вудж,/ˈvud͡ʒ/,bow,0
77,вуж,/ˈvuʒ/,root,0
78,вуз,/ˈvuz/,"cargo, product",0
79,вуз,/ˈvuz/,"university, college, institute",0
80,вуз,/ˈvuz/,"university, college, institute",0
81,вурны,,sew,0
82,вый,,butter,0
83,выллюн,/ˈvɨllʲun/,Alternative form of выльлун (vylʹlun),0
84,выль,,new,0
85,выльлун,/ˈvɨlʲlun/,Monday,0
86,вӧв,/ˈvəv/,horse (Equus caballus),0
