ID,Form,IPA,Gloss,Language_ID
0,a,,"pig
Nana a doma.I shot your pig.",0
1,aʼng,,a fly,0
2,dapu,,nose,0
3,dou,,"hand, arm",0
4,duwe,,"dog
Mama yoko bepeka duwe.I threw a stone at the dog.",0
5,dóula,,armpit,0
6,kung,,tooth,0
7,kùng,,egg,0
8,makaingko,,ant,0
9,mama,,you,0
10,mái,,tongue,0
11,nana,,I,0
12,ongni,,the husband of one's father's sister,0
13,pana,,forehead,0
14,sami,,"a man's father-in-law, his wife's father",0
15,susuwáng,,dragonfly,0
16,tanú,,head,0
17,tiʼ,,fire,0
18,wini,,"paternal aunt, the sister of one's father",0
19,wè,,"fish
Wè ona su wì.Fish live in the water.",0
20,wèi,,language,0
21,wì,,"water
Wáus wona su wì.The prawn lives in the water.",0
22,yelie,,star,0
23,yá,,hair,0
24,yùng,,bird,0
