ID,Form,IPA,Gloss,Language_ID
0,-a,,"Used to derive feminine nouns from masculine nouns (like English -ess).
Synonym: -e",0
1,A,[a],"The first letter of the Latvian alphabet, called a",0
2,a,[a],"The first letter of the Latvian alphabet, written in",0
3,a,[a],The name of the Latin script letter A/a.,0
4,a-,[a],"Not, not having, without, opposite of., ‎a- + ‎seksuāls",0
5,aa,,"yeah, uh-huh (expression of agreement, understanding)
- Vai vēlies ēst? – Aa. ― - Do you want to eat? - Yeah.",0
6,ab,,(archaic) or,0
7,ab,,(archaic) around,0
8,aba,,(archaic) just,0
9,aba,,(archaic) or,0
10,aba,,(archaic) both,0
11,aba,,"(Christianity, Judaism) Father; religious superior; in the Syriac, Coptic, and Ethiopic churches, a title given to the bishops, and by the bishops to the patriarch; a title given to Jewish scholars in the Talmudic period.",0
12,abaks,[abaks],abacus,0
13,abate,[abatɛ],abbess (the female superior of a Catholic abbey or,0
14,abatija,[abatija],"abbey (a monastery headed by an abbot, and also the",0
15,abats,[abats],"abbot (the (male) leader of a Catholic abbey or monastery),",0
16,abažūrs,,"lampshade (a cover for a lamp, used to decrease the",0
17,abi,[abi],"both (one and the other of two), abas acis, rokas,",0
18,abinieks,[abiniɛks],amphibian (vertebrates of the class Amphibia that live,0
19,abonents,,subscriber,0
20,abonēt,,to subscribe,0
21,aborts,[aboɾts],(medicine) abortion (premature termination or artificial,0
22,abstrahējami,,nominative plural masculine  form of abstrahējams,0
23,abstrahējami,,adverbial form of abstrahējams,0
24,abstrahējoši,,nominative plural masculine  form of abstrahējošs,0
25,abstrahējoši,,adverbial form of abstrahējošs,0
26,abstrahēt,,"to abstract (to produce an abstraction, abstract ideas;",0
27,abstrahēšana,,"abstracting, abstraction; verbal noun of abstrahēt",0
28,abstrakcija,[abstɾaktsija],(usually singular) abstraction (logical process by,0
29,abstraktais,,the abstract; definite of abstrakts,0
30,abstrakti,,nominative plural masculine  form of abstrakts,0
31,abstrakti,,"abstract, abstractly; adverbial form of abstrakts
aplūkot jautājumu abstrakti ― to consider the question abstractly, in the abstract",0
32,abstrakts,[abstɾakts],abstract (that which is mentally detached from the,0
33,abstraktums,[abstɾaktums],abstractness (the state or quality of that which is,0
34,abstraktākais,,the more abstract; definite comparative form of abstrakts,0
35,abstraktāks,,more abstract; indefinite comparative form of abstrakts,0
36,acenes,,"glasses, spectacles, eyeglasses",0
37,acs,[ats],"(anatomy) eye (organ of vision), zilas, brūnas, melnas",0
38,acsābols,,eyeball; alternative form of acs ābols,0
39,acumirklis,/ˈat͡su.mīrk.lis/,"instant, moment, wink, eyewink",0
40,acīgais,,"the sharp-eyed, the attentive; definite of acīgs",0
41,acīgi,,nominative plural masculine  form of acīgs,0
42,acīgi,,"sharp-eyed, attentive, attentively; adverbial form of acīgs
viņš acīgi uzmana katru kustību ― he attentively watched every move",0
43,acīgs,,"sharp-eyed, attentive (who quickly sees, perceives,",0
44,acīgākais,,"the more sharp-eyed, the more attentive; definite comparative form of acīgs",0
45,acīgāks,,"more sharp-eyed, more attentive; indefinite comparative form of acīgs",0
46,acīmredzot,,"apparently, seemingly; clearly, obviously, tā acīmredzot",0
47,adata,[adata],"needle (a long, thin, pointy tool for sewing or knitting,",0
