ID,Form,IPA,Gloss,Language_ID
0,abu,,help,0
1,abutada,,help,0
2,ahtada,,hang up,0
3,aid,,fence,0
4,aig,,time,0
5,ainos,,always,0
6,air,,oar,0
7,ajada,,drive,0
8,akk,,woman,0
9,ald,,wave,0
10,anta,,give,0
11,app,,father-in-law,0
12,armaz,,dear,0
13,astuda,,to step,0
14,avaita,,open,0
15,azetada,,set,0
16,babarm,,raspberry,0
17,bard,,beard,0
18,bibu,,lever,0
19,d'aktada,,extend,0
20,d'umal,,god,0
21,d'uoda,,drink,0
22,d'uosta,,run,0
23,eht,,evening,0
24,el'geta,,understand,0
25,eläda,,live,0
26,eččida,,seek,0
27,habu,,needle (of a pine tree),0
28,habuk,,hawk,0
29,hajeta,,scatter (become scattered),0
30,hall,,frost,0
31,hambaz,,tooth,0
32,hapata,,rot,0
33,harag,,magpie,0
34,haud,,pit,0
35,haudoda,,brood,0
36,haug,,pike,0
37,hebo,,horse,0
38,heim,,ribe,0
39,hein,,hay,0
40,helm,,hem,0
41,heng,,soul,0
42,hil',,coal,0
43,hirv,,elk,0
44,hoik,,thin,0
45,hong,,forest pine,0
46,huab,,aspen,0
47,huba,,small,0
48,huomen,,tomorrow,0
49,hura,,left,0
50,hädä,,misfortune,0
51,häin,,he,0
52,händ,,tail,0
53,härg,,bull,0
54,hüppida,,jump,0
55,hüvä,,good,0
56,iga,,age,0
57,igen,,gums,0
58,ikkun,,window,0
59,ilm,,air,0
60,ilo,,joy,0
61,it'keda,,weep,0
62,iškeda,,hit,0
63,ištuda,,sit,0
64,kaheksa,,eight,0
65,kaiv,,well,0
66,kaivada,,dig,0
67,kajag,,seagull,0
68,kaks',,two,0
69,kala,,fish,0
70,kalliž,,"dear, precious",0
71,kalm,,death,0
72,kand,,stump,0
73,kanta,,carry,0
74,karged,,bitter,0
75,kask,,burnt field,0
76,kastada,,moisten,0
77,kattada,,cover,0
78,kazvada,,grow,0
79,kengida,,put on (shoes),0
80,kerata,,gather,0
81,kierta,,turn,0
82,kindaz,,glove,0
83,kirvez,,axe,0
84,kivi,,stone,0
