ID,Form,IPA,Gloss,Language_ID
0,ڎ,/ɻa/,The fifty-second and the last letter of the Malayalam in Arabic script. It represents the Malayalam letter ഴ.,0
1,ڔ,/ɾa/,The 42nd letter of the Malayalam in the Arabic script. It represents the Malayalam letter ര. The Arabic script is rarely used to write Malayalam.,0
2,ڗ,/ɖa/,The 27th letter of the Malayalam Arabic script. It represents the Malayalam letter ഡ.,0
3,ژ,/ɻa/,The 45th letter of the Malayalam Arabic script. It represents the Malayalam letter ഴ. The Arabic script is rarely used to write Malayalam.,0
4,ڹ,/ɳa/,The twenty-ninth letter of the Malayalam in Arabic script. It represents the Malayalam letter ണ.,0
5,ڿ,/ɲa/,The twenty-fourth letter of the Malayalam in Arabic script. It represents the Malayalam letter ഞ.,0
6,ۺ,/ʂa/,The forty-eighth letter of the Malayalam in Arabic script. It represents the Malayalam letter ഷ.,0
7,ۻ,/ɭa/,The forty-sixth letter of the Malayalam in Arabic script. It represents the Malayalam letter ള. The Arabic script is rarely used to write Malayalam.,0
8,ۼ,/ŋa/,The nineteenth letter of the Malayalam in Arabic script. It represents the Malayalam letter ങ.,0
9,ം,/am/,"The combining form of the vowel അം (aṃ), anusvara.",0
10,അ,/ɑ/,The 1st letter of Malayalam alphabet. Transliterated as a.,0
11,അം,/ɐm/,A vowel letter of Malayalam alphabet. Transliterated as aṃ.,0
12,അംഹ്രി,,foot,0
13,അഃ,/ɐh/,A vowel letter for the visarga in the Malayalam abugida. Transliterated as aḥ.,0
14,അകിൽ,,agarwood,0
15,അക്ക,/ɐkːɐ/,(rare) elder sister.,0
16,അക്ഷരം,/ɐkʂɐɾɐm/,letter of the alphabet.,0
17,അഗജം,,bitumen,0
18,അഗിരം,,gold,0
19,അഗ്നി,/ɐɡni/,fire,0
20,അഗ്നി,/ɐɡni/,Hindu god of fire; Agni,0
21,അങ്കക്കളരി,,"The arena where ancient duels of India were fought, including the platform and observation area.",0
22,അച്ചടക്കം,,discipline,0
23,അച്ഛൻ,/ɐtːʃʰɐn/,"father, (church) christian priest, പള്ളീലച്ഛന്‍",0
24,അഞ്ചു,/ɐɲd͡ʒɨ̆/,five (numeral: ൫).,0
25,അടക്ക,,"areca nut, betel nut, derived terms: അടക്കാമരം (aṭakkāmaraṃ)",0
26,അടക്കാമരം,,"areca palm tree, from which areca nut is harvested",0
27,അടയ്ക്കുക,,to close,0
28,അടിക്കുക,,"to beat (literal translation), Synonym: തല്ലുക (talluka),",0
29,അടിച്ചുവാരുക,,"to sweep using broom, sweep up and collect  waste",0
30,അടുത്ത,,"near, close to",0
31,അട്ട,,"leech, കുളയട്ട, പെരുമാളട്ട, നീരട്ട",0
32,അണലി,,"viper, venomous snakes of subfamily Viperinae",0
33,അണ്ഡം,,"ovum, female gamete",0
34,അണ്ണാര,,"pineapple, Synonym: കൈതച്ചക്ക (kaitaccakka)",0
35,അണ്ണാരക്കണ്ണൻ,,"squirrel, a tree rodent
Synonym: അണ്ണാൻ (aṇṇān)",0
36,അണ്ണാൻ,,"squirrel, tree rodent
Synonym: അണ്ണാരക്കണ്ണൻ (aṇṇārakkaṇṇan)",0
37,അണ്ണൻ,,elder brother,0
38,അതിര്,,"border, boundary",0
39,അതിസാരം,,"diarrhea, watery bowel movements
Synonym: വയറിളക്കം (vayaṟiḷakkaṃ)
Coordinate terms: പനി (pani), ഛർദ്ദി (charddi)",0
40,അത്,,"that, Synonym: ആ (ā)",0
41,അധികം,,"degree, amount, വളരെ അധികംvaḷare adhikaṃToo much",0
42,അധിദൂതൻ,,archangel,0
43,അധിവർഷം,,leap year,0
44,അനുജത്തി,,"little sister
Synonym: അനിയത്തി (aniyatti)",0
45,അന്നകോഷ്ഠകം,,cupboard,0
46,അപ്പോൾ,,"then, at that time",0
47,അമ്പരം,,sky,0
48,അമ്പഴം,,"(Indian) common hog plum (Spondias pinnata, syn. S. mangifera[1])",0
49,അമ്പാഴം,,Alternative form of അമ്പഴം (ampaḻaṃ).,0
50,അമ്മ,/ämːɐ/,mother,0
51,അമ്മമ്മ,,grandmother,0
52,അമ്മായി,,aunt,0
53,അമ്മാവൻ,,uncle,0
54,അമ്മിക്കല്ല്,,"metate, grinding stone, rectangular stone used for grinding food ingredients, etc. Used with another stone അമ്മിക്കുട്ടി which is smaller and cylindrical.
Coordinate term: അരകല്ല് (arakallŭ)",0
55,അമ്ലജനകം,,oxygen,0
56,അയുതം,,ten thousand,0
57,അരമന,,castle,0
58,അരി,/ɐɾi/,"uncooked rice, Coordinate term: ചോറ് (cōṟŭ)",0
59,അറ്റം,,end,0
60,അഴിമതി,,"corruption, bribery, seeking bribes or advantages",0
61,അവഗ്രഹം,,"The symbol ഽ used in Malayalam for avagraha., Indicates",0
62,അവധി,,leave (from work),0
63,അവസാനം,/ɐʋɐsäːnɐm/,end,0
64,അവിയൽ,,"A green vegetable curry that mixes vegetables (including, but not limited to drumsticks, elephant yam, carrot, and beans) with coconut, coconut oil, and curry leaves.",0
65,അവ്യയം,,particle (part of speech).,0
66,അവൾ,[ɐʋɐɭ],"she (far), her, Antonym: അവൻ m (avan)",0
67,അർഹത,,"entitled, worthy",0
68,ആ,/ɑː/,The second letter of Malayalam alphabet. Transliterated,0
69,ആ,/ɑː/,"that, Synonym: അത് (atŭ)",0
70,ആ,/ɑː/,"that, Synonym: അത് (atŭ)",0
71,ആകുക,,"be, to become",0
72,ആട്,,goat,0
73,ആത്മാവ്,,soul,0
74,ആന്ധ്രാപ്രദേശ്,,Andhra Pradesh,0
75,ആഫീസ്,,office,0
76,ആമ,,"terrapin, small turtles that live in fresh or brackish water.",0
77,ആയിരം,/äːjiɾɐm/,thousand,0
78,ആരോഗ്യം,,health,0
79,ആറ്,/äːrɨ̆/,six (numeral: ൬).,0
80,ആറ്,/äːrɨ̆/,"a river, Synonyms: പുഴ (puḻa), നദി (nadi)",0
81,ആറ്,/äːrɨ̆/,"a river, Synonyms: പുഴ (puḻa), നദി (nadi)",0
82,ആല്,,banyan tree,0
83,ആല്,,and,0
84,ആള്,[ɐːɭɨ],"person
Synonym: വ്യക്തി (vyakti)",0
85,ആവശ്യം,,need,0
86,ആശരൻ,,demon,0
87,ആർത്തവചക്രം,,menstrual cycle,0
88,ആർത്തവവിരാമം,,menopause,0
89,ആൽമരം,,banyan tree (Ficus benghalensis).,0
90,ഇ,/i/,"The short vowel ""i"", in its independent form.",0
91,ഇംഗാലം,,carbon,0
92,ഇംഗാലാമ്ലം,,(inorganic chemistry) carbon dioxide,0
93,ഇകല്,,war,0
94,ഇക്കിളി,,"tickle, tickling",0
95,ഇക്കിൾ,,"hiccup, Synonyms: എക്കിട്ട (ekkiṭṭa), എക്കിൾ (ekkiḷ)",0
