ID,Form,IPA,Gloss,Language_ID
0,'nane,/nɛːn/,Alternative form of unnane,0
1,A,,"The first letter of the Manx alphabet, written in the Latin script.",0
2,aa-,,"re-, second, ex-, retired",0
3,aa-aase,,to regrow,0
4,aa-aase,,"verbal noun of aa-aase, second growth",0
5,aa-aght,,(law) to reenact,0
6,aa-aghtey,,verbal noun of aa-aght,0
7,aa-arm,,"to rearm, recommission, refit",0
8,aa-armal,,verbal noun of aa-arm,0
9,aa-assphurtaghey,,verbal noun of aa-assphurtee,0
10,aa-assphurtal,,reexport,0
11,aa-assphurtee,,to reexport,0
12,aachaarjaghey,,verbal noun of aachaarjee,0
13,aachaarjee,,to reconcile,0
14,aachaarjeyder,,conciliator,0
15,aachaarjys,,"conciliation, reconciliation",0
16,aachaggey,,re-encounter,0
17,aachaignagh,,ruminant,0
18,aachaignagh,,ruminant,0
19,aachappeeys,,recapture,0
20,aachaptan,,(military) lieutenant,0
21,aachaptanys,,(military) lieutenancy,0
22,aachass,,"to inflect, to screw back",0
23,aachassey,,verbal noun of aachass,0
24,aachasseydagh,,(mathematics) inflexional,0
25,aachassid,,recrimination,0
26,aacheau,,(of firearm) to repeat,0
27,aacheau,,(of firearm) repeating,0
28,aacheimnaghey,,verbal noun of aacheimnee,0
29,aacheimnee,,to recapitulate,0
30,aaçhent,,to flash back,0
31,aaçhentyn,,verbal noun of aaçhent,0
32,aacheoid,,(pathology) rheumatism,0
33,aacheoidagh,,"rheumatic, rheumatoid",0
34,aacheoidaghey,,making rheumatic,0
35,aachernyl,,(military) lieutenant colonel,0
36,aacheyllaghey,,reforestation,0
37,aachiadd,,to renew,0
38,aachiaddey,,verbal noun of aachiadd,0
39,aachiangley,,verbal noun of aachiangle,0
40,aachiartaghey,,verbal noun of aachiartee,0
41,aachione,,(grammar) complement,0
42,aachlannaghey,,verbal noun of aachlann,0
43,aachliaght,,"to reaccustom, (with rish) to recondition",0
44,aachluinn,,to rehear,0
45,aachoard,,"to reconcile, reunite",0
46,aachoardail,,verbal noun of aachoard,0
47,aachouyral,,verbal noun of aachouyr,0
48,aachouyreyder,,restorer,0
49,aachrackan,,veneer,0
50,aachreck,,to resell,0
51,aachreck,,"verbal noun of aachreck, resale",0
52,aachreeley,,"repeat, retransmission",0
53,aachroo,,"to retrace (history, etc.), recreate, to reform",0
54,aachroo,,"verbal noun of aachroo, restoration",0
55,aachrooagh,,"restorative, Synonyms: aalaanee, aahroggalagh, avioghee,",0
56,aachrootagh,,reformer,0
57,aachruinnaghey,,verbal noun of aachruinnee,0
58,aachruinnee,,reassemble (as people),0
59,aachuirrey,,verbal noun of aachuirr,0
60,aachuirrit,,past participle of aachuirr,0
61,aachuirrit,,reinvited,0
62,aachum,,"to renew, to remodel, renovate, to reconstitute, to",0
63,aachummey,,verbal noun of aachum,0
64,aachummeyder,,"adapter (person), reformer",0
65,aachur,,(law) to remand,0
66,aachur,,"verbal noun of aachur, (law) remand",0
67,aadjin,,gorse,0
68,aa-eaisht,,(with rish) to rehear,0
69,aa-eaishtagh,,verbal noun of aa-eaisht,0
70,aa-eaysley,,(religion) redemption,0
71,aa-eeck,,to reimburse,0
72,aa-eeck,,"verbal noun of aa-eeck, reimbursement, indemnity",0
73,aa-eeckit,,past participle of aa-eeck,0
74,aa-eeckit,,repaid,0
75,aa-enmys,,to redirect,0
76,aa-enmys,,verbal noun of aa-enmys,0
77,aa-enmyssey,,verbal noun of aa-enmys,0
78,aa-eyshtey,,verbal noun of aa-eysht,0
79,aafaillaghey,,verbal noun of aafaillee,0
80,aafeyshtey,,verbal noun of aafeysht,0
81,aafill,,"(intransitive) to evolve, Synonym: tar gy-kione",0
82,aafilley,,"verbal noun of aafill (“evolve”), evolution",0
83,aafilltagh,,recurring,0
84,aafoad,,"to rekindle, relight (of fire)",0
85,aafoaddey,,verbal noun of aafoad,0
86,aaghaah,,redye,0
87,aaghaal,,(mining) afterdamp,0
