ID,Form,IPA,Gloss,Language_ID
0,ad,,story,0
1,apu,,mother or paternal aunt,0
2,arer,,great-great-grandparents,0
3,ata,,grandparent,0
4,awkey,,thumb,0
5,bab,,father or paternal uncle,0
6,bag,,cheek,0
7,bawr,,spear,0
8,bub,,chest,0
9,derged,,fat,0
10,ebur,,bird,0
11,erkep,,sight,0
12,gebarobi,,Papua New Guinean,0
13,gegur,,skin,0
14,gem,,body,0
15,gilid,,shoulder,0
16,ib,,jaw,0
17,idoni,,brain,0
18,imus,,beard,0
19,iraw,,eyebrow,0
20,kem,,stomach,0
21,kenani,,armpit,0
22,kokwam,,hibiscus,0
23,komus,,pubic hair,0
24,kopor,,navel,0
25,kub,,a type of tree,0
26,le,,person,0
27,makrem,,an unmarried man,0
28,merod,,the calf of the leg,0
29,mir,,word,0
30,morop,,forehead,0
31,motop,,buttocks,0
32,nano,,breast,0
33,seprumrum,,green-winged pigeon,0
34,tabo,,neck,0
35,tag,,"arm, hand",0
36,takok,,elbow,0
37,tapot,,"nail (fingernail, toenail)",0
38,te,,mouth,0
39,teter,,"leg, foot",0
40,tirig,,tooth,0
41,ut,,sleep,0
42,wakey,,thigh,0
43,wanta,,penis,0
44,wasnar,,canoe,0
45,wer,,egg,0
