ID,Form,IPA,Gloss,Language_ID
0,a,,"(rare) river, stream, water",0
1,acht,/axt/,Alternative form of achte,0
2,achte,,eight,0
3,achte,,Alternative form of achtende,0
4,achte,," vigilance, state (of being)",0
5,achte,,prosecution,0
6,achte,,Alternative form of achtende,0
7,achte,," vigilance, state (of being)",0
8,achte,,prosecution,0
9,achte,," vigilance, state (of being)",0
10,achte,,prosecution,0
11,achte,,prosecution,0
12,achten,,"to consider, to think, to pay attention to, to expect,",0
13,achtende,,eighth,0
14,achter,,"behind, through, past, after (in time, order)",0
15,achter,,"behind, at the back, backwards, after (in time)",0
16,achternoene,,"(Flemish, rare) afternoon",0
17,acker,,"field (for agriculture), acre",0
18,adem,,breath,0
19,ademen,,to breathe,0
20,adere,,"blood vein, vein of other kinds, e.g., groundwater,",0
21,ael,,eel,0
22,aelst,,Aalst (a city in modern Belgium),0
23,aemstelredam,,Amsterdam (a city in the modern Netherlands),0
24,aen,/aːn/,Alternative form of āne (“on”),0
25,aer,,"ear (of corn, grain etc.)",0
26,aer,,eagle,0
27,aer,,eagle,0
28,aerde,,Alternative form of erde,0
29,aes,,"carrion, bait",0
30,af,,"off, out, away, of, about",0
31,after,,(Holland) Alternative form of achter,0
32,after,,(Holland) Alternative form of achter,0
33,aken,,Aachen (a city in modern Germany),0
34,al,/al/,"all, all of",0
35,al,/al/,completely,0
36,al,/al/,"even though, no matter whether",0
37,albrecht,,"A male given name, Albertus Magnus",0
38,alcmaer,,Alkmaar (a city in the modern Netherlands),0
39,aldus,,"so, to that degree, so, in this/that way",0
40,ale,,ale,0
41,alf,,"elf, evil spirit",0
42,alijc,,"whole, complete",0
43,allame,,"tool, Van waghenen, van ploeghen ende van anders antlamen",0
44,allene,,"only, just",0
45,alse,/ˈalzə/,"if, in the case that, when, whenever",0
46,alse,/ˈalzə/,"as, (just) like, as if",0
47,also,/ˌalˈzoː/,"so, thus, also, to the same degree",0
48,ambrosius,,Aurelius Ambrosius,0
49,amen,,"amen, so be it",0
50,an,/an/,Alternative form of āne,0
51,ander,,"second, other, (substantivised) another, someone else,",0
52,andersins,,"differently, in another way/manner, on the other hand,",0
53,ane,/ˈaːnə/,"on, on top of, on, on the side of, beside, alongside,",0
54,ane,/ˈaːnə/,"towards, closer",0
55,ane,/ˈaːnə/,"without, against, without regard for",0
56,ane,/ˈaːnə/,"without, against, without regard for",0
57,antwerpen,,Antwerp (a city in modern Belgium),0
58,antworde,,"answer, affirmation, accountability (in the sense of",0
59,antworden,,"to answer, to answer to, to agree with",0
60,appel,,apple,0
61,arch,,"bad, depraved, wrong, evil, shameful, bad, worthless,",0
62,arch,,"evil, disaster, misfortune",0
63,arch,,"evil, disaster, misfortune",0
64,arde,,(Flemish) Alternative form of harde,0
65,arem,,Alternative form of arm,0
66,argeren,,"to make/become worse, to break, to damage, to ruin,",0
67,aristotiles,,Aristotle,0
