ID,Form,IPA,Gloss,Language_ID
0,ა,,"The first letter of the Mingrelian alphabet, written in the Georgian script.",0
1,ა,,"Used to draw attention to, or to point out, an object or event.
ა ჸვალიa ʾvalihere's cheese",0
2,აბანი,,place,0
3,აბუნტება,/abuntʼɛba/,"uprising, revolt, rebellion, დუნგანეფიშ აბუნტებაdunganepiš",0
4,აბუნტება,/abuntʼɛba/,"to revolt, to rebel, to rise, 1857 წანას კავკასიურ",0
5,აგვარა,/aɡvara/,"animal farm, cowshed, cowhouse, მიდიონი ჩხოუ აგვარაშა!midioni",0
6,ავაზაკი,,"robber, brigand",0
7,აკა,,"one, only",0
8,აკაწუნს,,"in a minute, in a second",0
9,ამშვი,,six,0
10,ანგურა,,big brick used for baking bread,0
11,ართი,,"same, similar, ართ დღას ვორეთ არძაart dɣas voret arʒawe",0
12,ართი,,"approximately, ართ ჟირი საჯენი ქიჸუაფუდუ ზღვაპის ძვალიart",0
13,ართი,,"Expression of amusement; also used while requesting,",0
14,ართი,,"one, ართი ჯიმა დო სუმი დაarti ǯima do sumi daone brother",0
15,ართი,,"someone, somebody, something, some",0
16,არიკი,,tale,0
17,არფა,,"sail, Synonyms: არქანი (arkani), ერქემი (erkemi)",0
18,არქანი,,"sail, Synonyms: არფა (arpa), ერქემი (erkemi)",0
19,აფრა,,Alternative form of არფა (arpa),0
20,აფუნი,,"spring, Synonym: გაზარხული (gazarxuli)",0
21,აფხანაკი,,"comrade, fellow, mate",0
22,ბაბა,/bɑbɑ/,father,0
23,ბარდი,,"undergrowth, brush, bushes",0
24,ბაძაძი,,"pretence, pretext, reason, why",0
25,ბორბოლია,,spider (arthropod),0
26,ბორია,,"wind, Synonym: ქარი (kari)",0
27,ბორო,,"idiot, brainless, dim-witted",0
28,ბჟა,,"Sun, Synonym: ჩხანა (čxana)",0
29,ბჟა,,milk,0
30,ბჟა,,milk,0
31,ბჟაკე,,"(dialectal, Zugdidi-Samurzakano) beard, Synonym: ფრიმული",0
32,ბჟაშხა,,Alternative form of ჟაშხა (žašxa),0
33,ბრინჯი,,"rice, Synonym: ორზა (orza)",0
34,ბრუო,,Alternative form of რუო (ruo),0
35,ბსქა,,Alternative form of სკა (sḳa),0
36,ბუეკი,,Alternative form of ბულეკი (buleḳi),0
37,ბუზინი,,fart,0
38,ბულეკი,,"radish, Synonym: რედისკა (redisḳa)",0
39,ბურდი,,"unfit, inefficient, good-for-nothing, useless",0
40,ბურდი,,"undergrowth, bushes, silk thread",0
41,ბუჲეკი,,Alternative form of ბულეკი (buleḳi),0
42,განძი,,treasure,0
43,გემი,,"ship, Synonym: ჭკუჯი (č̣ḳuǯi)",0
44,გერი,,wolf,0
45,გვერი,,snake,0
46,გვიმორა,,"fern, Synonyms: გვიმარა (gvimara), გუიმარა (guimara),",0
47,გორდი,,frog,0
48,გუერი,,Alternative form of გვერი (gveri),0
49,გუთანი,,plough,0
50,გური,/ɡuri/,"heart, middle, core part of something (such as fruit),",0
51,და,,"sister, Antonym: ჯიმა (ǯima)",0
52,დანია,,Denmark,0
53,დიდა,,mother,0
54,დიდი,/didi/,"big, large",0
55,დოჸია,,hen under two-five months,0
56,დუდკოჩი,,"leader, head, commander",0
57,დღა,/dɣɑ/,"day, Synonyms: დღაბი (dɣabi), დღაბე (dɣabe)",0
58,ერთობა,,unity,0
59,ერქემი,,"sail, Synonyms: არქანი (arkani), არფა (arpa)",0
60,ერჯი,,"a two-year-old male sheep, ram",0
61,ვანჭარი,,"merchant, tradesman",0
62,ვარი,/vari/,"or
ვარი მუ ქიმინასჷ?vari mu kiminasə?Or what should he do?",0
63,ვაჭარი,,Alternative form of ვანჭარი (vanč̣ari),0
64,ვითი,,ten,0
65,ვიკიპედია,/vikʼipʼɛdia/,Wikipedia,0
66,ზა,,road,0
