ID,Form,IPA,Gloss,Language_ID
0,cewcew'in'es,,Alternative form of cewcewín̓es,0
1,cewcewí,,to whisper,0
2,cewcewín̓es,,telephone,0
3,cex,,ha; the sound of laughter,0
4,hecu,,wood,0
5,hí·ciskeˀs,,water for washing ashes off of heated rocks,0
6,kú·c,,Alternative form of kú·s,0
7,kú·s,,water,0
8,pínc,,beans,0
9,qém̓es,,camas,0
10,témecu,,log for burning on a fire pit that camas-cakes are,0
11,ˀip-,,Alternative form of ˀipé·-,0
12,ˀipé·-,,"forms words relating to fists, such as breaking with fists, or knocking down with fists",0
13,ˀiyeléhtse,,I am moving out of the water,0
14,ˀiyé·-,,"forms words relating to water, such as breaking, weakening or softening with water (e.g. beans or a dam); rinsing with water, washing in water; going into or out of water; or floating on water
by extension, to float (e.g. in the air)",0
15,ˀá·yat,,woman,0
16,beans,,,1
