ID,Form,IPA,Gloss,Language_ID
0,anak,,"child (a female or male child, a daughter or son)",0
1,apuy,,non-standard spelling of apui (“fire”),0
2,asep,,smoke (visible particles and vapour given off by burning,0
3,barirang,,sulfur (element),0
4,basar,,"big (of a great size), big (adult)",0
5,behas,,rice ((raw) seeds used as food),0
6,bulan,,"moon (largest natural satellite of planet Earth), moon",0
7,danum,,water,0
8,padang,,a large treeless plain overgrown with sword grass (Imperata,0
9,panggang,,anything roasted on a gridiron,0
10,panggang,,to roast on a gridiron,0
11,ukur,,to measure (ascertain the quantity of a unit),0
12,undang,,"shrimp (decapod crustacean), lobster",0
13,walas,,-teen (to form numbers 11 - 19),0
14,wasi,,"(physics, chemistry, metallurgy) iron (element)",0
15,yakuʔ,,"I (personal pronoun), me (direct object of a verb),",0
