ID,Form,IPA,Gloss,Language_ID
0,กวน,/kuan/,child (descendant).,0
1,กะชอʔ,/ka.cʰɔːʔ/,to tell.,0
2,กะเตาแด็ร,/ka.taw.dær/,very hot.,0
3,กะเทอะ่,/ka.tʰɤ̤ʔ/,very thick; very condensed.,0
4,กะมุร,/ka.mur/,roof.,0
5,กาʔ,/kaːʔ/,fish.,0
6,กาว,/kaːw/,flower.,0
7,กุร,/kur/,mountain; hill.,0
8,เกียน,/kian/,cart.,0
9,ครัว,/kʰrua/,"family., household.",0
10,คลีจ,/kʰliːc/,pig.,0
11,ควจ,/kʰuac/,to whistle.,0
12,ควะ่,/kʰwa̤ʔ/,to be shy.,0
13,คะนม,/kʰa.nom/,dessert; snack.,0
14,คะมะ่,/kʰa.ma̤ʔ/,cropfield.,0
15,คะโมย,/kʰa.moːj/,thief.,0
16,คะโมย,/kʰa.moːj/,to steal; to rob.,0
17,คะยาม่,/kʰa.ja̤ːm/,cricket.,0
18,คือ,/kʰɯː/,to be.,0
19,คุย่,/kʰṳj/,shrimp; prawn; crayfish.,0
20,เคล็อฺง่,/kʰlʌ̤ŋ/,many; much.,0
21,เคล็อฺง่,/kʰlʌ̤ŋ/,much.,0
22,เคิง,/kʰɤːŋ/,creel.,0
23,แคละ,/kʰlæʔ/,mushy; slushy; squashy.,0
24,เงียก่,/ŋi̤a̤k/,tooth.,0
25,จล็อฮ,/clɔh/,to open waterway.,0
26,จ็อม,/cɔm/,to sink.,0
27,จัซ,/caç/,ten.,0
28,จาʔ,,to eat.,0
29,จีญ,/ciːɲ/,elephant.,0
30,ชแร,/cʰræː/,paddy field.,0
31,ชวง,/cʰuaŋ/,axe.,0
32,ชะครุง่,/cʰa.kʰrṳŋ/,to laugh.,0
33,ชาง,/cʰaːŋ/,chicken; fowl.,0
34,ชาย,/cʰaːj/,bee.,0
35,ชาย่,/cʰa̤ːj/,butterfly lizard.,0
36,ชิม,/cʰim/,blood.,0
37,ชุร,/cʰur/,dog.,0
38,ชุร่,/cʰṳr/,insect.,0
39,ชุร่พืน่,/cʰṳr.pʰɯ̤ːn/,scorpion (the Heterometrus genus).,0
40,ชูน,/cʰuːn/,five.,0
41,เชา,/cʰaw/,red ant.,0
42,แช็ฮ,/cʰæh/,horse.,0
43,โชรม่,/cʰro̤ːm/,snake.,0
44,ซม,/som/,orange (fruit).,0
45,ญัฮ,/ɲah/,"person., community.",0
46,แญ็น,/ɲæn/,near.,0
47,ดาก,/daːk/,water.,0
48,ดากชาย,/daːk.cʰaːj/,honey.,0
49,ดิญ,/diɲ/,bamboo tube.,0
50,โดง,/doːŋ/,house.,0
51,ตวล,/tual/,cotton.,0
52,ตะดาจ,/ta.daːc/,sweet.,0
53,ตะบัล,/ta.bal/,cheek (on face).,0
54,ตะมีʔ,/ta.miːʔ/,new.,0
55,เต็อฺง,/tʌŋ/,to hold; to carry.,0
56,เตะ,/teʔ/,that.,0
57,ทะโมะ่,/tʰa.mo̤ʔ/,to listen.,0
58,ทาด,/tʰaːt/,tray.,0
59,ทีʔ,/tʰiːʔ/,turtle.,0
60,ทึบ่,/tʰɯ̤p/,stupid; dull.,0
61,นะ,/naʔ/,will; would.,0
62,นับทือ,/nap.tʰɯː/,to respect; to worship.,0
63,นัว,/nua/,thick; rich; strong (of food).,0
64,เนจ,/neːc/,small.,0
65,เนจ่,/ne̤ːc/,cloth; fabric.,0
66,เนอ,/nɤː/,in.,0
67,บลึก,/blɯk/,watermelon.,0
68,บาร,/baːr/,two.,0
69,บูน,/buːn/,knife.,0
70,ปะแกว,/pa.kæːw/,chilli; pepper.,0
71,ปะโตกปะตุล,/pa.toːk.pa.tul/,to tumble upside down.,0
72,ปัซ,/paç/,barking deer.,0
73,ปัน,/pan/,four.,0
74,ปาʔ,/paːʔ/,to do.,0
75,ปาʔนาน,/paːʔ.naːn/,why.,0
76,ปีʔ,/piːʔ/,three.,0
77,ปูญ,/puːɲ/,to lie down; to sleep.,0
78,เปญ,/peːɲ/,grandfather.,0
79,เปรียง,/priaŋ/,water buffalo.,0
80,แป็ย,/pæj/,we,0
81,โปง,/poːŋ/,cooked rice.,0
82,โปรก,/proːk/,squirrel.,0
83,พราด่,/pʰra̤ːt/,banana; Musa spp.,0
84,พรุจ่,/pʰrṳc/,"a kind of tree, Melientha suavis, which its budling and immature flower are edible.",0
85,พอง่,/pʰɔ̤ːŋ/,egg.,0
86,พอซอ,/pʰɔː.sɔː/,"BE, Buddhist Era.",0
87,พะ่,/pʰa̤ʔ/,father.,0
88,พะนิฮ่,/pʰa.ni̤h/,person; human.,0
89,พาซา,/pʰaː.saː/,language.,0
90,เพ็ฮ่,/pʰe̤h/,you.,0
91,แพะ,/pʰæʔ/,goat.,0
92,โพ็ว,/pʰow/,to bark.,0
93,ฟัยฟาʔ,/faj.faːʔ/,"electricity., flashlight.",0
94,มวย่,/mṳa̤j/,one.,0
95,มัด่,/ma̤t/,eye.,0
96,เมาะ,/mɔʔ/,beautiful; pretty.,0
97,เมียว่,/mi̤a̤w/,cat.,0
98,แมะ่,/mæ̤ʔ/,mother.,0
99,ยอง,/jɔːŋ/,grandmother.,0
100,ยุลยุล,/jul.jul/,gibbon.,0
101,ระวัง,/ra.waŋ/,to beware.,0
102,ริฮ่,/ri̤h/,root (of a tree).,0
103,รูย่,/rṳːj/,fly (insect).,0
104,ลอ,/lɔː/,wheel.,0
105,ลอย,/lɔːj/,to float (on the water).,0
106,ลัซ่,/la̤ç/,to leaf.,0
107,ลุล่,/lṳl/,gourd.,0
108,ลูง่,/lṳːŋ/,Buddhist monk.,0
109,เลือย่,/lɯ̤a̤j/,saw (tool).,0
110,วัก่,/wa̤k/,to hang.,0
111,วีร,/wiːr/,winnowing basket.,0
112,อายุ,/ʔaː.juʔ/,age (years old).,0
113,อาร,/ʔaːr/,"to go., to walk.",0
114,อีญ,/ʔiːɲ/,banded bullfrog.,0
115,ฮงุร,/ŋ̊ur/,fire tray.,0
116,ฮนับ,/n̥ap/,good.,0
117,ฮนาʔ,/n̥aːʔ/,tree shrew.,0
118,ฮนีʔ,/n̥iːʔ/,mouse; rat.,0
119,ฮนีด,/n̥iːt/,comb (for grooming the hair).,0
120,ฮนูย,/n̥uːj/,monkey.,0
121,ฮมอง,/m̥ɔːŋ/,stone.,0
122,ฮมุม,/m̥um/,bear (mammal).,0
123,ฮลาʔ,/l̥aːʔ/,leaf.,0
124,ฮลี,/l̥iː/,corn; maize.,0
125,ฮวาʔ,/ʍaːʔ/,a piece of meat.,0
126,ฮวาซ่,/ʍa̤ːç/,step.,0
127,ฮวาซ่,/ʍa̤ːç/,to step.,0
128,ฮีʔ,/hiːʔ/,house.,0
129,ฮึกาซ,/ŋ̍kaːç/,sky.,0
130,ฮึเจียม,/ɲ̍ciam/,bird.,0
131,ฮึตาก,/n̩taːk/,tongue.,0
132,ฮึตากชุร,/n̩taːk.cʰur/,a kind of traditional snack.,0
133,ฮึตาม,/n̩taːm/,crab.,0
134,ฮึเปญ,/m̩peːɲ/,tiger.,0
135,ฮึโลʔ,/n̩loːʔ/,clam.,0
136,ฮุง,/huŋ/,wasp.,0
137,แฮร็จ่,/r̥æ̤c/,to reap; to harvest (rice).,0
