ID,Form,IPA,Gloss,Language_ID
0,1r,,Abbreviation of primièr (“first”).,0
1,A,,"The first letter of the Occitan alphabet, written in the Latin script.",0
2,ab,,(Guardiol) with,0
3,abadalhar,,to open,0
4,abadiá,[aβaˈðjɔ],abbey,0
5,abaishar,,"to lower, (figuratively) to humiliate, Synonym: umiliar",0
6,abaissar,,"to lower, (figuratively) to humiliate, Synonym: umiliar",0
7,abajanir,,"(transitive) to weaken, (reflexive, s'abajanir) to",0
8,abajon,/aβaˈd͡ʒu/,"(Languedoc) blueberry, fruit of the plant Vaccinium myrtillus",0
9,abalausir,,to dazzle (with light),0
10,abalir,,"to raise (children), to keep; to tend to (animals or",0
11,abandonament,,"abandonment, Synonym: abandon",0
12,abandonar,,to abandon,0
13,abandounar,,(Mistralian) to abandon; to leave,0
14,abans,,before (earlier than in time),0
15,abarbar,,to take root; to enroot,0
16,abarbassir,,"(reflexive, s'abarbassir) to grow a beard; to become",0
17,abarrejar,,to mix (mix together),0
18,abasar,,to demolish,0
19,abastardir,,to spoil; to worsen; to degrade,0
20,abat,[aˈβat],abbot,0
21,abatalhar,,to attack; to assail,0
22,abàter,,to knock down; to push down,0
23,abatre,,to knock down; to push down,0
24,abaucar,,"(transitive) to calm down; to appease, (reflexive,",0
25,abauquir,[aβawˈki],"(reflexive) to become grassy, (reflexive) to cover",0
26,abausir,,"to abound, be plentiful, to brag, exaggerate",0
27,abautir,,"to falter; to stumble (figuratively), to lose consciousness",0
28,abdicacion,,abdication,0
29,abdicar,,to abdicate,0
30,abdomèn,,(anatomy) abdomen,0
31,abecar,,(of a bird) to feed its young,0
32,abelar,,to embellish (make more attractive),0
33,abelha,,bee (insect),0
34,abelhana,,(Melissa officinalis L.)[1],0
35,abelhièr,,beehive,0
36,abeliana,,(Melissa officinalis L.)[1],0
37,abelir,,to embellish (make more attractive),0
38,abenar,,"to use up; to wear out, to consume; to use",0
39,abeurar,,to give water (chiefly to an animal),0
40,abilhament,,"clothes, habiliments",0
41,abitar,,to inhabit,0
42,ablanquir,,"to whiten, bleach, to whitewash, daub, smear with plaster",0
43,ablucion,,ablution,0
44,abocar,,to pour (a liquid),0
45,abolicion,,abolition,0
46,abonaçar,,(of the weather) to calm; to become fairer,0
47,abonir,,to improve,0
48,aborrir,,to despise; to detest,0
49,abraçar,,to embrace; to hug,0
50,abrandar,,to set alight; to set fire to,0
51,abrascar,,"to break, branches, (of branches) to break under the",0
52,abrasiu,,abrasive,0
53,abrasiu,,abrasive,0
54,abrelle,,(botany) horsetail (plant),0
55,abreujar,,to shorten (make shorter),0
56,abril,,April (month),0
57,abriu,,(Gascony) April (month),0
58,abséncia,,absence,0
59,absoludament,,absolutely,0
60,absolut,,absolute,0
61,abstrait,,abstract,0
62,absurdament,,absurdly,0
63,absurde,,absurd,0
64,absurditat,,absurdity,0
65,acabada,,"achievement, completion",0
66,acabament,,completion,0
67,acabar,,to finish; to complete,0
68,acadèmia,[akaˈdɛmjo],academy,0
69,acalhaudar,,to stone,0
70,acaminar,,to transport; send (off),0
71,acampada,,"pursuit, chase, hunt",0
72,acampar,,"to gather; to collect, to lead a herd to pasture, to",0
73,acarral,,opening in a hedge to allow the passage of carts,0
74,acasar,,"(Languedoc) to provide with a fief, (Gascony) to marry",0
75,acavalar,,to mount a horse,0
76,accentuar,,to accentuate,0
77,acceptar,,to accept,0
78,accès,,access,0
79,accion,,"action, This term needs a translation to English. Please",0
80,acèr,,(Gascony) Alternative form of acièr (“steel”),0
81,acha,,"aitch (the letter h, H)",0
82,acièr,[aˈsjɛ],steel (metal alloy),0
83,-acion,,-ation (suffix used to form nouns),0
84,acip,,"strike, hit, crash, bump, collision",0
85,aclap,,pile of stones,0
86,aclapar,,to inter; to bury (literally cover in stones),0
87,acocolar,,to squat (bend down; crouch),0
88,acoijar,,"(intransitive, ergative) to give birth (de to), to go into labour
Synonyms: ajaire, jasilhar",0
89,acompanhar,,to accompany,0
90,acostumar,/a.kus.tyˈma/,"to accustom, habituate",0
91,acrin,,"crest, summit",0
92,actitud,,attitude,0
93,actiu,,active,0
94,activar,,to activate,0
95,activista,,activist,0
96,activitat,,activity,0
97,actor,,An actor.,0
98,actual,,current,0
99,actualament,,currently,0
100,actualizar,,"to update, Synonym: metre a jorn",0
101,actuau,,(Gascony) Alternative form of actual,0
102,acuèlh,,"reception, hospitality, acceptance",0
