ID,Form,IPA,Gloss,Language_ID
0,a-,,"indicating movement towards something, (by extension)",0
1,aage,,"age, circa 1170,  Chrétien de Troyes,  Érec et Énide:Onques",0
2,Aalis,,A female given name,0
3,aanchrer,,to anchor,0
4,aatie,,Alternative form of ahatine,0
5,ab,,(10th century) with,0
6,abaesse,,Alternative form of abeesse,0
7,abaie,,abbey,0
8,abaïe,,Alternative form of abaie,0
9,abaier,,(of a dog) to bark,0
10,abaissier,,"(reflexive, s'abaissier) to prostrate oneself",0
11,abandoner,,to abandon,0
12,abandun,,"abandonment, mes puis se mist en abandun, de mort e",0
13,abateure,,slaughter (act of mass killing),0
14,abatre,,"to knock over; to knock down, to destroy; to slaughter,",0
15,abaubir,,to surprise; to shock,0
16,abaudir,,"Alternative form of embaudir, 1860, H. T. Riley, editor,",0
17,abaudissement,,"emboldenment; encouragement, 1351,  Second Statute",0
18,abaudissementz,,nominative singular of abaudissement,0
19,abaudissemenz,,Alternative form of abaudissementz,0
20,abbet,,abbot,0
21,abé,,abbot,0
22,abeance,,desire; want,0
23,abeant,,desirous; covetous,0
24,abeant,,present participle of abeer,0
25,abeer,,to desire; to want; to covet,0
26,abeesse,,abbess,0
27,abeiance,,(Anglo-Norman) Alternative form of abeance,0
28,abeïe,,"Alternative form of abaie
circa 1110,,  Benedeit,  Le Voyage de saint Brandan:Le leu u il aler deient:Abeïe bele e boneThe place to which they must gohas a fine, beautiful abbey
12th or 13th Century,  author unknown,  Du Segretain Moine:Quant li moigne de l'abeïe,orent chanté et dit complie,El dortor s'alerent couchier.When the monks of the abbey,Had sung and said their prayers,They went to sleep in theirs chambers.",0
29,abel,,white poplar; Populus alba,0
30,abelir,,"to please; to be pleasing (to), to embellish (make",0
31,abestos,,asbestos (substance),0
32,Abevile,/abəˈvilə/,"Abbeville (a city in France)
12th or 13th century,  author unknown,  Le Bouchier D'Abevile:A Abevile ot un bouchier,Que si voison orent molt chier.In Abbeville there was a butcher,Held in high esteem by his neighbors.",0
33,abile,,Alternative form of able,0
34,abisme,,Hell,0
35,abit,,item of clothing,0
36,-able,,"worthy of, deserving of, ‎honorer (“to honor”) + ‎-able",0
37,able,/ˈablə/,able; capable,0
38,aboivrer,,"to drink copiously
circa 1170,  Chrétien de Troyes,  Érec et Énide:Et lor cuers dedanz an aboivrentTheir hearts drunk it all up",0
39,abondance,,abundance (plentiful amount),0
40,abonder,,to abound (be plentiful),0
41,abreger,,Alternative form of abregier,0
42,abregier,/abrəˈdʒjeːr/,"(transitive) To shorten; to make shorter, To abridge;",0
43,abri,,"shelter (physical protection from harm, harsh conditions,",0
44,abrier,,"to shelter, (reflexive, s'abrier) to take shelter;",0
45,abriger,,"Alternative form of abreger
1922,  Rober de Gretham,  Étude sur Le miroir; ou Les évangiles des domnées de Robert de Gretham, suivie d'extraits inédits‎[1], OL 12268630W, page 108:Dame, ne vus esmerveilliez / Que les lesçuns ai abrigez(please add an English translation of this quote)",0
46,abscondre,/apsˈkundrə/,to hide; to dissimulate.,0
47,absolutiun,,(Christianity) absolution,0
48,abstenir,,to abstain from; to not participate in,0
49,abstinence,,abstinence (act or practice of abstaining),0
50,abstinent,,abstinent,0
51,abus,,"excess, abuse",0
52,abusion,,abuse,0
53,acater,/akaˈteːr/,(Old Northern French) Alternative form of acheter,0
54,accepter,,to accept,0
55,accide,,indolence; laziness; accidie,0
56,accident,,accident (chance occurrence),0
57,acciun,,Alternative form of aucion,0
58,accreistre,,Alternative form of acroistre,0
59,accroupir,,"to discredit, to dishonour, to ruin",0
60,accusour,,accuser (one who accuses),0
