ID,Form,IPA,Gloss,Language_ID
0,ah,/ɐː/,The name of the Latin-script letter A.,0
1,ah,/ɐː/,"shark mullet (Rhinomugil nasutus), at a growth stage",0
2,ah,/ɐː/,"however, and, then, I sukuhl, ah e doadoahk., I went",0
3,ah,/ɐː/,"his, her, hers, its, third person singular possessive",0
4,ah,/ɐː/,"Oh!; commonly used as an expression of approval., Ah,",0
5,ah,/ɐː/,"shark mullet (Rhinomugil nasutus), at a growth stage",0
6,ah,/ɐː/,"however, and, then, I sukuhl, ah e doadoahk., I went",0
7,ah,/ɐː/,"his, her, hers, its, third person singular possessive",0
8,ah,/ɐː/,"Oh!; commonly used as an expression of approval., Ah,",0
9,ah,/ɐː/,"however, and, then, I sukuhl, ah e doadoahk., I went",0
10,ah,/ɐː/,"his, her, hers, its, third person singular possessive",0
11,ah,/ɐː/,"Oh!; commonly used as an expression of approval., Ah,",0
12,ah,/ɐː/,"his, her, hers, its, third person singular possessive",0
13,ah,/ɐː/,"Oh!; commonly used as an expression of approval., Ah,",0
14,ah,/ɐː/,"Oh!; commonly used as an expression of approval., Ah,",0
15,ahi,/ɐːi/,"fire, Miehr ahi.There's already a fire.",0
16,ahi,/ɐːi/,"my, mine, first person singular possessive pronoun",0
17,ahi,/ɐːi/,"my, mine, first person singular possessive pronoun",0
18,ahia,/ɐːjijɐ/,"rainbow
Ma ke idih ahia, sendin pehmwen pahn kensda.
If you point at a rainbow, your finger will ulcerate.",0
19,ahl,,"road, path",0
20,ahrkohl,,"(chemical) alcohol, Ma ke doadoahngki ahrkohl ah kaidehn",0
21,ahu,/ɐːu/,mouth,0
22,ai,/ɐi/,no way!,0
23,aiau,/ɐjijɐwu/,the banyan tree (Ficus prolixa) and (Ficus virens),0
24,aida,/ɐjitɐ/,"short-tempered, easily angered, hotheaded",0
25,aikiu,/ɐjikiw/,"ration, dole, distribution, supply, Aikiuen mwenge",0
26,aikiu,/ɐjikiw/,"(intransitive) to ration, to dole out, to distribute,",0
27,aikiuih,/ɐjikijuwiː/,"(transitive) to ration something, to distribute something,",0
28,aiko,/ɐjiko/,a banana cultivar,0
29,ain,/ɐjin/,"flatiron, clothes iron",0
30,ain,/ɐjin/,(intransitive) (neutral) to iron,0
31,ain,/ɐjin/,"handcuffs, shackles, irons, Polis kin doadoahngki ain.,",0
32,ain,/ɐjin/,"handcuffs, shackles, irons, Polis kin doadoahngki ain.,",0
33,aine,,"(transitive) to iron, E aine likou., She ironed the",0
34,ainepene,,"(transitive) to handcuff, to shackle, Pilismeno ainepene",0
35,ainih,/ɐjiniː/,"(transitive) to iron, E ainih ah likou., He ironed",0
36,ainkot,/ɐjinko ̻t/,"a strand of hair or fibers, like sennit or cloth",0
37,ainoko,/ɐjinoko/,"half-caste, crossbreed, especially someone of Japanese",0
38,ainpene,,"(intransitive) to be handcuffed, Peh ko ainpene., His",0
39,ainpwong,/ɐjimpʷoŋ/,"after midnight
Se pepehd lao ainpwong.
We stayed up until after midnight.",0
40,aio,/ɐijo/,"yesterday
Likamwete e kohdo aio.
Apparently he came yesterday.",0
41,aip,/ɐjip/,traditional hour-glass shaped Pohnpeian drum,0
42,aip,/ɐjip/,to play such a drum,0
43,aipenleng,,"ear
Palimeing en aipenleng paikingda.
The left ear is infected.",0
44,aipenpwong,,"(intransitive) to hear
Mwohnsapw kak aipenpwong.
Mwohnsapw can hear.",0
45,aipwonso,/ɐjipʷonsʲo/,"ear
Palimaun en aipwonso medek.The ear on the right side is painful.",0
46,air,/ɐjir/,"(transitive) to strip off, as when stripping insulation off a wire",0
47,airih,/ɐjiriː/,"(transitive) to pull something, usually with a line",0
48,aisara,/ɐjisʲɐrɐ/,ashtray,0
49,alu,/ˈa.lu/,(intransitive) to walk; swim slowly (said of a fish),0
50,amwise,,mosquito,0
51,angkot,/ɐŋko ̻t/,"a strand of hair or fibers, like sennit or cloth",0
52,asi,,to sneeze,0
53,audapan,/ɐwutɐpɐn/,"capacious, holding a lot",0
54,audaud,/ɐwutɐwut/,"(intransitive) to be filled, to be loaded",0
55,aukeng,,"sharp-tongued, having a protruding, carp-like mouth",0
56,aukengih,,"(transitive) to insult, to humiliate, to verbally assault",0
57,auku,/ɐwuku/,having a small mouth; quiet; characteristic of someone who does not speak much,0
58,aulikamw,/ɐwulikɐmʷ/,"untruthful, lying, dishonest",0
59,aumat,/ɐwumɐ ̻t/,bad breathed,0
60,aumat,/ɐwumɐ ̻t/,(slang) (offensive) Exclamation indicating that the recipient has very bad breath,0
61,aupah,/ɐwupɐː/,jaw of an animal,0
62,aupon,/ɐwupon/,having a small mouth; quiet; characteristic of someone,0
