ID,Form,IPA,Gloss,Language_ID
0,'ਚ,,Contraction of ਵਿੱਚ (vicca).,0
1,'ਤੇ,,"Short for ਉੱਤੇ (utte, “on”).",0
2,'ਤੇ,,"Short for ਅਤੇ (ate, “and”).",0
3,آسمان,,sky,0
4,آواجائی,,traffic,0
5,آٹا,/ɑː.ʈɑː/,flour,0
6,آکاش,,"sky, Synonyms: آسمان‎ (āsmān), گَگَن‎ (gagan)",0
7,ا,/əlif/,The first letter of the Punjabi written in the Shahmukhi script.,0
8,اؤجلا,,"A Punjabi surname​, Aujla.",0
9,اتے,,"on, over, atop",0
10,استت,,"praise, admiration, Guru Granth Sahib, Guru Arjan,",0
11,اسٹونیا,,Estonia,0
12,اسی,,eighty,0
13,اسیں,,"we, Synonym: اساں‎ (asāṉ)",0
14,اللہ,,"(Islam, Sikhism) God, Synonyms: واہِگرو‎ (wāhegurū),",0
15,الماری,,"cupboard, shelf; almirah",0
16,امب,/əm.bᵊ/,mango,0
17,امریکہ,,America; the United States,0
18,انکھ,/ə.ɳə.kʰᵊ/,"self-respect, pride
Synonym: غَیرَت‎ (ġairat)",0
19,انگریزی,,English (language),0
20,اوداں,,otherwise,0
21,اوٹھ,,camel,0
22,اوہائیو,,Ohio (a state of the United States),0
23,اَمل,,"addiction, habit, ‏امَل اِکّ روگ اے۔‎‎amal ikk rog",0
24,اٹل,/ə.ʈəlːᵊ/,"firm, steadfast, Synonym: پَکّا‎ (pakkā)",0
25,اچھا,,"OK, Ah, showing understanding or interest",0
26,اک,[ɪkː˧],one,0
27,اکھ,/əkːʰ/,"(anatomy) the eye, sight, vision",0
28,باجوا,,"A Punjabi surname​, Bajwa.",0
29,بتھیرا,/bə.t̪ʰeː.ɾɑː/,"a lot, abundant
‏میْرے کوْل بَتھیْرا اے کَہَݨ واسطے۔‎‎mere kol batherā ae kahaṇ vāst̤e.I have a lot to say.",0
30,برابر,,equal,0
31,براڑ,,"A Punjabi surname​, Brar.",0
32,برج,,"bastion, tower, turret, constellation, sign of the",0
33,برف,,snow,0
34,بولنا,/boː.lə.ɳɑː/,"to speak, say, ‏مَیْں انگریْزی نَئیں بوْلدا آں۔‎‎maiṉ",0
35,بولی,,word,0
36,بولݨا,,Alternative form of بولنا‎ (bolnā),0
37,بوہا,/búːɑː/,"door, entrance, ‏کَمرے دا بُوْہا کھوْل دے زَرا۔‎‎kamre",0
38,بگانہ,,"stranger, alien",0
39,بھائی,/pɑː˩˨.iː/,"brother, (informal) mister, sir; used to refer to any",0
40,بھرا,/pɾàː/,"brother, Synonym: بھائی‎ (bhāī)",0
41,بھلا,,"A Punjabi surname​, Bhalla.",0
42,ت,/ta/,The fourth letter of the Punjabi (Shahmukhi) abjad. It is preceded by پ and followed by ٹ,0
43,تارہ,,star,0
44,ترجیح,,preference,0
45,تصویر,,"picture, image",0
46,تل,,"sesame, (anatomy) mole",0
47,تلوار,,sword,0
48,تند,,"thread, strand, fibre",0
49,تولیا,"/t̪ɔː.lɪ.ɑː, t̪ɔː.ɭɪ.ɑː/","towel, ‏میْنُوْں توْلِیا دے دِیوْ‎ ― menūṉ toliyā de",0
50,تڑکا,,morning,0
51,تک,,"until, for (a period of time), up to",0
52,تکھر,,"A Punjabi surname​, Takhar.",0
53,تھک,/t̪ʰʊkːᵊ/,"spit, saliva",0
54,تیجا,,third,0
55,تیجا,,third,0
56,تیز,,"sharp, (depending on context) fast, rapid, clever,",0
57,جال,"/d͡ʒɑː.ɭᵊ, d͡ʒɑː.lᵊ/","net, (figuratively) trap, ‏اوْہ آپݨے جال وِچّ ہی پَھسّ",0
58,جانا,,"to go, to leave",0
59,جاننا,,to know,0
60,جانور,,"animal, beast",0
61,جاگنا,,"to wake up, to awaken",0
62,جاࣇ,,Alternative form of جال‎ (jāl),0
63,جت,/d͡ʒɪt̪ːᵊ/,"victory, win, Antonym: ہار‎ (hār)",0
64,جتنا,,to win,0
65,جم,,death,0
66,جوائی,/d͡ʒə.ʋɑː.iː/,son-in-law,0
67,جواب,,answer,0
68,جوں,,louse,0
