ID,Form,IPA,Gloss,Language_ID
0,𐩢𐩨𐩦𐩩,/ħabaɬatu/,"Alternative form of 𐩱𐩢𐩨𐩦‎ (ʾḥbs² /ʾaḥbūśu/, “Abyssinians”)",0
1,𐩦𐩣𐩪,,sun,0
2,𐩨𐩬,,son,0
3,𐩨𐩬,,"from, coming from, starting at spatially or causally,",0
4,𐩨𐩬,,"from, coming from, starting at spatially or causally,",0
5,𐩪𐩨𐩺,[ʃabaya],"to take captive, to captivate",0
6,𐩪𐩨𐩺,[ʃabaya],"verbal noun of 𐩪𐩨𐩺 (s¹by, “to take captive”), captives,",0
7,𐩮𐩢𐩰,,"to write, (Can we date this quote?) CIH 314‎[1], line",0
8,𐩮𐩢𐩰𐩩,,"document, writing, (Can we date this quote?) CIH 314‎[6],",0
9,𐩱𐩢𐩨𐩦,/ʔaħbuːɬu/,"Ethiopia, Ethiopians, Abyssines, second half of 1st",0
10,𐩱𐩨𐩬,,stones,0
11,𐩲𐩳,,wood,0
12,𐩶𐩬𐩣,,"booty, spoiled riches, second half of 1st century B.C.E.,",0
13,𐩹𐩫𐩧,,"record, mention, the mental state or act of recollecting,",0
14,𐩹𐩫𐩧,,"to mention, to record, to register",0
