ID,Form,IPA,Gloss,Language_ID
0,เกือก,,shoe,0
1,จังหู้,,a lot,0
2,ชมพู่,,guava.,0
3,ชิง,,Licuala palms,0
4,ดีปรี,,chili,0
5,ดีปลี,,"cayenne pepper, bird's eye chili, Capsicum annuum.",0
6,ตู,,door.,0
7,ถิม,,to stab; to prick; to pierce.,0
8,นากา,,clock,0
9,บาย,,well (in health); happy; comfortable.,0
10,เบื้อง,,"tile, ceramics",0
11,ม่าย,,used at the end of yes-no question,0
12,ยัง,,to have,0
13,ยานัด,,pineapple,0
14,เล,,sea.,0
15,หยีบ,,twenty,0
16,หร่อย,,delicious,0
17,หลาด,,market,0
18,หลาว,,to tell (a story).,0
19,แหลง,,to speak,0
20,อาน,,sterile; barren (of animals),0
