ID,Form,IPA,Gloss,Language_ID
0,ⴰⵎⴰⵏ,/aman/,"(uncountable) water, ⵉⵙ ⵜⵔⵉⵜ ⴰⵎⴰⵏ ?is trit aman ?Do",0
1,ⴰⵜⴰⵢ,,tea (drink),0
2,ⴰⵡⵔⵎⵉ,,"rue (a plant, Ruta spp.)",0
3,ⴰⵢⴷⵉ,,dog,0
4,ⴰⵣⵉⵔ,,"rosemary (an herb, Rosmarinus officinalis)",0
5,ⴰⵣⵓⴽⵏⵏⵉ,,wild thyme (Thymus serpyllum),0
6,ⵉⵍⴰⵎⵎⵏ,,bran (broken coat of cereal grain),0
7,ⵖ,,"in
ⵍⵍⴰⵏ ⵡⴰⵎⴰⵏ ⵖ ⵡⴰⵏⵓllan waman ɣ wanuthere is water in the well",0
8,ⵜⴰⴼⵓⵏⴰⵙⵜ,/tafunast/,"cow, Synonym: ⵜⴰⵎⵓⴳⴰⵢⵜ (tamugayt)",0
9,ⵜⴰⵎⵓⴳⴰⵢⵜ,,"cow (bovine)
Synonym: ⵜⴰⴼⵓⵏⴰⵙⵜ (tafunast)",0
10,ⵜⵉⴼⵉⵢⵢⴰ,,Alternative form of ⵜⵉⴼⵉⵢⵢⵉ (tifiyyi),0
11,ⵜⵉⴼⵉⵢⵢⵉ,,meat,0
