ID,Form,IPA,Gloss,Language_ID
0,abhijñä,,higher knowledge,0
1,abhinai,,to represent dramatically,0
2,abhinaiṣṣe,,having to do with representing dramatically,0
3,abhiprāy,,intention,0
4,abhisamai,,understanding,0
5,abhyantarakālp,,"intermediate age, middle aged",0
6,abhyākhyām,,false or baseless accusation,0
7,acalasuttär,,acalasutra (a kind of salve),0
8,acirne,,lack of digestion; indigestion,0
9,acār,,"propriety, rule",0
10,acāräṣṣe,,pertaining to propriety,0
11,adhiṣṭhit,,"to take control over, particularly magically.",0
12,adhyāśai,,disposition,0
13,adāttadāṃ,,Alternative form of atāttadāṃ (“theft”),0
14,agamadhare,,A person holding a religious position,0
15,agradharma,,foremost law,0
16,agrakulike,,Someone from a prominent family,0
17,ai-,,to give,0
18,aik-,,"to know, recognize",0
19,aikare,,empty,0
20,aikne,,duty,0
21,ainake,,"common, low-born, not noble",0
22,airpätte,,"unheeding, disregarding",0
23,aise,,power,0
24,aiw-,,"to be turned toward, face",0
25,aiyye,,"ovine, pertaining to sheep",0
26,aiyyer,,sheath,0
27,aiśamo,,wise,0
28,aiśamñe,,wisdom,0
29,ajamot,,"celery, caraway",0
30,ajvare,,without fever,0
31,akalye,,"learning, study",0
32,akalṣälle,,"pupil, student, disciple",0
33,akappi,,"impurity, filth, uncleanliness",0
34,akarte,,"near, nearby",0
35,akartte,,"Alternative form of akarte (“near, nearby”)",0
36,akaru,,aloe,0
37,akautatte,,unsplittable,0
38,akañc,,"Alternative form of akañce (“far, remote”)",0
39,akañcar,,"distant, remote, a rural area",0
40,akek,,finally,0
41,akessu,,"end, Synonym: āke",0
42,akeññe,,"Agnean (exonymic designation for the Agneans, the ""Tocharian",0
43,aklaṣṣälñe,,teaching,0
44,aknātsaññeṣṣe,,having to do with ignorance.,0
45,akraupatte,,"unassembled, dispersed",0
46,akritātñe,,ungrateful,0
47,akrtājñe,,Alternative form of akritātñe (“ungrateful”),0
48,akrūna,,tears (drops of liquid from crying),0
49,aksaṣṣuki,,"teacher, instructor",0
50,akuśal,,inauspicious,0
51,akwam-pere,,sprout and stalk,0
52,akwatsäññe,,"sharpness, violence",0
53,akṛtajñe,,ungrateful,0
54,akṣalñe,,instruction,0
55,akṣār,,syllable,0
56,alanmeṃ,,"from somewhere, someone, anyone else",0
57,alletsñe,,"strangeness, foreignness",0
58,alāsk-,,to be sick,0
59,alāᵤ,,wether (a castrated male goat or sheep),0
60,alāṣñeṣṣe,,pertaining to laziness,0
61,alāṣṣālle,,sickness,0
62,amarṣ,,"discontent, anger, indignation, impatience",0
63,amarṣäṣṣe,,"pertaining to discontent, anger",0
64,Ambara,,An unknown-gender given name,0
65,amiske,,"bad-tempered, despondent",0
66,amok,,"art, artifice, craft",0
67,amoktse,,artisan,0
68,amokätstse,,Alternative form of amoktse (“artisan”),0
69,amokäṣṣe,,pertaining to art,0
70,ampar,,"Alternative form of āmpär (“bodily limb, member”)",0
71,ampoño,,"rottenness, infection, abscess",0
72,Amrtarakṣita,,An unknown-gender given name,0
73,Amrtasena,,An unknown-gender given name,0
74,amāc,,minister (royal official),0
75,amāllate,,"not depressed, not cast down",0
76,amāntatte,,"not evil-minded, not scattered, concentrated",0
77,amāskai,,difficult,0
78,amāskai,,"difficultly, with difficulty",0
79,amāskaitstse,,difficult,0
80,amāṃ,,"pride, arrogance",0
81,anaikātte,,"unknown, unnoticed",0
82,anaiwatsñe,,"unpleasantness, something unwanted",0
83,anindri,,without or lacking senses,0
84,anityāt,,"impermanence, fickleness, vacillation",0
85,anityātṣṣe,,having to do with impermanence,0
86,antapi,,both,0
87,antarakalp,,a subdivision of an eon,0
88,antariye,,lower garment,0
89,antartiṣ,,invisible,0
90,antarvās,,undergarment,0
91,antarābhav,,a soul between death and reincarnation.,0
92,antarāy,,"embarrassment, obstacle, disturbance, disruption",0
93,antiṣpuräṣṣe,,having to do with a harem,0
94,antiṣpūr,,harem,0
95,antseṣṣe,,pertaining to the shoulder,0
96,antāpce,,firebrand,0
97,anubhāp,,"perception, apprehension",0
98,anupasampanne,,unordained,0
99,anuwasām,,"washing, bath",0
100,anāgat,,non-attainment,0
101,anākätte,,"blameless, irreproachable",0
102,anāntapa,,"eternal, forever",0
103,anāpatti,,unpunishableness,0
104,anāsk-,,"to breathe, inhale, (causative) to make breathe, resuscitate",0
105,anāsrap,,freedom from sinful inclinations,0
106,anāyätte,,ungiven,0
107,anāṣkare,,in a remote time,0
108,aparimām,,"infinite, limitless, immeasurable",0
109,apasabdh,,bad or vulgar language,0
110,apasmār,,epilepsy,0
111,aplāc,,in conversation,0
112,appamatissa,,"scornful, disdainful, despicable",0
113,appamāt,,to mistreat,0
114,appamātäññe,,mistreatment,0
115,apramani,,"infinity, any number that is large and difficult to",0
116,aprasāt,,unbelief,0
117,apsāl,,sword,0
118,apākri,,"clearly, evidently",0
119,apāksai,,with genitals exposed,0
120,apākärtse,,"apparent, obvious",0
121,apākätte,,unrevealed,0
122,apāy,,"someone of lower birth, specifically within the context",0
123,apāṣṣätte,,someone who has not behaved morally,0
124,arahānte,,arhat (the personification of the tenets of Buddhism),0
125,arai,,"O (vocative particle), oh",0
126,arañcaṣṣe,,pertaining to the heart,0
127,arañce,,"heart, used both as the physical organ and the seat",0
128,Araṅkule,,An unknown-gender given name,0
129,araṅyāyateṃ,,hermitage,0
130,Araṇemi,,An unknown-gender given name,0
131,arhanteññe,,pertaining to arhat,0
132,arhānte,,Alternative form of arahānte (“arhat (the personification of the tenets of Buddhism)”),0
133,arhānteṣṣe,,arhat (the personification of the tenets of Buddhism),0
134,arirāk,,black myrobalan,0
135,arirākäṣṣe,,pertaining to myrobalan,0
136,ariwe,,ram,0
137,Arjuna,,A male given name (hero of the Mahabharata),0
138,arkiye,,obligatory,0
139,arkwaña,,a type of plant,0
140,arkwañaṣṣe,,pertaining to arkwaña (a type of plant),0
141,arkwiññe,,whiteness,0
142,arkᵤye,,Alternative form of artkiye (“abundance”),0
143,Armoki,,a river,0
144,armokiññe,,pertaining to the Armoki river,0
145,Artadhane,,An unknown-gender given name,0
146,Arthadarśi,,An unknown-gender given name,0
147,arthanmaṣṣe,,pertaining to meanings,0
148,artkaretstse,,one who has many possessions,0
149,artkiye,,abundance,0
150,artsa,,each,0
151,aruci,,lack of appetite,0
152,aruṇariju,,Hygrophila,0
153,Aruṇāvati,,the name of a city,0
154,aruṇāvatiṣṣe,,pertaining to Aruṇāvati (a city),0
155,arwāre,,"ready (specifically pertaining to horses), saddled",0
156,aräñcatste,,"great-hearted, compassionate, merciful",0
157,aräñcatstse,,"great-hearted, merciful, compassionate",0
158,arāññe,,an ascetic forest dwelling,0
159,arśakärśa,,bat (flying mammal),0
160,Arṇyārtate,,An unknown-gender given name,0
161,arṣāklatstse,,"snake-infested, literally ""snakey""",0
162,arṣāklo,,"viper, poisonous snake",0
163,asantaññe,,pertaining to a she-goat,0
164,asaṃkhyai,,an incalculably long period of time,0
165,asecanadarśaṃ,,insatiable glance,0
166,askace,,"halfa grass, Desmostachya bipinnata",0
167,askwace,,"Alternative form of askace (“halfa grass, Desmostachya bipinnata”)",0
168,aslyamaṣṣe,,"parched, dried (especially in terms of grain)",0
169,aspāwatte,,"unsubsiding, undiminished, undeviating",0
170,astare,,pure,0
171,astariññe,,Alternative form of astaräññe (“purity”),0
172,astaräññe,,"purity, Antonym: ma-astaräññe",0
173,astarñe,,Alternative form of astaräññe (“purity”),0
174,astre-pälsko,,having a pure spirit,0
175,astre-were,,having a pure aroma,0
176,astāṣṣe,,pertaining to bones,0
177,aswāre,,"not sweetly, not tenderly, rudely",0
178,asānṣṣe,,"pertaining to the throne, particularly in the context",0
179,asāre,,dry,0
180,asāṃ,,"seat, throne, (anatomy) buttocks (when dual)",0
181,asūre,,demon,0
182,at,,away,0
183,Atakke,,An unknown-gender given name,0
184,atameṃ,,away from,0
185,ate,,away,0
186,atirek,,"surplus, exception",0
187,atit,,"past, bygone",0
188,atiya,,Alternative form of atiyo (“grass”),0
189,atiyo,,grass,0
190,atka,,concentration (possibly),0
191,atraikatte,,"unfailing, not misleading",0
192,attai,,Alternative form of ate (“away”),0
193,attsaik,,"completely, totally, only, indeed, for sure, even",0
194,atākatte,,"untrue, unfounded",0
195,atāmo,,unfruitful ground,0
196,atāttadāṃ,,theft,0
197,auk,,"snake, serpent",0
198,auk-,,"to grow, to increase",0
199,aultsorsa,,in short,0
200,aulāre,,companion,0
201,aume,,misery,0
202,aumiye,,fever,0
203,aurtstsea,,wide,0
204,auspa,,"truly, certainly",0
205,auñento,,"beginning, start",0
206,auṣap,,more,0
207,avast,,"condition, state",0
208,avasth,,"Alternative form of avast (“condition, state”)",0
209,avasthaṣṣe,,"pertaining to state, condition.",0
210,avasthālakṣam,,characteristic of a condition,0
211,avatrāpi,,a modest person,0
212,avaṣi,,powerless,0
213,avidyä,,ignorance,0
214,aviraje,,a small unit of matter,0
215,avyākrt,,"elementary, primordial substance",0
216,awantaññe,,pertaining to ewes,0
217,awi,,ewes,0
218,awlāwatte,,"uncontrolled, unruly, ungovernable",0
219,awāskatte,,"unmoveable, motionless, calm",0
220,awāsīke,,a resident of a monastery,0
221,Ayardhyāme,,An unknown-gender given name,0
222,ayomaṣṣe,,gift,0
223,ayormaṣṣe,,"gift, present, Synonym: āyor",0
224,ayājñi,,cumin,0
225,ayāmätte,,unworked,0
226,ayātaitstse,,"untamable, indomitable, unsubdued",0
227,ayāṣṣe,,pertaining to bone,0
228,añiye,,breath,0
229,añmalaṣkaññe,,"sympathy, pity, Synonyms: añmālaṣle, añmalāṣṣälñe",0
230,añmalaṣleṣṣe,,pertaining to sympathy; sympathetic,0
231,añmalāṣṣälñe,,"sympathy, Synonyms: añmālaṣle, añmalaṣkaññe",0
232,añmassu,,"desirous, craving, wanting",0
233,añmālarṣke,,"Alternative form of añmālaṣke (“pitying, sympathetic”)",0
234,añmālaṣkaññe,,"sympathy, Synonym: añmālaṣle",0
235,añmālaṣke,,"pitying, sympathetic",0
236,añmālaṣle,,"sympathy, pity, Synonyms: añmalāṣṣälñe, añmalaṣkaññe",0
237,añmālaṣlñeṣṣe,,"pertaining to sympathy; sympathetic, Synonyms: añmalaṣleṣṣe,",0
238,aśaikṣamārg,,the path of those no longer needing religious instruction,0
239,aśaikṣe,,one no longer needing religious training,0
240,aśamati,,Desmodium gangeticum,0
241,aśari,,teacher,0
242,aśca-sanāpalle,,a salve for the head,0
243,aścaṣṣe,,pertaining to the head,0
244,aśiya,,nun; female counterpart of a monk,0
245,aśiyaññe,,Alternative form of aśyaññe (“pertaining to a nun”),0
246,Aśleṣ,,Cancer (constellation),0
247,Aśokamitre,,An unknown-gender given name,0
248,Aśokarakṣita,,An unknown-gender given name,0
249,Aśoke,,A male given name,0
250,aśrāddhe,,unbeliever,0
251,aśrām,,ashram,0
252,aśubha,,"Alternative form of aśup (“offensive thing, decaying human body”)",0
253,aśup,,"offensive thing, decaying human body",0
254,aśvagandh,,Alternative form of aśvakānt (“Indian genseng; ashwagandha”),0
255,aśvamet,,a horse sacrifice; Ashvamedha,0
256,Aśviṇi,,Aries (constellation),0
257,aśyaññe,,pertaining to a nun,0
258,aśyāññe,,Alternative form of aśyaññe (“pertaining to a nun”),0
259,aśäkwa,,vicinity (possibly),0
260,aśāwe,,"rough, coarse",0
261,aṃśūk,,"Upper garment, shirt",0
262,aṅkaiṃ,,"false, reverse",0
263,aṅkaiṃ-pilko,,"false thought or doctrine, heretical belief",0
264,aṅkaiṃ-pilkoṣṣe,,pertaining to false thought or doctrine,0
265,aṅklautkatte,,"unturning, irreversible, unchanging",0
266,aṅkwaṣ,,asafoetida,0
267,aṅkwaṣṭ,,Alternative form of aṅkwaṣ (“asafoetida”),0
268,aṅkāre,,"profligacy, immorality",0
269,aṣanīke,,worthy,0
270,aṣanīke,,one who is worthy,0
271,aṣitañ,,"fur, animal hair",0
272,aṣitstse,,goat,0
273,aṣiye,,pertaining to a goat,0
274,aṣkār,,"backwards, in the opposite direction, reverse",0
275,Aṣärte,,An unknown-gender given name,0
276,aṣām,,"worthy, Antonym: mā-aṣām",0
277,aṣṭāṅgopet,,"eightfold, pure, excellent",0
278,cake,,river,0
279,camel,,birth,0
280,canke,,"lap, bosom",0
281,carke,,garland,0
282,caṇḍāle,,outcast,0
283,ckācko,,"leg, particularly the shin or calf",0
284,cmelñe,,birth,0
285,cok,,lamp,0
286,col,,wild,0
287,cämp-,,"to be able to, can",0
288,cämpamo,,"able, capable",0
289,cämpamñe,,ability,0
290,cänk-,,to please,0
291,cāne,,cash (a unit of currency equivalent to a Chinese bronze,0
292,ecce,,"hither, to here",0
293,ek,,"eye, Eśane klausane ṣeycer-me kartstse yolo lkātsi",0
294,ekalymi,,"in the power of, subjected to, dependent upon",0
295,ekalymiññe,,subjection,0
296,ekalymiññetstse,,"power, strength",0
297,ekalätte,,"intolerable, unbearable",0
298,ekamätte,,future,0
299,ekaute,,unkilled,0
300,ekaññetstse,,"having possessions, affluent, wealthy, Synonym: ekaññiññentatstse",0
301,ekaññeṣṣe,,pertaining to possessions,0
302,ekaññi,,possession,0
303,ekaññiññentatstse,,"having possessions, Synonym: ekaññetstse",0
304,ekito,,"help, assistance",0
305,ekwalatte,,"indefatigable, tireless",0
306,ekätkātte,,"not passing, not crossing",0
307,ekītatstse,,helper,0
308,ekītatstse,,helpful,0
309,ekītatsñe,,"helpfulness, assistance",0
310,emalle,,heat,0
311,emalle,,"hot, warm",0
312,empakwatte,,"untrustworthy, unreliable",0
313,empele,,"terrible, horrible",0
314,empelñe,,"horror, terror",0
315,empreṃ,,truth,0
316,empreṃ,,true,0
317,e(n)-,,intensive prefix,0
318,e(n)-,,"A negating prefix. non-, un-, a-, an-, etc.",0
319,e(n)-,,"A negating prefix. non-, un-, a-, an-, etc.",0
320,en-,,to instruct,0
321,eneṅka,,"within, surrounded by, amid",0
322,enmetre,,"unknown; possibly the bark of the pāla plant
(Can we date this quote?) THT 500-502‎[1], line 12:
palāṣṣai wtsiko enmetreroot of Pavonia odorata (?)",0
323,epe,,"or, otherwise, else",0
324,epyacäññe,,"souvenir, memento",0
325,erepate,,"form, style",0
326,erkatte,,"hostile, scornful",0
327,erkau,,"cemetery, graveyard",0
328,etaṅkätte,,"unchecked, unhindered",0
329,etre,,hero,0
330,ewe,,"skin, hide",0
331,eye,,sheep,0
332,eñatketse,,dirty,0
333,eñcal,,"levy, Synonym: eñcil",0
334,eñcare,,"disagreeable, unfriendly, unpleasant, unwelcome,",0
335,-eñci,,"an adjectival suffix, meaning grasping",0
336,eñcil,,"levy, tax, Synonym: eñcal",0
337,eñcil,,taxable,0
338,eñcilmaṣṣe,,someone who owes a tax,0
339,eñcuwaññe,,pertaining to iron,0
340,eñcuwo,,iron,0
341,eñcäñcare,,"heavy, difficult, disagreeable",0
342,eñwetstse,,"anew, afresh",0
343,eṃṣke,,"up to (and including), until",0
344,eṃṣke,,even,0
345,eṃṣke,,until,0
346,eṃṣketstse,,"lasting, enduring, permanent",0
347,eṃṣketstse,,"unto, until",0
348,eṅk-,,"to grasp, seize, to take control of",0
349,eṅkalpatte,,"unachieving, not having achieved",0
350,eṅkalsu,,"passionate, Synonym: eṅkaltse",0
351,eṅkaltse,,"passionate, Synonym: eṅkalsu",0
352,eṅkalñe,,"adherence, attachment, assumption of a particular duty,",0
353,eṅkalṣe,,pertaining to passion,0
354,eṅkarstatte,,"uncuttable, unable to be cut",0
355,eṅkatkre,,deeply,0
356,eṅkaucar,,"aloud, publicly",0
357,eṅklyauṣätte,,unheard of,0
358,eṅkwaññe,,masculine,0
359,eṅkwe,/eŋkwe/,a man,0
360,eṅkäl,,"feeling, emotion, passion (lit. ""that which seizes"")",0
361,eṅkältsatte,,"unpoured, unoppressed (possibly)",0
362,gandha,,perfume,0
363,ikante,,twentieth,0
364,ikäṃ,,"twenty, Waimene ikäṃ pkārsa wäntärwa!, ""Know the twenty",0
365,ikṣṣu,,sugar cane,0
366,imassu,,"cautious, careful, aware, prudent",0
367,imeṣṣe,,pertaining to awareness or thought,0
368,imāne,,a type of household servant or official,0
369,indranīl,,sapphire,0
370,indre,,"Indra, chief of the Vedic deities",0
371,indri,,"sensory organ, (euphemistic) penis",0
372,indrintaṣṣe,,pertaining to sensory organs,0
373,intri,,"sensory organ, (euphemistic) penis",0
374,intriṣṣe,,pertaining to a sensory organ,0
375,intsau,,block of wood,0
376,ippreräṣṣe,,"Alternative form of ipreräṣṣe (“pertaining to the sky or air, ethereal”)",0
377,iprer,,"sky, air",0
378,ipreräṣṣe,,"pertaining to the sky or air, ethereal",0
379,ispek,,"nearby, close by",0
380,istak,,suddenly,0
381,itauñe,,"fullness, abundance, wealth",0
382,itomtsa,,pregnant,0
383,iñcuwaññe,,Alternative form of eñcuwaññe (“pertaining to iron”),0
384,iṅkauṃ,,"by day, during the day",0
385,kallau,,"gain, profit",0
386,kamartīke,,"ruler, sovereign",0
387,kampās,,cotton,0
388,kare,,"worth, rank",0
389,karse,,"deer, stag",0
390,katkauña,,joy,0
391,kattāke,,householder,0
392,kau-,,"to kill, slay, strike dead",0
393,kauc,,above,0
394,kauc,,high,0
395,kaume,,"shoot, sprout",0
396,kaumiye,,"pool, pond",0
397,kaut-,,"to split, chop, to break down, crush",0
398,kauᵤrṣe,,bull,0
399,kauṃ-kläsko,,west,0
400,kauṃ-parki,,sunrise,0
401,kauṃ-pirko,,east,0
402,kauṃ-yaptsi,,sunset,0
403,kauṣenta,,"murderer, killer",0
404,kañcuki,,chamberlain,0
405,kaṣāy,,"infusion (medical), decoction",0
406,kaṭapūtane,,a type of demon,0
407,keklyauṣor,,"instruction, knowledge",0
408,kektseñe,,body,0
409,kele,,"(anatomy) navel, belly button",0
410,keme,,tooth,0
411,kenek,,linen,0
412,keni,,"knees, antapi kenīsa keṃ teksawith both knees he touched",0
413,kenätstse,,"earthly, terrestrial",0
414,kercapo,,"donkey, ass",0
415,kerccī,,palace,0
416,kerekauna,,flood,0
417,kertte,,sword,0
418,kerū,,drum,0
419,kest,,hunger,0
420,keu,,cow,0
421,klaiññe,,"female, feminine",0
422,klautk-,,"to turn, to change",0
423,klautsaiñe,,earring,0
424,klautso,,ear (organ of hearing),0
425,klokaśce,,"pore, follicle",0
426,klutk-,,"to turn (intransitive), turn into, change into, become",0
427,klyaus-,,"to hear, listen",0
428,klyiye,,Alternative form of klīye (“woman”),0
429,klyomñe,,"nobility, noble class",0
430,klänk-,,to doubt,0
431,klänkarṣke,,doubtful,0
432,klänts-,,to sleep,0
433,kläntsauñe,,sleepiness,0
434,klānk-,,to ride (in a wagon or other vehicle),0
435,klāw-,,"to be called, be named",0
436,klāwi,,fame,0
437,klāy-,,to fall,0
438,klīye,,"woman, Synonym: śana",0
439,kokale,,"wagon, cart, Ṣem kautāte koklentse waiptār pwenta käskānte.The",0
440,kolmo,,boat,0
441,komt,,daily,0
442,kor,,throat,0
443,kosi,,cough,0
444,kotstse,,"a species of bird, possibly the owl",0
445,kottär,,"family, clan",0
446,koyn,,(anatomy) mouth,0
447,koṣkīye,,hut,0
448,kraketstse,,"dirty, filthy",0
449,kranko,,chicken,0
450,kraup-,,"to gather, collect, assemble, to herd",0
451,kraupalñe,,"gathering, accumulation",0
452,kraupalñetstse,,"corpulent, obese",0
453,kraupe,,group,0
