ID,Form,IPA,Gloss,Language_ID
0,ꔀ,,The syllable ee,0
1,ꔁ,,The syllable ẽ,0
2,ꔂ,,The syllable he,0
3,ꔃ,,The Vai syllable we,0
4,ꔄ,,The Vai syllable wen,0
5,ꔅ,,The Vai syllable pe,0
6,ꔆ,,The Vai syllable bhe,0
7,ꔇ,,The Vai syllable be,0
8,ꔈ,,The Vai syllable mbe,0
9,ꔉ,,The Vai syllable kpe,0
10,ꔊ,,The Vai syllable mgbe,0
11,ꔋ,,The Vai syllable gbe,0
12,ꔌ,,The Vai syllable fe,0
13,ꔌꘋ,,thing,0
14,ꔍ,,The Vai syllable ve,0
15,ꔎ,,The Vai syllable te,0
16,ꔏ,,The Vai syllable the,0
17,ꔐ,,The Vai syllable dhe,0
18,ꔑ,,The Vai syllable dhhe,0
19,ꔒ,,The Vai syllable le,0
20,ꔓ,,The Vai syllable re,0
21,ꔔ,,The Vai syllable de,0
22,ꔔꘋ,,child,0
23,ꔕ,,The Vai syllable nde,0
24,ꔖ,,The Vai syllable se,0
25,ꔗ,,The Vai syllable she,0
26,ꔘ,,The Vai syllable ze,0
27,ꔙ,,The Vai syllable zhe,0
28,ꔚ,,The Vai syllable ce,0
29,ꔛ,,The Vai syllable ze,0
30,ꔜ,,The Vai syllable nje,0
31,ꔝ,,The Vai syllable ye,0
32,ꔞ,,The Vai syllable ke,0
33,ꔟ,,The Vai syllable ngge,0
34,ꔠ,,The Vai syllable ge,0
35,ꔡ,,The Vai syllable me,0
36,ꔢ,,The Vai syllable ne,0
37,ꔣ,,The Vai syllable nye,0
38,ꔤ,,The Vai syllable i,0
39,ꔤꕷꕞ,,The Ebola virus.,0
40,ꔥ,,"The Vai syllable in, or ĩ",0
41,ꔦ,,The Vai syllable hi,0
42,ꔧ,,"The Vai syllable hin, or hĩ",0
43,ꔨ,,The Vai syllable wi,0
44,ꔩ,,"The Vai syllable win, or wĩ",0
45,ꔪ,,The Vai syllable pi,0
46,ꔫ,,The Vai syllable bhi,0
47,ꔬ,,The Vai syllable ɓi,0
48,ꔭ,,The Vai syllable mɓi,0
49,ꔮ,,The Vai syllable kpi,0
50,ꔯ,,The Vai syllable mgbi,0
51,ꔰ,,The Vai syllable gbi,0
52,ꔰ,,"every; all
1996, Universal Declaration of Human Rights, Vai translation, article 3:
ꗞ ꔰ ꕚ ꖷ ꕉ ꔱꕩ ꗃꗡ ꕞ, ꗞ ꔰ ꔇꔀ ꕉ ꗃ ꗛꖺ ꗘꘋꕧ ꗏ ꕉꖷ ꗞ ꔰ ꖴꘋ ꕃꕞ ꗏꖺꕎ ꕉ ꕩꕌ ꕎꕬ ꖴꕮ ꗱꗡ.mɔ gbi ta mu a fiya ɓɔɛ la, mɔ gbi ɓee a ɓɔ kɔɔ dʒɔŋdʒa lɔ amu mɔ gbi kuŋ kila lɔɔwa a yaha waŋga kuma fɛɛ.Everyone has the right to life, liberty and the security of person.",0
53,ꔱ,,The Vai syllable fi,0
54,ꔲ,,The Vai syllable vi,0
55,ꔳ,,The Vai syllable ti,0
56,ꔴ,,The Vai syllable thi,0
57,ꔵ,,The Vai syllable dhi,0
58,ꔶ,,The Vai syllable dhhi,0
59,ꔷ,,The Vai syllable li,0
60,ꔸ,,The Vai syllable ri,0
61,ꔹ,,The Vai syllable di,0
62,ꔺ,,The Vai syllable ndi,0
