ID,Form,IPA,Gloss,Language_ID
0,ꤊꤚꤝꤤ,/krwi˦/,bone.,0
1,ꤊꤚꤝꤥ꤭,/krwo˧/,to follow.,0
2,ꤊꤜꤛꤢ,/klja˦/,way; road; street.,0
3,ꤊꤜꤛꤢ꤬,/klja˨/,to run.,0
4,ꤊꤢꤨ꤭ꤜꤤꤊꤟꤢꤩ,/ku˧.li˦.ke̤˦/,India,0
5,ꤊꤢꤪ꤬ꤕꤛꤢꤨ꤬ꤒꤣ꤬,/kɔ˨.pju˨.tə˨/,computer.,0
6,ꤊꤢ꤬ꤛꤢ꤭ꤜꤟꤤ꤬,/ka˨.ja˧.li̤˨/,"Kayah Li, an alphabet used for the Kayah languages.",0
7,ꤋꤢꤧ꤬,/kʰɛ˨/,"chin., (lower) jaw.",0
8,ꤋꤢꤧ꤬,/kʰɛ˨/,bitter.,0
9,ꤋꤢꤧ꤬,/kʰɛ˨/,bitter.,0
10,ꤋꤢꤧ꤬ꤎꤣ꤬,/kʰɛ˨.sə˨/,cancer.,0
11,ꤋꤢꤧ꤬ꤗꤣ꤬ꤚꤢ꤬,/kʰɛ˨.mə˨.ra˨/,camera.,0
12,ꤋꤢ꤭ꤗꤟꤤ,/kʰa˧.mi̤˦/,tail.,0
13,ꤎꤤꤊꤚꤢꤧ,/si˦.krɛ˦/,cigarette.,0
14,ꤏꤛꤢꤩ,/ʃje˦/,ten,0
15,ꤏꤛꤢꤩ꤬,,sour,0
16,ꤏꤛꤢꤩ꤭,/ʃje˧/,chicken,0
17,ꤏꤛꤢꤩ꤭,/ʃje˧/,ten,0
18,ꤏꤛꤢꤩ꤭,/ʃje˧/,ten,0
19,ꤏꤝꤥ꤬,/ʃwo˨/,crab.,0
20,ꤏꤢꤦ꤭ꤟꤢꤧ꤭,/sʰɯ˧.hɛ˧/,salty.,0
21,ꤑꤟꤢ꤭,/ɲa̤˧/,(ꤞꤢꤧ~) five,0
22,ꤒꤟꤢꤧ꤬,/tɛ̤˨/,thing; object.,0
23,ꤒꤟꤢꤧ꤬,/tɛ̤˨/,Used to precede verbs and adjectives to form abstract,0
24,ꤒꤢ꤬ꤊꤜꤤ,/ta˨.kli˦/,turtle,0
25,ꤒꤢ꤬ꤏꤛꤢ꤭,/ta˨.ʃja˧/,elephant,0
26,ꤒꤢ꤬ꤞꤤ,/ta˨.ʂi˦/,horse.,0
27,ꤒꤣ꤬,/tə˨/,one,0
28,ꤓꤛꤢ,/tʰja˦/,pig.,0
29,ꤓꤛꤢꤩ꤭,,"water, (any) liquid",0
30,ꤓꤛꤢ꤬,,to climb,0
31,ꤓꤛꤢ꤭,,sharp,0
32,ꤓꤛꤥ,/tʰwo˦/,cat.,0
33,ꤓꤝꤤ꤬,/tʰwi˨/,dog.,0
34,ꤓꤢꤧ,/tʰɛ˦/,needle.,0
35,ꤓꤢꤧ꤬ꤜꤤ꤬ꤖꤥ꤭,/tʰɛ˨.li˨.pʰo˧/,telephone.,0
36,ꤓꤢꤧ꤭,/tʰɛ˧/,gold,0
37,ꤓꤢꤨ꤬,/tʰu˨/,bird.,0
38,ꤓꤤ꤬,/tʰi˨/,penis.,0
39,ꤔꤛꤢꤩ꤭,/nje˧/,(ꤞꤢꤧ~) two,0
40,ꤔꤟꤢꤧ꤬,/nɛ̤˨/,"you (singular)., your (singular).",0
41,ꤔꤢ꤬,/na˨/,year.,0
42,ꤕꤚꤟꤢꤩꤐꤝꤤ꤬ꤊꤟꤢꤩ,/pre̤˦.zwi˨.ke̤˦/,Thailand,0
43,ꤕꤟꤢꤧ꤬,/pɛ̤˨/,we; us.,0
44,ꤕꤟꤢꤪ꤬,/pɔ̤˨/,pot.,0
45,ꤕꤢꤎꤕꤥ,/pa.spo/,passport.,0
46,ꤖꤛꤢꤩ,/pʰje˦/,to take.,0
47,ꤖꤢꤧ꤭,/pʰɛ˧/,father.,0
48,ꤖꤢꤧ꤭,/pʰɛ˧/,male.,0
49,ꤖꤤ꤭,/pʰi˧/,opium.,0
50,ꤖꤥ꤭,/pʰo˧/,flower.,0
51,ꤗꤝꤟꤤ꤬,/mwi̤˨/,name.,0
52,ꤗꤟꤌꤣ,/mɯ̤ᵊ/,mother.,0
53,ꤗꤟꤌꤣ,/mɯ̤ᵊ/,female.,0
54,ꤗꤟꤛꤢ꤬ꤊꤟꤢꤩ,/mja̤˨.ke̤˦/,Myanmar,0
55,ꤗꤤ꤬,/mi˨/,fire.,0
56,ꤘꤛꤢꤩ,/dje˦/,to give.,0
57,ꤘꤟꤤ꤬ꤗꤥ꤬ꤊꤚꤢꤩ꤬ꤎꤤ꤬,/di̤˨.mo˨.kre˨.si˨/,democracy,0
58,ꤘꤤ꤬,/di˨/,frog,0
59,ꤘꤤ꤬ꤓꤥ,/di˨.tʰo˦/,knife.,0
60,ꤙꤛꤢ꤭,/bja˧/,yellow.,0
61,ꤙꤢꤧ꤬ꤓꤚꤟꤤ꤬,/bɛ˨.tʰri̤˨/,battery.,0
62,ꤙꤢꤨ꤭,/bu˧/,white.,0
63,ꤙꤤ꤬ꤛꤢ꤬,/bi˨.ja˨/,beer.,0
64,ꤚꤟꤢꤨ,,snake,0
65,ꤚꤢꤦ꤭,/rɯ˧/,money; cash; currency.,0
66,ꤚꤢ꤬ꤠꤟꤢ꤬,/ra˨.va̤˨/,zero,0
67,ꤜꤝꤟꤤ꤭,/lwi̤˧/,(ꤞꤢꤧ~) four,0
68,ꤜꤟꤢꤪ,/lɔ̤˦/,stone; rock.,0
