ID,Form,IPA,Gloss,Language_ID
0,aba,[apa],"father, Synonym: ha, Coordinate terms: ana, ma",0
1,be-,[pə],not; negates the existence of an action or state conveyed,0
2,co,[t͡sʰo],lake,0
3,dadada,[tatata],"just now
aga dadada gguan-la lai-lio.Elder brother just came from the temple.(Quoted in Sandman, p. 53)",0
4,dak,[tɐx],tiger,0
5,ddong,[dõ],"lance, spear",0
6,-de,[tə],"-'s, of (but with the order switched); attached to",0
7,-de,[tə],"so much that (attached to the main verb), gu ni ddo-di-de",0
8,-de,[tə],"so much that (attached to the main verb), gu ni ddo-di-de",0
9,dolo,[tolo],head (body part),0
10,ga,[ka],"small (in size, number, etc.), je-ge jjhakai zhungo",0
11,galamala,[kalamala],"child, galamala-jhege zui xho shu she pa-ma bai-wan-da",0
12,-ge,[kə],A referential marker attached to numerals or singular,0
13,gek,[kɘˠ],"dog, Synonym: haba",0
14,ggaiggan,[ɡeɡɛ̃],"teacher, Synonym: loshe",0
15,gha,[ɣɑ~ʁɑ],fox,0
16,goze,[kot͡sə],fruit,0
17,gu,[ku],"that
ngu gu xawa wan-di-yek.I am working on that task.(Quoted in Sandman, p. 76)
Synonyms: gu-gu, gu-ge
Coordinate term: je (“this”)",0
18,gu,[ku],"third-person pronoun; he, him, she, her, it",0
19,gutek,[kutʰɘˠ],bone,0
20,guu,[kuː~kuu~kuw],drum,0
21,ha,[ha],"Han Chinese, da niren-men mu hai-la ra cek-de-ge ra",0
22,ha,[ha],"father, Synonym: aba, Coordinate terms: ana, ma",0
23,ha,[ha],"father, Synonym: aba, Coordinate terms: ana, ma",0
24,hahua,[hahʷa],"Chinese language, zaige hahua mu zaige do-li.As for",0
25,hai,[he],"to be; the copula:, Indicates that the subject and",0
26,halamala,[halamala],garbage,0
27,huaiqa,[hʷet͡ɕʰɑ],"book, ggaiggan lhokang-li huaiqa kan-di-li.The teacher",0
28,-jhege,[c͡çəkə],The paucal suffix; attached to nouns to indicate that,0
29,jhenze,[c͡çə̃nt͡sə],"gold, danzhen-ha jhenze zai-ge tian-la-lio.Danzhen",0
30,jja,[d͡ʑa],"to visit, to make a pilgrimage",0
31,jjhawo,/ɟ͡ʝawo/,"king, da jjhawo cherajan-de ggai gu~gu-li da menzai",0
32,jjhayek,/ɟ͡ʝajɘˠ/,"Chinese language, xo wang san nian-de ggo jjhayek jjhang-la-lio",0
33,-kanla,[kʰɛ̃lɑ],"-er than, compared to indicates the object of a comparison.,",0
34,-la,[lɑ~ɻɑ],"(after nouns) from; indicates the source of an action.,",0
35,lama,[lɑmɑ],"lama, Synonym: alak",0
36,lha,[ɬa],"god, deity, thangka painting, Synonym: tangga",0
37,lhoma,[ɬomɑ],"student, ggaiggan lhoma she-li qhi-gu-ge-lio.The teacher",0
38,-li,[li],"Marks the locative case:, in, at (location of an action),",0
39,-li,[li],"An evidential suffix, marking that the subject has",0
40,-li,[li],"An evidential suffix, marking that the subject has",0
41,liang-ge,,Alternative spelling of liangge (“two”).,0
42,-liangge,[lʲɑ̃ŋkə],"with (multiple meanings), with, together with; marks",0
43,liangge,[lʲɑ̃ŋkə],two,0
44,loshe,[loʂʰə],"teacher, Synonym: ggaiggan",0
45,ma,[mɑ],what (interrogative),0
46,ma,[mɑ],horse,0
47,ma,[mɑ],horse,0
48,macio,[mat͡sʰ(ʲ)o],bird,0
49,maidok,[metox],"flower, Synonym: hu",0
50,mak,[mɐx],"soldier, gu mak dang-lio-de re.He has [certainly] been",0
51,maka,[mɑkʰɑ],wound,0
52,mangba,[mɑ̃mpa],doctor,0
53,mashema,[mɑʂʰəmɑ],"why, ni mashema kuu-lio-zhe?Why did you start crying?(Quoted",0
54,men,[mə̃],"door, men kai-di-li.The door is kept open.(Quoted in",0
55,minze,[mĩnt͡se],"name, ngu-de minze-li dongzhek sho-yek.My name is Dongzhou.(Quoted",0
56,moto,[motʰo],"motorcycle, 2014,  Wutun villagers,  “Mani session",0
57,naize,[net͡se],milk,0
58,nek,[nɘˠ],"cow, cattle",0
59,nga,[ŋɑ],"me (first-person non-subject pronoun), ni nga da-lio.You",0
60,ngu,[ŋu],"I (first-person subject pronoun), ngu rongbo-li qhi-zhe.I",0
61,nian,[nʲɛ̃],"year, xo wang san nian-de ggo jjhayek jjhang-la-lio",0
62,nian,[nʲɛ̃],"to read, ni ma-ge nian-di-yek?What are you reading?(Quoted",0
63,nian,[nʲɛ̃],"to read, ni ma-ge nian-di-yek?What are you reading?(Quoted",0
64,niren,[ɲiɻə̃],"woman, Synonym: nixhe, Coordinate term: waren (“man”),",0
65,nixhe,[ɲiɧə],"woman, Synonym: niren, Coordinate term: waren, girl,",0
66,pa,[pʰɑ],friend,0
67,pigo,[pʰiko],apple,0
68,pize,[pʰit͡sə],"skin, leather, gu-jhege pize quandi quan-di-li=a?Do",0
69,qe,[t͡ʃʰə],"to eat, momo qe! ― Eat some bread! (Quoted in Sandman,",0
70,qhichai,[cçʰiʈ͡ʂʰe],car,0
71,quilek,[t͡ʃʰʷilɘˠ],"religion, gu-jhege-de quilek ma-ge hai-li?What are",0
72,raitek,[ɻetʰɘˠ],"sun, the Sun",0
73,reben,[ɻəpə̃],Japan,0
74,redak,[ɻətɑˣ],wild animal,0
75,rolang,[ɻolɑ̃],ro-langs (undead Tibetan monster),0
76,saghang,[s(ʰ)ɑʁɑ̃],restaurant,0
77,sanggaixong,[sʰɛ̃ɡeɕõ],"Wutun country; a small region of Tongren, Qinghai,",0
78,sangwa,[sʰɑ̃wɑ],"secret, yangze kan-la gu sangwa jedo-di-li.S/he looks",0
79,shafa,[ʂʰafa],"sofa, 2014,  Wutun villagers,  “Mani session 1”, in",0
80,sokho,[sʰoˣh(ʷ)o],"Mongol, 2014,  Wutun villagers,  “Mani session 1”,",0
81,suan,[sʰʷɛ̃],Tibetan (including Wutun people),0
82,ta,[tʰɑ],"(apparently uncommon) he, she, it (chiefly used in",0
83,ta,[tʰɑ],ashes,0
84,ta,[tʰɑ],ashes,0
85,tekhua,[tʰəˠhʷa],"hair on the head, Coordinate term: mo (“body hair”)",0
86,tojha,[tʰoc͡çɑ],Baoan (a group of villages immediately downriver from,0
87,wa-ren,,Alternative spelling of waren (“man”).,0
88,wan,[wɛ̃],to play,0
89,wan,[wɛ̃],"bowl, ngu wan da-pe-lio.I broke a bowl.(Quoted in Sandman,",0
90,wan,[wɛ̃],"bowl, ngu wan da-pe-lio.I broke a bowl.(Quoted in Sandman,",0
91,waren,[wɑɻə̃],"man, Coordinate term: niren (“woman”)",0
92,xaitang,[ɕetʰɑ̃],"school, ngu-da mize-liangge xaitang-li qhi-di-yek.My",0
93,xhe,[ɧə],"to eat, ha-jhege kuize-liangge huan xhe-di-li.Chinese",0
94,xhe,[ɧə],river,0
95,xhe,[ɧə],river,0
