ID,Form,IPA,Gloss,Language_ID
0,'ch-,,(attached to following verb) I; clitic form of ich.,0
1,aagar,,eager,0
2,aager,,"acre of land., 1867,  GLOSSARY OF THE DIALECT OF FORTH",0
3,aake,,ache,0
4,aalhouse,,alehouse,0
5,aam,,them,0
6,aamezill,,Alternative form of aamzil,0
7,aamzil,,themselves.,0
8,aany,,any,0
9,aar,,their,0
10,aar,,there,0
11,aar,,there,0
12,abeit,,Alternative form of albeit,0
13,aboo,,above,0
14,abouten,,Alternative form of abut,0
15,abut,,about,0
16,adee,,ha !,0
17,adh,,at,0
18,af,,of,0
19,aferdth,,afraid,0
20,agone,,"ago, 1867,  GLOSSARY OF THE DIALECT OF FORTH AND BARGY:A",0
21,agyne,,again,0
22,agyther,,"together, on-gather.",0
23,almostly,,"mostly, almost",0
24,aloghe,,"below, on-low.",0
25,alomes,,alms,0
26,amach,,dwarf,0
27,amain,,amen,0
28,amang,,among,0
29,amaze,,Alternative form of amize,0
30,ameal,,"ashes，what is in a meal state, or in a mingled lot.",0
31,ameve,,to move,0
32,amezill,,Alternative form of aamzil,0
33,amhyne,,"mighty, with might.",0
34,amize,,"wonder, amazement",0
35,ammache,,Alternative form of amach,0
36,an,,and,0
37,angerth,,angry,0
38,angish,,poverty,0
39,anoor,,another,0
40,apa,,Alternative form of apan,0
41,apan,,"upon, 1867,  GLOSSARY OF THE DIALECT OF FORTH AND BARGY:Pa",0
42,arent,,around,0
43,arich,,morning,0
44,arkagh,,eager,0
45,armeen,,The side-lace of a car.,0
46,arnaauneen,,working at night.,0
47,arum,,"within, within the house.",0
48,ashen,,ashes,0
49,aslepe,,asleep,0
50,astarte,,run away,0
51,at,,"that, which",0
52,at,,that,0
53,at,,"to eat, ate, 1867,  GLOSSARY OF THE DIALECT OF FORTH",0
54,at,,"to eat, ate, 1867,  GLOSSARY OF THE DIALECT OF FORTH",0
55,atheen,,present participle of at,0
56,attercop,,spider,0
57,aught,,"any, anything, 1867,  GLOSSARY OF THE DIALECT OF FORTH",0
58,aul,,all,0
59,aul,,all,0
60,aulaveer,,altogether,0
61,av,,Alternative form of af (“of”),0
62,avar,,before,0
63,avare,,Alternative form of avar,0
64,aveel,,"abroad, without",0
65,awye,,"away, 1867,  GLOSSARY OF THE DIALECT OF FORTH AND BARGY:Awye",0
66,ayenst,,against,0
67,ayght,,eight,0
68,ayghteen,,eighteen,0
69,ayth,,Alternative form of at,0
70,ba,,"be, been",0
71,baakooze,,oven,0
72,baakoozee,,to bake bread in an oven.,0
73,baalee,,a clever person.,0
74,baaree,,"The goal in a game of hurley, A stick placed on kilns",0
75,baarich,,barley,0
76,balbeedhel,,a maul for breaking clods.,0
77,balke,,"to impede, hinder",0
78,bandēle,,A measure for linen.,0
79,bane,,bone,0
80,baree,,goal,0
81,barish,,Alternative form of baarich,0
82,barnaugh,,limpet，shellfish,0
83,baronie,,barony,0
84,barrm,,barm,0
85,barrn,,barn,0
86,bash,,Alternative form of baush,0
87,baskaate,,basket,0
88,baskeat,,breast,0
89,bat,,Alternative form of bath,0
90,bater,,A lane bearing to a high-road.,0
91,bath,,stick,0
92,bathès,,plural of bath,0
93,baulkès,,"balks, unsawed timber",0
94,baush,,The palm of the hand.,0
95,bawen,,basecourt，quadrangle,0
96,bawkoon,,bacon,0
97,beanès,,beans,0
98,bearde,,beard,0
99,beasthès,,cows,0
100,bebber,,"tremble, quake",0
101,bebbereens,,tremblings,0
102,bederup,,a band of reapers or harvest bands.,0
103,bedreede,,bedridden,0
104,bee,,by,0
105,Beedher,,Peter,0
106,been,,bees,0
107,beeteesh,,Alternative form of betweesk,0
108,beleave,,belief,0
109,bellee,,belly,0
110,belooze,,bellows,0
111,benagh,,heifer,0
112,ber,,"to bear, to carry",0
113,besithes,,besides,0
114,besmorth,,besmeared,0
115,beteede,,betide,0
116,betweesk,,between,0
117,bhlock,,black,0
118,bibber,,Alternative form of bebber,0
119,bidaades,,potatoes,0
120,bidge,,to buy,0
121,bile,,to boil,0
122,bilethe,,simple past tense of bile,0
123,Billeen,,"Billy, William",0
124,bilo't,,simple past tense of bile,0
125,blauke,,"to blare, blow, bleat, bawl",0
126,blaukeen,,present participle of blauke,0
127,blautheer,,bladder,0
128,blauyeen,,present participle of blay,0
129,blauyke,,A cry of a kid or calf.,0
130,blay,,"to blow, to shout",0
131,blayeen,,present participle of blay,0
132,blaze,,a faggot,0
133,bleaze,,Alternative form of blaze,0
134,blenty,,plenty,0
135,blenty,,plenty,0
136,blenty,,plenty,0
137,blin,,"mistaken, 1867,  GLOSSARY OF THE DIALECT OF FORTH AND",0
138,blooed,,blood,0
139,blooeden,,"fresh, 1867,  GLOSSARY OF THE DIALECT OF FORTH AND",0
140,boagher,,"road, 1867,  GLOSSARY OF THE DIALECT OF FORTH AND BARGY:Mucha",0
141,boar,,hedgehog,0
142,bodhee,,Alternative form of buthee,0
143,boney,,an able person,0
144,bonny,,Alternative form of boney,0
145,boor,,poor,0
146,booraan,,"a drum, tambourine",0
147,boouchel,,buckle,0
148,boouchelawn,,ragwort,0
149,booyren,,frighten,0
150,borde,,a table,0
151,bothige,,Alternative form of buthee,0
152,bothom,,bottom,0
