ID,Form,IPA,Gloss,Language_ID
0,ё,[jo],"The ninth letter of the Bashkir alphabet, written in the Cyrillic script.",0
1,Ё,[jo],"The ninth letter of the Bashkir alphabet, written in the Cyrillic script.",0
2,а,/ɑ/,"The first letter of the Bashkir alphabet, written in the Cyrillic script.",0
3,А,/ɑ/,"The first letter of the Bashkir alphabet, written in the Cyrillic script.",0
4,Абдулла,[ɑb.duˈɫːɑ],"A male given name from Arabic, of Muslim usage, equivalent",0
5,абруй,[ɑbˈruj],"reputation, Һуңғы йылдарҙа һалдат хеҙмәтенең абруйы",0
6,абруйлы,[ɑb.rujˈɫɯ̞],"reputable, respected, Халыҡҡа абруйлы кешеләрҙең өлгөһө",0
7,абыстай,[ɑ.bɯ̞sˈtɑj],"(Islam) an elderly woman who has ecclesiastical training and, when a mullah is unavailable, caters for the basic religious needs of a local community, such as leads private ceremonial meetings, gives basic religious training to women and children, etc.",0
8,автобус,[afˈto̞bus],"bus, Автобус хәрәкәте.Avtobus xäräkäte.Bus traffic.,",0
9,автономиялы,[äf.tä.ˈno.mʲi.jä.ˌɫɯ̞],autonomous,0
10,адрес,[ˈä.drʲɪs],"address (direction for letters), Хаттың тышында адресын",0
11,аждаһа,[ɑʐ.dɑˈhɑ],(mythology) dragon,0
12,Азамат,[ɑ.zɑˈmɑt],A male given name from Arabic,0
13,Азия,[ˈä.zʲi.jä],"Asia (a continent), Мәҙәк итеп ҡарап торҙом кескәй",0
14,ай,[ɑj],"moon, Сәскәләргә ҡунған ысыҡ ай яҡтыһына ялтырай.Säskälärgä",0
15,Айгөл,[äjˈɡʏ̞l],A female given name,0
16,айныҡ,[ɑj.nɯ̞q],"sober, not intoxicated, (figurative) moderate; realistic;",0
17,айран,[ajˈran],airan,0
18,Айрат,[ɑjˈrɑt],"A male given name, Ayrat, Айрат үҙе кеүек тиҫтерҙәре",0
19,айырма,[ɑ.jɯ̞rˈmɑ],difference (a characteristic of something that makes,0
20,айырым,[ɑ.jɯ̞ˈrɯ̞m],"separate; detached, isolated, Ул айырым бүлмәлә тора.Ul",0
21,айырым,[ɑ.jɯ̞ˈrɯ̞m],"separately, Ғалимдар аңлатыуынса, баш бармаҡ айырым",0
22,айырыуса,[ɑ.jɯ̞ˈrɯ̞w.sɑ],"especially, particularly, Миграция ағымына күҙ һалһаҡ,",0
23,айыҡ,[ɑ.jɯ̞q],"sober, not intoxicated, (figurative) moderate; realistic;",0
24,айғолаҡ,[ɑj.ʁʊ̞ˈɫɑq],"(animal anatomy) gill, the breathing organ in fish",0
25,айғыр,[ɑjˈʁɯ̞r],"stallion, stud horse",0
26,Айҙар,[ɑjˈðɑr],"A male given name, Aydar",0
27,айҙар,[ɑjˈðɑr],plural of ай (ay),0
28,айҙар,[ɑjˈðɑr],"forelock, topknot",0
29,айҙар,[ɑjˈðɑr],"forelock, topknot",0
30,Айһылыу,[ɑj.hɯ̞ˈɫɯ̞w],"A female given name from the Turkic languages, Ural-batyr",0
31,ал,[ɑɫ],"front, the front part",0
32,ал,[ɑɫ],"scarlet, bright red",0
33,ал,[ɑɫ],"scarlet, bright red",0
34,алабута,[ɑ.ɫɑ.buˈtɑ],"saltbush, orache, Atriplex",0
35,алабуға,[ɑ.ɫɑ.buˈʁɑ],"perch, Perca fluviatilis.",0
