ID,Form,IPA,Gloss,Language_ID
0,abang,/abaŋ/,older brother,0
1,abuk,/abuk/,"dust (fine, dry particles)",0
2,acang,/a.t͡ʃaŋ/,pigeon (bird of the pigeon and dove family Columbidae),0
3,adi,/adi/,Younger sibling.,0
4,aing,/aiŋ/,"water (liquid H2O), Banyak-banyak minum aing.Drink",0
5,ais,/ais/,ice (water in frozen form),0
6,ajai,/ad͡ʒaj/,(anatomy) chin (bottom of a face),0
7,alis,/a.lis/,eyebrow,0
8,amas,/amas/,gold (element),0
9,ambuk,/am.buk/,monkey (primate),0
10,ampir,/ampir/,"near, close",0
11,anam,/anam/,six,0
12,anggur,/aŋ.ɡur/,grape,0
13,angin,/aŋin/,wind (movement of air),0
14,angsa,/aŋ.sa/,goose (bird),0
15,anjing,/an.d͡ʒiŋ/,dog (animal),0
16,antu,/an.tu/,"ghost (spirit appearing after death), Ia takut antu.He",0
17,api,/api/,fire (oxidation reaction),0
18,arnab,/ar.nap/,rabbit,0
19,asap,/asap/,smoke (visible particles and vapour given off by burning,0
20,ati,/a.ti/,"(anatomy) liver (organ of the body), heart (emotions",0
21,awan,/awan/,cloud (visible mass of water droplets suspended in,0
22,ayam,/ajam/,"chicken (bird), chicken (meat)",0
23,badam,/badam/,almond (nut),0
24,bantal,/bantal/,pillow (soft cushion used to support the head in bed),0
25,baras,/baras/,uncooked rice,0
26,baru,/baru/,"new (age of non-living things), rumah baru, new house",0
27,basar,/basar/,big,0
28,basi,/basi/,"iron (element), metal (atomic element or material made",0
29,basing,/basiŋ/,squirrel,0
30,batat,/batat/,melon,0
31,batis,/batis/,"(anatomy) leg (lower limb), foot (part of the leg from",0
32,batu,/batu/,"rock or stone of any size, including boulder and pebble",0
33,bau,/bau/,smell (sensation),0
34,bayi,/baji/,pig (mammal of genus Sus),0
35,beranang,/b(ə)ranaŋ/,to swim (move through water),0
36,betina,/bə.ti.na/,(of animals) female,0
37,bida,/bi.daˀ/,ugly,0
38,bini-bini,/bi.ni.bi.ni/,female person; woman or girl,0
39,bini-bini,/bi.ni.bi.ni/,(of humans) female,0
40,bintang,/bintaŋ/,star (luminous celestial body),0
41,biru,/bi.ru/,blue,0
42,biru,/bi.ru/,blue,0
43,buah,/buah/,"fruit (food), fruit (part of plant)",0
44,buah,/buah/,Classifier for anything generally concretely big and,0
45,buaya,/bu.a.ja/,crocodile (reptile),0
46,bukit,/bukit/,hill (elevated location),0
47,buku,/buku/,book (collection of sheets of paper bound together,0
48,bula,/bula/,"ball (spherical object for playing games), (colloquial)",0
49,bulan,/bulan/,"moon (largest natural satellite of planet Earth), month",0
50,bulu,/bu.lu/,"body hair (humans), fur (animals), feather",0
51,bunga,/bu.ŋa/,"flower, interest (finance)",0
52,bungi,/buŋi/,"(dialect, Kampong Ayer) sound (sensation perceived",0
53,buntak,/buntak/,short (length),0
54,bunyi,/buɲi/,sound (sensation perceived by the ear),0
55,burung,/bu.ruŋ/,"bird (animal), (childish, slang) penis",0
56,butul,/bu.tul/,bottle (container used for holding liquids),0
57,cacak,/t͡ʃat͡ʃak/,lizard,0
58,cacak,/t͡ʃat͡ʃak/,withdraw (cash from ATM),0
59,cacak,/t͡ʃat͡ʃak/,withdraw (cash from ATM),0
60,cacing,/t͡ʃa.t͡ʃiŋ/,worm,0
61,cadar,/t͡ʃadar/,"Bedding (e.g. sheets, blankets, quilts, etc.), especially",0
62,cahaya,/t͡ʃa(h)aja/,light (electromagnetic waves),0
63,cawan,/t͡ʃawan/,"cup (drinking vessel with handle), drinking vessel,",0
64,cerah,/t͡ʃə.rah/,"(weather) bright, clear, sunny",0
65,cincin,/t͡ʃin.t͡ʃin/,ring (jewellery),0
66,cuaca,/t͡ʃuat͡ʃa/,weather (state of the atmosphere),0
67,cucu,/t͡ʃut͡ʃu/,grandchild (child of someone's child),0
68,cuik,/t͡ʃuik/,"small plate or bowl, generally not wider than a saucer",0
69,curut,/t͡ʃurut/,cigar,0
70,daging,/daɡiŋ/,meat (animal flesh used as food),0
71,dakat,/dakat/,"near, close",0
72,damit,/damit/,small,0
73,dangsanak,/daŋsanak/,"(dialect, Kampong Ayer) Synonym of saudara (“relative”)",0
74,dapur,/dapur/,"kitchen (room), dining room at home",0
75,darat,/darat/,land (part of Earth that is not covered by bodies of,0
76,daun,/daun/,leaf (part of a plant),0
77,didih,/didih/,To boil (heat (a liquid) until it begins to turn into a gas),0
78,dinding,/dindiŋ/,wall (structure as side of or division in a building),0
79,doktor,/dok.tor/,"doctor (physician), (academic) doctor, person who has",0
80,dua,/dua/,two,0
81,durian,/durian/,durian (fruit),0
82,ekon,/ekon/,"air conditioner, chill air from air conditioner",0
83,esbok,/esbok/,(colloquial) refrigerator,0
84,extension,/ekstenʃən/,(colloquial) extension cord (electrical cord with multi-port,0
