ID,Form,IPA,Gloss,Language_ID
0,ئال,[al],middle finger,0
1,ئەحمەد,/aħmad/,"A male given name from Arabic, equivalent to English",0
2,ئەو,/aw/,"he, she, that",0
3,ئەوان,[aˈwaːn],they,0
4,بەفر,/bæfɾ/,snow,0
5,تر,/tɪɾ/,A suffix forming the comparative degree of an adjective.,0
6,خۆڵەمێشی,/xoːɫameːʃiː/,grey/gray,0
7,دوانزە,/d(ə)waːnza/,twelve; 12,0
8,دوو,/duː/,two; 2,0
9,دە,/da/,ten; 10,0
10,دەرگا,/darɡaː/,door,0
11,زانستگە,/zaːnəstɡa/,university,0
12,سلێمانی,/sɪleːmɑːniː/,Sulaymaniyah (a city in Iraq),0
13,سیانزە,/s(ə)jaːnza/,thirteen; 13,0
14,سێ,/seː/,three; 3,0
15,سەد,/sad/,hundred; 100,0
16,سەوز,/sawz/,green,0
17,شانزە,/ʃaːnza/,sixteen; 16,0
18,شوقە,/ʃuqa/,"(Iraq) apartment, flat",0
19,شەش,/ʃaʃ/,six; 6,0
20,عێراق,/ʕeːraːq/,Iraq (a country in Western Asia),0
21,عەشق,/ʕaʃq/,"love, usually romantic",0
22,قاوەیی,/qaːwajiː/,brown,0
23,قووڵ,/quːɫ/,deep,0
24,من,/mɪn/,"I, me, my, mine",0
25,نۆ,/noː/,nine; 9,0
26,نۆزدە,/noːzda/,nineteen; 19,0
27,وشک,/wəʃk/,dry,0
28,پانزە,/paːnza/,fifteen; 15,0
29,پرتەقاڵی,/pəɾtaqaːɫiː/,orange,0
30,پێغەمەر,/peːɣamaɾ/,prophet,0
31,پێنج,/peːnd͡ʒ/,five; 5,0
32,چوار,/t͡ʃ(ə)waːr/,four; 4,0
33,چواردە,/t͡ʃ(ə)waːrda/,fourteen; 14,0
34,چۆنی,/t͡ʃoːni/,how are you,0
35,ڕۆژنامە,/roːʒnaːma/,newspaper,0
36,ڕەش,/raʃ/,black,0
37,ڤ,[vɛ],"A letter of the Kurdish-Arabic alphabet, pronounced [v]",0
38,کارۆ,/kaːɾo̞ː/,"A male given name, Karo",0
39,کرم,/kər(ə)m/,worm,0
40,کەڵەباب,/kaɫabaːb/,"cock, rooster",0
41,کەڵەشێر,/kaɫaʃeːɾ/,"cock, rooster",0
42,گا,/ɡaː/,bull,0
43,گڵ,/ɡəɫ/,clay,0
44,ڵ,/ɫ/,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",0
45,ھەشت,/haʃt/,eight; 8,0
46,ھەموو,/hamuː/,"all, every, whole, entire, all of",0
47,ھەژدە,/haʒda/,eighteen; 18,0
48,یانزە,/jaːnza/,eleven; 11,0
49,یەک,/jak/,one; 1,0
50,*čatwā́rah,ˈæstɚɹˌɪsk kˈætwɚ ɹˈɑː,,1
