ID,Form,IPA,Gloss,Language_ID
0,aacatlah,[aʔˈaː.kat͡ɬ],"reed bed, 1555, Alonso de Molina, Aqui comienca vn",0
1,ac,/aːk/,who?,0
2,acacalotl,/ aːˈkakaloːt͡ɬ /,A jabiru.,0
3,acah,/ˈakaʔ/,Someone; somebody.,0
4,acahualli,/ˈáː.kawa.lːi/,weed,0
5,acaicpalli,[aːˈka.ikˈpa.lːi],reed chair,0
6,acalchimalli,/ˈákaːl.tʃiː.ˈma.lːi/,"war canoe, war ship.",0
7,acalli,/aːˈka.lːi/,"An small vessel; especially a boat or canoe., 1555,",0
8,acalmaitl,[aː.kaɬˈmaː.it͡ɬ],"flank (of a ship), 1555, Alonso de Molina, Aqui comienca",0
9,acalyacatl,[aː.kaɬˈja.kat͡ɬ],"bow (of a ship), 1555, Alonso de Molina, Aqui comienca",0
10,Acapolco,/ˈaːkapoːlko/,"Acapulco (the largest city in the modern state of Guerrero,",0
11,acatl,[ˈáː.kat͡ɬ],"reed, 1555, Alonso de Molina, Aqui comienca vn vocabulario",0
12,acatlah,[aːˈka.t͡ɬaʔ],"reed bed, 1555, Alonso de Molina, Aqui comienca vn",0
13,acatlan,[aːˈka.t͡ɬan],reed bed,0
14,acattopa,/akatˈtopa/,"first, in the first place, beforehand, 1645,  Horacio",0
15,acaxitl,[aːˈka.ʃit͡ɬ],"pool, trough",0
16,acaxtontli,/aːkaʃˈtoːnt͡ɬi/,"Diminutive of ācaxitl; a trough, a small pool or tank.,",0
17,acayotl,/aːkajoːtɬ/,"piping, male genitalia",0
18,acecec,/aːˈse.seːk/,fresh water,0
19,acelli,/ˈaseːlli/,"nit (egg of a louse)
1571, Alonso de Molina, Vocabulario en lengua castellana y mexicana y mexicana y castellana, f. 2r. col. 1.
Acelli. liendre.
(Acelli. nit.)",0
20,acelloh,[aˈseː.lːoʔ],"Something nitty; covered in nits., 1555, Alonso de",0
21,achcolli,/ˈat͡ʃkoːlli/,"great-grandfather, ancestor",0
22,achtontli,/atʃtoːntɬi/,"Great-grandfather., 1555, Alonso de Molina, Aqui comienca",0
23,acoatl,[aːˈkoː.aːt͡ɬ],"aquatic snake, 1571, Alonso de Molina, Vocabulario",0
24,acxoyatl,[akˈʃoːjat͡ɬ],sacred fir (Abies religiosa).,0
25,ahcan,/aʔkaːn/,Nowhere.,0
26,ahhua,/ˈaʔwa/,"(transitive) To scold someone, to argue",0
27,ahhuachchoh,[aʔˈwat.t͡ʃoʔ],"something dewy; wet with or covered in dew., 1555,",0
28,ahhuachtli,[aʔˈwat͡ʃ.t͡ɬi],"dew
1555, Alonso de Molina, Aqui comienca vn vocabulario en la lengua castellana y mexicana, f. 216v.
Rocio.  auechtli.auachtli.
Dew.  auechtli. auachtli.
1571, Idem, Vocabulario en lengua castellana y mexicana y mexicana y castellana, f. 105r. col. 2.
Rocio.auechtli.auachtli.
Dew. auechtli. auachtli.",0
29,ahhuatl,/ˈaʔwat͡ɬ/,"A long, slender thorn.
1571, Alonso de Molina, Vocabulario en lengua castellana y mexicana y mexicana y castellana, f. 9r. col. 2.
auatl. enzina, roble, gusano lanudo. o espina.
(auatl. oak, hairy worm. or thorn.)",0
30,ahhuechchoh,[aʔˈwet.t͡ʃoʔ],"something dewy; wet with or covered in dew., 1555,",0
31,ahhuechtli,[aʔˈwet͡ʃ.t͡ɬi],"dew
1555, Alonso de Molina, Aqui comienca vn vocabulario en la lengua castellana y mexicana, f. 216v.
Rocio.  auechtli.auachtli.
Dew.  auechtli. auachtli.
1571, Idem, Vocabulario en lengua castellana y mexicana y mexicana y castellana, f. 105r. col. 2.
Rocio.auechtli.auachtli.
Dew.auechtli. auachtli.",0
32,ahmicqui,[aʔˈmik.ki],"Someone or something immortal., 1571, Alonso de Molina,",0
33,ahmiquiliztli,/aʔmikiˈlis.t͡ɬi/,"immortality, 1571, Alonso de Molina, Vocabulario en",0
34,ahmo,/aʔmoː/,"No; not., 1611, Pedro de Arenas, Vocabulario manual",0
35,ahpohualiztli,[aʔ.poː.waˈlis.t͡ɬi],"infinity, 1571, Alonso de Molina, Vocabulario en lengua",0
36,ahtlanqui,/aʔtɬanki/,"Without end; infinite; eternal., c1609, Tezozomoc,",0
37,ahtlatl,/aʔtɬatɬ/,"an atlatl, a spearthrower; a combined spearthrower",0
38,ahuacacuahuitl,/aːwakaˈkʷawit͡ɬ/,avocado (tree),0
39,ahuacamilli,[aː.wa.kaˈmi.lːi],"Land cultivated with avocado trees., 1571, Alonso de",0
40,ahuacamolli,[aː.wa.ka.ˈmóː.lːi],"Avocado sauce; guacamole., 1571, Alonso de Molina,",0
41,ahuacatl,/aːwakat͡ɬ/,avocado,0
42,ahuatomatl,[aː.waˈto.mat͡ɬ],"acorn, 1555, Alonso de Molina, Aqui comienca vn vocabulario",0
43,ahuehuetl,/aːweːweːtɬ/,A cypress.,0
44,ahuillahtolli,/aːwillaʔtoːlli/,"(games) Wordgame; wordplay., 1555, Alonso de Molina,",0
45,ahuitzotl,/aːwitsoːtɬ/,otter,0
46,ahuiyani,/aːˈwi.ja.ni/,"prostitute, 1555, Alonso de Molina, Aqui comienca vn",0
47,ahuiyanicalli,/aːwijaˈnikalli/,"brothel, 1555, Alonso de Molina, Aqui comienca vn vocabulario",0
48,aic,/a(j)iːk/,"never, 1555, Alonso de Molina, Aqui comienca un vocabulario",0
49,aihtectli,[aː.iʔˈtek.t͡ɬi],"(geography) gulf, 1571, Alonso de Molina, Vocabulario",0
50,alahua,/aˈlaːwa/,(transitive) To slide something.,0
51,alcalde,[aɬˈkáːɬ.teʔ],"A municipal judge or member of the cabildo., 1555,",0
52,alcaldeyotl,[aɬ.kaːɬˈteʔ.joːt͡ɬ],"mayorship, 1555, Alonso de Molina, Aqui comienca vn",0
53,alo,[ˈálo],"(it is) a scarlet macaw; Ara macao.
1555, Alonso de Molina, Aqui comienca vn vocabulario en la lengua castellana y mexicana, f. 188r.
Papagayo grãde. alo.
A large parrot. alo.
1571, Alonso de Molina, Vocabulario en lengua castellana y mexicana y mexicana y castellana, pt 2, f. 4r. col. 1.
Alo. papagayo grande.
Alo. a large parrot.",0
54,alotl,/ˈa.lot͡ɬ/,Macaw.,0
55,altepecuaxochtli,[aːɬ.te.peː.kʷaːˈʃoːt͡ʃ.t͡ɬi],"A marking of the delimitation of a city or town., 1571,",0
56,altepetepantli,[aːɬ.te.peː.teˈpaːn.t͡ɬi],"A marking of the delimitation of a city or town., 1571,",0
57,altepetl,/aːltepeːt͡ɬ/,"(inanimate, not pluralized) altepetl; a town or city.,",0
58,altepetlacatl,[aːltepeːt͡ɬaːkat͡ɬ],"citizen, townsman, inhabitant of a city or town",0
59,altepetlahcuiloh,[aːɬ.te.peː.t͡ɬaʔˈkʷí.loʔ],(he or she is) the altepetl's scribe; an illustrator,0
60,altepetlalli,[aːɬ.te.peːˈt͡ɬaː.lːi],"communal land; land belonging to a town or city., 1571,",0
61,Amaquemehcan,/aːmakeːmeʔkaːn/,"Amaquemecan; Amecameca, the official name is Amecameca",0
62,amatlahcuilolli,[aː.ma.t͡ɬaʔ.kʷiˈloː.lːi],"A letter; a written message., 1555, Alonso de Molina,",0
63,amaxayacatl,[aː.ma.ʃaːˈja.kat͡ɬ],"paper mask, 1571, Alonso de Molina, Vocabulario en",0
64,amehhuan,/ameʔwaːn/,"you (plural, emphatic)",0
65,amehhuantin,/ameʔˈwaːntin/,(emphatic) you (plural),0
66,ameyalatl,[aː.meːˈja.laːt͡ɬ],"springwater, 1571, Alonso de Molina, Vocabulario en",0
67,ameyallah,[aː.meːˈja.lːaʔ],"A place abounding with springs., 1555, Alonso de Molina,",0
68,ameyalli,[aː.meːˈja.lːi],"A place where water wells; a spring or a fountain.,",0
69,ameyaltontli,[aː.meː.jaɬˈtoːn.t͡ɬi],Diminutive of āmēyalli; a small spring or source of,0
70,amilli,[aːˈmiː.lːi],"irrigated field or land, 1571, Alonso de Molina, Vocabulario",0
71,amilotetl,[ámiˈlótet͡ɬ],"(it is) the roe of the amilotl, a white fish., 1571:",0
72,amilotl,[aˈmílot͡ɬ],"(it is) a type of white fish, perhaps Chrirostroma humboldtianum.
1571: Alonso de Molina, Vocabulario en lengua castellana y mexicana y mexicana y castellana, Pt 2, f. 5r. col. 1.
Amilotl. peſcado blanco, como albur.
Amilotl. a white fish, similar to a mullet.
1571: Idem, Vocabulario en lengua castellana y mexicana y mexicana y castellana, Pt 1, f. 95v. col. 1.
Peſcado blanco, como albur. amilotl.
A white fish, similar to a mullet. amilotl.",0
73,amintli,/aːˈmiːntli/,diarrhea,0
74,amiqui,/aːmiki/,"(intransitive) To die of thirst., (intransitive) To",0
75,amiquiztli,[aː.miˈkis.t͡ɬi],"thirst, 1555, Alonso de Molina, Aqui comienca vn vocabulario",0
76,amiztli,[ˈaː.mis.t͡ɬi],Sea lion.,0
77,amoxcalli,/aːmoʃkalli/,"library, 1555, Alonso de Molina, Aqui comienca un vocabulario",0
78,amoxnamacac,/aːmoʃnamakak/,"Bookseller., 1555, Alonso de Molina, Aqui comienca",0
79,amoxpohua,/aːˈmoʃpoːwa/,"(intransitive) to read from a book or text., Synonym:",0
80,amoxpohualiztli,/aːmoʃpoːˈwalist͡ɬi/,A reading of books.,0
81,amoxpohuani,/aːmoʃˈpoːwani/,"A reader or well-read person., 1571, Alonso de Molina,",0
82,amoxtepiton,[aː.moʃ.teˈpi.toːn],"Diminutive of āmoxtli; a small book., 1555, Alonso",0
83,amoxtlahcuiloh,[aː.moʃ.t͡ɬaˈkʷi.loʔ],"A scribe; a person who writes books by hand., 1571,",0
