ID,Form,IPA,Gloss,Language_ID
0,aapul,/ɑːpʊl/,apple; a round fruit which grows in temperate climates.,0
1,aspataal,/əspətɑl/,hospital,0
2,baakas,/bɑːkəs/,"box; a rectangular container, used for storing things,",0
3,baggii,/bəɡɡiː/,A horse drawn cart.,0
4,bareed,/bərɛːd/,bread,0
5,belfut,/beːlfʊt/,breadfruit,0
6,belo,/beːloː/,work break,0
7,biin,/biːn/,"Vigna unguiculata subsp. sesquipedalis (snake bean,",0
8,biskut,/bɪskʊt/,biscuit,0
9,bulu,/bʊlʊ/,blue,0
10,bulut,/bʊlʊt/,bolt,0
11,burus,/bʊrʊs/,toothbrush,0
12,chaak,/cɕəɑːk/,"chock, hinderance",0
13,diipuu,/diːpuː/,Where Indian indentured labourers were kept before,0
14,faalaa,/fɑːlɑː/,fellow,0
15,faank,/fɑːnk/,garden fork,0
16,falaawaa,/fəlɑːvɑː/,plough,0
17,faraak,/fərɑːk/,dress,0
18,filam,/fɪləm/,film,0
19,firii,/fɪriː/,"Not of bondage; free, Obtainable without payment; free",0
20,firiimaan,/fɪriːmɑːn/,A person who has completed his indenture.,0
21,garaund,/ɡərɔːnd/,A playing field.,0
22,geet,/ɡɛːʈ/,paddock,0
23,geng,/ɡeːnɡ/,Work gang,0
24,gilaas,/ɡɪlɑːs/,"glass, tumbler, mirror",0
25,giraas,/ɡɪrɑːs/,grass,0
26,girmit,/ɡɪrmɪʈ/,indenture system,0
27,gorment,/ɡoːrmeːnt/,government,0
28,gwaan,/ɡəwɑːn/,go on - used to shoo away animals.,0
29,haafaa,/hɑːfɑː/,Half of the task allotted to a cane-cutting pair.,0
30,haamaa,/hɑːmɑː/,hammer,0
31,hedmaan,/heɪdmɑɪn/,foreman,0
32,hutel,/hʊʈeːl/,hotel,0
33,ingin,/ɪnɡɪn/,"engine, locomotive",0
34,kaabij,/kɑːbɪj/,"Chinese cabbage, bok choy.",0
35,kampanii,/kəmpəniː/,The Colonial Sugar Refining Company based in Fiji,0
36,kantaap,/kəɲtɑːp/,cane top,0
37,kek,/keːk/,cake,0
38,kichin,/kɪchɪn/,kitchen,0
39,kulambar,/kʊləmbər/,overseer,0
40,kurbaal,/kʊrbɑːl/,crowbar,0
41,laaesan,/ləeːsən/,licence,0
42,laiin,/ləɪɳ/,Workers barracks.,0
43,lainamaan,/ləɪnəmɑɪn/,linesman,0
44,lef,/leːf/,left (left hand side),0
45,maachis,/mɑːcɕəɪs/,matches,0
46,maarit,/mɑːrɪt/,(Civil) marriage.,0
47,maarkit,/mɑːrkɪt/,market,0
48,maastaa,/mɑːstɑː/,Male teacher.,0
49,mail,/maɪl/,mile,0
50,masiin,/məsiːn/,machine,0
51,memiyaa,/meːmɪyɑː/,European woman,0
52,minit,/mɪnɪt/,minute (unit of time),0
53,motar,/moːʈər/,car,0
54,niilaa,/niːlɑː/,nail,0
55,painap,/pɛːnəp/,pineapple,0
56,palet,/pəleːʈ/,plate,0
57,paraakaa,/pəɽɑːkɑː/,firecracker,0
58,ponii,/poːniː/,short,0
