ID,Form,IPA,Gloss,Language_ID
0,alumar,[alyˈma],to light,0
1,amar,/a.ma/,"to love, Je t'âmo ― I love you., to like, Il âme bien",0
2,avêr,/aˈver/,to have,0
3,betar,/bøˈta/,to put,0
4,bon,/bɔ̃/,"good, Comment el est bon de vos veir !, right, correct,",0
5,chalêr,/tsa.lēr/,"(impersonal, reflexive, sé chalêr) to bother, to worry,",0
6,chôd-temps,/θo.tɛ̃/,summer,0
7,diccionèro,/dik.sjɔ.nɛːro/,dictionary,0
8,falêr,/fa.lēr/,"(impersonal) to be necessary, O ne fôt pas fâre cen,",0
9,fèna,/ˈfɛnɑ/,woman,0
10,finir,/finiʁ/,"to finish, end, complete",0
11,hivèrn,/i.vɛr/,winter,0
12,homo,/ˈomo/,man,0
13,motiér,/o.tõ/,"minster, church",0
14,ôton,/o.tõ/,autumn,0
15,ouè,/ˈwɛ/,yes!,0
16,ouè,/ˈwɛ/,yes,0
17,pôt-étre,/pɛˈtetrə/,(Bressan dialect) maybe,0
18,relojo,/rɛˈloʒo/,clock,0
19,rendre,/rendʁ/,"to render, to give back, to make, Tu me rends malade,",0
20,rousa,/ˈruzɑ/,rose,0
21,sêson,/sɛ.zɔ̃/,season,0
22,valêr,/va.lēr/,"(intransitive) to be worth, (transitive) to earn, to",0
23,vendre,/vendʁ(ə)/,"(transitive) to sell, (reflexive) to sell, Celi livro",0
24,*bōtan,ˈæstɚɹˌɪsk bˈɑːtən,,1
