ID,Form,IPA,Gloss,Language_ID
0,abacada,/ʔàː.bàː.t͡ʃàː.dâː/,"alphabet, ABC's (of Latin script)",0
1,abarba,/ʔà.bàɽ.báː/,pineapple,0
2,Abdu,/ʔáb.dù/,A short form of any of various male given names starting,0
3,Abdulhamid,/ʔàb.dùl.hà.mîd/,A male given name,0
4,Abdulƙadir,/ʔàb.dùl.kʼáː.dìr/,"A male given name, A  surname​.",0
5,Abdullahi,/ʔàb.dùl.láː.hì/,"A male given name, equivalent to English Abdullah,",0
6,Abdurrahim,/ʔàb.dùr.rà.hîm/,A male given name,0
7,Abdussalamu,/ʔàb.dùs.sà.láː.mù/,A male given name,0
8,abiyo,/ʔà.bì.jôː/,"(Niger) airplane, Synonym: jirgin samà",0
9,abjadi,/ʔáb.(d)ʒà.díː/,"alphabet, abjad (particularly of Arabic script)",0
10,aboka,/ʔà.bòː.kâː/,"(Niger) lawyer, Synonym: lauyā̀",0
11,aboki,/ʔà.bóː.kíː/,friend,0
12,abu,/ʔà.bù/,"thing, object",0
13,Abubakar,/ʔà.búː.bá.kàr/,A male given name,0
14,acca,/ʔát͡ʃ.t͡ʃàː/,fonio (Digitaria exilis),0
15,adabo,/ʔá.dàː.bóː/,goodbye,0
16,Adamu,/ʔàː.dà.mú/,"Adam (biblical character), A male given name: Adam",0
17,addini,/ʔàd.díː.nìː/,religion,0
18,addu'a,/ʔàd.dú.ʔàː/,"(religion) a prayer, (Islam) a prayer that is not one",0
19,aduwa,/ʔá.dú.wàː/,desert date palm (Balanites aegyptiaca),0
20,Afirka,/ʔá.fír.kà/,Africa,0
21,Afrilu,/ʔàf.ríː.lù/,April,0
22,agade,/ʔà.ɡà.dè/,plantain,0
23,agogo,/ʔà.ɡóː.ɡó/,"clock, watch",0
24,agola,/ʔá.ɡòː.là/,stepchild,0
25,agushi,/ʔà.ɡú.ʃíː/,egusi (melon seeds used to make soup),0
26,Agusta,/ʔà.ɡús.tàː/,August,0
27,agwado,/ʔà.ɡʷàː.dóː/,maize,0
28,agwagwa,/ʔà.ɡʷàː.ɡʷáː/,duck,0
29,Ahmad,/ʔáː.màd/,A male given name,0
30,Ailan,/ʔái.làn/,Ireland (a country in Europe),0
31,ainun,/ʔái.nùn/,"very much, extremely",0
32,A'ishatu,/ʔáː.ʔì.ʃá.tù/,"Aisha (wife of Muhammad), A female given name: Aisha",0
33,ajami,/ʔà.(d)ʒà.mí/,Arabic script used for Hausa,0
34,ajuza,/ʔà.(d)ʒúː.zàː/,"(derogatory) a shameless woman, a (female) liar",0
35,akara,/ʔà.kà.ɽà/,"a deep-fried bean cake, Synonym: ƙōsai",0
36,akasidan,/ʔá.ká.sì.dân/,automobile accident,0
37,akawu,/ʔà.kàː.wú/,clerk,0
38,akushi,/ʔá.kù.ʃíː/,a type of blackened wooden bowl,0
39,akwasa,/ʔá.kʷá.sáː/,A polished wooden bar used for weaving.,0
40,akwati,/ʔà.kʷàː.tì/,"box, crate",0
41,aƙalla,/ʔà.kʼál.là/,at least,0
42,aƙida,/ʔà.kʼíː.dàː/,ideology,0
43,alabe,/ʔà.lá.bèː/,leather wallet (often carried hanging from the neck),0
44,alade,/ʔà.lá.dèː/,pig,0
45,alaramma,/ʔá.là.rám.mà/,(Islam) hafiz (someone who has memorized the entire,0
46,alatu,/ʔáː.láː.tù/,luxury item,0
47,al'aura,/ʔàl.ʔáu.ràː/,"(euphemistic) sexual organ; pudendum, (Islam) awrah",0
48,alawa,/ʔà.láː.wàː/,halva or similar candy,0
49,albarka,/ʔàl.bár.kàː/,"blessing, abundance, prosperity",0
