ID,Form,IPA,Gloss,Language_ID
0,ँ,[ə̃],chandrabindu (a nasal vowel diacritic of the Devanagari script),0
1,ं,[ə̃ŋ],anusvara,0
2,अ,/ə/,"the first vowel of Hindi, written in the Devanagari script; inherent after consonants
कह kaha",0
3,अँ,/ə̃/,the fourteenth vowel in Hindi,0
4,अँकवैया,/ə̃k.ʋə̯i.jɑː/,"valuer, appraiser",0
5,अँगड़ाई,/əŋ.ɡɽɑː.iː/,Alternative spelling of अंगड़ाई (aṅgṛāī),0
6,अँगरेज़,/əŋ.ɡɾeːd͡ʒ/,Alternative spelling of अंग्रेज़ (aṅgrez),0
7,अँगरेज़,/əŋ.ɡɾeːd͡ʒ/,Alternative spelling of अंग्रेज़ (aṅgrez),0
8,अँगरेज़ी,/əŋ.ɡɾeː.d͡ʒiː/,Alternative spelling of अंग्रेज़ी (aṅgrezī): English; British; of or pertaining to the English language; Western,0
9,अँगरेज़ी,/əŋ.ɡɾeː.d͡ʒiː/,Alternative spelling of अंग्रेज़ी (aṅgrezī): English (language),0
10,अँगहीन,/əŋ.ɡʱiːn/,Alternative spelling of अंगहीन (aṅghīn),0
11,अँगिया,/əŋ.ɡɪ.jɑː/,Alternative spelling of अंगिया (aṅgiyā),0
12,अँगीठी,/əŋ.ɡiː.ʈʰiː/,"small stove, brazier, 1880 – 1936, Premchand, Aatmaaraam :वह",0
13,अँगूठी,/əŋ.ɡuː.ʈʰiː/,Alternative spelling of अंगूठी (aṅgūṭhī),0
14,अँग्रेज़,/əŋ.ɡɾeːd͡ʒ/,Alternative spelling of अंग्रेज़ (aṅgrez),0
15,अँग्रेज़,/əŋ.ɡɾeːd͡ʒ/,Alternative spelling of अंग्रेज़ (aṅgrez),0
16,अँग्रेज़ी,/əŋ.ɡɾeː.d͡ʒiː/,Alternative spelling of अंग्रेज़ी (aṅgrezī): English; British; of or pertaining to the English language; Western,0
17,अँग्रेज़ी,/əŋ.ɡɾeː.d͡ʒiː/,Alternative spelling of अंग्रेज़ी (aṅgrezī): English (language),0
18,अँटना,/əɳ.ʈnɑː/,"to fit in, be contained in, Synonym: समाना (samānā)",0
19,अँतड़ी,/ə̃t̪.ɽiː/,Alternative spelling of अंतड़ी (antṛī),0
20,अं,/ə̃/,the twelfth vowel in Hindi,0
21,अंक,/əŋk/,"number, numeral, Synonym: संख्या (saṅkhyā), mark, spot,",0
22,अंकगणित,/əŋ.kɡə.ɳɪt̪/,(mathematics) arithmetic,0
23,अंकन,/əŋ.kən/,"counting, enumeration, Synonyms: गिनती (gintī), गणना",0
24,अंकनी,/əŋ.kniː/,pencil (writing utensil),0
25,अंकल,/əŋ.kəl/,"uncle, Synonym: चाचा (cācā), respectful form of address",0
26,अंकारा,/əŋ.kɑː.ɾɑː/,Ankara (the capital city of Turkey),0
27,अंकित,/əŋ.kɪt̪/,"marked; noted, Synonyms: लिखा हुआ (likhā huā), चिन्हित",0
28,अंकित,/əŋ.kɪt̪/,"A male given name, Ankit, from Sanskrit",0
29,अंकुर,/əŋ.kʊɾ/,"shoot, bud, sprout, अंकुर फूटना ― aṅkur phūṭnā ― to",0
30,अंकुर,/əŋ.kʊɾ/,"A male given name, Ankur, from Sanskrit",0
31,अंकुरित,/əŋ.kʊ.ɾɪt̪/,"sprouted (of a plant), budding, sprouting",0
32,अंकुश,/əŋ.kʊʃ/,"hook, goad (especially used to drive an elephant),",0
33,अंग,/əŋɡ/,"limb, organ, आंतरिक अंग ― āntrik aṅg ― internal organ,",0
34,अंग-मर्दन,/əŋɡ.məɾ.d̪ən/,"Alternative spelling of अंगमर्दन (aṅgmardan, “massage”)",0
35,अंगच्छेद,/əŋ.ɡət͡ʃ.t͡ʃʰeːd̪/,amputation,0
36,अंगड़ाई,/əŋ.ɡɽɑː.iː/,"stretching of the limbs, थकावट में उसने अंगड़ाई ली।thakāvaṭ",0
37,अंगदान,/əŋ.ɡd̪ɑːn/,organ donation,0
38,अंगन,/əŋ.ɡən/,"(rare, formal) courtyard",0
39,अंगना,/əŋ.ɡə.nɑː/,"(poetic) woman, Synonyms: महिला (mahilā), औरत (aurat),",0
40,अंगमर्दन,/əŋ.ɡməɾ.d̪ən/,"massage, Synonyms: मालिश (māliś), मसाज (masāj)",0
41,अंगरक्षक,/əŋ.ɡɾək.ʂək/,bodyguard,0
42,अंगसंग,/əŋ.ɡsəŋɡ/,"(rare, formal) sexual intercourse, Synonyms: see Thesaurus:संभोग",0
43,अंगहीन,/əŋ.ɡʱiːn/,"disabled, crippled",0
44,अंगार,/əŋ.ɡɑːɾ/,Alternative form of अंगारा (aṅgārā),0
45,अंगारा,/əŋ.ɡɑː.ɾɑː/,"hot coal, cinder, ember, अंगारा बनना ― aṅgārā bannā",0
46,अंगिया,/əŋ.ɡɪ.jɑː/,"angiya, choli, bodice, Synonym: चोली (colī)",0
47,अंगीकार,/əŋ.ɡiː.kɑːɾ/,"acceptance, recognition, assent, agreement, Synonym:",0
48,अंगुल,/əŋ.ɡʊl/,finger-breadth (the width of a finger),0
49,अंगुली,/əŋ.ɡʊ.liː/,Alternative form of उंगली (uṅglī),0
50,अंगूठा,/əŋ.ɡuː.ʈʰɑː/,"thumb, Synonym: अंगुष्ठ (aṅguṣṭh), the big toe, hallux",0
51,अंगूठी,/əŋ.ɡuː.ʈʰiː/,ring (type of jewelry),0
52,अंगूर,/əŋ.ɡuːɾ/,"grape, Synonym: दाख (dākh)",0
53,अंगोछा,/əŋ.ɡoː.t͡ʃʰɑː/,"towel, Synonyms: तौलिया (tauliyā), गमछा (gamchā)",0
54,अंगोट,/əŋ.ɡoːʈ/,(rare) the formation or creation of the body; the structure,0
55,अंगोला,/əŋ.ɡoː.lɑː/,Angola (a country in Africa),0
56,अंग्रेज,/əŋ.ɡɾeːd͡ʒ/,nuqtaless form of अंग्रेज़ (aṅgrez),0
57,अंग्रेज़,/əŋ.ɡɾeːd͡ʒ/,English person (Englishman or Englishwoman),0
58,अंग्रेज़,/əŋ.ɡɾeːd͡ʒ/,English (of or relating to England),0
59,अंग्रेज़ी,/əŋ.ɡɾeː.d͡ʒiː/,"English; British; of or pertaining to the English language,",0
60,अंग्रेज़ी,/əŋ.ɡɾeː.d͡ʒiː/,"English (language), क्या आपको अंग्रेज़ी आती है?kyā",0
61,अंग्रेजी,/əŋ.ɡɾeː.d͡ʒiː/,nuqtaless form of अंग्रेज़ी (aṅgrezī),0
62,अंग्रेजी,/əŋ.ɡɾeː.d͡ʒiː/,nuqtaless form of अंग्रेज़ी (aṅgrezī),0
63,अंचल,/ən.t͡ʃəl/,"region, Synonyms: क्षेत्र (kṣetra), इलाक़ा (ilāqā),",0
64,अंछर,/ən.t͡ʃʰəɾ/,"spell, incantation",0
65,अंजन,/ən.d͡ʒən/,"collyrium; kohl (when applied on the eyes), Synonyms:",0
66,अंजर-पंजर,/ən.d͡ʒəɾ.pən.d͡ʒəɾ/,"bones (the individual parts of a skeleton), (figuratively)",0
67,अंजाम,/ən.d͡ʒɑːm/,"end, finishing, अंजाम देना ― añjām denā ― to finish,",0
68,अंजीर,/ən.d͡ʒiːɾ/,"ficus (tree), fig (fruit)",0
69,अंजु,/ən.d͡ʒuː/,"onefold, straightforward, simple, clear, apparent",0
70,अंट-संट,/əɳʈ.səɳʈ/,"(chiefly Delhi, colloquial) nonsensical, rubbish, अंट-संट",0
71,अंटार्कटिका,/əɳ.ʈɑːɾk.ʈɪ.kɑː/,Antarctica,0
72,अंटार्टिका,/əɳ.ʈɑːɾ.ʈɪ.kɑː/,Alternative form of अंटार्कटिका (aṇṭārkṭikā),0
73,अंड-बंड,/əɳɖ.bəɳɖ/,nonsensical (lacking sense),0
74,अंड-बंड,/əɳɖ.bəɳɖ/,"nonsensically (in a nonsensical manner), आदमी सड़क",0
75,अंडकर्कटी,/əɳ.ɖkəɾ.kə.ʈiː/,"(rare) a papaya, Synonyms: पपीता (papītā), पपाया (papāyā),",0
76,अंडकोष,/əɳ.ɖkoːʂ/,(anatomy) scrotum,0
77,अंडमान,/əɳ.ɖmɑːn/,Andaman Islands (an archipelago in the Bay of Bengal),0
78,अंडा,/əɳ.ɖɑː/,"egg, उबला हुआ अंडा ― ublā huā aṇḍā ― boiled egg",0
79,अंतःक्षेप,/ən.t̪ə(ɦ).kʂeːp/,"(neologism) injection, Synonyms: इंजेक्शन (iñjekśan),",0
