ID,Form,IPA,Gloss,Language_ID
0,abang,/abaŋ/,red,0
1,abang,/abaŋ/,red,0
2,anget,/a.ŋət/,"warm, hot",0
3,banci,/ban.t͡ʃi/,a plant whose leaves are used in folk medicines or,0
4,bathik,/ˈba.ʈɪʔ/,a texture-picture drawing on a textile material by,0
5,bledhug,/bləɖoɡ/,(dialectal) mud,0
6,bledhug,/bləɖoɡ/,to explode,0
7,bledhug,/bləɖoɡ/,Misspelling of bledug.,0
8,bledhug,/bləɖoɡ/,to explode,0
9,bledhug,/bləɖoɡ/,Misspelling of bledug.,0
10,bledhug,/bləɖoɡ/,Misspelling of bledug.,0
11,bledug,/bləd̪ɔɡ/,"dust, especially in the air, 1877,  Radèn Mas Adipati",0
12,bledug,/bləd̪ɔɡ/,"baby elephant, 1937 December 18,  “Mula Bukané Tikus",0
13,bledug,/bləd̪ɔɡ/,"earnings apart from salary (tips, commission, etc.)",0
14,bledug,/bləd̪ɔɡ/,Misspelling of bledhug.,0
15,bledug,/bləd̪ɔɡ/,"baby elephant, 1937 December 18,  “Mula Bukané Tikus",0
16,bledug,/bləd̪ɔɡ/,"earnings apart from salary (tips, commission, etc.)",0
17,bledug,/bləd̪ɔɡ/,Misspelling of bledhug.,0
18,bledug,/bləd̪ɔɡ/,"earnings apart from salary (tips, commission, etc.)",0
19,bledug,/bləd̪ɔɡ/,Misspelling of bledhug.,0
20,bledug,/bləd̪ɔɡ/,Misspelling of bledhug.,0
21,karéta,/ˈka.re.tɔ/,Alternative form of kréta,0
22,kréta,/ˈkre.tɔ/,"cart, carriage, train",0
23,peju,/pe.d͡ʒu/,(slang) sperm,0
24,penthil,/pənʈel/,nipple,0
25,pentil,/pənt̪el/,fruit bud,0
26,pentil,/pənt̪el/,Misspelling of penthil.,0
27,pentil,/pənt̪el/,Misspelling of penthil.,0
28,réta,/ˈre.tɔ/,"(colloquial) cart, carriage, (colloquial) train",0
29,tangan,/ˈta.ŋan/,(anatomy) hand,0
30,tungkas,/tʊŋkas/,"message, instruction",0
31,wong,/ˈwɔŋ/,"man, person, human being, 1889, C.F. Winter, Dongèng",0
32,wulu,/ˈwu.lu/,"(anatomy) hair, Hyponym: rambut, (anatomy) fur, (anatomy)",0
33,wulu,/ˈwu.lu/,vowel sign i in the Javanese writing system,0
34,ꦏꦔꦼꦤ꧀,[ˈka.ŋən],"desirous, feeling desire; eagerly wishing; eager to",0
35,ꦏꦸꦛ,/ku.ʈa/,town,0
36,ꦕꦼꦩꦼꦔꦚ꧀,/ˈtʃə.mə.ŋan/,an empty rice paddy after the harvest season,0
37,ꦗꦩ꧀ꦧꦸ,/ˈjam.bu/,"rose apple tree, 1932 January 6, Kajawèn, Balai Pustaka,",0
38,ꦠꦔꦤ꧀,/ˈta.ŋan/,(anatomy) hand (part of the body),0
39,ꦠꦶꦂꦠ,/tirtɔ/,"holy water., cleansing ritual bath.",0
40,ꦠꦺꦴꦪ,/tojɔ/,(polite) water,0
41,ꦥꦸꦗꦁꦒ,[puˈdʒ̊ɔŋɡ̊ɔ],"a person who is particularly good at the art of writing; a novelist, a poet, a literary genius.",0
42,ꦥꦸꦭꦺꦴ,/pulo/,island,0
43,ꦧꦛꦶꦏ꧀,/ˈba.ʈiʔ/,a texture-picture drawing on a textile material by,0
44,ꦧꦤ꧀ꦣ,/bɔnɖ̥ɔ/,wealth.,0
