ID,Form,IPA,Gloss,Language_ID
0,fil,/fɪl/,elephant,0
1,gyrg,/ɡyɾɡ/,wolf,0
2,hovo,/hovo/,air,0
3,muş,/muʃ/,"mouse, rat",0
4,qəçele,/ɢædʒɛlɛ/,magpie,0
5,syrx,/syɾχ/,gold,0
6,бэгъ,/bæɢ/,frog,0
7,гуьрг,/ɡyɾɡ/,wolf,0
8,гъэжеле,/ɢædʒɛlɛ/,magpie,0
9,гьово,/hovo/,air,0
10,гӀэсб,/ʕæsb/,horse,0
11,леглег,/lɛɡlɛɡ/,stork,0
12,муш,/muʃ/,"mouse, rat",0
13,суьрх,/syɾχ/,gold,0
14,фил,/fɪl/,elephant,0
15,хуьрс,/χyɾs/,bear,0
16,хьэфд,/ħæfd/,seven,0
17,גאורג,/ɡyɾɡ/,wolf,0
18,האָבאָ,/hovo/,air,0
19,מאוּש,/muʃ/,"mouse, rat",0
20,סאורכ,/syɾχ/,gold,0
21,קאז׳אילאי,/ɢædʒɛlɛ/,magpie,0
22,*haptá,ˈæstɚɹˌɪsk hˈæpt,,1
