ID,Form,IPA,Gloss,Language_ID
0,ёг,/ˈjoɡ/,"litter, rubbish",0
1,Ёма,/ˈjomɑ/,(mythology) Yoma; A folkloric character resembling,0
2,-а,/-ɑ/,Used to form nouns describing the quality of an adjective; -ness,0
3,агас,/ˈɑɡɑs/,harrow,0
4,-анӧй,/ɑnəj/,"Forms endearing nouns.
ныв (nyv, “girl”) → ныланӧй (nylanöj, “girlie”)",0
5,ар,/ˈɑr/,"autumn, fall, (of an age) year",0
6,аски,/ˈɑski/,tomorrow,0
7,аскомысь,/ˈɑskomɨsʲ/,the day after tomorrow,0
8,асыв,/ˈɑsɨv/,morning,0
9,баба,/ˈbɑbɑ/,"woman, old woman, wife",0
10,бадь,/ˈbɑdʲ/,willow,0
11,бать,/ˈbɑtʲ/,"father, dad",0
12,бедь,/ˈbedʲ/,stick,0
13,берд,/ˈberd/,"a unit of length, equal to ca. 8 m or 26 ft., (obsolete)",0
14,блюд,/ˈblʲud/,"dish, plate",0
15,бобув,/ˈbobuv/,butterfly,0
16,бон,/ˈbon/,bast,0
17,бон,/ˈbon/,"completely, entirely, utterly",0
18,бон,/ˈbon/,"completely, entirely, utterly",0
19,борд,/ˈbord/,"wing, fin, flipper (of a fish), feather",0
20,булка,/ˈbulkɑ/,"bread roll, bun",0
21,бус,/ˈbus/,dust,0
22,бутылка,/buˈtɨlkɑ/,bottle,0
23,быг,/ˈbɨɡ/,"foam, seafoam",0
24,ва,/ˈvɑ/,"water, juice, broth",0
25,ва,/ˈvɑ/,"wet, humid",0
26,вад,/ˈvɑd/,"bog, swamp",0
27,важ,/ˈvɑʒ/,"old (of objects), Важ керка. ― Važ kerka. ― An old",0
28,вал,/ˈvɑl/,"billow, wave",0
29,вевт,/ˈvevt/,"roof, covering, cover, lid",0
30,вевтӧс,/ˈvevtəs/,front side,0
31,вежон,/ˈveʒon/,week,0
32,ветымын,/ˈvetɨmɨn/,fifty,0
33,видз,/ˈvid͡zʲ/,meadow,0
34,видз,/ˈvid͡zʲ/,"fasting, fast",0
35,видз,/ˈvid͡zʲ/,"imperative singular of видзны (vidzny), connegative",0
36,видз,/ˈvid͡zʲ/,"fasting, fast",0
37,видз,/ˈvid͡zʲ/,"imperative singular of видзны (vidzny), connegative",0
38,видз,/ˈvid͡zʲ/,"imperative singular of видзны (vidzny), connegative",0
39,видзысь,/ˈvid͡zʲɨsʲ/,present participle of видзны (vidzny),0
40,видзысь,/ˈvid͡zʲɨsʲ/,"guard, watchman",0
41,визув,/ˈvizuv/,"current, flow",0
42,вины,/ˈvinɨ/,"(transitive) to kill, murder, (transitive) to exterminate,",0
43,вис,/ˈvis/,"strait, channel",0
44,вит,/ˈvit/,five,0
45,вичко,/ˈvit͡sʲko/,church,0
46,виысь,/ˈviɨsʲ/,present participle of вины (viny),0
47,виысь,/ˈviɨsʲ/,killer,0
48,во,/ˈvo/,year,0
49,водз,/ˈvod͡zʲ/,early,0
50,водз,/ˈvod͡zʲ/,"front, beginning, earliness",0
51,водзир,/ˈvod͡zʲir/,fang,0
52,вож,/ˈvoʒ/,shaft,0
53,вож,/ˈvoʒ/,"branching, tributary, affluent, spike of a pitchfork,",0
54,вож,/ˈvoʒ/,"branching, tributary, affluent, spike of a pitchfork,",0
55,воз,/ˈvoz/,moth,0
56,вой,/ˈvoj/,"night, north",0
57,вок,/ˈvok/,brother,0
58,воль,/ˈvolʲ/,"deerskin, elkskin",0
59,вольӧс,/ˈvolʲəs/,bedding (for animals),0
60,вом,/ˈvom/,"mouth, rivermouth",0
61,вон,/ˈvon/,canopy,0
62,воськов,/ˈvosʲkov/,step,0
63,вуг,/ˈvuɡ/,handle,0
64,вудж,/ˈvud͡ʒ/,bow,0
65,вуж,/ˈvuʒ/,root,0
66,вуз,/ˈvuz/,"cargo, product",0
67,вуз,/ˈvuz/,"university, college, institute",0
68,вуз,/ˈvuz/,"university, college, institute",0
69,выллюн,/ˈvɨllʲun/,Alternative form of выльлун (vylʹlun),0
70,выльлун,/ˈvɨlʲlun/,Monday,0
71,вӧв,/ˈvəv/,horse (Equus caballus),0
72,вӧв,/ˈvəv/,past connegative singular of вӧвны (vövny),0
73,вӧв,/ˈvəv/,past connegative singular of вӧвны (vövny),0
74,вӧр,/ˈvər/,"forest, wood",0
75,вӧр,/ˈvər/,thief,0
76,вӧр,/ˈvər/,thief,0
77,вӧравны,/ˈvərɑvnɨ/,(intransitive) to hunt,0
78,вӧралысь,/ˈvərɑlɨsʲ/,present participle of вӧравны (vöravny),0
79,вӧралысь,/ˈvərɑlɨsʲ/,hunter,0
