ID,Form,IPA,Gloss,Language_ID
0,386,[sʰa̠mpʰa̠ʎʎuk̚],"Short for 386세대 (386sedae, “386 Generation”).",0
1,386세대,[sʰa̠mpʰa̠ʎʎuk̚ sʰe̞dɛ] ~ [sʰa̠mpʰa̠ʎʎuk̚ sʰe̞de̞],"386 Generation (those born in the 1960s, the politically",0
2,CC,[ɕ͈iɕ͈i],(colloquial) a romantic relationship between students,0
3,hoxy,[ɸʷo̞kʃ͈ɥi] ~ [ɸʷo̞kʃ͈y],"(Internet slang, humorous, neologism) Alternative form",0
4,K-,[kʰe̞i],Used to refer South Korean things or culture that have,0
5,MR,[e̞ma̠ɭ],"(music) This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",0
6,N,[e̞n],"an arbitrary or unspecified number of some size, normally",0
7,SNS,[e̞s͈ɯe̞ne̞s͈ɯ],social media; social media website,0
8,TMI,[tʰi e̞m a̠i],(Internet slang) unnecessary information that one does,0
9,ᅟᅠᆷ직,[ɯmd͡ʑik̚],-worthy (attached between a verb stem and the adjective-deriving,0
10,ᆜ,[jɯ],(obsolete) a vowel of the alphabet of the Korean writing,0
11,ᆢ,[jʌ],"(obsolete) a digraph representing the diphthong [jʌ~jɔ],",0
12,ᆫ데,[ɯnde̞],Alternative form of 는데 (-neunde); see -는데#Usage notes.,0
13,ᆫ지,[ɯɲd͡ʑi],"Alternative form of 는지 (-neunji); see -는지#Usage notes.,",0
14,ᆯ게,[ɭk͈e̞],Post-vocalic and post-liquid allomorphic form of 을게 (-eulkke).,0
15,ᆯ지,[ɯʎt͡ɕ͈i],"Used to convey a doubt, or an indirect question about",0
16,ᆸ니까,[mnik͈a̠],"Post-vowel or post-liquid allomorphic form of 습니까 (-seumnikka, formal polite interrogative suffix)",0
17,ᆸ니다,[mnida̠],Alternative form of 습니다 (-seumnida) (allomorph after a verb stem ending in a vowel or /l/),0
18,ᆸ세다,[ɯps͈e̞da̠],"(Pyongan, Hamgyong) Dialectal form of 읍시다 (-eupsida).",0
19,ᆸ시다,[ɯpɕ͈ida̠],Hortative suffix for sentence-final verbs in the 하오체,0
20,ㄱ,/k/,"기역 (giyeok), the first jamo (letter) of hangeul, the",0
21,ㄱㄱ,[ko̞ɡo̞],"(Internet slang, text messaging) Used to urge someone",0
22,ㄱㄴㄷ순,[ka̠na̠da̠sʰun],"Alternative form of 가나다순 (ganadasun, “hangul alphabetical order”)",0
23,稼,[ka̠],Hanja form? of 가 (“work”).,0
24,街,[ka̠],Hanja form? of 가 (“street; road”).,0
25,가가린,[ka̠ɡa̠ɾin],A transliteration of the Russian surname Гага́рин (Gagárin).,0
26,가가우스어,[ka̠ɡa̠usʰɯʌ̹],The Gagauz language.,0
27,ㄲ,/k͈/,"A digraph of hangul, the Korean alphabet.",0
28,ㄳ,/ks/,"기역시옷 (giyeoksiot), a jamo (letter) of hangeul, the",0
29,ㄴ,/n/,"니은 (nieun, “nieun”), the second jamo (letter) of hangeul;",0
30,ㄴㄴ,[no̞no̞],"(Internet slang, text messaging) no, Antonym: ㅇㅇ (eung)",0
31,ㄷ,/t/,"디귿 (digeut, “digeut”), the third letter of Hangul,",0
32,ㄸ,/t͈/,"A digraph of hangul, the Korean alphabet.",0
33,ㄹ,/l/,"리을 (rieul, “rieul”), the fourth jamo or letter of Hangul,",0
34,ㄹ까,[ɭk͈a̠],Post-vowel and post-liquid allomorphic form of 을까 (-eulkka).,0
35,ㄹ깝쇼,[ɯɭk͈a̠pɕ͈o],"(archaic) In the formal polite speech level, an interrogative suffix used to a superior, by e.g. a shopkeeper to a client or a servant to a master.
빨래를 올릴깝쇼? ― Ppallae-reul ollilkkapsyo? ― Shall I put up the laundry?",0
36,ㄹ래,[ɭɭɛ] ~ [ɭɭe̞],Post-vowel and post-liquid allomorphic form of 을래 (-eullae).,0
37,ㅂ,/p/,"비읍 (bieup, “bieup”), the sixth jamo (letter) of Hangul,",0
38,ㅄ,/ps/,"비읍시옷 (bieupsiot), a jamo (letter) of hangeul, the Korean",0
39,ㅇㅇ,[ɯŋ],"Text messaging spelling of 응 (eung, “yeah”)",0
40,ㅈ,[t͡ɕ],"지읒 (jieut), the ninth jamo (letter) of Hangul, the",0
41,ㅈㅅ,[t͡ɕwe̞sʰo̞ŋ] ~ [t͡ɕø̞sʰo̞ŋ],"Text messaging spelling of 죄송 (joesong, “sorry”)",0
42,ㅋㅋㅋ,[kxɯkxɯkxɯ],"(Internet slang, text messaging) haha, lol (non-dismissive),",0
43,ㅌ,/tʰ/,"티읕 (tieut, “tieut”), the twelfth jamo (letter) of Hangul,",0
44,ㅌ.ㄷ,[tʰɯdɯ],"(North Korea) Abbreviation of 타도제국주의동맹 (Tado Jeguk Juui Dongmaeng), the Down-With-Imperialism Union.",0
45,ㅍ,/pʰ/,"피읖 (pieup, “pieup”), the thirteenth jamo (letter) of",0
46,ㅏ,[a̠],"아 (a), a vowel of the alphabet of the Korean writing",0
47,ㅐ,[ɛ̝],"애 (ae), a vowel of the alphabet of the Korean writing",0
48,ㅑ,[ja̠],"야 (ya), a vowel of the alphabet of the Korean writing",0
49,ㅒ,[jɛ̝],"얘 (yae), a vowel of the alphabet of the Korean writing",0
50,ㅓ,[ʌ̹],"어 (eo), a vowel of the alphabet of the Korean writing system, hangeul.
In the North Korean order, it is the third vowel. In the South Korean order, it is the fifth.",0
51,ㅔ,[e̞],"에 (e), a vowel of the alphabet of the Korean writing",0
52,ㅕ,[jʌ̹],"여 (yeo), a vowel of the alphabet of the Korean writing",0
53,ㅖ,[je̞],"예 (ye), a vowel of the alphabet of the Korean writing",0
54,ㅗ,[o̞],"오 (o), a vowel of the alphabet of the Korean writing system, hangeul.
In the North Korean order, it is the fifth vowel. In the South Korean order, it is the ninth.",0
55,ㅘ,[wa̠],"와 (wa), a vowel of the alphabet of the Korean writing",0
56,ㅙ,[wɛ],"왜 (wae), a vowel of the alphabet of the Korean writing",0
57,ㅚ,[we̞] ~ [ø̞],"외 (oe), a vowel of the alphabet of the Korean writing",0
58,ㅛ,[jo],"요 (yo), a vowel of the alphabet of the Korean writing",0
59,ㅜ,[u],"우 (u), a vowel of the alphabet of the Korean writing system, hangeul.
In the North Korean order, ㅜ (u, “u”) is the seventh vowel. In the South Korean order, it is the fourteenth.",0
60,ㅝ,[wʌ̹],"워 (weo), a vowel of the alphabet of the Korean writing",0
61,ㅞ,[we̞],"웨 (we), a vowel of the alphabet of the Korean writing",0
62,ㅟ,[y],"위 (wi), a vowel of the alphabet of the Korean writing",0
63,ㅠ,[ju],"유 (yu), a vowel of the alphabet of the Korean writing",0
64,ㅡ,[ɯ],"으 (eu), a vowel of the alphabet of the Korean writing system, hangeul.
In the North Korean order, it is the ninth vowel. In the South Korean order, it is the nineteenth.",0
65,ㅢ,[ɰi] ~ [e̞],"의 (ui), a vowel of the alphabet of the Korean writing",0
66,ㅣ,[i],"이 (i), a vowel of the alphabet of the Korean writing",0
67,ㅿ,/z/,"반치음 (banchieum): a voiced alveolar fricative; /z/. Common in Middle Korean, but vanished around the end of the 16th century.",0
68,ㆆ,/◌͈/,"(linguistics) In contemporary Korean dialectology, used to represent an archiphoneme which tenses the subsequent consonant.",0
69,ㆉ,/jø/,"(Early Modern, obsolete) A digraph of ㅛ (yo) and ㅣ (i).",0
70,ㆌ,/jy/,"(Early Modern, obsolete) A digraph of ㅠ (yu) and ㅣ (i).",0
71,ㆍ,/ɨ~ɯ/,(obsolete) A former vowel which merged phonetically,0
72,ㆎ,/ʌj/,(obsolete) A digraph of ㆍ and ㅣ.,0
73,가감,[ka̠ɡa̠m],"addition and subtraction, adjustment, increasing and",0
74,가감하다,[ka̠ɡa̠mɦa̠da̠],to add and reduce,0
75,가강수량,[ka̠ɡa̠ŋsʰuɾja̠ŋ],precipitable water,0
76,가갸시절,[ka̠ɡja̠ɕʰid͡ʑʌ̹ɭ],"A period when a person learns their first alphabet,",0
77,가게,[ˈka̠(ː)ɡe̞],"store, shop, 나는 어제 그 가게에 가서 마실 것을 샀다.Na-neun eoje geu",0
78,가격,[ka̠ɡjʌ̹k̚],"monetary price, 가격을 인하하다 ― gagyeogeul inhahada ― mark",0
79,가격대,[ka̠ɡjʌ̹k̚t͈ɛ] ~ [ka̠ɡjʌ̹k̚t͈e̞],price range,0
80,가계,[ka̠ɡje̞] ~ [ka̠ɡe̞],A family line; bloodline; lineage,0
81,가계,[ka̠ɡje̞] ~ [ka̠ɡe̞],"household economy; family income and expenditure, living",0
82,가계,[ka̠ɡje̞] ~ [ka̠ɡe̞],"household economy; family income and expenditure, living",0
83,가곡,[ka̠ɡo̞k̚],"song, melody, tune",0
84,가공,[ka̠ɡo̞ŋ],processing; treatment; improvement,0
85,가공되다,[ˈka̠(ː)ɡo̞ŋdwe̞da̠] ~ [ˈka̠(ː)ɡo̞ŋdø̞da̠],to be processed,0
86,가공품,[ka̠ɡo̞ŋpʰum],product,0
87,가공하다,[ka̠ɡo̞ŋɦa̠da̠],to process or treat; to improve,0
88,가끔씩,[ka̠k͈ɯmɕ͈ik̚],sometimes,0
89,가난,[ka̠na̠n],poverty,0
90,가난하다,[ka̠na̠nɦa̠da̠],"poor (not wealthy), 가난한 사람이 부자한테 대든다.Gananhan saram-i",0
91,가내공업,[ka̠nɛɡo̞ŋʌ̹p̚] ~ [ka̠ne̞ɡo̞ŋʌ̹p̚],cottage industry; household industry,0
92,가늠,[ka̠nɯm],"aim, approach to a goal, discernment; prediction",0
93,가닛,[ka̠nit̚],"garnet (mineral, gemstone)",0
94,가다,[ka̠da̠],"to go, 가자! ― Gaja! ― Let's go!, Audio (South Korea)(file),",0
95,가다가,[ka̠da̠ɡa̠],"A sequential form of 가다 (gada, “to go”): while going;",0
96,가다가,[ka̠da̠ɡa̠],"sometimes, occasionally, now and then, 가끔 가다가 이상한 기분이",0
97,가다붙다,[ka̠da̠but̚t͈a̠],"(originally Hamgyong, now North Korea) (of two distant",0
98,가달,[ka̠da̠ɭ],"a very ferocious person, (originally Hamgyong, now",0
