ID,Form,IPA,Gloss,Language_ID
0,a,/ʔa/,not,0
1,abe,/ʔa.be/,may (to be allowed),0
2,agung,/ʔa.ɡuŋ/,in the middle of,0
3,ahkau,/ʔa.kʰaw/,Alternative form of hkau,0
4,ahkí,/ʔa.kʰi/,Alternative form of ahkít,0
5,ahkít,/ʔa.kʰit/,now,0
6,asøk,/ʔa.sɨk/,Alternative form of søk,0
7,ayenap,/ʔa.je.nap/,Alternative form of ayénap,0
8,ayénap,/ʔa.je.nap/,yesterday,0
9,bang,/baŋ/,bright,0
10,bit,/bit/,sun,0
11,boem,/bøm/,mountain,0
12,byam,/bjam/,to jump,0
13,byau,/bjaw/,classifier for a bunch of fruit,0
14,byen,/bjen/,to clean,0
15,byit,/bjit/,to give,0
16,byu,/bju/,people,0
17,byáng,/bjaŋ˥/,(transitive) to cure,0
18,bá,/ba/,father,0
19,báng,/baŋ˥/,(intransitive) to contain holes,0
20,bøk,/bɨk/,to shoot,0
21,bøt,/bɨt/,to shoot,0
22,cap,/t͡ʃap/,Classifier for fruit.,0
23,Chengmay,/t͡ɕʰeŋ.maɪ̯/,Chiang Mai (a province of Thailand).,0
24,chi,/t͡ɕʰi/,what?,0
25,chikoyt,/t͡ɕʰi.koɪ̯t/,why?,0
26,chimu,/t͡ɕʰi.mu/,why?,0
27,chisú,/t͡ɕʰi.su/,how?,0
28,choyt,/t͡ɕʰoɪ̯t/,goat,0
29,chá,/t͡ɕʰa/,to need,0
30,cháng,/t͡ɕʰaŋ˥/,expensive,0
31,chít,/t͡ɕʰit/,to wash,0
32,chóng,/t͡ɕʰoŋ/,praise,0
33,cit,/t͡ʃit/,"little, small",0
34,couk,/t͡ʃowk/,cook,0
35,cáng,/t͡ɕaŋ˥/,(transitive) to lay (e.g. bricks),0
36,cáu,/t͡ɕaw/,to teach,0
37,da,/da/,one,0
38,da,/da/,"a, an",0
39,dagoyi,/da.ɡo.ji/,half,0
40,daiyám,/dai.jam/,some,0
41,daji,/da.d͡ʑi/,few,0
42,dam,/dam/,flat,0
43,dangáin,/da.ŋain/,all,0
44,doem,/døm/,again,0
45,dzain,/dzaɪ̯n/,year,0
46,dzi,/dzi/,thing,0
47,dzo,/d͡zoː˧/,child,0
48,dzobóe,/dzo.bø/,table,0
49,dzobóy,/dzo.boɪ̯/,Alternative form of dzobóe,0
50,dzung,/dzuŋ/,to pile up,0
51,dzáng,/d͡zaŋ˥/,(intransitive) to touch the target,0
52,dzóem,/dzøm/,"classifier for pairs of objects, like shoes",0
53,dzóyn,/dzoɪ̯n/,slope,0
54,dá,/da/,Used after an attribute. Indicates that the previous,0
55,dáng,/daŋ˥/,(intransitive) to fence,0
56,dé,/de/,to send,0
57,dò,/do/,up,0
58,dò,/do/,"go up, come up",0
59,dò,/do/,to attend,0
60,dò,/do/,to attend,0
61,fu,/fu/,"classifier for thin and flat objects, like a leaf",0
62,gam,/ɡam/,"classifier for a long, green plant, like a tree, grass or a flower",0
63,gau,/ɡaw/,nine,0
64,ge,/ɡe/,good,0
65,gi,/ɡi/,Alternative form of ge,0
66,gi,/ɡi/,turns the preceding word into a nominative,0
67,gong,/ɡoŋ/,body,0
68,guk,/ɡuk/,paddy,0
69,gyang,/ɡjaŋ˧/,pain,0
70,gyau,/ɡjaw/,to break,0
71,gye,/ɡje/,very,0
72,gyey,/ɡjeɪ̯/,water,0
73,gyi,/ɡji˧/,enemy,0
74,gyit,/ɡjit/,water,0
75,gyo,/ɡjo/,chicken,0
76,gyuk,/ɡjuk/,fear,0
77,gyó,/ɡjo/,down,0
78,gyó,/ɡjo/,go down,0
79,gáng,/ɡaŋ˥/,(intransitive) to cover with a blanket,0
80,gó,/ɡo/,other,0
81,gó,/ɡo/,marks the subject of the sentence as plural,0
82,hau,/haw/,that,0
83,hga,/ɰa/,Marks the sentence as future tense.,0
84,hgeq,/ɰeʔ/,also,0
85,hgè,/ɰe/,Marks the sentence as an order.,0
86,hgø,/ɰɨ/,to buy,0
87,hit,/hit/,here,0
88,hit,/hit/,this,0
89,hkamyang,/kʰam.jaŋ/,how long?,0
90,hkamyò,/kʰa.mjo/,how much? how many?,0
91,hkasú,/kʰa.su/,how?,0
92,hkau,/kʰaw/,in,0
93,hkayt,/kʰaɪ̯t/,"classifier for long and small objects, like a rope",0
94,hkouk,/kʰowk/,in,0
95,hku,/kʰu/,cup,0
96,hkyap,/kʰjap/,"classifier for thin and wide objects, like a plate, a blanket, a shirt or trousers",0
97,hkyuk,/kʰjuk/,six,0
98,hkyáng,/kʰjaŋ˥/,(intransitive) to complain,0
99,hkyó,/kʰjo/,as,0
100,hkyó,/kʰjo/,about,0
101,hkyúng,/kʰjuŋ/,"Classifier for a long and big object, like firewood, wood and bamboo.",0
102,hkyǿng,[kʰjɨŋ],thousand,0
103,hkáng,/kʰaŋ˥/,(intransitive) to contain gaps,0
104,hkétayn,/kʰe.taɪ̯n/,pencil,0
105,hkúng,/kʰuŋ/,around,0
106,houk,/howk/,that (between here and there),0
107,houklouk,/howk.lowk/,but,0
108,houksú,/howk.su/,like that,0
109,hpací,/pʰa.t͡ʃi/,wisdom,0
110,hpo,/pʰɔ/,leaf,0
111,hpyáng,/pʰjaŋ˥/,worse,0
112,hpáng,/pʰaŋ˥/,sunny,0
113,hpú,/pʰu/,classifier for guns,0
114,hpúng,/pʰuŋ/,power,0
115,htang,/tʰaŋ˧/,"Used to indicate a superlative of the preceding adjective; -est
He bang hpung mo nyang yong htang ngoyt da. ― She was the most beautiful in this group. (Quoting Luk, p.102)",0
116,hto,/tʰɔ/,on,0
117,htse,[t͡sʰe],ten,0
118,htsáng,/t͡sʰaŋ˥/,"(intransitive, of animals) to give birth",0
119,htsó,/tsʰo/,salt,0
120,htu,/tʰu/,out,0
121,htu,/tʰu/,to appear,0
122,htuk,/tʰuk/,to cut down,0
123,htáng,/tʰaŋ˥/,firewood,0
124,htí,/tʰi/,wood,0
125,htí,/tʰi/,under,0
126,háng,/haŋ˥/,"who?
Jung hkyo háng yi hga. ― Who will go to school? (Quoting Luk, p. 42)",0
127,jak,/d͡ʑak/,machine,0
128,je,/d͡ʑe/,more (comparative),0
129,jeju,/d͡ʑe.d͡ʑu/,"thanks, thank you",0
