ID,Form,IPA,Gloss,Language_ID
0,ᦀᦲᦰᦣᦸᧅ,/ʔiʔ˧˥.hɔk̚˧/,squirrel,0
1,ᦀᦾᧉ,/ʔɔj˩˧/,sugar cane (Saccharum officinarum),0
2,ᦂᦎᦻᧈ,/ka.taːj˧˥/,rabbit,0
3,ᦂᦡᦱᧆ,/ka.daːt̚˧˥/,paper.,0
4,ᦂᦰᦡᦱᧆ,/ka.daːt̚˧˥/,Alternative form of ᦂᦡᦱᧆ (k̇ḋaad).,0
5,ᦂᦱ,/kaː˥/,crow,0
6,ᦂᦲᧃ,/kin˥/,to eat,0
7,ᦶᦂᧁᧉᦙᧂᦂᦸᧃ,/kɛw˩˧.maŋ˥˩.kɔn˥/,dragon fruit.,0
8,ᦶᦂᧉ,/kɛː˩˧/,"to undo, to solve",0
9,ᦷᦂ,/koː˥/,To be afraid,0
10,ᦂᦸᧂ,/kɔŋ˥/,"pile, heap, stack, ᦵᦕᧁᧉ ᦦᦱᧆ ᦂᦸᧂ ᦊᦱᧅᦵᦊᦲᧉṗhew2 k̇waad",0
11,ᦂᦸᧂ,/kɔŋ˥/,"to pile, ᦌᦻ ᧞ ᦖᦱᧅ ᦠᦲᧃ ᦂᦸᧂ ᦺᦞᧉsaay l̇ae ṁaak ḣiin k̇oang",0
12,ᦂᦸᧂ,/kɔŋ˥/,"drum, ᦵᦉᧂ ᦅᦸᧂᧉ ᦵᦉᧂ ᦂᦸᧂ ᦷᦣᧃᧈ ᦣᦸᧂᧉ ᦅᦸᧂᧉ ᦤᧂṡeng koang2",0
13,ᦂᦸᧂ,/kɔŋ˥/,"drum, ᦵᦉᧂ ᦅᦸᧂᧉ ᦵᦉᧂ ᦂᦸᧂ ᦷᦣᧃᧈ ᦣᦸᧂᧉ ᦅᦸᧂᧉ ᦤᧂṡeng koang2",0
14,ᦺᦂᧈ,/kaj˧˥/,chicken,0
15,ᦺᦂᧈᦗᦴᧉ,/kaj˧˥.puː˩/,"rooster, cock",0
16,ᦂᦽᧉ,/koj˩˧/,banana.,0
17,ᦂᧁᧉ,/kaw˩˧/,nine,0
18,ᦂᧇ,/kap̚˧˥/,with,0
19,ᦂᧇ,/kap̚˧˥/,and,0
20,ᦃᦶᦈ,/xa.t͡ɕɛː˥/,lock; latch.,0
21,ᦃᦱ,/xaː˥/,leg,0
22,ᦃᦱᧁ,/xaːw˥/,white.,0
23,ᦃᦱᧁᧈ,/xaːw˧˥/,news,0
24,ᦃᦳᧃ,/xun˥/,hair; fur.,0
25,ᦃᦳᧃ,/xun˥/,chief; lord.,0
26,ᦃᦳᧃ,/xun˥/,chief; lord.,0
27,ᦷᦃ,/xoː˥/,bridge,0
28,ᦷᦃ,/xoː˥/,to laugh,0
29,ᦷᦃ,/xoː˥/,to laugh,0
30,ᦃᦸᧃᧈ,/xɔn˧˥/,revenue; tax; duty; cess.,0
31,ᦺᦃᧉ,/xaj˩˧/,fever,0
32,ᦃᦾᧉ,/xɔj˩˧/,"I, me",0
33,ᦃᦾᧉ,/xɔj˩˧/,used as a polite expression of affirmation or agreement.,0
34,ᦃᦾᧉ,/xɔj˩˧/,"a particle used for politeness., yes, (that's) right",0
35,ᦃᧁᧉ,/xaw˩˧/,to enter,0
36,ᦃᧁᧉ,/xaw˩˧/,"rice, food",0
37,ᦃᧁᧉ,/xaw˩˧/,"rice, food",0
38,ᦃᧁᧉᦺᦈ,/xaw˩˧.t͡saj˥/,understand,0
39,ᦃᧁᧉᦓᦳᧄᦔᧂ,/xaw˩˧.num˥˩.paŋ˥/,(Thailand) bread,0
40,ᦃᧁᧉᦓᧄᧉ,/xaw˩˧.nam˩/,"food, meal",0
41,ᦃᧁᧉᦔᦱ,/xaw˩˧.paː˥/,"food, meal",0
42,ᦃᧅ,/xak̚˧˥/,"be hard-working, be eager.
ᦣᧁ ᦃᧅ ᦠᦱ ᦵᦣᧃ ᦣᦴᧉhaw ẋak ḣaa hen huu2We are eager to seek knowledge.",0
43,ᦃᧇ,/xap̚˧˥/,"to drive, to drive away",0
44,ᦃᧇ,/xap̚˧˥/,"to sing, ᦃᧇ ᦝᦸᧃᧉ ᦡᦲᧃᧉᦷᦙᧃᧈ ᦶᦀᧇ ᦂᧃẋab foan2 ḋiin2mon1",0
45,ᦃᧇ,/xap̚˧˥/,"to sing, ᦃᧇ ᦝᦸᧃᧉ ᦡᦲᧃᧉᦷᦙᧃᧈ ᦶᦀᧇ ᦂᧃẋab foan2 ḋiin2mon1",0
46,ᦅᦸᧂᧉ,/kɔŋ˩/,"gong, ᦵᦉᧂ ᦅᦸᧂᧉ ᦵᦉᧂ ᦂᦸᧂ ᦷᦣᧃᧈ ᦣᦸᧂᧉ ᦅᦸᧂᧉ ᦤᧂṡeng koang2",0
47,ᦅᦹᧆ,/kɯt̚˧/,to think,0
48,ᦆᦱᧁᧈ,/xaːw˧/,story (fact or fiction).,0
49,ᦆᦱᧁᧈ,/xaːw˧/,used for story or news report.,0
50,ᦆᦱᧈᦵᦝᧀᧈ,/xaː˧.fɤj˧/,(China) coffee.,0
51,ᦵᦆᦲᧂᧈ,/xɤŋ˧/,"device, clothes; clothing",0
52,ᦷᦆᧂ,/xoŋ˥˩/,"skeleton., framework., house; home.",0
53,ᦷᦆᧂᦀᦲᧃ,/xoŋ˥˩.ʔin˥/,heaven.,0
54,ᦷᦆᧂᦝᦱᧉ,/xoŋ˥˩.faː˩/,"sky., heaven.",0
55,ᦷᦆᧄᧈ,/xom˧/,"area
ᦕᦵᦑᧆ ᦷᦆᧄᧈ ᦓᧄᧉᦃᦸᧂṗhted xom1 nam2ẋoangCountries in the Mekong area",0
56,ᦺᦆᧈ,/xaj˧/,"want, desire., ᦺᦆᧈ ᦂᦲᧃ ᦡᦲ ᦠᦹᧉ ᦃᧅ ᦖᦸ ᦅᦱᧉxay1 k̇iin ḋii",0
57,ᦇᦱᧄ,/ŋaːm˥˩/,beautiful,0
