ID,Form,IPA,Gloss,Language_ID
0,a'-,[aʔ-],derivational prefix forming intransitive verbs from,0
1,a'ba,[ˈaʔba],flood,0
2,a'bebe,[aʔˈbɛbɛ],(intransitive) to drool,0
3,a'je'ne',[aʔˈɟeʔneʔ],(intransitive) to bathe,0
4,a'lu',[ˈaʔluʔ],(transitive) to swallow,0
5,a'masa',[ˈaʔmasaʔ],"wet (e.g. soaked cloth)
A'masaki bajungku ri songo'. ― My shirt is soaking wet with sweat.
Antonym: kalotoro'",0
6,a'rappungang,[aʔraˈpːuŋaŋ],(intransitive) to gather (come together),0
7,abang,[ˈabaŋ],(anatomy) forehead,0
8,accera',[aˈcːeraʔ],(intransitive) to bleed,0
9,accokko,[aˈcːɔkːɔ],(intransitive) to hide,0
10,akkalimbu',[akːaˈlimbuʔ],(intransitive) to cover oneself with a blanket,0
11,akkaluru',[akːaˈluruʔ],(intransitive) to smoke (cigarettes),0
12,akkulantu',[akːuˈlantuʔ],(intransitive) to kneel,0
13,alimbu'bu',[alimˈbuʔbuʔ],dust,0
14,alle,[ˈalːɛ],(transitive) to take,0
15,allo,[ˈalːɔ],"day, sun",0
16,alloi,[aˈlːoi],(transitive) to sun-dry,0
17,ambani,[amˈbani],"near
Antonym: bella",0
18,ammang,/ammaŋ/,"general, common",0
19,ammenteng,[ˈenteŋ],(intransitive) to stand,0
20,amminro,[amːˈinro],(intransitive) to rotate,0
21,ammotere',[aˈmːotereʔ],"(intransitive) to return, go home",0
22,ammuko,[aˈmːukɔ],tomorrow,0
23,ana',[ˈanaʔ],child,0
24,Anggarrisi',[aŋˈɡarːisiʔ],England,0
25,Anggarrisi',[aŋˈɡarːisiʔ],English,0
26,anging,[ˈaŋiŋ],wind,0
27,anjo,[ˈaɲɟɔ],"that (demonstrative, remote from speaker and addressee)",0
28,anjoreng,[aɲˈɟoreŋ],"there (deictic, remote from speaker and addressee)",0
29,annang,[ˈanːaŋ],six,0
30,anne,[ˈanːɛ],"this (demonstrative, close to speaker)",0
31,anngarru',[aˈŋːarːuʔ],(intransitive) to cry,0
32,anri'ba',[anˈriʔbaʔ],(intransitive) to fly,0
33,anrinni,[anˈrinːi],"here (deictic, close to speaker)",0
34,antu,[ˈantu],"that (demonstrative, close to addressee)",0
35,antureng,[anˈtureŋ],"there (deictic, close to addresse)",0
36,Araba,[araˈba],Wednesday,0
37,areng,[ˈareŋ],name,0
38,ase,[ˈasɛ],"rice plant, rice (harvested, but still unhusked)",0
39,assaluara',[asːaˈluaraʔ],(intransitive) to wear trousers,0
40,assongo',[aˈsːoŋoʔ],(intransitive) to sweat,0
41,assulu',[aˈsːuluʔ],(intransitive) to go out,0
42,atta'gala',[aˈtːaʔɡalaʔ],(intransitive) to hold on,0
43,au,[ˈau],ash,0
44,ba'lalo,/baʔlalo/,immediately,0
45,ba'le,/baʔle/,"across, opposite",0
46,ba'leang,/baʔleaŋ/,"across from, other side of",0
47,ba'nusu',/baʔnusuʔ/,to peel off,0
48,ba'ra',/baʔraʔ/,"talcum powder, face powder",0
49,baine,[baˈinɛ],"woman, wife",0
50,balao,[baˈlaɔ],"mouse, rat",0
51,balli,[ˈbalːi],price,0
52,balli,[ˈbalːi],(transitive) to buy,0
53,bambang,[ˈbambaŋ],"hot, warm
Antonym: dinging",0
54,bangkeng,[ˈbaŋkeŋ],(anatomy) foot (part of body),0
55,battala',[ˈbatːalaʔ],heavy,0
56,battang,[ˈbatːaŋ],(anatomy) belly (abdomen),0
57,bau',[ˈbauʔ],"fragrant
Antonym: botto'",0
58,bawi,[ˈbawi],pig,0
59,bayao,[baˈjaɔ],egg,0
60,bebe,[ˈbɛbɛ],saliva,0
61,bedeng,[ˈbedeŋ],adverb marking a statement as hearsay,0
62,bella,[ˈbelːa],"far
Antonym: ambani",0
63,benteng,[ˈbenteŋ],pillar,0
64,berang,[ˈberaŋ],machete,0
65,beru,[ˈberu],new,0
66,beso',[ˈbesoʔ],(transitive) to pull,0
67,bibere',[ˈbibereʔ],lip,0
68,bitisi',[ˈbitisiʔ],(anatomy) calf (anatomy: back of the leg below the,0
69,bo'bo',[ˈboʔboʔ],book,0
70,bodo,[ˈbɔdɔ],"short
Antonym: la'bu",0
