ID,Form,IPA,Gloss,Language_ID
0,burcgrave,/burkɡraːvə/,burgrave,0
1,durchliuhten,/durçˈlyːçten/,"fill with light, shine through (transitive), shine",0
2,ewe,/ˈeː.wə/,"law, eternity, marriage",0
3,grave,/ɡraːvə/,"count, local judge",0
4,göu,/ɡøy/,"shire, district",0
5,göugrave,/ɡøyɡraːvə/,"a count of a district, local judge",0
6,nebelvinster,/ˈnɛ.bəlˌvin.s̠tər/,"(poetic) pitch-dark, c. 1100–1125, Ezzolied (Vorauer",0
7,riche,/ˈriːxɛ/,rich,0
8,riche,/ˈriːxɛ/,"empire, kingdom, realm",0
9,riche,/ˈriːxɛ/,"Joseph Wright, 'An Old High German Primer, Second Edition',",0
10,riche,/ˈriːxɛ/,"empire, kingdom, realm",0
11,riche,/ˈriːxɛ/,"Joseph Wright, 'An Old High German Primer, Second Edition',",0
12,schuole,/ˈs̠xuo̯.lə/,school,0
13,stahel,/ˈɕtaxɛl/,steel,0
14,steter,[ˈʃteter],"city-dweller, urbanite (person who lives in a city)",0
15,swert,/ɕwɛrt/,sword,0
16,sælic,/ˈsɛːlik/,"happy, joyful, blessed, blissful, c. 1250, Gottfried",0
17,wazzer,/ˈʋɑs̄.s̄ər/,water,0
18,wir,/wir/,we: nominative plural of ich,0
19,zedel,/ˈt͡sɛ.dəl/,"strip of paper, 1314 ein niuwe zedel lanc nam sie ûȥ",0
20,überganc,/ybərɡank/,"crossing, transition",0
21,ēwa,jˈuːə,,1
22,*rīkī,ˈæstɚɹˌɪsk ɹˈɪki,,1
23,*rīkī,ˈæstɚɹˌɪsk ɹˈɪki,,1
24,*rīkī,ˈæstɚɹˌɪsk ɹˈɪki,,1
25,*rīkī,ˈæstɚɹˌɪsk ɹˈɪki,,1
26,*rīkī,ˈæstɚɹˌɪsk ɹˈɪki,,1
27,swert,swˈɜːt,,1
