ID,Form,IPA,Gloss,Language_ID
0,က,/kaʔ/,fish,0
1,ကကနန်,/kaʔ kəno̤n/,"striped snakehead, chevron snakehead, banded snakehead[3][1][4] (Channa striata, syn. Ophiocephalus striatus)",0
2,ကကနောန်,/kaʔ kaʔno̤n/,Alternative form of ကကနန် (ka kanan),0
3,ကထိုန်,/katʰaɪːn/,November,0
4,ကဒါတ်,/kadɑt/,"species of yam, Dioscorea wallichii",0
5,ကရေင်,/kə.reaŋ/,Karen.,0
6,ကလေၚ်,/kə.lɪəŋ/,"(intransitive) to return
Synonym: စဴ (cau)",0
7,ကသပ်,/kəsɔp/,"plan,[2] thought,[3] intention[4]",0
8,ကိတ်,/kit/,to bite[4],0
9,ကိုတ်,/kɒt/,hundred thousand,0
10,ကိုပ်ကၠာ,/kɔːpk͡laː/,before,0
11,ကောန်,/kon/,"child (descendant); cub.[1], Hyponyms: စးကောန်စဴ (caḥ",0
12,ကောန်,/kon/,magic[2],0
13,ကောန်,/kon/,magic[2],0
14,ကောန်ကတာ်,/kon kaʔtac/,Alternative form of ကောန်လတာ် (kon latāk),0
15,ကောန်ကၟာ,/kon kaʔma/,twin[1][2],0
16,ကောန်ကၠၚ်,/kon klaŋ/,"orphan[2][1][3], equivalent for Thai กาฝาก (gaa-fàak);[2][3]",0
17,ကောန်ကွာန်,/kon kwan/,villager[2][1],0
18,ကောန်ကွး,/kon kwah/,"disciple[2][1][3], Synonym: ကောန်တဲ (kon tay), pupil,",0
19,ကောန်ၚာ်,/kon.ŋa̤ik/,child (young person),0
20,ကောန်ၚာ်တြုံ,/kon.ŋa̤ik.kraoh/,"boy, Synonym: (Pak Kret District[1]) ကောန်တ္ၚာ်မၞိဟ်တြုံ",0
21,ကောန်ၚာ်ဗြဴ,/kon/,Girl.,0
22,ကောန်စိုတ်,/koːn.cɔt/,"heart[4][5][2][1], mind[4][2], Synonyms: စိုတ် (cət),",0
23,ကောန်စဴ,/kon cao/,"grandchild[2], Synonym: စဴ (cau), (Pak Kret District)",0
24,ကောန်စဴစး,/cah kon cao/,"The back of the grandchildren.[1]
Synonym: (Pak Kret District) ကောန်စဴ (kon cau)",0
25,ကောန်ဍုၚ်ကောန်ကွာန်,/kon dəŋ kon kwan/,population[1][2],0
26,ကောန်တဲ,/kon tɔa/,"assistant[1][2], apprentice[1], Synonym: ကောန်ကွး (kon",0
27,ကောန်တၟံ,/kon kəmɔʔ/,"kidney[4][3], heart (a kind of internal organ)[2]",0
28,ကောန်တြုံ,/kon.kraoh/,son,0
29,ကောန်ပၞာန်,/kon paʔnan/,soldier[2],0
30,ကောန်ရဲ,/kon rṳə/,"subordinate[2][1], servant, follower[3]",0
31,ကောန်ဟအှ်,/kon haʔʔɔh/,Alternative form of ကောန်ခအဟ် (kon khaʼah),0
32,က္ဍိုပ်,/ɗɒp/,"head[5], Synonym: ကၞိပ် (knip)",0
33,ကျာံ,/cam/,"crocodile., kyam (a three-stringed, fretted zither",0
34,ကြေဲ,/krea/,crane (bird).,0
35,ကၠန်,/klɔn/,"python[1]
reticulated python[4][2][3] (Malayopython reticulatus, syn. Python reticulatus)
Hypernym: ဇြုံ (jruṁ)",0
36,ကၠိုဟ်,/klɒh/,to penetrate[3][1][4][2],0
37,ကၠိုဟ်,/klɒh/,"(Kaw Kyaik, with measures of time) entirety[1]",0
38,ကၠိုဟ်,/klɒh/,through[2],0
39,ကၠိုဟ်,/klɒh/,"through[2]
ကၠိုဟ်ဟတံ ― kləh hataṁ /klɒh haʔtɔm/ (Pak Kret District) ― through the night[2]",0
40,ကၠိုဟ်,/klɒh/,(Pak Kret District) hollow[2],0
41,ကၠီု,/klɒm/,"dense., thick.",0
42,ကၠုၚ်,/klɤŋ/,to come.,0
43,ကၠေၚ်,/klɑɲ/,"fat, grease, adipose, oil",0
44,ကၠဵု,/klɜ/,dog.,0
45,ကွာင်,/kwaɲ/,"snack, sweets[4]",0
46,ကွာန်,/kwan/,village[2],0
47,ကွာဲ,/kwai/,yam.,0
48,က္ၜင်ကျာ,/bɛŋ.ca/,"aeroplane (US: airplane, plane)[1]",0
49,ခမဳ,/kʰaʔmɒə/,(Buddhism) monk.,0
50,ခမှာဲ,/həmai/,"egg[6][4][3][1], ခမှာဲက ― khamhāy ka ― roe[4], ခမှာဲစာၚ်",0
51,ခမှာဲ,/həmai/,(Pak Kret District) to lay eggs[1],0
52,ချာံ,/cham/,(common) flu[3][4][2],0
53,ချိုတ်,/khjɒt/,"to die[4], Synonyms: စုတိ, ပကာဂစိုတ်",0
54,ချေံ,/cʰeh/,horse.,0
55,ဂစေပ်,/həcep/,roselle (Hibiscus sabdariffa)[3],0
56,ဂစေံ,/hə.cem/,bird[7],0
57,ဂဇံ,/kɛ̤əʔco̤ʔ/,to sit[4],0
58,ဂတဵုတၟံ,/hə.tɒ mɔʔ/,slate (tablet used for writing),0
59,ဂယိုၚ်,/hə.ja̤ŋ/,life.,0
60,ဂယိုၚ်,/hə.ja̤ŋ/,to live.,0
61,ဂအုဲ,/hə.ʔui/,herb.,0
62,ဂီု,/kɜ̤m/,"(to be) warm,[2][4][3][5] lukewarm, Synonyms: (Lopburi[5])",0
63,ဂီု,/kɜ̤m/,"lamp, lantern[4][3], (Pak Kret District) globe of a",0
64,ဂး,/kɛ̤h/,"to say[4][2][5][3], to speak[4][2][5], Synonyms: (more",0
65,ဂး,/kɛ̤h/,"(complementizer)[1] that[3], အဲညာတ်ဂးအဲဒးဇိုန်ကဵုဍုင်ကုကောန်အဲ။",0
66,ဂၞဴ,/nɛ̤a/,"abdomen, bowels, stomach[3][2][4][1]
Synonym: ဗုၚ် (buṅ)",0
67,ဂၞဴပု,/nɛ̤ə pauʔ/,"to have diarrhoea[2][1], Synonyms: ဂၞဴလီု (gnau ləṁ),",0
68,ဂၞဴပု,/nɛ̤ə pauʔ/,flatulence[3],0
69,ဂၞဴဗိုန်,/nɛ̤a pɜ̤n/,"to be constipated[2][1], Synonym: (Pak Kret District[1])",0
70,ဂၞဴလီု,/nɛ̤a lɜ̤m/,"to have diarrhoea[1][2], Synonyms: (Kaw Kyaik) ပု (pu),",0
71,ဂၞဴလီု,/nɛ̤a lɜ̤m/,diarrhoea[3],0
72,ဂၞဴအာ,/nɛ̤a a/,"(Kaw Kyaik) to have normal motions of the bowels[1],",0
73,ဂြၚ်,/krɛ̤aŋ/,"horn, ဂြၚ်ဂၠဴ ― bullock's horns",0
74,ဂြိုၚ်,/kra̤ŋ/,to laugh,0
75,ဂြိုပ်,/krɜ̤p/,forest; jungle.[2],0
76,ဂြိုပ်,/krɜ̤p/,wild (of animal).,0
77,ဂြိုဟ်,/krɜ̤h/,"liver, heart, central part",0
78,ဂြိုဟ်,/krɜ̤h/,"(astronomy) planet, planetary compartment",0
79,ဂြိုဟ်,/krɜ̤h/,"(astronomy) planet, planetary compartment",0
80,ဂၠိၚ်,/klo̤ɲ/,"long, Antonym: ဂၠေံ (gleʼ)",0
81,ဂၠိုၚ်,/kla̤ŋ/,"many, numerous, much",0
82,ဂၠုၚ်,/klɜ̤ŋ/,"small boat,[3][4][2][5] canoe.[1], (Kaw Kyaik) boat-shaped",0
83,ဂၠေံ,/kle̤ʔ/,"short[1], Antonym: (height) သၠုၚ် (sluṅ)",0
84,ဂှ်,/kɔ̤h/,denoting something or someone perceived as being distant,0
85,ဂှ်,/kɔ̤h/,"topic marker[3], ကာလဂှ် မိ ကောန်ပၠီဂှ် ပ္တိတ်ကသပ်ရ။",0
86,ၚုဲ,/ŋṳj/,shrimp; prawn; crayfish[2][1],0
87,စက္ခော,/cɛk.kʰao/,paper.,0
88,စိန်,/cin/,"ripe., to be cooked., to boil., to be healed (as a",0
89,စိုတ်,/cɒt/,"mind, heart[5][6][4][2], Synonyms: ကောန်စိုတ် (kon",0
90,စိုတ်ခိုဟ်,/cɒt kʰɒh/,"kind(-hearted)[2][1], မိစိုတ်ခိုဟ် ― mi cət khəh ―",0
91,စိုတ်လီု,/cɒt lɤ̤m/,"discouraged[1], sorry, regretful[3][2], Synonym: လီုစိုတ်",0
92,စိုတ်လီု,/cɒt lɤ̤m/,"(Pak Kret District) excuse me, sorry[2]",0
93,စေတဳ,/ce.tɔe/,"stupa, pagoda.",0
94,စဲ,/coa/,to dry spreading out in the sun[2],0
95,စဲ,/coa/,louse[2],0
96,စဲ,/coa/,"traditional month roughly equivalent to April[2], Coordinate",0
97,စဲ,/coa/,louse[2],0
98,စဲ,/coa/,"traditional month roughly equivalent to April[2], Coordinate",0
99,စဲ,/coa/,"traditional month roughly equivalent to April[2], Coordinate",0
100,စဴ,/cao/,"(intransitive) to return; to go back[4][5][2], Synonym:",0
101,စဴ,/cao/,"grandchild[4][5][2][3], Synonym: ကောန်စဴ (kon cau)",0
102,စဴ,/cao/,(Pak Kret District) to draw (of match)[2],0
103,စဴ,/cao/,"grandchild[4][5][2][3], Synonym: ကောန်စဴ (kon cau)",0
104,စဴ,/cao/,(Pak Kret District) to draw (of match)[2],0
105,စဴ,/cao/,(Pak Kret District) to draw (of match)[2],0
106,စံၚ်,/cɔŋ/,harp.,0
107,စံၚ်,/cɔŋ/,used for books.,0
108,စံၚ်,/cɔŋ/,"to set fire; to burn; to cremate., to roast; to bake.,",0
109,စံၚ်,/cɔŋ/,used for books.,0
110,စံၚ်,/cɔŋ/,"to set fire; to burn; to cremate., to roast; to bake.,",0
111,စံၚ်,/cɔŋ/,"to set fire; to burn; to cremate., to roast; to bake.,",0
112,စံပါ,/cɔmpa/,"(Kaw Kyaik) champac tree (Magnolia champaca, syn. Michelia",0
113,စၠတ်ထဝ်,/clɔt tɔ̀/,Parliament.,0
114,စှ်,/cɔh/,ten,0
115,စှ်ပန်,/cɔh.pɔn/,fourteen,0
116,စှ်ပိ,/cɔh.pɔeʔ/,thirteen,0
117,စှ်မွဲ,/cɔh.mòa/,eleven.,0
118,စှ်ၜါ,/cɔh.ɓa/,twelve,0
119,ဆ,/cʰaʔ/,"to weigh in one's hand, to feel the weight of",0
120,ဆန္ဒ,/chɔn daʔ/,"desire, wish, impulse, opinion",0
121,ဆီ,/cʰim/,blood,0
122,ဇကု,/hə.kaoʔ/,person; self.,0
123,ဇကု,/hə.kaoʔ/,used with human beings.,0
124,ဇိုၚ်,/ca̤ɲ/,"foot[3], leg[3], Meronym: ဒဳ",0
125,ဇုတ်,/cṳt/,bone[3],0
126,ဇ္ၚဲ,/hṳə/,"far, distant[2][4]
Synonym: ကြပ် (krap)",0
127,ဇ္ၚဲ,/hṳə/,"(Pak Kret District) distant place, somewhere far away[2]",0
128,ဇၞော်,/hno̤k/,"big, large, great[4]
Antonyms: ညိ (ɲi), ဍောတ် (ḍot)",0
129,ဇြုံ,/sṳm/,"snake, serpent[4][1][5][2][6], ဇြုံဂမျိ ― jruṁ gamyi",0
130,ဇြုံဇါတ်,/sṳm ca̤t/,Alternative form of ဇြုံဇာတ်,0
131,ဇွိ,/hwi̤ʔ/,"left
Antonym: သ္တုံ",0
132,ဇှေ်,/ceh/,June.,0
133,ည,/ɲɛ̤ʔ/,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",0
134,ညာတ်,/ɲa̤t/,"to see[3][2][4][1][5]
Synonyms: ဆဵု (chəw), ရံၚ် (råṅ)",0
135,ညး,/ɲɛ̤h/,"she, he",0
136,ဋ,/taʔ/,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",0
137,ဌ,/tʰaʔ/,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",0
138,ဍ,/daʔ/,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",0
139,ဍာပ်နာပ်,/dap nɛ̤(ə)p/,"(Pak Kret District) to stain, to be stained, to be blotted[1]",0
140,ဍာ်,/ɗaik/,water[3],0
141,ဍာ်ကၠောံ,/daik.kə.lɒʔ/,ice.,0
142,ဍာ်ခြက်,/daik.kʰrɛk/,ice.,0
143,ဍာ်စၚ်,/daik.cɛŋ/,waterfall.,0
144,ဍာ်တှ်,/daik.tɔh/,milk.,0
145,ဍာ်တှ်သတ်ဗြဴ,/daik.tɔhsɔtprɛ̤a/,coconut milk.,0
146,ဍာ်လက်ဖက်,/daik.lə.pʰɛk/,tea (beverage).,0
147,ဍာ်သာဲ,/daik.sai/,honey.,0
148,ဍိုၚ်,/ɗaŋ/,umbrella.,0
149,ဍိုၚ်,/ɗaŋ/,tube.,0
150,ဍိုၚ်,/ɗaŋ/,deaf.,0
151,ဍိုၚ်,/ɗaŋ/,tube.,0
152,ဍိုၚ်,/ɗaŋ/,deaf.,0
153,ဍိုၚ်,/ɗaŋ/,deaf.,0
154,ဍောတ်,/dot/,"small, little[4][1][5][2][3][6]
Synonym: ညိ (ñi)
Antonym: ဇၞော် (jnok)",0
155,ဎ,/tʰɛ̤ʔ/,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",0
156,ဏ,/naʔ/,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",0
157,ဏမ်,/nɔm/,urine,0
158,တ,/taʔ/,father,0
159,တ,/taʔ/,to vomit,0
160,တ,/taʔ/,to vomit,0
161,တဆိပ်,/kə.cʰip/,seal; stamp; trademark.,0
162,တတ်တတ်,/tɔt tɔt/,"involuntary, unwitting[2]",0
163,တတ်တတ်,/tɔt tɔt/,"(Pak Kret District, onomatopoeia) with a throbbing heart[1]",0
164,တရဴ,/kə.rao/,six,0
165,တိ,/tɑeʔ/,"earth[3], Synonym: တိဇၞော်, soil",0
166,တိရစ္ဆာန်,/tɔeʔ.ro̤t.cʰan/,animal.,0
167,တိုက်,/tak/,building; hall,0
168,တိုက်လဝဟ်,/taklavɔ̀h/,armoury,0
169,တီ,/tɛm/,to know[4][1][2][5],0
170,တု,/taoʔ/,snail,0
171,တုဲ,/toə/,"to finish[1]
တြုံဗှ်ေဒလိုက်ကတဵုနူပၟတ်တုဲ က လေၚ်စဴကၠုၚ်လ္ပာ်သ္ၚိဗှ်ေရ။ ― /kraoh pe̤h həlɒ̤c kətɒ nṳ kəmot toə kəliəŋ cao klɤŋ kəpac hɒəʔ pe̤h raʔ/ ― Your husband got up from the fire and came back to your home.[2]",0
172,တူ,/tao/,Libra (zodiacal sign),0
173,တူ,/tao/,(intransitive) to burn[1],0
174,တူ,/tao/,hot; burning,0
175,တူ,/tao/,(intransitive) to burn[1],0
176,တူ,/tao/,hot; burning,0
177,တဲ,/tuə/,hand[5],0
178,တ္ကံ,/ta.kɔʔ/,(Thailand) island,0
179,တ္ၚဲ,/ta.ŋoa/,"(astronomy) sun, Synonym: အဒိုတ် (ʼaduit), sunlight,",0
180,တၞံသၞီ,/thnam phleu/,"neem, nimb, margosa (Azadirachta indica)
Synonym: (Kaw Kyaik and Pak Kret District) သၠီ (sliṁ)",0
181,တၞး,/kə.nah/,leaf.,0
182,တၟိ,/ta.mɔeʔ/,new.,0
183,တၟံဟစး,/(taʔ)mɔʔ haʔcah/,Alternative form of တၟံဂစး (tmaʼ gacaḥ),0
184,တြုံ,/kraoh/,"male; man; [7][4][5], Antonym: ဗြဴ (brau), ကောန်တြုံ",0
185,တၠ,/kə.laʔ/,you (refering to higher class),0
186,တၠ,/kə.laʔ/,lord; master,0
187,တွဲာ,/kwai/,"to give, offer (to royalty, clergy, or deities)",0
188,တွး,/kwah/,Alternative form of ကွး (kwaḥ),0
189,တှ်,/tɔh/,"breast;[1] udder.[2], milk[1]",0
190,ထ,/tʰaʔ/,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",0
191,ထပှ်,/hə.pɔh/,seven,0
192,ထဝ်,/tʰɔ/,gold.,0
193,ထဝ်တၞး,/tʰɔ.kə.nah/,gold leaf.,0
194,ထဝ်ဗာတ်,/tʰɔ.pàt/,"butter, other oily ingredient",0
195,ထေရဝါဒ,/tʰɤrɛ̤wɛ̀tʰɛ̤/,(Buddhism) Theravada,0
196,ထံက်ကလဵု,/tʰɔk kəlɒ/,"to kneel
Synonym: (Kaw Kyaik) ထံက်က္ၜံင် (thåk kḅåṅ)",0
