ID,Form,IPA,Gloss,Language_ID
0,ё,/jɔ/,"The seventh letter of the Mongolian alphabet, written in the Cyrillic script.",0
1,Ё,/jɔ/,"The seventh letter of the Mongolian alphabet, written in the Cyrillic script.",0
2,ёл,/ˈjɔɮ/,"lammergeier, lammergeyer",0
3,ёотон,/jɔː.tʰʊɴ̟/,sugar cube,0
4,ёс,/ˈjɔs/,"customs, traditions, etiquette, legislation, habit,",0
5,ёслол,/jɔs.ɮʊɮ/,"ceremony (a gathering), custom (rituals and beliefs)",0
6,ёстой,/jɔs.tʰœː/,"proper, just",0
7,а,/a/,"The first letter of the Mongolian alphabet, written in the Cyrillic script.",0
8,аав,/aːw/,(informal) dad,0
9,ааг,/aːɡ/,"strength, piquancy (of a food or drink)",0
10,аадар,/aːdər/,shower (sudden outpouring of rain),0
11,аалз,/aːɮts/,spider,0
12,-аарай,/arai/,"the future imperative, also called the ""demand"" verbal suffix, used to make requests that one knows would be met
угаагаарай ― ugaagaarai ― please wash
манайд ирээрэй ― manaid ireerei ― please come to our house
надад нэг аяга кофе өгөөрэй ― nadad neg ayaga kofe ögöörei ― please give me a cup of coffee
ороорой ― orooroi ― please come in",0
13,ааруул,/ˈaːrʊːɮ/,"a dried curd made out of cow, sheep, goat or camel",0
14,ав,/aw/,Alternative form of аав (aav),0
15,ав,/aw/,"sorcery, witchcraft, allure, charms",0
16,ав,/aw/,hunt,0
17,ав,/aw/,imperative of авах (avakh),0
18,ав,/aw/,"sorcery, witchcraft, allure, charms",0
19,ав,/aw/,hunt,0
20,ав,/aw/,imperative of авах (avakh),0
21,ав,/aw/,hunt,0
22,ав,/aw/,imperative of авах (avakh),0
23,ав,/aw/,imperative of авах (avakh),0
24,авга,/awəɢ/,"Synonym of авга ах (avga akh, “paternal uncle”), (in",0
25,авдар,/awtər/,"box, Synonym: хайрцаг (khairtsag), chest, closet",0
26,авс,/aws/,"coffin, casket",0
27,авс,/aws/,"Alternative form of өвс (övs, “grass, hay”)",0
28,авс,/aws/,"Alternative form of өвс (övs, “grass, hay”)",0
29,Австрали,/afstʰˈraɮ/,"Australia (a continent and country in Oceania), Австрали",0
30,Австри,/ˈaw̜stʰr/,Austria (a country in Europe),0
31,автобус,/äw̜tʰ.pʊˑs/,"bus, motorbus",0
32,автомашин,/aftʰəmaˈʃiŋ/,autocar,0
33,авьяас,/awjas/,"gift, talent",0
34,агаар,/a.ɢaːr/,"From Classical Mongolian ᠠᠭᠤᠷ (aɣur), from Middle Mongolian",0
35,агаар,/a.ɢaːr/,"air, atmosphere",0
