ID,Form,IPA,Gloss,Language_ID
0,ádahooníłígíí,/ʔɑ́tɑ̀hòːnɪ́ɬɪ́kíː/,current events,0
1,ádin,/ɑ́tɪ̀n/,"there is nothing, there is none, dibé nihee ádin ―",0
2,ádin,/ɑ́tɪ̀n/,zero,0
3,adlą́,/ʔɑ̀t͡lɑ̃́/,"he/she/it drinks something, gets a drink, gets drunk,",0
4,aghaaʼ,/ʔɑ̀ɣɑ̀ːʔ/,"wool, fleece",0
5,aho,/ʔaˈho/,"yes, I agree, amen (often exclaimed during prayers)",0
6,akałii,/ʔɑ̀kʰɑ̀ɬìː/,cowboy,0
7,akétłʼóól,/ʔɑ̀kʰɛ́t͡ɬʼóːl/,"root, shoelace",0
8,ákótʼé,/ʔɑ́kʰótʼɛ́/,"he/she/it is right, correct, he/she/it is thus, doo",0
9,álánééz,/ʔɑ́lɑ́néːz/,finger,0
10,álázhoozh,/ʔɑ́lɑ́ʒòːʒ/,"finger, phalanges of the hand, metacarpals of the hand",0
11,áłtsʼóózí,/ʔɑ́ɬt͡sʼóːzɪ́/,"he/she/it is narrow, slim, slender",0
12,ashdlaʼ,/ʔɑ̀ʃtˡɑ̀ʔ/,five,0
13,ashdlaʼáadah,/ʔɑ̀ʃtˡɑ̀ʔɑ̂ːtɑ̀h/,fifteen,0
14,atsiighaʼ,/ʔɑ̀t͡sʰìːɣɑ̀ʔ/,"mane, hair",0
15,awooʼ,/ʔɑ̀wòːʔ/,"teeth, tooth
Biwooʼ ádinii ― one who is toothless",0
16,ayęęzhii,/ʔɑ̀jẽ̀ːʒìː/,"egg
ayęęzhii shibéezhgo ― a boiled egg",0
17,azábąąh,/ʔɑ̀zɑ́pɑ̃̀ːx/,lips,0
18,azeeʼ,/ʔɑ̀zèːʔ/,"(medicine) medicine, drug, pharmaceutical",0
19,bááh,/pɑ́ːh/,bread (yeast bread),0
20,bááshzhinii,/pɑ́ːʃʒɪ̀nìː/,jet (type of black gemstone),0
21,basdéél,/pɑ̀stéːl/,"cake, pie, pastry",0
22,bee,/pèː/,"with, by means of, by means of it",0
23,béégashii,/péːkɑ̀ʃìː/,"cow, Kʼad haitʼáo dibéłchíʼigo béégashii, shąʼ?How",0
24,beeldléí,/pèːltˡɛ́ɪ́/,blanket,0
25,béésh,/péːʃ/,flint,0
26,béeso,/pêːsò/,"money, dollar",0
27,Begay,/bɪˈɡeɪ/,A  surname.,0
28,Béíyózhin,/pɛ́ɪ́jóʒɪ̀n/,Paiute,0
29,-bid,/pɪ̀t/,"stomach, belly, paunch, shibid ― my stomach, bibid",0
30,bideiidę́ęʼgo,/pɪ̀tɛ̀ìːtẽ̂ːʔkò/,from above (it),0
31,bighaaʼ,/pɪ̀ɣɑ̀ːʔ/,"his/her/their wool, fur, pubic hair",0
32,bikááʼ,/bɪkʰáːʔ/,"on it, on its surface, Haadzííʼ yę́ę naaltsoos bikááʼ",0
33,bikáaʼgi,/pɪ̀kʰáàʔkɪ̀/,"on it, upon it, at a place on its surface, at a place",0
34,bilagáana,/pɪ̀lɑ̀kɑ̂ːnɑ̀/,"white man, Anglo, Caucasian, American (an early Navajo",0
35,bił,/pɪɬ/,with him/her; in his/her company,0
36,bił,/pɪɬ/,"drowsiness, sleepiness
Bił nisin Audio (NV)()I am sleepy.
Daʼ bił nínízin? Audio (NV)()Are you sleepy?
Bił nízinHe/she/it is sleepy.",0
