ID,Form,IPA,Gloss,Language_ID
0,Alfǫðr,/ˈalˌfɔðr̩/,a kenning for Odin,0
1,allr,/ˈɑlːr̩/,"all, entire, whole, Vǫluspá, verse 1, lines 1-2, in",0
2,aptann,/ˈɑɸtɑ̄nː/,"an evening, Óláfs saga helga 131, in 1829, Þ. Guðmundsson,",0
3,argr,/ˈɑrɣr̩/,"(derogatory, offensive) unmanly, effeminate, cowardly,",0
4,aurr,/ˈɑurː/,"moist earth, wet clay, mud, Grottasöngr, verse 15,",0
5,auðr,/ˈɑuðr̩/,desolate,0
6,auðr,/ˈɑuðr̩/,"(uncountable) riches, wealth, Óláfs saga Tryggvasonar",0
7,auðr,/ˈɑuðr̩/,"(uncountable) riches, wealth, Óláfs saga Tryggvasonar",0
8,bekkr,/ˈbɛkːr̩/,(Old West Norse) bench,0
9,bekkr,/ˈbɛkːr̩/,"brook, creek",0
10,bekkr,/ˈbɛkːr̩/,"brook, creek",0
11,Bifrǫst,/ˈbiv.rɔst/,"(Norse mythology) Bifrost, the rainbow bridge connecting",0
12,biðja,/ˈbiðjɑ/,"to ask, beg, request, Vǫluspá, verse 1, lines 1-2,",0
13,blár,/ˈblɑːr/,"blue, often denoting a dark colour, blue-black, black",0
14,blót,/ˈbloːt/,"(Germanic paganism, especially in the plural) offering,",0
15,blóð,/ˈbloːð/,"blood, Vǫluspá, verse 9, lines 7-8, in 1860, T. Möbius,",0
16,brestr,/ˈbres.tr/,"chink, crack, want, loss, lack",0
17,bý,/ˈbyː/,bee (insect),0
18,Bǫlverkr,/bɔlwerkʀ/,evildoer (a pseudonym used by Odin when lying to the,0
19,dagr,/ˈdɑɡr̩/,"a day, Sverris saga 162, in 1834, F. Magnússon, C.",0
20,dimmr,/ˈdĩmːr̩/,"dim, gloomy",0
21,draugr,/ˈdrɑuɣr̩/,"(Norse mythology) ghost, spirit, undead, Þáttr Þorsteins",0
22,draugr,/ˈdrɑuɣr̩/,"(poetic) dry wood; tree trunk, (poetic) (from the sense",0
23,draugr,/ˈdrɑuɣr̩/,"(poetic) dry wood; tree trunk, (poetic) (from the sense",0
24,dróttinn,/ˈdroːtːɪ̃nː/,"a lord, master, Hákonar saga Hákonarsonar 254, in 1835,",0
25,dvergr,/ˈdwerɣr̩/,"(Norse mythology) a dwarf, Vǫluspá, verse 9, lines",0
26,dús,/ˈduːs/,"lull, dead calm",0
27,dýrr,/ˈdyːrː/,"dear, valuable",0
28,ekki,/ˈɛkkɪ/,nothing,0
29,ekki,/ˈɛkkɪ/,not,0
30,ekki,/ˈɛkkɪ/,"nominative neuter singular of engi, accusative neuter",0
31,ey,/ey̯/,"always, ever",0
32,ey,/ey̯/,island,0
33,ey,/ey̯/,island,0
34,falr,/ˈfa.lr/,"a socket at the back of a spearhead, into which the",0
35,falr,/ˈfa.lr/,for sale,0
36,falr,/ˈfa.lr/,for sale,0
37,faðir,/ˈfɑðɪr/,"father, c. 1230,  Snorri Sturluson,  “Haraldz saga",0
38,feigr,/ˈfɛiɣr̩/,"near to death, fey",0
39,fiskr,/ˈfiskr̩/,"a fish, Grágás, in 1829, J. F. W. Schlegel, Hin forna",0
40,fjall,/fjɑlː/,mountain,0
41,galdr,/ˈɡaldr̩/,"magical chanting, especially relating to the Ljóðatal,",0
42,galdramaðr,/ˈɡaldraˌmãðr̩/,"wizard, Synonym: seiðmaðr",0
43,ganga,/ˈɡɑ̃ŋɡɑ/,"to go, walk",0
44,gap,/ˈɡɑp/,"gap, empty space, Vǫluspá, verse 3, lines 7-8, in 1860,",0
45,garðr,/ˈɡɑrðr̩/,"a fence, wall, Grágás, in 1829, J. F. W. Schlegel,",0
46,gefa,/ˈɟevɑ/,"(transitive) to give something, (ditransitive) to give",0
47,goð,/ˈɡoð/,"(Norse belief) the æsir, a clan of vættir nature beings",0
48,gras,/ˈɡrɑs/,"grass, herbage, Vǫluspá, verse 3, lines 7-8, in 1860,",0
49,grunnr,/ˈɡrũn.nr/,bottom,0
50,gróa,/ˈɡroːɑ/,to grow (of plants),0
51,Grœnland,/ˈɡrø̃ːnˌland/,Greenland,0
52,grǫftr,/ˈɣrɒftr̩/,"an act of digging, burial, interment, tomb, a carving",0
53,gull,/ˈɡulː/,"(uncountable, singular only) gold, Laurentius saga",0
54,gás,/ɡɒ̃ːs/,"goose, vulva",0
55,haf,/ˈhɑv/,"sea, ocean",0
56,hafa,/hɑ.vɑ ~ hɑ.βɑ/,"to have, to hold, keep, retain, to bring, carry",0
57,Heimdallr,/ˈhɛ̃ĩmˌdɑlːr̩/,"(Norse mythology) Heimdall, Vǫluspá, verse 1, lines",0
58,heimr,/ˈhɛ̃ĩmr̩/,"realm, region within walking distance to a þing parliament,",0
59,hildr,[hildər],"battle, verse 155 of the Hávamál (1908 translation",0
60,himinn,/ˈhĩmĩnː/,"the heavens, sky, Jóns saga 33, in 1858, J. Sigurðsson,",0
61,hjalt,/hjɑlt/,"knob at the end of a sword hilt, guard between hilt",0
62,hljóð,/ˈl̥joːð/,"silence, hearing, Vǫluspá, verse 1, lines 1-2, in 1860,",0
63,hof,/ˈhov/,"shrine, typically in a home of a farm, Vǫluspá, verse",0
64,hundrað,/ˈhũndrɑð/,a long hundred (120),0
65,hákarl,/hɑ̃ːˌkarl/,a shark,0
66,hóll,/hoːlː/,"hill, hillock, knoll",0
67,hǫll,/ˈhɒlː/,hall,0
68,hǫnd,/ˈhɒ̃nd/,hand,0
69,hǫrgr,/ˈhɒrɣr̩/,"(Germanic paganism) a sanctuary, cairn, altar, Hyndluljóð,",0
70,hǫttr,/ˈhɒtːʐ/,hat,0
71,jaðarr,/ˈjɑðɑrː/,"a rim, edge, selvage, Stjórn 103, in 1862, C. R. Unger,",0
72,jálmr,/jɑːlmr/,a noise,0
73,jǫrð,/ˈjɒrð/,"earth, Alvíssmál, stanza 9, lines 4-6, Hvé sú jǫrð",0
74,jǫtunn,/ˈjɒ.tʊ̃nː/,"(Norse mythology) a jotun, giant, Vǫluspá, verse 2,",0
75,kalfi,/ˈkɑlvɪ/,calf (part of the leg),0
76,konungr,/ˈkonʊ̃ŋɡr̩/,"a king, Heimskringla, in 1829, J. F. W. Schlegel, Hin",0
77,kveld,/kwɛld/,evening,0
78,kærr,/kɛːrː/,dear,0
79,kǫttr,/ˈkɒtːr̩/,"cat, Magus saga jarls 19, in 1884, G. Cederschiöld,",0
80,laukr,/ˈlɑukr̩/,"leek, garlic, Völsunga saga 32, in 1829, C. C. Rafn,",0
81,lið,/ˈlið/,"host, folk, people, Vǫluspá, verse 14, lines 1-2, in",0
82,Loki,/ˈlo.kɪ/,Loki (Norse god),0
83,láta,/ˈlɑːtɑ/,"(transitive, with accusative) to set, put in place,",0
84,læknishǫnd,/ˈlɛːknɪ̃sˌhɒ̃nd/,"(poetic) a healing hand, Sigrdrífumál 4:, Heilir æsir!",0
85,megin,/ˈmɛ̃ɡɪ̃n/,"(singular only) might, power, strength, Vǫluspá, verse",0
86,Miklagarðr,/ˈmiklaˌɡarðr/,"Byzantium, Constantinople (the ancient  capital of",0
87,Mjǫllnir,/ˈmj̃ɔ̃lːnɪ̃r/,Mjollnir,0
88,mjǫt,/ˈmj̃ɒ̃t/,"(poetic, plural only) the right measure, Höfuðlausn,",0
89,mold,/mõld/,"earth, dirt, soil, Vǫluspá, verse 2,  […] níu man ek",0
90,morginn,/ˈmõrɣɪ̃nː/,"morning, Saga Hákonar, Guttorms ok Inga 9, in 1835,",0
91,myki,/ˈmỹkɪ/,dung,0
