ID,Form,IPA,Gloss,Language_ID
0,caune,[kaune],"marten
Elbing German-Prussian Vocabulary
Mart   Caune",0
1,Janwārs,/jʌnwɑːrs/,January (first month of the Gregorian calendar year),0
2,malnīks,/mal.niːks/,child (young human),0
3,mīli,/miːlɪ/,love (strong affection or romantic feelings),0
4,mīlin,/miːlɪn/,love (romantic feelings),0
5,pakwaitīsnā,/pʌkwʌɪtiːsnɑː/,lust (intense desire),0
6,rags,/rʌɡs/,the first month of the year; see also Janwārs,0
7,sunnis,/sʊnɪs/,dog,0
8,tāws,/tɑːws/,father,0
9,ugnis,/ʊɡnɪs/,"fire, conflagration",0
10,Ukapirmas,/ʊ.kʌ.pɪr.mʌs/,"Ukapirmas, Occopirmus (Prussian sky god)",0
11,wūla,/wuːlʌ/,rock,0
12,zemman,/zæmɑːn/,underside,0
13,zmūnija,/zmuːnɪjʌ/,humanity,0
14,*śwṓ,ˈæstɚɹˌɪsk ˌɛsdˈʌbəljˌuː,,1
