ID,Form,IPA,Gloss,Language_ID
0,آرمود,/arˈmud/,pear (fruit),0
1,آهنك,/aːheɲc/,harmony,0
2,آو,[av],"hunting, chase, game, prey, what is subject to hunting,",0
3,آوجی,[avˈd͡ʒɯ],"hunter, huntsman",0
4,آیوا,[ajˈva],"quince, Synonym: سفرجل‎ (sefercel)",0
5,ابریق,[ib.ˈɾik],"ewer, ibrik, pitcher",0
6,ارغات,/ɯɾˈɡat/,"labourer, manual worker, capstan, windlass, winch",0
7,ارمنی,[ɛɾ.mɛ.ˈni],Armenian,0
8,ارمنی,[ɛɾ.mɛ.ˈni],Armenian (person),0
9,اسن,[esen],"healthy, well, sound, robust",0
10,اكمك,/ɛcˈmɛc/,bread,0
11,اكمك,/ɛcˈmɛc/,"to sow, to plant by strewing, to sprinkle",0
12,اكمك,/ɛcˈmɛc/,"to sow, to plant by strewing, to sprinkle",0
13,الما,[el.ˈmɑ],apple (fruit),0
14,اولك,/ɛβˈlɛc/,"furrow, a square measure that is 1⁄4 of a دونم‎ (dönüm),",0
15,اوچ,/ʏt͡ʃ/,three (3),0
16,اوچر,/ʏˈt͡ʃɛɾ/,distributive of اوچ‎ (üç): three each,0
17,ایغرب,[ɯɡˈɾɯp],"seine, a kind of fishing-net, trick, ruse, stratagem",0
18,ایكی,/iki/,two,0
19,ایكیشر,/iciˈʃɛɾ/,distributive of ایكی‎ (iki): two each,0
20,بادام,[bɑˈdɑm],almond,0
21,بالدران,/bɑɫdɯˈɾɑn/,poison hemlock (Conium maculatum),0
22,بالطه,/bɑl.tɑ/,"ax, axe",0
23,بربر,/bɛrˈbɛɾ/,"barber, Synonyms: پروكار‎ (perukâr), صاچ كسن‎ (saç",0
24,بربر,/bɛrˈbɛɾ/,"Berbers, inhabitants of the Barbary",0
25,بربر,/bɛrˈbɛɾ/,"Berbers, inhabitants of the Barbary",0
26,برر,/biˈɾɛɾ/,"distributive of بر‎ (bir): one each, one apiece",0
27,بشر,/bɛˈʃɛɾ/,distributive of بش‎ (beş): five each,0
28,بغدانلی,[bɔɣ.dɑn.ˈɫɯ],Moldavian,0
29,بغدانلی,[bɔɣ.dɑn.ˈɫɯ],Moldavian (person),0
30,بیرام,/bajˈɾam/,"holy feast, holy day, festival",0
31,تجهیزات,/tɛdʒ.hi.zaːt/,"equipment, kit",0
32,ترشی,[tuɾˈʃɯ],"pickle, vegetable made to last with vinegar or salt",0
33,ترنج,[tuˈɾunt͡ʃ],bitter orange,0
34,تره,/tɛˈɾɛ/,cress,0
35,تفنك,[tyˈfɛɲc],"rifle, fusil, musket, arquebus, tophaike, ‏كوچك تفنك‎",0
36,تكیه,[tɛk.ˈjɛ],"Sufi monastery, dervish convent, used as a hostel for",0
37,تمغا,/tɑmˈɡɑ/,"stamp, pressed mark",0
38,تنبل,[tɛm.ˈbɛl],lazy,0
39,جدوار,/d͡ʒɛdˈvɑɾ/,zedoary (Curcuma zedoaria),0
40,جلاد,/d͡ʒeˈlːɑt/,"executioner, headsman",0
41,ـجی,/dʒi/,"Suffix creating nouns describing an occupation
‎قاشق‎ (kaşık, “spoon”) + ‎ـجی → ‎قاشقجی‎ (kaşıkcı, “spoon maker”)",0
42,حامله,/haːmi.le/,"pregnant, Synonyms: گبه‎ (gebe), یوکلو‎ (yüklü)",0
43,حبسخانه,[hɑpshɑˈnɛ],"prison, jail, Synonyms: زندان‎ (zından, zindan), قفس‎",0
44,حریت,/hyɾ.ɾi.jet/,freedom,0
45,حز,/hɯz/,"speed, velocity
Synonym: سرعت‎ (sür'at)",0
46,حكومت,/hy.cuːmet/,government,0
47,خاویار,[xɑv.ˈjɑɾ],caviar,0
48,خرسز,/hɯɾsɯz/,thief,0
49,خرم,/hyrˈrɛm/,happy,0
50,خرم,/hyrˈrɛm/,"A female given name, Hürrem Sultan",0
51,خرما,[xuɾˈmɑ],date (fruit),0
52,خشر,/hɯʃɯɾ/,"hard side of a fruit such as of a melon or cucumber,",0
53,خمبره,[kumbɑˈɾɑ],"earthenware box, small jar, bombshell",0
54,دانه,/tanɛ/,"pip, seed, kernel, grain, berry of any fruit or grain,",0
55,دردر,/dœɾˈdɛɾ/,"distributive of درت‎ (dört): four each, four apiece, by fours",0
56,دسته,[dɛˈstɛ],"bundle, bunch, handful, bouquet, packet, Synonyms:",0
57,دلیل,[dɛˈlil],"indicium, argument, piece of evidence, guide, who shows",0
58,دوربین,[dyɾˈbin],"prospective, perspective glass, monocular, spyglass,",0
59,دوربین,[dyɾˈbin],clairvoyant,0
60,دومان,[duˈmɑn],"smoke, roke, fog, haze, fume, vapour",0
61,دیلیم,[diˈlim],"slice, longish strip, segment cut off",0
62,راقی,[ɾɑˈkɯ],"liqueur, brandy, raki",0
63,رزنه,[ɾɛzɛˈnɛ],fennel (Foeniculum vulgare),0
64,رنك,/ɾeɲc/,"color, Synonym: بویا‎ (boya)",0
65,رهبر,/ɾɛhbeɾ/,"guide, who leads on the way, Synonyms: قلاغوز‎ (kılağuz,",0
66,روزگار,/ɾyz.ɟaːɾ/,wind,0
67,زحمت,[zɑhˈmɛt],"toil, drudgery, strain, Synonyms: زورلق‎ (zorluk),",0
68,زره,/zɯɾɯh/,"armour, coat of mail",0
69,زغفران,/zɑːfɛˈɾɑn/,Alternative form of زعفران‎ (zaʼferan),0
70,زنبق,/zɑmˈbɑk/,"lily, iris",0
71,ساعت,[sɑ̈ˈʔɑ̈t],"hour, watch",0
72,ستون,/syˈtun/,"column, pillar, pilaster, post, (figuratively) prop,",0
73,سدجی,[syd.ˈd͡ʒy],"alternative form of سوتجی‎ (sütçü, sütçi, “milkman”)",0
74,سروی,/sɛɾˈvi/,cypress,0
75,سرچه,[sɛɾt͡ʃɛ],"sparrow, Synonyms: كنجشك‎ (küncüşk), عصفور‎ (esfur,",0
76,سلوی,/sɛlˈvi/,"Vulgar form of سروی‎ (servi, “cypress”)",0
77,سوتجی,[syt.ˈd͡ʒy],dairy producer; milkman,0
78,سودجی,[syd.ˈd͡ʒy],"alternative form of سوتجی‎ (sütçü, sütçi, “milkman”)",0
79,شایقه,/ˈʃɑj.kɑ/,a kind of small boat of up to twelve cannons heavily,0
80,شفتالو,/ʃɛftɑːˈɫɯ/,"peach, nectarine",0
81,شمشار,[ʃim.ˈʃɑɾ],"alternative form of چمشیر‎ (çimşir, “box tree”)",0
82,شیو,[ʃiv],"slope, declivity",0
83,صاچ,/sat͡ʃ/,hair,0
84,صاچ,/sat͡ʃ/,"alternative form of ساج‎ (sac, “pan”)",0
85,صاچ,/sat͡ʃ/,"alternative form of ساج‎ (sac, “pan”)",0
86,صفران,/sɑfˈɾɑn/,colloquial form of زعفران‎ (zaʼferan),0
87,صنار,/sɯˈnaɾ/,"(rare) Alternative form of چنار‎ (çınar, “oriental",0
88,صنعت,[sɒˈnɒt],"trade, craft, art, an instance of ingeniousness, skillful",0
89,صوغان,[so.ˈɣɑn],onion,0
90,صومون,/soˈmun/,"a round slab of bread, a loaf, a bread roll, an other",0
91,طاتمق,[tat-],to taste,0
