ID,Form,IPA,Gloss,Language_ID
0,آ,/alepˈməd̪ˈɑ/,"alif with madda, a form of ا‎, the first letter of the Pashto alphabet",0
1,آر,/ɑr/,original,0
2,آره,/ɑra/,original,0
3,آيات,/ɑjɑt̪/,(Islam) verse (of the Qur'an),0
4,آيرلنډ,/ɑjrˈlənɖ/,Ireland,0
5,ئ,/fɑiliˈja je/,The forty-fifth and final letter of the Pashto alphabet.,0
6,ا,/aˈlif/,The first letter of the Pashto alphabet.,0
7,ابادول,/a.bɑ.d̪a.wəl/,"to populate, to build",0
8,اتل,/a.t̪əl/,"hero, champion, victor",0
9,اتل,/a.t̪əl/,"brave, bold, heroic",0
10,اتلس,/a.t̪ə.las/,eighteen,0
11,اتله,/a.t̪ə.la/,"female hero, heroine, champion, victor",0
12,اتله,/a.t̪ə.la/,"brave, bold, heroic",0
13,اته,/a.ˈt̪ə/,eight,0
14,اتيا,/a.t̪jɑ/,eighty,0
15,اتڼ,/a.t̪aɳ/,attan dance,0
16,اخ,/ax/,ouch,0
17,اخته,/ax.t̪a/,busy,0
18,اخيستل,/a.xis.təl/,(transitive) to take,0
19,اخښل,/a.ˈxəl/,to knead,0
20,اخښی,/ˈax.ʂai/,brother-in-law (wife's brother),0
21,ارزان,/ar.zɑn/,cheap,0
22,ارزانه,/ar.zɑ.na/,"cheap, inexpensive",0
23,ارزښت,/ar.zəʂt̪/,importance,0
24,ارمان,/ar.mɑn/,"wish, sorrow, yearning",0
25,اري,/a.ri/,"Bactrian camel, a two humped camel",0
26,اس,/as/,horse,0
27,استول,/as.ta.ˈwəl/,(transitive) to send,0
28,اسلام,/ɪs.lɑm/,Islam,0
29,اسمان,/as.mɑn/,"sky, heaven",0
30,اسماني,/as.mɑ.ni/,sky blue,0
31,اسټراليا,/as.ʈrɑ.ljɑ/,Australia (a continent and country in Oceania),0
32,اسپانيا,/ɑsp.ɑn.jɑ/,Spain (a country in Europe),0
33,اسپه,/ˈas.pa/,mare,0
34,اسکيمو,/as.ki.mo/,Eskimo,0
35,اغزی,/aɣ.zai/,thorn,0
