ID,Form,IPA,Gloss,Language_ID
0,aan,/aːn/,one,0
1,aan,/aːn/,"a, an",0
2,aan,/aːn/,one,0
3,Aanter,/ˈaːntər/,one-year-old foal,0
4,Adder,/ˈadər/,common European viper (Vipera berus),0
5,Akster,/ˈakstər/,magpie (Pica pica),0
6,al,/al/,already,0
7,alven,/ˈalvən/,eleven,0
8,ankume,/ˈanˌkumə/,(intransitive) to arrive,0
9,bale,/ˈbaːlə/,(intransitive) to speak,0
10,Been,/beːn/,leg,0
11,Been,/beːn/,"ceiling, attic, hard palate",0
12,Been,/beːn/,"ceiling, attic, hard palate",0
13,Bouk,/boːu̯k/,book,0
14,Brainge,/ˈbraːɪŋə/,(anatomy) brain,0
15,Brood,/broːd/,bread,0
16,Brour,/broːu̯r/,Strukelje form of Brúur,0
17,bruke,/ˈbrukə/,"(transitive) to use, (transitive) to need",0
18,budje,/ˈbʊdjə/,(transitive) to bait (fish; especially eels),0
19,Buk,/bʊk/,"buck (male animal), (gymnastics) buck",0
20,Bäiden,/ˈbɛɪ̯dən/,"(Romelse, Skäddel) child, 2000, Marron C. Fort, transl.,",0
21,Bäist,/bɛɪ̯st/,"bull, ox (head of cattle), (Can we verify(+) this sense?)",0
22,bääst,/bɛːst/,superlative degree of goud; best,0
23,bääst,/bɛːst/,second-person singular indicative singular of weze,0
24,bääst,/bɛːst/,second-person singular indicative singular of weze,0
25,Dai,/daːi̯/,day,0
26,Daks,/daks/,badger,0
27,Dau,/daːu̯/,"dew, drizzle",0
28,die,/di/,the,0
29,die,/di/,"thyself, yourself",0
30,die,/di/,"oblique of du; thee, you",0
31,die,/di/,"thyself, yourself",0
32,die,/di/,"oblique of du; thee, you",0
33,din,/dɪn/,"thy, your",0
34,dinnen,/ˈdɪnən/,"thine, yours",0
35,do,/doː/,plural of die,0
36,do,/doː/,then,0
37,do,/doː/,then,0
38,Dokter,/ˈdɔktər/,doctor,0
39,Dom,/dɔm/,dam,0
40,Droom,/droːm/,"dream, 2000, Marron C. Fort, transl., Dät Näie Tästamänt",0
41,dusse,/ˈdʊsə/,"this, these, Synonym: krusse",0
42,dwo,/dvoː/,"(transitive) to do, (transitive) to give, (transitive)",0
43,däin,/dɛɪ̯n/,past participle of dwo; done,0
44,däin,/dɛɪ̯n/,"done, finished",0
45,dät,/dɛt/,it,0
46,dät,/dɛt/,neuter of die,0
47,dät,/dɛt/,that,0
48,-e-,/-ə-/,Genitival interfix indicating that the former element,0
49,Eend,/eːnd/,Alternative form of Eende,0
50,Eende,/ˈeːndə/,"end, travel distance, n Helen Eende tou lopen. ― A",0
51,Elefant,/ˌeːləˈfant/,elephant,0
52,-enge,/-əŋə/,Used to form feminine action nouns referring to the,0
53,-er,/-ər/,Forms agent nouns from verbs; -er,0
54,er,/ər/,unstressed form of hie (“he”),0
55,et,/ət/,unstressed form of dät (“it”),0
56,Fadder,/ˈfadər/,godfather,0
57,Fat,/fat/,fat,0
58,Februoar,/ˈfeːbruɔːr/,February,0
59,fieuw,/fiu̯/,five,0
60,fille,/ˈfɪlə/,"(transitive) to skin, (transitive) to deceive",0
61,Finger,/ˈfɪŋər/,finger,0
62,Fink,/fɪŋk/,finch,0
63,Fisk,/fɪsk/,fish,0
64,fiskje,/ˈfɪskjə/,"(intransitive) to fish, (transitive, + uut) to get",0
65,Fiskotter,/ˈfɪskˌɔtər/,European otter (Lutra lutra),0
66,fjauer,/ˈfjaːu̯ər/,four,0
67,fjautien,/ˈfjaːu̯tin/,"fourteen, 2000, Marron C. Fort, transl., Dät Näie Tästamänt",0
68,Flaask,/flaːsk/,"meat, flesh",0
69,Fledermúus,/ˈfleːdərˌmuːs/,bat,0
70,Foaks,/fɔːks/,fox,0
71,Foaksgat,/ˈfɔːksɣat/,foxhole (den of a fox),0
72,Foar,/fɔːr/,"father, 2000, Marron C. Fort, transl., Dät Näie Tästamänt",0
73,foare,/ˈfɔːrə/,(intransitive) to travel,0
74,fon,/fɔn/,"of, 2000, Marron C. Fort, transl., Dät Näie Tästamänt",0
75,Foulk,/foːu̯lk/,"people, folk, 2000, Marron C. Fort, transl., Dät Näie",0
76,Fout,/foːu̯t/,foot,0
77,Froast,/frɔːst/,"(Romelse, Strukelje) frost",0
78,fräigje,/ˈfrɛɪ̯ɣjə/,(transitive) to ask,0
79,Fräindai,/ˈfrɛɪ̯ndaːi̯/,Friday,0
80,fräisk,/frɛɪ̯sk/,Frisian,0
81,Fräisk,/frɛɪ̯sk/,East Frisian Low Saxon,0
82,Fräiske,/ˈfrɛɪ̯skə/,Alternative form of Fräisk,0
83,Fräislound,/ˈfrɛɪ̯sloːu̯nt/,East Frisia (a region of Germany),0
84,Fäild,/fɛɪ̯ld/,field,0
85,Fäldmúus,/ˈfɛldˌmuːs/,Alternative form of Fäildmúus,0
86,fääst,/fɛːst/,"healthy, firm, secure",0
87,füüftien,/ˈfyːftin/,fifteen,0
88,Gat,/ɣat/,"hole, gap, (anatomy, vulgar) vagina, (anatomy, vulgar)",0
89,Geet,/ˈɣeːt/,goat,0
90,Glove,/ˈɣloːvə/,"faith, belief, religion",0
91,God,/ɣɔd/,God,0
92,God,/ɣɔd/,god,0
93,Gous,/ɣoːu̯s/,goose,0
94,greeuwe,/ˈɣreːu̯ə/,(transitive) to dig,0
95,Greeuwer,/ˈɣreːu̯ər/,"digger, badger",0
96,gräin,/ɣrɛɪ̯n/,green,0
97,gunge,/ˈɣʊŋə/,(intransitive) to go,0
98,Gäist,/ɡɛɪ̯st/,"ghost, spirit, enthusiasm",0
99,Gäize,/ˈɣɛɪ̯sə/,goose,0
100,Gäize,/ˈɣɛɪ̯sə/,plural of Gous,0
101,Gäärs,/ɡɛːrs/,grass,0
102,Hanne,/ˈhanə/,hen,0
103,Hauk,/haːu̯k/,hawk,0
104,Heer,/ˈheːr/,army,0
105,here,/ˈheːrə/,"(transitive) to hear, (intransitive) to obey, (intransitive)",0
106,hie,/hi/,he,0
107,hier,/hir/,"oblique of ju; her, oblique of jo; them",0
108,hier,/hir/,here,0
109,hier,/hir/,here,0
110,hiere,/ˈhirə/,"her, their",0
111,hierens,/ˈhirəns/,hers,0
112,Hingst,/hɪŋst/,"stallion, (figuratively) sexpot, stud, (figuratively)",0
113,Hoangst,/hɔːŋst/,Alternative form of Houngst,0
114,Hoaze,/ˈhɔːsə/,hare,0
115,hol,/hɔl/,hollow,0
116,Holt,/hɔlt/,"wood (material), wood (small forest)",0
117,holten,/ˈhɔltən/,"wooden, stiff, rigid",0
118,Houch,/hoːu̯x/,Alternative form of Houf,0
119,Houden,/ˈhoːu̯dən/,"(Romelse, Skäddel) horn (animal body part), (Romelse,",0
120,Hälper,/ˈhɛlpər/,helper,0
121,Hööft,/høːft/,head,0
122,Húund,/huːnd/,dog (Canis familiaris),0
123,Húus,/huːs/,house,0
124,Húusmúus,/ˈhuːsmuːs/,house mouse (Mus musculus),0
125,iek,/ik/,I,0
126,Januoar,/ˈjanuɔːr/,January,0
127,jie,/ji/,"ye, you",0
128,jo,/joː/,they,0
129,Jool,/juːl/,wheel,0
130,jou,/joːu̯/,your,0
131,jou,/joːu̯/,yourselves,0
132,jou,/joːu̯/,oblique of jie; you,0
133,jou,/joːu̯/,yourselves,0
134,jou,/joːu̯/,oblique of jie; you,0
135,jouens,/ˈjoːu̯əns/,yours,0
136,ju,/ju/,she,0
137,ju,/ju/,feminine of die,0
138,ju,/ju/,feminine of die,0
139,juns,/jʊns/,"that, those, Synonym: krie",0
140,Kannienken,/kaˈninkən/,rabbit,0
141,Kat,/ˈkat/,cat (Felis catus),0
142,Katteker,/ˈkatəkər/,squirrel,0
143,Keelde,/ˈkeːldə/,cold,0
144,Kniebel,/ˈknibəl/,"knee, degree of kinship",0
145,Knientje,/ˈknintjə/,Alternative form of Kannienken,0
146,koold,/koːld/,cold,0
147,koopje,/ˈkoːpjə/,(transitive) to buy,0
148,Kop,/kɔp/,"head, heads, Kop of Íere? ― Heads or tails?",0
149,krie,/kri/,"that, Synonym: juns",0
150,krusse,/ˈkrʊsə/,"this, these, Synonym: dusse",0
151,Ku,/ku/,cow,0
152,kume,/ˈkumə/,(intransitive) to come,0
153,kuut,/kut/,"short, torn, broken",0
154,Leeuwe,/ˈleːu̯ə/,lion (Panthera leo),0
155,Liene,/ˈlinə/,"line, cord, rope, cord, rein (steer for horses)",0
156,ljo,/ljoː/,Alternative form of ljoof,0
157,loos,/loːs/,"empty, loose, free, liberated",0
158,lope,/ˈloːpə/,"(intransitive) to run, (intransitive) to flow, (intransitive)",0
159,Loum,/loːum/,lamb,0
160,Lound,/loːu̯nd/,"land, country",0
161,lusterje,/ˈlʊstərjə/,(intransitive) to listen closely,0
162,líeuwje,/ˈliːu̯jə/,(intransitive) to live,0
163,Mama,/ˈmaːmaː/,"mother, mama",0
164,Meente,/ˈmeːntə/,"municipality, Ju Meente Seelterlound. ― The Saterland",0
165,minnen,/ˈmɪnən/,mine,0
166,misbruke,/mɪsˈbrukə/,(transitive) to misuse,0
167,moakje,/ˈmɔːkjə/,"(transitive) to make, (transitive) to repair, (transitive)",0
168,Moalk,/mɔːlk/,milk,0
169,Moalkku,/ˈmɔːlkku/,"dairy cow, milk cow",0
170,Moanske,/ˈmɔːnskə/,human,0
171,Moanske,/ˈmɔːnskə/,"woman, wife, female",0
172,Mon,/mɔn/,"man, husband, 2000, Marron C. Fort, transl., Dät Näie",0
173,moor,/moːr/,comparative degree of fúul; more,0
174,moor,/moːr/,comparative degree of fúul; more,0
175,Moud,/moːu̯d/,courage,0
176,Moundai,/ˈmoːu̯ndaːi̯/,Monday,0
177,Moune,/ˈmoːu̯nə/,the Moon,0
178,Moune,/ˈmoːu̯nə/,moon,0
179,moute,/ˈmoːu̯tə/,(auxiliary) to have to; to must,0
180,Muzebuk,/ˈmusəˌbʊk/,"male mouse, (humorous) tiny male",0
181,mäd,/mɛd/,"with, with, using, (of time) in, Mäd trjo úre gunge",0
182,Mäiden,/ˈmɛɪ̯dən/,morning,0
183,Mäme,/ˈmɛːmə/,"mum, mummy",0
184,mölk,/mœlk/,giving milk,0
185,Múur,/muːr/,"(Romelse, Skäddel) mother, 2000, Marron C. Fort, transl.,",0
186,Múurhoungst,/ˈmuːrhoːu̯ŋst/,mare,0
187,múurje,/ˈmuːrjə/,(intransitive) to lay bricks,0
188,Múus,/muːs/,mouse,0
189,n,/ən/,"unstressed form of aan, een; a, an",0
190,naan,/naːn/,"no, none",0
191,Nail,/naːil/,(anatomy) nail,0
192,ne,/nə/,Alternative form of n,0
193,Neder,/ˈneːdər/,viper,0
194,njúgen,/ˈnjuːɣən/,nine,0
195,noa,/nɔː/,no,0
196,Noaber,/ˈnɔːbər/,neighbour,0
197,Noacht,/nɔːxt/,night,0
198,Noachtegoal,/ˈnɔːxtəˌɣɔːl/,nightingale (Luscinia megarhynchos),0
199,noch,/nɔx/,"still, yet, 2000, Marron C. Fort, transl., Dät Näie",0
200,Nood,/noːd/,"worry, emergency, awe, respect, effort, difficulty,",0
201,Nood,/noːd/,"dung, feces",0
202,Nood,/noːd/,"dung, feces",0
203,Näp,/nɛp/,bowl; goblet,0
204,níeme,/ˈniːmə/,"(transitive) to take, (transitive) to marry",0
205,oachte,/ˈɔːxtə/,(Romelse) eight,0
206,Oai,/ɔːɪ̯/,egg,0
207,Oante,/ˈɔːntə/,duck,0
208,Oape,/ˈɔːpə/,"ape, monkey",0
209,Omme,/ˈɔmə/,breath,0
210,Oom,/ˈoːm/,uncle,0
211,Oom,/ˈoːm/,A moment of lucidness before one's death.,0
212,Oom,/ˈoːm/,A moment of lucidness before one's death.,0
213,Oor,/oːr/,ear,0
214,Otter,/ˈɔtər/,otter,0
215,ou,/oːu̯/,from,0
216,ou,/oːu̯/,"detached, tired, distant, (games) out",0
217,ou-,/oːu̯-/,combining form of ou,0
218,oubaue,/ˈoːu̯ˌbaːu̯ə/,"(transitive) to take down, (transitive) to dismantle,",0
219,oubiete,/ˈoːu̯ˌbitə/,(transitive) to bite off,0
220,Oue,/ˈoːu̯ə/,ewe (female sheep),0
221,Paad,/paːd/,"(Romelse, Strukelje) path",0
222,Peel,/peːl/,pillow,0
223,Peel,/peːl/,"stake, pillory",0
224,Peel,/peːl/,"stake, pillory",0
225,Púus,/puːs/,cat (Felis catus),0
226,Rubbe,/ˈrʊbə/,"seal, (figuratively) noisy person, (figuratively) naughty",0
227,Räier,/ˈrɛɪ̯ər/,heifer,0
228,Sail,/saːi̯l/,sail,0
229,Seelter,/ˈseːltər/,Saterland Frisian person,0
230,Seeltersk,/ˈseːltərsk/,Saterland Frisian language,0
231,sin,/sɪn/,his,0
232,sinnen,/ˈsɪnən/,his,0
233,sjo,/sjoː/,to see,0
234,sjunge,/ˈsjʊŋə/,(intransitive) to sing,0
235,Skeper,/ˈskeːpər/,shepherd,0
236,Skoule,/ˈskoːu̯lə/,school,0
237,Skäip,/skɛɪ̯p/,sheep,0
238,skälle,/ˈskɛlə/,"(auxiliary, present tense) Used to form the future",0
239,Slange,/ˈslaŋə/,Alternative form of Sloange,0
240,smäl,/smɛl/,"narrow, Ju Sträite is aiske smäl. ― The street is awfully",0
241,Sneeuwende,/ˈsneːu̯əndə/,Skäddel form of Snäivende,0
242,Soalt,/sɔːlt/,(Romelse) salt,0
243,soange,/ˈsɔːŋə/,(transitive) to singe,0
244,sogen,/ˈsoːɣən/,seven,0
245,Soom,/soːm/,"hem, seam (sewn edge of a garment)",0
246,spits,/spɪts/,"pointed, pointy, sharp",0
247,Spitsmúus,/ˈspɪtsmuːs/,shrew,0
248,spreke,/ˈspreːkə/,(intransitive) to speak,0
249,Steen,/steːn/,"stone, rock",0
250,Stoark,/stɔːrk/,stork,0
251,Stok,/stɔk/,"stick, staff, stock, supply, A unit of length of about",0
252,Sträite,/ˈstrɛɪ̯tə/,street,0
253,Stääd,/stɛːd/,"town, city",0
254,Stíekel,/ˈstiːkəl/,"spike, prickle, sting",0
255,Stíekelswien,/ˈstiːkəlˌsvin/,porcupine,0
256,suk,/sʊk/,neuter of sukken,0
257,Sundai,/ˈsʊndaːi̯/,Sunday,0
258,Sunderkloas,/ˌsʊndərˈklɔːs/,"Saint Nicholas in a folkloric incarnation, who (in",0
259,Sunne,/ˈsʊnə/,the Sun,0
260,Sunne,/ˈsʊnə/,"sun, sunburn",0
261,Suster,/ˈsʊstər/,"sister, nun, sister",0
262,Swien,/svin/,"pig, swine",0
263,Swoan,/svɔːn/,swan,0
264,Swonne,/ˈsvɔnə/,Alternative form of Swoan,0
265,Swoon,/svoːn/,Alternative form of Swoan,0
266,swoot,/svoːt/,Alternative form of swot,0
267,swot,/svɔt/,black,0
268,Säid,/sɛɪ̯d/,"seed, sowing, insect eggs",0
269,säks,/sɛks/,six,0
270,Säände,/ˈsɛːndə/,Alternative form of Sände,0
271,Säärke,/ˈsɛːrkə/,church,0
272,takje,/ˈtakjə/,to branch off,0
273,Taks,/taks/,badger,0
274,Tied,/tid/,"time, 2000, Marron C. Fort, transl., Dät Näie Tästamänt",0
275,Tit,/tɪt/,"udder, teat, (vulgar) breast, tit",0
276,tjoon,/tjoːn/,ten,0
277,tjuk,/tjʊk/,"thick, viscous, pregnant",0
278,toai,/tɔːɪ̯/,"tough, strong, tough, difficult, hardened, hard, thick,",0
279,toanke,/ˈtɔːŋkə/,"(intransitive) to think, (reflexive) to imagine",0
280,Tonk,/tɔŋk/,thanks,0
281,tonkje,/ˈtɔŋkjə/,(transitive) to thank,0
282,Toom,/toːm/,bridle,0
283,Traast,/traːst/,"consolation, comfort",0
284,träi,/trɛɪ̯/,three,0
285,Träistrik,/ˈtrɛɪ̯strɪk/,Synonym of Träitit,0
286,Träitit,/ˈtrɛɪ̯tɪt/,cow that gives milk through three teats,0
287,trättien,/ˈtrɛtin/,thirteen,0
288,Tusk,/tʊsk/,"(Romelse, Strukelje) tooth",0
289,Tuunsdai,/ˈtunsdaːi̯/,Thursday,0
290,tweelich,/tveːlɪx/,Alternative spelling of twelig,0
291,twelig,/ˈtveːlɪɣ/,twelve,0
292,twäin,/tvɛɪ̯n/,two,0
293,Twäintit,/ˈtvɛɪ̯ntɪt/,cow that gives milk through two teats,0
294,Täisdai,/ˈtɛɪ̯sdaːi̯/,Tuesday,0
295,Täk,/tɛk/,roof,0
296,Täärp,/tɛːrp/,village,0
297,un,/ʊn/,"and, 2000, Marron C. Fort, transl., Dät Näie Tästamänt",0
298,uum,/um/,"around, Iek lope uum dän Boom. ― I'm walking around",0
299,Uuntonk,/ˈuntɔŋk/,"thanklessness, ingratitude",0
300,uus,/us/,ourselves,0
301,uus,/us/,oblique of wie; us,0
302,uus,/us/,our,0
303,uus,/us/,our,0
304,uut,/ut/,out of,0
305,uut,/ut/,"(of motion, chiefly in compounds) out, outside",0
306,uzen,/ˈusən/,ours,0
307,wanner,/ˈvanər/,"when?, Wanner gungst du ätter Húus wai? ― When are",0
308,weze,/ˈveːsə/,"(copulative) to be, (auxiliary) Used to form the present",0
309,wie,/vi/,we,0
310,wier,/vir/,"where?, Wier is  dien Húus? ― Where is your house?,",0
311,wier,/vir/,"again, Hääst du dät wier däin? ― Have you done it again?",0
312,wier,/vir/,"again, Hääst du dät wier däin? ― Have you done it again?",0
313,wiet,/vit/,white,0
314,Wieuw,/ˈviu̯/,"woman, wife, 2000, Marron C. Fort, transl., Dät Näie",0
315,Wieuwmoanske,/ˈviu̯ˌmɔːnskə/,"woman, wife, female",0
316,Wiezelke,/ˈvisəlkə/,weasel (Mustela erminea),0
317,wilkemen,/ˈvɪlkeːmən/,"welcome!, Wilkemen in Seelterlound! ― Welcome in Saterland!",0
318,wo,/voː/,"how?, Wo dääst du dät? ― How do you do that?, how,",0
319,Woater,/ˈvɔːtər/,water,0
320,wolle,/ˈvɔlə/,(transitive) to want,0
321,Woud,/voːu̯d/,"(Romelse, Skäddel) word",0
322,Wroute,/ˈvroːu̯tə/,mole,0
323,Wucht,/vʊxt/,"girl, lass",0
324,Wulf,/ˈvʊlf/,wolf (Canis lupus),0
325,wäide,/ˈvɛɪ̯də/,"(copulative) to become, (transitive) to achieve, (intransitive)",0
326,Wät,/vɛt/,law,0
327,wätje,/ˈvɛtjə/,"(transitive) to whet, sharpen",0
328,Wätsteen,/ˈvɛtsteːn/,whetstone,0
329,wíete,/ˈviːtə/,"(transitive) to know, (transitive) to remember",0
330,wöile,/ˈvœːi̯lə/,"(intransitive) to grub, rummage, rout",0
331,Wöilmúus,/ˈvœːi̯lmuːs/,vole,0
332,wülkemen,/ˈvʏlkeːmən/,Alternative form of wilkemen,0
333,ze,/zə/,"unstressed form of ju (“she”), unstressed form of jo",0
334,Äi,/ɛɪ̯/,river,0
335,Äi,/ɛɪ̯/,"Sagter Ems (a river in Lower Saxony, Germany)",0
336,Äirm,/ɛɪ̯rm/,Strukelje form of Íerm,0
337,Äivend,/ˈɛɪ̯vənt/,"(Romelse, Strukelje) evening",0
338,Äkker,/ˈɛkər/,"cropfield, land, parcel",0
339,älk,/ɛlk/,"each, every one",0
340,älk,/ɛlk/,"each, every",0
341,älkunaan,/ˈɛlkʊnˌaːn/,Alternative form of älkuneen,0
342,älkuneen,/ˈɛlkʊnˌeːn/,everyone,0
343,ätter,/ˈɛtər/,"after, 2000, Marron C. Fort, transl., Dät Näie Tästamänt",0
344,ätter-,/ɛtər-/,"combining form of ätter (“after, according to”)",0
345,ääng,/ɛːŋ/,tight,0
346,äärm,/ɛːrm/,poor,0
347,Íezel,/ˈiːsəl/,"donkey, ass (Equus asinus)",0
348,ān,ˈæn,,1
349,ān,ˈæn,,1
350,ān,ˈæn,,1
351,*fink,ˈæstɚɹˌɪsk fˈɪŋk,,1
352,helpere,hˈɛlpɚ,,1
353,hiū,hˈɪuː,,1
354,hiū,hˈɪuː,,1
355,hiū,hˈɪuː,,1
356,Mama,mˈɑːmɐ,,1
357,nān,nˈæn,,1
358,nā,nˈɑː,,1
359,poes,pˈoʊz,,1
360,*bilōkia,ˈæstɚɹˌɪsk baɪlˈoʊkiə,,1
361,tusk,tˈʌsk,,1
362,twēne,twˈiːn,,1
363,Wieuw,wˈiːʌw,,1
364,elk,ˈɛlk,,1
365,elk,ˈɛlk,,1
366,efter-,ˈɛftɚ,,1
