ID,Form,IPA,Gloss,Language_ID
0,ager,[ɑ́ːɣɐ],a field,0
1,alika,[aʊlika],a jackdaw,0
2,alnbuğe,[ɑ̀ːlˌbøʉːə],elbow,0
3,avtan,[àtan],evening,0
4,bebla,[bèːbla],to babble,0
5,blánker,[bláʊŋkɐ],"bright, shining, glossy, blank",0
6,blæsa,[blàɪːsa],to blow,0
7,borð,[béʊːɐ],table,0
8,bose,[bèʊːsɛ],snake,0
9,bruga,[bʁø̀ʉːɡa],"to make use of, to be used to",0
10,brønn,[bʁœ́ɲ],a well,0
11,bærstuğe,[bɛ̀ɐ̯ːstøʉ̯ː(ɛ)],"General living room, lacking a fireplace and thus only",0
12,disæmber,[dɪsáɪmbɐ],December (month),0
13,djyber,[jǿʏːbɐ],deep,0
14,drikka,[dʁètɕa],to drink,0
15,drónning,[dʁø̀nɪɲ],queen,0
16,drøpp,[dʁœ́p],drop,0
17,dygg,[dʏd͡ʑ],dew,0
18,døstreg,[ˈdǿːstʁéːd͡ʑ],deadline,0
19,fağn,[fɔ́ɪːn],fathom,0
20,fibervari,[feɪbɐʋɑ́ːʁɪ],February (month),0
21,flyğa,[flø̀ʏːa],to fly,0
22,fá,[fáʊː],to get,0
23,fédt,[fʊ́ɪt],fat,0
24,fólk,[fǿlk],people,0
25,føğle,[fø̀ɪːlə],"company, retinue, escort",0
26,gammall,[ɡàmaʎ],old,0
27,gida,[jèɪːda],"to have the energy to, to feel up for",0
28,glowa,[ɡlèʊːa],"to heat until glowing, to cook on a grill",0
29,goðer,[ɡéʊːɐ],good,0
30,gyda,[jø̀ʏːda],to pour,0
31,gárð,[ɡáʊːɐ],"courtyard, yard",0
32,gæda,[jàɪːda],"to guess, Kan J gätte hór mied ja har ged fór ditte",0
33,gønom,[jǿːnʊm],through,0
34,hanağ,[hɑ̀ːna],honey,0
35,haw,[hɑ́ː],sea,0
36,hawbørw,[ˈhɑ̀ːˌbœːɐ],"sandbank, sandy beach at the seashore; seashore",0
37,hawe,[hàʊː],garden,0
38,huweð,[hø̀ʉː],head,0
39,hvo,[ʊ́],who,0
40,hvysla,[ʊø̀ʏzla],to whistle,0
41,hyben,[hǿʏːbm̩],rosehip,0
42,hæven,[hɛ̀ːvɛn],swollen,0
43,høğa,[hø̀ɪ̯ːa],"(intransitive) To be tall, high and protruding; exceed with height; about those who, by length or occupation, raise themselves above or exceed others.",0
44,høğmad,[hø̀ɪ̯ːmɑːd],"a large bread with a high stack of pieces of pork, meat, sausage, which on Christmas Eve was distributed to each of the servants of a household out in the country",0
45,igarne,[ˈèɪːɣanə],squirrel,0
46,jorð,[jéʊːɐ],"earth, soil",0
47,jorðpæra,[ˈjèʊːɐˌpɛ̀ːʁa],potato,0
48,kaja,[kàɪːa],(anatomy) The left hand.,0
49,klákka,[klàʊka],"clock, watch; an instrument used to measure or keep",0
50,kløva,[klø̀ːʋa],to cleave,0
51,krawe,[kʁɑ́ːɛ],collar,0
52,krævs,[kʁaɪʋs],crayfish,0
53,kulna,[kø̀ʉːlna],"to become colder, cool, cool down, to become stiff,",0
54,káller,[káʊlɐ],cold,0
55,káng,[káʊŋ],king,0
56,kærlegsæble,[ˈɕɛ̀ɐːleːɡsˌàɪːblɛ],tomato,0
57,kéðer,[ɕʊ́ɪːɐ],"sorry, sad",0
58,køba,[ɕø̀ːba],to buy,0
59,køm,[kǿm],comb,0
60,lim,[léɪm],limb,0
61,ljordağ,/ʎɔ́ːdɑ/,Saturday,0
62,ljuğa,[jø̀ʉːa],to lie (tell an untruth),0
63,ljá,[jóː],scythe,0
64,lowa,[lɑ̀ʊːa],"to praise, to promise",0
65,lower,[léʊːɐ],low,0
66,lug,[ˈlǿʉːɣ],"weed, unwanted plant",0
67,lyn,/lǿʏːn /,lightning,0
68,lákke,[làʊ̯kɛ],"spider, Araneæ and Opiliones",0
69,lánger,[láʊŋɐ],long,0
70,marğinn,[mɑ̀ːn],morning,0
71,maðk,[máːk],worm,0
72,milk,[méɪlk],milk,0
73,monn,[mʊ́n],mouth,0
74,mála,[màʊːla],to measure,0
75,mørker,[mœ́ɐkɐ],dark,0
76,nimma,[nèɪma],to understand,0
77,næginn,[nɛ̀ːɣn̩],naked,0
78,nælla,[nàɪla],nettle,0
79,nørðe,[nœ̀ːɐ],northern,0
80,nøtt,[nǿt],night,0
81,obna,[èʊːbna],to open,0
82,orð,[éʊːɐ],word,0
83,oğse,[èʊːsə],"bull, ox",0
84,prega,[pʁèːɡa],to poke,0
85,rawn,[ʁɑ́ːn],raven,0
86,regna,[ʁèːɡna],"to calculate, reckon, to consider, regard",0
87,riva,[ʁèɪʋa],a rake,0
88,rávt,[ʁáʊʋt],"a rod, stick",0
89,ræðeliğer,[ʁɛ́ːleɪɐ],"disgusting, frightening, terrible",0
90,rénsa,[ʁʊ̀ɪnsa],to clean,0
91,rødna,[ʁø̀ːdna],to rot,0
92,røra,[ʁø̀ːʁa],(anatomy) groin,0
93,samdryğer,[ˈsàmˌdʁøʏːɐ],phlegmatic,0
94,sağs,[sɑ́ːs],"shear, shears",0
95,sebla,[sèːbla],to slurp,0
96,seda,[sèːda],to sit,0
97,siğa,[sèɪːa],to say,0
98,skidinn,[ʃìːðɪɲ],dirty,0
99,snés,[snʊ́ɪːs],a score (twenty),0
100,spøra,[ˈspœ̀ːɐ],to ask,0
101,strybe,[stʁø̀ʏːbə],throat,0
102,svoltinn,[sʊ̀ltn̩],hungry,0
103,svælla,[ˈsʊàɪla],to swallow,0
104,syrk,[sʏ́ːɐ̯k],shrew,0
105,sánka,[sàʊ̯ŋka],To collect.,0
106,sælv,[ˈsɛ́ːl],self,0
107,sóğn,[sǿɪːn],"parish, municipality",0
108,sømmarfuğl,/sø̀maˌføʉ̯ːl/,a butterfly,0
109,tjykker,[ˈɕø̀ʏːkɐ],"fat, thick",0
110,tor,[téʊːɐ],March (month),0
111,træ,[tʁáɪː],tree,0
112,trætter,[tʁáɪtɐ],tired,0
113,trøll,[tʁœ́ʎ],a troll,0
114,tága,[tàʊːɡa],"fog, mist",0
115,tákke,[tàʊ̯kɛ],"cock, male chicken",0
116,tøja,[tø̀ɪːa],to thaw,0
117,tølvt,[tǿlt],a dozen,0
118,tørrer,[ˈtœ́ʁɐ],dry,0
119,uga,[ø̀ʉːɡa],week,0
120,vaga,[ʋɑ̀ːɣa],to be awake,0
121,vann,[ʋán],water,0
122,vağn,[ʋɑ́ʊːn],"cart, wagon, carriage",0
123,veda,[ʋèːða],to know,0
124,vuğsa,[ʋø̀ʉːza],(intransitive) to grow,0
125,váss,/ʋaʊs/,"us (objective case), reflexive case of ví; compare",0
126,vægg,[ʋáɪɡ],wall,0
127,væzka,[ʋàɪska],liquid,0
128,vøv,[ʋǿːʋ],a weave,0
129,yva,[ìːʋa],eye,0
130,yğsa,[ø̀ʏːsa],axe,0
131,áðra,[àʊːɐ],"vein, blood vessel",0
132,áğsel,[ɑ́ɪːzl̩],axle,0
133,deadline,dˈɛdlaɪn,,1
