ID,Form,IPA,Gloss,Language_ID
0,'s,/s̪/,Contraction of is (“is”).,0
1,'s,/s̪/,Contraction of is (“and”).,0
2,à,/a/,"from, out of",0
3,a-muigh,/əˈmuj/,"out (implies location), Tha am bàta-sàbhalaidh a-muigh",0
4,a-nis,/ə ˈniʃ/,now,0
5,a-null,[əˈn̪ˠuːɫ̪],"there, thither, over, across",0
6,a-rèist,/əˈɾʲeːʃtʲ/,"then, so (in that case, therefore), Chan eil taic nam",0
7,abhainn,/ˈa.wɪɲ/,"river, stream",0
8,acair,/ˈaˣkəɾ/,"(nautical) anchor, stone (originally one used as an",0
9,acras,/aʰkʰɾəs̪/,"hunger, Tha an t-acras orm. - I am hungry. (literally",0
10,ad,[at̪],"hat, ad a' bhile òir ― the gold-rimmed hat, bile na",0
11,-adair,[atərʲ],"Forming nouns from nouns and adjectives with the sense of ‘person or thing connected or involved with, belonging to, having’
seinn (""sing"") → seinne (""singing"") + -adair → seinneadair (""singer"")
cluich (""play"", ""performance"") → cluiche (""playing"", ""performing"") + -adair → cluicheadair (""player"", ""actor"")
aoir (""lampoon"", ""satire"") → aoire (""lampooning"") + -adair → aoireadair (""satirist"")",0
12,adha,/ˈɤ.ə/,"liver, Synonym: grùthan",0
13,adhar,/a.əɾ/,"air, sky, heaven",0
14,adharc,[ɤ.əɾk],horn (growth on an animal's head),0
15,adhbhar,/ɤːvəɾ/,"cause, reason, adhbhar bròin ― a cause of grief, Chan",0
16,adhbharaich,/ɤːvəɾɪç/,"cause, occasion",0
17,adhbran,/ɤːpɾan/,Alternative form of adhbrann,0
18,aghaidh,/ɤː.ɪ/,"face, Synonym: aodann, surface, front, (slang) cheek,",0
19,agus,/ˈakəs/,"and, aran agus ìm ― bread and butter, as, Tha e cheart",0
20,àicheadh,/aːçəɣ/,verbal noun of àicheidh,0
21,àicheidh,/aːçɪ/,"deny, renounce",0
22,aig,/ɛkʲ/,"at, by, near, closeby, Tha am balach na laighe aig",0
23,aigeal,/ˈakʲəl̪ˠ/,sea bed,0
24,àigh,/aːj/,"happiness, joy, fortune, luck, providence, auspiciousness",0
25,àigh,/aːj/,"happy, joyous, blissful, lucky, auspicious",0
26,aighearach,/ˈa.ɪə.rəx/,"exulting, joyous, gay, happy, glad, mirthful, festive,",0
27,ailbhean,/ˈɛl̪ɛvan/,elephant,0
28,àilean,/aːlan/,"green, meadow, esplanade",0
29,aillse,/aɪlʃʲə/,"cancer, carcinoma, gangrene",0
30,ailp,/aɫp/,Alternative form of alp,0
31,ailp,/aɫp/,genitive singular of alp,0
32,ailp,/aɫp/,elephant,0
33,ailt,/altʲ/,"viola (string instrument of the violin family)
Synonym: ailt-fhidheall",0
34,ailtire,/ˈaʎtʲɪɾʲə/,architect,0
35,aimhreid,/aivɾʲɪtʲ/,Alternative form of aimhreit,0
36,aimsir,/ˈɛ.mɛ.ʃɪɾʲ/,"time, epoch, season, an aimsir a chaidh ― the past",0
37,ainbheach,/ˈɛnɛvəx/,"drone bee, much rain, debt, obligation; heavy (especially",0
38,aindeònach,/aɲɔnəx/,"reluctant, unwilling, Synonym: leisg, Antonym: deònach",0
39,aingeal,/ˈãĩŋʲkʲəl̪ˠ/,"angel, messenger, (euphemistic) fire, (dated) light,",0
40,ainm,/ˈɛnɛm/,"name, Dè an t-ainm a th’ oirbh? ― What is your name?,",0
41,ainmich,/ɛnɛmjɪç/,"name, mention, nominate",0
42,ainneamh,/ˈan̪ˠəv/,"rare, scarce, curious, crios ainneamh ― a curious girdle,",0
43,ainneamh,/ˈan̪ˠəv/,"seldom, Is ainneamh a thig thu. ― You seldom come.",0
44,ainneart,/aɲəɾʃt̪/,"violence, oppression",0
45,ainneartaich,/aɲəɾʃt̪ɪç/,"oppress, gripe, ransack",0
46,-air,[arʲ],Forming nouns from nouns and adjectives with the sense,0
47,air,/ɛrʲ/,"on, upon, air bàrr a' bhalla ― on top of the wall,",0
48,air,/ɛrʲ/,"third-person singular masculine of air: on him, on",0
49,air,/ɛrʲ/,"third-person singular masculine of air: on him, on",0
50,àird,/aːɾʃt̪/,"(geography) height, high place, point (of a compass),",0
51,àirde,/aːrˠtʲə/,"height, altitude, (music): pitch, genitive singular",0
52,àirde,/aːrˠtʲə/,"inflection of àrd:, feminine genitive singular, comparative",0
53,àirde,/aːrˠtʲə/,"inflection of àrd:, feminine genitive singular, comparative",0
54,àireamh,/ˈaːɾʲəv/,"verbal noun of àireamh, number, quantity, numbering,",0
55,àireamh,/ˈaːɾʲəv/,"number, count, compute, reckon, think",0
56,àireamhair,/ˈaːɾʲəvɛɾʲ/,calculator (device),0
57,airidh,/arʲɪ/,"worth, merit",0
58,airidh,/arʲɪ/,"worthy, meritorious, deserving, 'S bochd an airidh",0
59,Àisia,/ɛːʃə/,Asia,0
60,aiste,/ˈaʃtʲə/,"composition, essay, poem, ingenuity",0
61,aiste,/ˈaʃtʲə/,"third-person singular feminine of à: from her, from",0
62,aiste,/ˈaʃtʲə/,"third-person singular feminine of à: from her, from",0
63,àite,[aːʰtʲɪ],"place, spot, part, region, situation",0
64,àiteach,/ˈaːhtʲəx/,verbal noun of àitich,0
65,aitreabh,/ahtʰʲɾʲəv/,"building, complex, dwelling",0
66,aitreabh-leighis,/ahtʰʲɾʲəv ʎe.ɪʃ/,"sick bay, medical building, A bheil an seàirdeant anns",0
67,àl,/aːl̪ˠ/,"brood, offspring, generation, young (animal's or bird's)",0
68,àlainn,[aːɫ̪ɪɲ],"beautiful, fair, lovely., 'S àlainn an gille bàn sin",0
69,àlas,/ˈaːl̪ˠəs̪/,aloe,0
70,Alba,/aɫ̪apə/,"Scotland, Tha Loch Laomainn ann an Albainn.[1] — Loch",0
71,Albàinis,/aɫ̪ˈpɛːnɪʃ/,Albanian (language),0
72,Albannach,/ˈal̪ˠapən̪ˠəx/,"Scot, Scotsman",0
73,Albannach,/ˈal̪ˠapən̪ˠəx/,Scottish,0
74,alcol,/aɫ̪kʰɔɫ̪/,alcohol,0
75,alcolach,/aɫ̪kʰɔɫ̪/,"alcoholic, Nach e alcolach a th' ann? ― Isn't he an",0
76,alcolach,/aɫ̪kʰɔɫ̪/,alcoholic (relating to or containing alcohol),0
77,allaidh,/ˈaɫi/,"wild, fierce",0
78,allmharach,/ˈal̪ˠavərəx/,exotic,0
79,amaideachd,/ˈamətʲəxk/,folly,0
80,àmhainn,/ˈaːvɪɲ/,oven,0
81,an,/an/,the,0
82,an,/an/,their,0
83,an,/an/,in,0
84,an,/an/,their,0
85,an,/an/,in,0
86,an,/an/,in,0
87,an-asgaidh,/əˈn̪ˠaskɪ/,"gratis, free, for free, for nothing",0
88,an-ath-bhliadhna,/ən.ˈa.fɫɪnˠ/,next year,0
89,an-dè,/ənˈdʲeː/,yesterday,0
90,anmhann,/anavən̪ˠ/,"feeble, infirm, weak",0
91,anmoch,/anaməx/,"evening, san anmoch ― in the evening",0
92,anmoch,/anaməx/,"late, Tràth chun na h-abhainn is anmoch chun an locha.",0
93,ann,/aun̪ˠ/,"there, A bheil thu ann? ― Are you there?, in existence,",0
94,ann,/aun̪ˠ/,"third-person singular masculine of an; in him, in it,",0
95,Anna,/ˈan̪ˠa/,"A female given name, equivalent to English Ann",0
96,annasach,/ˈan̪ˠəs̪əx/,"strange, rare, unusual",0
97,aodach,/ˈɯːt̪əx/,"clothes, dress, cuir ort d' aodach ― put on your clothes,",0
98,aodann,/ˈɯːt̪ən̪ˠ/,"(anatomy, geometry) face, Synonyms: aghaidh, gnùis,",0
99,Aodh,/ɯːɣ/,"A male given name from Old Irish of Gaelic origin,",0
100,aoghaire,/ɯː.ɛɾʲ/,"herdsman, pastor, shepherd, pastor (ecclesiastical)",0
101,aoibhneas,/ˈɤjɲəs/,"gladness, joy, pleasure",0
102,aoigh,/ɯiʲ/,"guest, visitor",0
103,aoine,/ɯːɲə/,"fast, fast day, diet, O aoine gu anmhainn. ― Too much",0
104,aon-ghuthach,/ɯ̃ːn ɣuhəx/,"unanimous, (music) symphonious, concordant, unison,",0
105,aonar,/ˈɯ̃ːnəɾ/,one,0
106,aontamhach,/ɯːn̪t̪ʰəvəx/,celibate,0
107,aontamhachd,/ɯːn̪t̪ʰəvəxɡ/,celibacy,0
108,aosda,/ɯsdə/,"old, aged, elderly.",0
109,aotrom,/ˈɯːtɾəm/,"light, buoyant, dizzy, lightheaded, wanton",0
110,àrach,/ˈaːɾəx/,verbal noun of àraich,0
111,aran,[aɾan],"bread, loaf, aran làthail ― daily bread, livelihood,",0
112,arc,/arxk/,"Bee (apoidea).[1], Wasp (vespidae).[1], Impost, tax.[1],",0
113,àrd,/ˈaːrˠt̪/,"high, Antonyms: ìosal, ìseal",0
114,àrd,/ˈaːrˠt̪/,"chief, eminent person, uaigh an àird ― the chief's",0
115,arm,/ˈaɾam/,"army, Synonym: armailt, arm, weapon",0
116,às,/as̪/,"Form of à used before the definite article., Form of",0
