ID,Form,IPA,Gloss,Language_ID
0,'ccattari,/kːaˈt̪ːaɾɪ/,"to buy, to purchase",0
1,'ddumari,/ɖɖuˈma.ɾi/,Aphetic form of addumari,0
2,'mbari,[mˈba.ɾɪ],"male baptismal sponsor of one's child, co-father, godfather,",0
3,'nduja,[n̩̪ˈd̪uːjä],(originally in the Southern Calabrian dialect) nduja,0
4,'rruspigghiari,/rus(ʃ)piˈɡːjaɾɪ/,"to awaken, to stimulate",0
5,abbagnari,[ab.baɲ.ˈɲaː.ɾɪ],to soak,0
6,abbagnatu,/abbaɲˈɲatu/,soaked,0
7,abbagnatu,/abbaɲˈɲatu/,past participle of abbagnari,0
8,abbrazzari,[ab.brat.ˈtsaː.ɾɪ],"to hug, to embrace",0
9,abbrazzu,/abˈbrattsu/,"hug, embrace",0
10,accamora,/akkaˈmɔɾa/,"now, right now, at the present time",0
11,accattari,/akkatˈtaɾi/,"to buy, to purchase",0
12,acchianari,/ak.kjaˈna.ɾi/,"(intransitive) to get up, to go up, Antonym: scìnniri,",0
13,accussì,/ak.kʊsˈsi/,"therefore, hence, thus",0
14,accussì,/ak.kʊsˈsi/,"so, like this/that",0
15,aceddu,/aˈtʃɛɖ.ɖu/,bird,0
16,acqua,/ˈakkwa/,"water, rain",0
17,adaciu,/aˈda.ʃu/,slowly,0
18,adagiu,/aˈda.ʒu/,Alternative form of adaciu; slowly.,0
19,agghiu,/ˈaɡ.ɡju/,garlic,0
20,agneddu,/aɲˈɲɛɖ.ɖu/,lamb,0
21,ammucciari,[am.mut.ˈtʃaː.ɾɪ],(transitive) to hide something,0
22,ammucciarisi,/am.mutˈtʃa.ɾɪ.sɪ/,(reflexive) to hide (oneself),0
23,anciova,/anˈtʃɔ.va/,anchovy,0
24,anghidda,/anˈɡi.ɖa/,eel,0
25,antura,/anˈdu.ɾa/,"before, a little while ago, earlier",0
26,aprili,/aˈpɾi.lɪ/,April,0
27,arancina,/a.ɾanˈtʃi.na/,(Prevalent in Western Sicily) arancino (baked stuffed,0
28,arancinu,/a.ɾanˈtʃi.nʊ/,(Prevalent in Eastern Sicily) arancino (baked stuffed,0
29,aranciu,/aˈɾan.t͡ʃʊ/,orange (fruit),0
30,arcu,/ˈaɾku/,"(weapon) bow, (music) bow, (geometry) arc, (architecture)",0
31,Aristòtili,/ɐ̠.rɪsˈtɔː.tɪ.lɪ/,Aristotle,0
32,armacìa,/aɾmatˈʃia/,dry-stone wall,0
33,armali,/aɾˈma.lɪ/,animal,0
34,armali,/aɾˈma.lɪ/,"plural of armalu, plural of armali",0
35,armalu,/aɾˈma.lu/,animal,0
36,arpa,/ˈar.pa/,harp,0
37,arpa,/ˈar.pa/,"raptor, bird of prey",0
38,arpa,/ˈar.pa/,"raptor, bird of prey",0
39,arrivari,/arriˈvari/,"to arrive, to reach",0
40,arrè,/aʐˈʐɛ/,again,0
41,attuppari,[at̪.t̪ʊp.ˈpaː.ɾɪ],"to clog, to stop, to plug, to cork",0
42,augghia,/aˈuɟːa/,"needle, garfish (Belone belone)",0
43,aviri,[a.ˈvi.ɾɪ],to have,0
44,avverbiu,/avˈvɛɾ.bju/,adverb,0
45,azzaru,/atˈtsaɾu/,steel,0
46,aḍḍumari,/aɖ.ɖuˈma.ɾi/,"(transitive) to light up, to ignite, to kindle (a fire),",0
47,babba,/ˈbabba/,"fool, silly, stupid",0
48,babba,/ˈbabba/,(anatomy) beard,0
49,babba,/ˈbabba/,(anatomy) beard,0
50,babbaluci,[babbaˈluçɪ],snail,0
51,babbarottu,/babbaˈɾɔt̪t̪u/,(anatomy) chin,0
52,babbiari,/babbiˈaɾi/,"to jest, to fool around, to act silly",0
53,babbu,/ˈbabbu/,"silly, stupid",0
54,babbu,/ˈbabbu/,"a stupid or silly person, an idiot",0
55,baciannicchiu,/batʃaˈnːikːju/,"(vulgar, slang) fool, silly, stupid, idiot",0
56,baciari,/baˈçaɾɪ/,to kiss,0
57,bafari,/baˈfaɾɪ/,to be hoarse,0
58,bagghiolu,/baɡˈɡjɔlu/,bucket,0
59,bagnari,/baˈɲɲaɾi/,to wet something,0
60,bagnatu,/baɲˈɲatu/,wet,0
61,bagnatu,/baɲˈɲatu/,past participle of bagnari,0
62,balata,/ˈbalat̪a/,marble slab,0
63,ballari,/bɐ̠lˈla.ri̞/,"to dance, Synonym: danzari",0
64,banna,/ˈban.na/,"side, place, zone",0
65,bastuni,/baˈʃtu.nɪ/,"stick, staff, baton",0
66,beni,/ˈbɛ.ni/,well,0
67,beni,/ˈbɛ.ni/,good,0
68,beḍḍu,/ˈbɛɖ.ɖu/,"(of weather, objects, etc.) beautiful, Sta casa è beḍḍa.This",0
69,birra,/ˈbiʐ.ʐa/,beer,0
70,bisolu,/bɪˈzɔlu/,"slab, threshold",0
71,biḍḍicchiu,/biɖˈɖik.kju/,"cute, nice, pretty",0
72,biḍḍizza,/biɖˈɖit.tsa/,"(uncountable or countable) beauty (all senses), (in",0
73,bonu,/ˈbɔ.nu/,good,0
74,brufulu,/ˈbɾufulu/,"pimple, spot, zit",0
75,buatta,/ˈbwat̪ːa/,"food can, tin",0
76,bucalaci,/bukalaçɪ/,snail,0
77,bucali,/buˈkali/,"jar, bowl",0
78,bucca,/ˈbukka/,mouth,0
79,buccularu,/bukːuˈlaɾu/,(anatomy) double chin,0
80,buci,/ˈbuçɪ/,"scream, shout",0
81,buciari,/buˈç(j)aɾɪ/,"to scream, to shout",0
82,bucu,/ˈbu.ku/,hole,0
83,budda,/ˈbuɖɖa/,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",0
84,bummulu,/ˈbumːulu/,"amphora, bump, lump, swelling",0
85,Buscema,/bʊʃˈʃɛ.ma/,Buscemi (a small town in the province of Syracuse in,0
86,buttigghia,[butˈtiɡ.ɡjɐ],bottle,0
87,bìviri,/ˈbi.vɪ.ɾɪ/,to drink,0
88,cacaruni,/ka.ka.ˈru.ni/,"(informal) the runs, diarrhea",0
89,cacasipala,/kakaˈsəpala/,"sparrow, tit, great tit",0
90,caccagnata,/kakːaˈɲat̪a/,backheel,0
91,cacocciùlu,/kakoˈtːʃulu/,artichoke,0
92,cacumbaru,/ka.kʊmˈba.ɾʊ/,"strawberry tree, Arbutus unedo (regional, Calabrian)",0
93,cadugghiari,/kad̪uˈɟːaɾɪ/,to tickle,0
94,cafisu,/kaˈfisu/,"qafiz, a measurement of volume used to measure quantities",0
95,cafè,/kaˈfɛ/,coffee,0
96,calari,/kaˈla.ɾɪ/,"to lower, to decrease",0
97,calia,/ˈkalja/,toasted chickpea,0
98,calura,/kaˈluɾa/,warmth,0
99,caluri,[ka.ˈlu.ɾɪ],"heat, warmth",0
100,caminari,/ka.miˈna.ɾi/,to walk,0
101,cammisa,/kamˈmi.sa/,shirt,0
102,camula,/ˈkamula/,"woodworm, clothes moth larva (Tineola bisselliella)",0
103,camuriusu,/kamuˈɾjuzu/,annoying person,0
104,camurria,/kamuˈrːia/,"annoyance, trouble, bother, nuisance, gonorrhea",0
105,camurriusu,/kamurˈːiuzu/,annoying person,0
106,canciari,/kɐ̠nˈt͡ʃjaː.rɪ/,"to change, Synonyms: mutari, mudificari, to exchange",0
107,cangiari,/kɐ̠nˈd͡ʒjaː.rɪ/,"to change, to exchange",0
108,cani,/ˈka.nɪ/,dog,0
109,canigghia,/kaˈniɡ.ɡja/,"(usually uncountable) bran (outer layer of a grain),",0
110,canigghiola,/kaniˈɡːjɔla/,dandruff,0
111,canna,/ˈkaːn.nɐ̠/,"reed, stick, rattan; a cane, rod, instrument, or other",0
112,cannila,/kanˈni.la/,candle,0
113,cannolu,/kɐ̠nˈnɔː.lu̞/,cannoli; a traditional Sicilian specialty pastry consisting,0
114,cantunera,/kãnt̪uˈnɛɾa/,corner (of a building),0
115,capa,/ˈkapa/,(anatomy) head,0
116,capiddu,/kaˈpiɖɖu/,(anatomy) hair,0
117,capuliari,/kapuˈljaɾɪ/,to mince.,0
118,capuliatu,/kapuˈljat̪u/,mince,0
119,carabbineri,/kaɾabːɨˈnɛɾɪ/,"carabineer, (slang) sneak",0
120,carni,/ˈkaɾnɪ/,meat,0
121,caruseddu,/kaɾuˈsɛɖːu/,"money box, piggy bank",0
122,carusu,/kaˈɾusu/,"young boy, guy",0
123,cascia,/ˈkaʃʃa/,chest,0
124,cascittuni,/kaʃʃɪt̪ˈt̪unɪ/,chest,0
125,casciuni,/kaʃˈʃuni/,drawer,0
126,cassata,/kasˈsata/,cassata siciliana,0
127,Castigghia,/kɐ̠sˈtiɡ̟.ɡ̟ʲɐ̠/,"(geography, historical) Castile (a region of Spain)",0
128,cauliuni,/kauˈljunɪ/,cauliflower,0
129,cavaddu,/kaˈvaɖɖu/,"horse, (chess) knight",0
130,cavuliciuri,/kavuˈliçuɾɪ/,cauliflower,0
131,cchiù,[ˈkkju],more,0
132,ccà,[ˈkka],"here
Veni ccà!
Come here!",0
133,celu,/ˈʃɛ.lu/,"sky, heaven",0
134,cervu,/ˈʃɛɾ.vu/,deer,0
135,chiantari,/kjanˈta.ɾɪ/,to plant,0
136,chiaru,[ˈkjaɾu],"clear, light",0
137,chiddi,/ˈkiɖɖi/,plural of chiddu,0
138,chiddi,/ˈkiɖɖi/,plural of chiddu,0
139,chiddu,/ˈkiɖɖu/,that,0
140,chiddu,/ˈkiɖɖu/,that one,0
141,chinu,/ˈkinu/,full,0
142,chisti,[ˈki.ʃtɪ],"masculine plural of chistu, feminine plural of chistu",0
143,chisti,[ˈki.ʃtɪ],"masculine plural of chistu, feminine plural of chistu",0
144,chistu,[ˈki.ʃt̪u],"this, (in the plural) these",0
145,chistu,[ˈki.ʃt̪u],"this, this one, (in the plural) these, these ones",0
146,chitarra,/kiˈtaʐʐa/,(music) guitar,0
147,chiummu,/ˈcjum.mʊ/,"(chemistry) lead (metal, chemical element 82)",0
148,chiànciri,/ˈkjan.tʃi.ɾi/,"to cry, to weep",0
149,chiù,/ˈkju/,"more, plus",0
150,ci,[ˈtʃi],"here, there",0
151,ci,[ˈtʃi],"dative of iddu (“he”); to him, dative of idda (“she”);",0
152,ci,[ˈtʃi],"dative of iddu (“he”); to him, dative of idda (“she”);",0
153,ciacca,/ˈçakka/,"crack, split, fissure, rift",0
154,ciamma,/ˈçjam.ma/,flame,0
155,cianciuta,/çanˈtʃu.ta/,"crying, weeping, Synonyms: chiantu, ciantu",0
156,ciareddu,/tʃäˈɾe̞ːɖːʊ/,kid (young goat),0
157,ciaula,/ˈtʃaula/,"crow, jackdaw",0
158,ciaurari,/çauɾaɾɪ/,"to smell, to perfume, to scent",0
159,ciciulena,/çɪçuˈlɛna/,"sesame, sesame seed",0
160,cignu,[ˈʃiɲɲu],swan,0
161,cipudda,[ʃiˈpuɖɖa],onion,0
162,cira,[ˈʃiɾa],wax,0
163,ciriveddu,/çɪɾɪ(ɨ)ˈv(ʲ)ɛɖːu/,"(anatomy) brain, intelligence",0
164,ciriveddu,/çɪɾɪ(ɨ)ˈv(ʲ)ɛɖːu/,intelligent person,0
165,ciumi,/ˈçumɪ/,river,0
166,ciuri,/ˈçjuɾɪ/,flower,0
167,ciusciari,/çuˈʃːaɾɪ/,"to blow, puff up, inflate.",0
