ID,Form,IPA,Gloss,Language_ID
0,آه,/ʔaː/,"yes, Synonyms: أيوه‎ (ʔaywa), (formal) نعم‎ (naʔam),",0
1,أبدا,/ʔa.ba.dan/,"never, Synonyms: بالمرة‎ (bil-marra), ولا مرة‎ (wala",0
2,أتر,/ʔat.tar/,"Alternative form of أثّر‎ (ʔaṯṯar, “to affect, to influence”)",0
3,أتلج,/ˈʔat.lad͡ʒ/,"to snow
Synonym: تلّج‎ (tallaj)",0
4,أثر,/ʔaθ.θar/,"to affect, to influence (+ في‎), ‏الدوا مش مأثّر فيه.‎‎id-dawa",0
5,أجل,/ʔaʒ.ʒal/,"to postpone, to put off, ‏كان لازم يأجّلو العرس.‎‎kān",0
6,أخد,/ʔa.xad/,"to take, ‏برافو حبيبتي، أخدتي القرار الصحّ.‎‎brāvo",0
7,أربع,/ʔar.baʔ/,construct state of أربعة‎ (ʔarbaʔa),0
8,أربعة,/ʔar.ba.ʕa/,four,0
9,أربعتعش,/ʔar.baʕ.taʃ/,fourteen,0
10,أرجل,/ʔar.ɡal/,"to smoke argileh, Synonyms: شيّش‎ (šayyaš), شرب أرجيلة‎",0
11,أسبوع,/ʔus.buːʕ/,"week, Synonym: جمعة‎ (jumʕa)",0
12,أسس,/ʔas.sas/,"to establish, to found, to set up",0
13,أشتى,/ˈʔaʃ.ta/,"(regional) to rain
Synonym: شتّى‎ (šatta)",0
14,أشر,/ʔaʃ.ʃar/,"to signal, ‏إجى الباص وأشّرتله.‎‎ʔija l-bāṣ w ʔaššart-illo.The",0
15,أعطى,/ʔaʕ.tˤa/,to give,0
16,أعلن,/ʔaʕ.lan/,"to announce, to declare",0
17,أقنع,/ʔaq.naʕ/,"to convince, to persuade",0
18,أكد,/ʔak.kad/,"(transitive) to confirm, to ensure, ‏لسّا ما أكّدو",0
19,أكل,/ʔakl/,"to eat, ‏لقیت الفار ماكل الجبنة.‎‎laʔēt il-fār mākel",0
20,أكل,/ʔakl/,"food, eating",0
21,أكل,/ʔakl/,"food, eating",0
22,ألغى,/ʔal.ɣa/,Alternative form of لغى‎ (laḡa),0
23,ألمانيا,/ʔal.mˤaːn.ja/,Germany (a country in Europe),0
24,أمر,/ʔa.mar/,"to order, to command",0
25,أمن,/ʔam.man/,"to insure, to secure, to safeguard, ‏سيّارتك مأمّنة؟‎‎sayyārtak",0
26,أنا,/ʔa.na/,I (first-person singular subject pronoun),0
27,أهان,/ʔa.haːn/,"to insult, to offend",0
28,إجا,/ʔi.ʒa/,"to come, Antonym: راح‎ (rāḥ), ‏فيه حدا جاي غيري؟‎‎fīh",0
29,إسبانيا,/ʔis.baːn.ja/,Spain (a country in Europe),0
30,إيش,/ʔeːʃ/,"what?, ‏إيش اسمك؟‎‎ (to a male) ― ʔēš ismak? ― What's",0
31,إيطاليا,/ʔiː.tˤaːl.ja/,Italy (a country in Europe),0
32,إيمتى,/ʔeːm.ta/,"when?, Synonym: وقتيش‎ (waʔtēš)",0
33,ابتسم,/ib.ta.sam/,to smile,0
34,اتصل,/it.ta.sˤal/,"to contact, to get in touch, to phone, to call, Synonyms:",0
35,اتفق,/it.ta.faʔ/,(reciprocal) to come to an agreement,0
36,اتكل,/it.ta.kal/,"to rely on or trust in (something or someone) (+ على‎),",0
37,اتهم,/it.ta.ham/,to accuse,0
38,اجتمع,/iʒ.ta.maʕ/,to meet (as in a meeting),0
39,احترم,/iħ.ta.ram/,to respect,0
40,احتفل,/iħ.ta.fal/,to celebrate,0
41,احتل,/iħ.tall/,to occupy,0
42,احمر,/iħ.marr/,"to blush, to turn red, to redden",0
43,احنا,/ʔiħ.na/,we (first-person plural subject pronoun),0
44,اختفى,/ix.ta.fa/,"to vanish, to disappear, ‏تلفوني كان هون واختفى.‎‎telfōni",0
45,اختلف,/ix.ta.laf/,"to differ, to be different, to disagree, Antonym: وافق‎",0
46,استأجر,/is.taʔ.ʒar/,"to rent, to lease, ‏بدّي استأجر غرفة.‎‎biddi staʔjer",0
47,استحى,/is.ta.ħa/,"to be shy, to be ashamed, to be embarrassed, ‏استحيت",0
48,استخدم,/is.tax.dam/,"to use, ‏هو مش عارف يستخدم الكمبيوتر.‎‎hū miš ʕāref",0
49,استسلم,/is.tas.lam/,"to give up, to surrender",0
50,استعجل,/is.taʕ.ʒal/,"(intransitive) to hurry, to rush, Synonyms: عجّل‎ (ʕajjal),",0
51,استعمر,/is.taʕ.mar/,to colonize,0
52,استعمل,/is.taʕ.mal/,"to use, ‏استعملنا كلّ الطرق.‎‎istaʕmalna kull iṭ-ṭoroʔ.We",0
53,استغرب,/is.taɣ.rab/,"to find (something) weird, strange, odd, unusual, funny,",0
54,استقبل,/is.taʔ.bal/,"to receive, ‏استقبلني في مكتبه.‎‎istaʔbalni fī maktaboHe",0
55,استنى,/is.tan.na/,"to wait, ‏خلّينا نستنّى نشوف شو بتحكي المسّ‎‎ḵallīna",0
56,استوطن,/is.taw.tˤan/,(intransitive) to settle,0
57,اشترك,/iʃ.ta.rak/,"to subscribe, ‏ما تنسو تشتركو بالقناة.‎‎mā tinsu tištirku",0
58,اشترى,/iʃ.ta.ra/,"to buy, to purchase, Antonym: باع‎ (bāʕ)",0
59,اشتغل,/iʃ.ta.ɣal/,"to work (+ على‎), ‏ما اشتغلت مبارح.‎‎mā ištaḡalt mbāreḥI",0
60,اعتبر,/iʕ.ta.bar/,"to deem, to consider",0
61,اعتذر,/iʕ.ta.zar/,to apologize,0
62,اعترض,/iʕ.ta.radˤ/,to oppose,0
63,اعترف,/iʕ.ta.raf/,"to recognize, to acknowledge, to admit, to confess",0
64,اعتزل,/iʕ.ta.zal/,"to retire, Synonym: تقاعد‎ (tʔāʕad)",0
65,اعتقد,/iʕ.ta.ʔad/,"to think, to consider, to believe (that something is",0
66,اعتقل,/iʕ.ta.qal/,"to arrest, Synonyms: عوّق‎ (ʕawwaʔ), وقّف‎ (waʔʔaf)",0
67,اعتمد,/iʕ.ta.mad/,"to depend, to rely on, Synonym: اتّكل‎ (ittakal)",0
68,افترض,/if.ta.radˤ/,to assume,0
69,اقترح,/iq.ta.raħ/,"to suggest, to propose",0
70,اكتشف,/ik.ta.ʃaf/,to discover,0
71,الأحد,/il.ʔa.ħad/,"Sunday, Synonym: يوم الأحد (yōm il-ʔaḥad)",0
72,الأربعا,/il.ʔar.bi.ʕa/,"Wednesday, Synonym: يوم الأربعا (yōm il-ʔarbiʕa)",0
73,الأردن,/il.ʔur.dun/,"Jordan (a country in Asia), the Jordan River, Synonym:",0
74,التزم,/il.ta.zam/,(intransitive) to commit,0
75,التقى,/il.ta.ʔa/,"to meet, to meet up, ‏يلا نلتقي بكرا.‎‎yalla niltaʔi",0
76,التلاتا,/it.ta.laː.ta/,"Tuesday, Synonym: يوم التلاتا (yōm it-talāta)",0
77,الجمعة,/il.ʒum.ʕa/,"Friday, Synonym: يوم الجمعة (yōm il-jumʕa)",0
78,الخميس,/il.xa.miːs/,"Thursday, Synonym: يوم الخميس (yōm il-ḵamīs)",0
79,السبت,/is.sabt/,"Saturday, Synonym: يوم السبت (yōm is-sabt)",0
80,القدس,/il.ʔuds/,Jerusalem (the claimed capital city of Israel; the,0
81,اليوم,/il.joːm/,today,0
82,اليونان,/il.juː.naːn/,Greece (a country in Europe),0
83,امتنع,/im.ta.naʕ/,"to abstain, to refrain (from + عن‎ (ʕan) / من‎ (min))",0
84,انبسط,/in.ba.satˤ/,"to enjoy, to have fun, Synonym: استلذّ‎ (istalazz)",0
85,انتبه,/in.ta.bah/,"to notice, Synonym: لاحظ‎ (lāḥaẓ), to pay attention,",0
86,انتحر,/in.ta.ħar/,to commit suicide,0
87,انتخب,/in.ta.xab/,to elect,0
88,انتشر,/in.ta.ʃar/,"(intransitive) to spread, to circulate",0
89,انتصر,/in.ta.sˤar/,"to be victorious, to triumph",0
90,انتفخ,/in.ta.fax/,(intransitive) to swell,0
91,انتمى,/in.ta.ma/,"to belong, ‏بنتمو لهالجمعيّة.‎‎bintamū la-hāl-jamʕiyyeThey",0
92,انتو,/ʔin.tu/,you (second-person plural subject pronoun),0
93,انتي,/ʔin.ti/,you (second-person feminine singular subject pronoun),0
94,انجرح,/in.ʒa.raħ/,"passive of جرح‎ (jaraḥ): to be wounded, to be injured",0
95,انسحب,/in.sa.ħab/,"(intransitive) to withdraw, to retreat, Synonym: تراجع‎",0
96,انسرق,/in.sa.raʔ/,passive of سرق‎ (saraʔ): to be stolen,0
97,انشغل,/in.ʃa.ɣal/,to become busy,0
98,انشهر,/in.ʃa.har/,to become famous,0
99,انضم,/in.dˤamm/,to join,0
100,انفجر,/in.fa.ʒar/,"to explode, Synonym: فَقَع‎ (faʔaʕ)",0
101,انفصل,/in.fa.sˤal/,(passive) to be separated,0
102,انفضح,/in.fa.dˤaħ/,"passive of فضح‎ (faḍaḥ): to be exposed, to be humiliated",0
103,انفك,/in.fakk/,"to fall apart, to break down
‏العقدة انفكّت.‎‎il-ʕoʔde infakkatThe knot came undone.
(Can we add an example for this sense?)",0
104,انفهق,/inˈfa.haɡ/,"(Jordan) to move, to step aside, to go away",0
105,انقطع,/in.ʔa.tˤaʕ/,"(passive) to be interrupted, to be cut off",0
106,انمسك,/in.ma.sak/,"passive of مسك‎ (masak): to be held, to be caught",0
107,انولد,/in.wa.lad/,to be born,0
108,اهتم,/ih.tamm/,"to be interested in, ‏الشبّ بهتمّ فيها.‎‎iš-šab bihtamm",0
109,بابا,/bˤaː.bˤa/,"dad, papa, an affectionate form of address used by",0
110,بارد,/baː.red/,"cold, ‏الطقس بارد.‎‎ ― iṭ-ṭaʔs bāred ― The weather",0
111,بارك,/baː.rak/,"to congratulate, to bless, Synonym: عيّد‎ (ʕayyad),",0
112,باس,/baːs/,"to kiss, ‏قوم بوس راس أخوك.‎‎ʔūm būs rās ʔaḵūkGo make",0
113,باص,/baːsˤ/,bus,0
114,باع,/baːʕ/,"(transitive) to sell, Antonyms: اشترى‎ (ištara), شرى‎",0
115,بالغ,/baː.laɣ/,"to exaggerate, Synonym: كبّر‎ (kabbar)",0
116,بتنجان,/be.tin.ʒaːn/,"(uncountable) eggplant, aubergine",0
117,بد,/bidd/,"(false verb) to want, ‏بدّك قهوة؟‎‎biddak ʔahwe?Do",0
118,بدا,/ba.da/,"(intransitive, transitive) to begin, to start, Synonym:",0
119,بدري,/bad.ri/,"early, Synonym: بكير‎ (bakkīr), Antonym: متأخر‎ (mitʔaḵḵer)",0
120,بدل,/bad.dal/,"to exchange, ‏بدّي ابدّل هالقميص بنمرة ازغر.‎‎biddi",0
