ID,Form,IPA,Gloss,Language_ID
0,Aga,/ˈa.ɡa/,"The Hague (a city, the administrative capital of the",0
1,ai,/aj/,eye,0
2,ai,/aj/,yes,0
3,ai,/aj/,yes,0
4,apresina,/apreˈsina/,orange (fruit),0
5,asema,/aˈse.ma/,A vampire who has the appearance of an elderly person,0
6,bai,/bai̯/,to buy,0
7,bangi,/ˈba.ŋi/,"bank (financial institution), stool, bench, sandbank",0
8,barki,/ˈbarki/,"beam, rafter, bolt",0
9,barki,/ˈbarki/,"boat, barque",0
10,barki,/ˈbarki/,"conspiracy, plot, agreement, scheme",0
11,barki,/ˈbarki/,"(before 1865, obsolete) 100 Dutch guilders, (1865 to",0
12,barki,/ˈbarki/,"boat, barque",0
13,barki,/ˈbarki/,"conspiracy, plot, agreement, scheme",0
14,barki,/ˈbarki/,"(before 1865, obsolete) 100 Dutch guilders, (1865 to",0
15,barki,/ˈbarki/,"conspiracy, plot, agreement, scheme",0
16,barki,/ˈbarki/,"(before 1865, obsolete) 100 Dutch guilders, (1865 to",0
17,barki,/ˈbarki/,"(before 1865, obsolete) 100 Dutch guilders, (1865 to",0
18,batra,/ˈba.tra/,bottle,0
19,batyaw,/baˈt͡ʃaw/,salt cod,0
20,bedi,/ˈbe.di/,bed,0
21,begi,/ˈbe.ɡi/,"to beg, to pray",0
22,begi,/ˈbe.ɡi/,prayer,0
23,bere,/ˈbe.re/,"belly, stomach, womb",0
24,beri,/ˈbe.ri/,to bury,0
25,bigi,/ˈbi.ɡi/,big,0
26,bigin,/biˈɡin/,"begin, start",0
27,bigin,/biˈɡin/,"beginning, start",0
28,bika,/ˈbika/,because,0
29,bikasi,/biˈkasi/,because,0
30,bikasi,/biˈkasi/,because of,0
31,biri,/ˈbi.ri/,beer,0
32,bita,/ˈbi.ta/,bitter,0
33,bita,/ˈbi.ta/,bile,0
34,bita,/ˈbi.ta/,a type of strong liquor,0
35,bita,/ˈbi.ta/,a type of strong liquor,0
36,bo,/bo/,Marker for the irrealis mood.,0
37,bo,/bo/,"bow, arch",0
38,bo,/bo/,"bow, arch",0
39,bobi,/ˈbo.bi/,"breast, boob",0
40,bori,/ˈbo.ri/,to cook or boil,0
41,boy,/boi̯/,(unofficial spelling) boy,0
42,brada,/ˈbra.da/,brother,0
43,bradi,/ˈbra.di/,"broad, wide, A bradi pasi.The wide road.",0
44,bradi,/ˈbra.di/,"wide, Den no meki a pasi so bradi.They didn't make",0
45,bradi,/ˈbra.di/,"width, A bradi fu a pasi.The width of the road.",0
