ID,Form,IPA,Gloss,Language_ID
0,ax̱,[ʔàχ],my,0
1,dlágwaa,[tɬʌ́.kʷàː],peavy,0
2,dléit,/t͡ɬéːtʰ/,snow,0
3,dléit,/t͡ɬéːtʰ/,white,0
4,dzántikʼ,[ˈt͡sʌ́n.ˌtʰɪkʼ],Diminutive form of dzánti,0
5,dáanaa,[táːnàː],"money, dollar, coin, silver",0
6,déix̱,[téːχ],two,0
7,goosh,[kùːʃ],thumb,0
8,géewaa,[ˈkíː.wàː],beer,0
9,góon,[kʷúːn],gold,0
10,g̱ayéis’,/qà.jéːsʼ/,iron,0
11,g̱ooch,[qùːt͡ʃʰ],wolf,0
12,g̱éechadi,[ˈqíː.ˌt͡ʃʰʌ.tɪ],windfall (tree blown over by the wind),0
13,héen,[híːn],"water; fresh water, river",0
14,hít,[hít],"house
Héen t’iká át la.áa du hídi.His house sits beside the river.",0
15,jín,[t͡ʃɪ́n],"hand, paw",0
16,kanéist,/kʰà.néːst/,cross,0
17,lítaa,[ɬí.tʰàː],knife,0
18,lítaa,[ɬí.tʰàː],ḵatltulítaa,0
19,sgóon,[skʷúːn],school,0
20,shtéen,/ʃtʰíːn/,"steel, iron, Ch’aakw hél shtéen ḵustí.Long ago, there",0
21,sʼig̱eeḵáawu,/sʼì.qìː.qʰáː.wù/,"ghost, phantom",0
22,tleilóo,/t͡ɬèːɬúː/,moth; butterfly,0
23,tléixʼ,[tɬʰéːxʼ],one,0
24,tsín,[t͡sʰín],muskrat (Ondatra zibethicus),0
25,tás,/tʰás/,thread,0
26,x̱áat,[χáːt],"fish, salmon",0
27,íx̱t’,[ʔíχtʼ],"shaman, medicine man",0
28,ḵwáan,[qʰʷáːn],"clan, people, tribe",0
29,ḵáa,/qʰáː/,man,0
30,dollar,dˈɑːlɚ,,1
31,gold,ɡˈoʊld,,1
32,school,skˈuːl,,1
33,steel,stˈiːl,,1
