ID,Form,IPA,Gloss,Language_ID
0,.cd,/dɑt siˈdi/,The Internet country code top-level domain (ccTLD) for the Democratic Republic of the Congo,0
1,.int,/dɒtˈɪnt/,"(Internet) An Internet top-level domain reserved for international treaty organizations and non-governmental organizations with ""observer"" status at the United Nations.",0
2,Abelia,/ə.ˈbil.jə/,A taxonomic genus within the family Caprifoliaceae –,0
3,Abelmoschus,/ˌeɪ.bəlˈmɑs.kəs/,A taxonomic genus within the family Malvaceae – tropical,0
4,Abies,/ˈeɪ.biˌiz/,A taxonomic genus within the family Pinaceae – certain,0
5,Ablepharus,/eɪˈblə.fə.ɹəs/,A taxonomic genus within the family Scincidae – Old,0
6,Abranchiata,/eɪˈbɹæŋ.kiˌɑ.tə/,"(archaic) An obsolete order of annelids, so called",0
7,Abroma,/əˈbɹoʊ.mə/,A taxonomic genus within the family Sterculiaceae –,0
8,Abronia,/əˈbɹoʊ.ni.ə/,A taxonomic genus within the family Nyctaginaceae –,0
9,Abrus,/ˈeɪ.bɹəs/,A taxonomic genus within the family Fabaceae – tropical,0
10,Absidia,/æbˈsɪd.i.ə/,A taxonomic genus within the family Mucoraceae – certain,0
11,Abudefduf,/ˌæ.buˈdɛf.dəf/,A taxonomic genus within the family Pomacentridae –,0
12,Abuta,/əˈbu.də/,A taxonomic genus within the family Menispermaceae –,0
13,Abutilon,/əˈbjuː.tɪˌlɒn/,A taxonomic genus within the family Malvaceae – broadleaf,0
14,Acacia,/əˈkeɪ.ʃə/,(sensu stricto) A taxonomic genus within the family,0
15,Acalepha,/ˌæk.əˈlif.ə/,(obsolete) A taxonomic class within the division Radiata –,0
16,Acalephae,/ˌæk.əˈli.fi/,(obsolete) A taxonomic group within the phylum Coelenterata –,0
17,Acalypha,/ˌæk.əˈlaɪf.ə/,A taxonomic genus within the family Euphorbiaceae –,0
18,Acalyptratae,/ˌeɪ.kæ.lɪpˈtɹɑ.ti/,A taxonomic subsection within the order Diptera – acalyptrates.,0
19,Acanthaceae,/ˌæˌkænˈθeɪ.si.i/,A taxonomic family within the order Lamiales – the,0
20,Acantharia,/ˌæˌkænˈθæ.ɹi.ə/,A taxonomic genus within the family Venturiaceae –,0
21,Acanthisittidae,/əˌkæn.θəˈsɪt.əˌdi/,A taxonomic family within the order Passeriformes –,0
22,acantho-,/əˈkæn.θəʊ/,With thorns,0
23,Acanthocephala,/əˌkæn.θəˈsɛf.ə.lə/,A taxonomic phylum within the superphylum Spiralia –,0
24,Acanthocephali,/əˌkæn.θəˈsɛf.ə.laɪ/,"(zoology) Alternative form of Acanthocephala, A taxonomic phylum within the superphylum Platyzoa.",0
25,Acanthocereus,/əˌkæn.θəˈsɪɹ.i.əs/,A taxonomic genus within the family Cactaceae – tropical,0
26,Acanthocheilonema,/ə.ˌkæn.θəˌkaɪ.ləˈni.mə/,A taxonomic genus within the family Onchocercidae –,0
27,Acanthocybium,/əˌkæn.θəˈsɪ.bi.m̩/,A taxonomic genus within the family Scombridae – consists,0
28,Acanthodea,/ˌæˌkænˈθoʊ.di.ə/,(zoology) Alternative form of Acanthodii,0
29,Acanthodei,/ˌæˌkænˈθoʊ.di.aɪ/,(zoology) Alternative form of Acanthodii,0
30,Acanthodes,/ˌæ.kənˈθoʊ.di.ə/,A taxonomic genus within the family Acanthodidae –,0
31,Acanthodii,/ˌæˌkænˈθoʊ.diˌaɪ/,A taxonomic class within the infraphylum Gnathostomata –,0
32,Acanthodini,/ˌæˌkænˈθɑd.n̩.i/,(zoology) Alternative form of Acanthodii,0
33,Acantholimon,/əˌkæn.θoʊˈlaɪˌmɑn/,A taxonomic genus within the family Plumbaginaceae –,0
34,Acanthopanax,/əˌkænˈθɑ.pəˌnæks/,(obsolete) A taxonomic genus within the family Araliaceae –,0
35,Acanthophis,/əˈkæn.θə.fɪs/,A taxonomic genus within the family Elapidae – venomous,0
36,Acanthopteri,/æˌkænˈθɑp.təˌɹi/,(archaic) A taxonomic order within the class Actinopterygii –,0
37,Acanthopterygii,/æˌkænˌθɑp.təˈɹɪd͡ʒ.i.aɪ/,A taxonomic superorder within the class Teleostei –,0
38,Acanthurus,/æˌkænˈθʊ.ɹəs/,A taxonomic genus within the family Acanthuridae –,0
39,Acarus,/ˈæk.ə.ɹəs/,A taxonomic genus within the family Acaridae – many,0
40,Alfa,[ˈælfa],Code word for the letter A in the NATO/ICAO spelling,0
41,Anemone,/əˈnɛməniː/,A taxonomic genus within the family Ranunculaceae –,0
42,Artemia,/ɑ(r)ˈtiːmi.ə/,A taxonomic genus within the family Artemiidae – the,0
43,Azalea,/əˈzeɪljə/,"the azaleas, numerous varieties of flowering shrubs",0
44,bissotwo,[ˈbiːˈsoˈtuː],(rare) Code word for the digit 2 in the ITU/IMO spelling,0
45,Bravo,[ˈbraːvo],Code word for the letter B in the NATO/ICAO spelling,0
46,Caiman,/ˈkeɪmən/,A taxonomic genus within the family Alligatoridae –,0
47,Cephalopoda,/ˈsɛfələpəʊdə/,A taxonomic class within the phylum Mollusca – the,0
48,Cervidae,/ˈsəɹvədi/,A taxonomic family within the order Artiodactyla –,0
49,Cervus,/ˈsəɹvəs/,A taxonomic genus within the family Cervidae – the,0
50,Charadriidae,/ˌtʃæɹəˈdɹaɪ.ɪdɪː/,A taxonomic family within the order Charadriiformes –,0
51,Charlie,[ˈtʃɑːli],Code word for the letter C in the NATO/ICAO spelling,0
52,Chelicerata,/ˌkɛlɪsɛˈɹɑːtæ/,A taxonomic subphylum within the phylum Arthropoda –,0
53,Chiroptera,/kaɪˈɹɒptəɹə/,A taxonomic order within the class Mammalia – the bats.,0
54,Cnidaria,/naɪˈdeɹ.i.ə/,"The corals, hydra, jellyfish etc, A taxonomic phylum",0
55,Convolvulaceae,/kənˈvɑlvjʊˌleɪsieɪ/,A taxonomic family within the order Solanales – many,0
56,Copepoda,/ˌkoʊpəˈpoʊdə/,A taxonomic subclass within the class Maxillopoda –,0
57,Coronavirus-19,/ko.ˈroː.nä.ˌviː.rʊs ˈnɔʏ̯n.t͡seːn/,(colloquial) SARS-CoV-2,0
58,cosh,/kɒʃ/,(trigonometry) The symbol of the hyperbolic function hyperbolic cosine.,0
59,decimal,[ˈdeiˈsiːˈmal],Code word for the decimal point in the NATO/ICAO and,0
60,Deinosuchus,/ˌdaɪnəˈsukəs/,A taxonomic genus within the order Crocodylomorpha –,0
61,Delta,[ˈdeltɑ],Code word for the letter D in the NATO/ICAO spelling,0
62,Drosophila,/dɹoʊˈsɑfələ/,A taxonomic genus within the family Drosophilidae –,0
63,dz,[dza adza],A digraph of the letters d and z.,0
64,eight,[ˈeit],Code word for the digit 8 in the NATO/ICAO spelling,0
65,Euonymus,/juːˈɒnɪməs/,A taxonomic genus within the family Celastraceae –,0
66,FIBA,[ˈfibʌ],"Initialism of Fédération Internationale de Basketball.. Known in English as International Basketball Federation. Originally known as Fédération Internationale de Basketball Amateur (from its French name), hence the initialism.",0
67,FIFA,/ˈfiːfə/,(soccer) The International Federation of Association,0
68,five,[ˈfɑif],Code word for the digit 5 in the NATO/ICAO spelling,0
69,four,[ˈfo.ə],Code word for the digit 4 in the NATO/ICAO spelling,0
70,Foxtrot,[ˈfɔkstrɔt],Code word for the letter F in the NATO/ICAO spelling,0
71,Golf,[ˈɡɔlf],Code word for the letter G in the NATO/ICAO spelling,0
72,Hexapoda,/ˈhɛk.sə.pʊdə/,A taxonomic subphylum within the phylum Arthropoda –,0
73,Hotel,[hoːˈtel],Code word for the letter H in the NATO/ICAO spelling,0
74,hundred,[ˈhan.dred],Code word for the digits 00 (whole hundreds) in the,0
75,Hylaeosaurus,/haɪˌliː.ɵˈsɔɹəs/,A taxonomic genus within the family Polacanthidae –,0
76,India,[ˈindi.ɑ],Code word for the letter I in the NATO/ICAO spelling,0
77,Juniperites,/ˌdʒuːnɪpəˈɹaɪtiːs/,(obsolete) A taxonomic genus within the class Coniferae –,0
78,kartefour,[ˈkɑːˈteiˈfo.ə],(rare) Code word for the digit 4 in the ITU/IMO spelling,0
79,Kilo,[ˈkiːlo],Code word for the letter K in the NATO/ICAO spelling,0
80,Laurasiatheria,/lɔːɹeɪʃiəˈθɪəɹiə/,A taxonomic superorder within the magnorder Epitheria –,0
81,Lima,[ˈliːmɑ],Code word for the letter L in the NATO/ICAO spelling,0
82,Mansonia,/mænˈsəʊ.ni.ə/,A taxonomic genus within the family Culicidae – a widespread,0
83,mayday,/ˈmeɪ.deɪ/,"(radio) emergency, need assistance, 2004, Ken Wishaw,",0
84,Mike,[ˈmɑik],Code word for the letter M in the NATO/ICAO spelling,0
85,Mollusca,/məˈlʌskə/,"The molluscs:, A taxonomic phylum within the superphylum",0
86,nadazero,[ˈnɑːˈdɑːˈzeiˈro],(rare) Code word for the digit 0 in the ITU/IMO spelling,0
87,Nestor,/ˈnɛstəɹ/,A taxonomic genus within the family Strigopidae – the,0
88,nine,[ˈnɑi.nə],Code word for the digit 9 in the NATO/ICAO spelling,0
89,Noctiluca,/nok.tiˈluː.ka/,A taxonomic genus within the family Noctilucaceae –,0
90,November,[noˈvembə],Code word for the letter N in the NATO/ICAO spelling,0
91,novenine,[ˈnoˈveiˈnɑi.nə],(rare) Code word for the digit 9 in the ITU/IMO spelling,0
92,o,/o/,The fifteenth letter of the basic modern Latin alphabet.,0
93,o,/o/,(IPA) close-mid back rounded vowel,0
94,Oscar,[ˈɔskɑ],Code word for the letter O in the NATO/ICAO spelling,0
95,Pandanus,-eɪnəs,"A taxonomic genus within the family Pandanaceae – palm-like,",0
96,pantafive,[ˈpænˈtɑːˈfɑif],(rare) Code word for the digit 5 in the ITU/IMO spelling,0
97,Papa,[pəˈpɑ],Code word for the letter P in the NATO/ICAO spelling,0
98,Quebec,[keˈbek],Code word for the letter Q in the NATO/ICAO spelling,0
99,Rafflesia,/ɹəˈfliː.ʒə/,A taxonomic genus within the family Rafflesiaceae –,0
100,Romeo,[ˈroːmi.o],Code word for the letter R in the NATO/ICAO spelling,0
101,Ryania,/ɹaɪˈeɪ.ni.ə/,A taxonomic genus within the family Salicaceae – a,0
102,Saccharomyces,/ˌsæk(ə)ɹoʊˈmaɪsiz/,A taxonomic genus within the family Saccharomycetaceae –,0
103,setteseven,[ˈseiˈteiˈsev.n],(rare) Code word for the digit 7 in the ITU/IMO spelling,0
104,seven,[ˈsev.n],Code word for the digit 7 in the NATO/ICAO spelling,0
105,Sierra,[siˈerɑ],Code word for the letter S in the NATO/ICAO spelling,0
106,sinh,/sɪntʃ/,(trigonometry) The symbol of the hyperbolic function hyperbolic sine.,0
107,six,[ˈsiks],Code word for the digit 6 in the NATO/ICAO spelling,0
108,SOS,[ɛsoːˈʔɛs],"emergency, mayday, distress",0
109,SOS,[ɛsoːˈʔɛs],Somali shilling,0
110,SOS,[ɛsoːˈʔɛs],Somali shilling,0
111,stop,[ˈstɔp],Code word for a full stop in the NATO/ICAO spelling,0
112,Syrphidae,/ˈsəɹfədi/,A taxonomic family within the order Diptera – the hoverflies.,0
113,Tango,[ˈtænɡo],The letter T in the ICAO spelling alphabet.,0
114,tanh,/tæntʃ/,(trigonometry) The symbol of the hyperbolic function hyperbolic tangent.,0
115,terrathree,[ˈteiˈrɑːˈtriː],(rare) Code word for the digit 3 in the ITU/IMO spelling,0
116,Theropoda,/θiɹ.əˈpɑː.də/,A taxonomic suborder within the order Saurischia –,0
117,thousand,[ˈtauˈzænd],"Code word for combinations of thousand (that is, the",0
118,three,[ˈtriː],Code word for the digit 3 in the NATO/ICAO spelling,0
119,Tiktaalik,/tɪkˈtɑl.ɪk/,A taxonomic genus within the class Sarcopterygii –,0
120,two,[ˈtuː],"Raise the middle finger and the index finger upward, keeping them apart. Rest the thumb against the ring finger.",0
121,two,[ˈtuː],"Raise the middle finger and the index finger upward, keeping them apart. Rest the thumb against the ring finger.",0
122,two,[ˈtuː],Code word for the digit 2 in the NATO/ICAO spelling,0
123,two,[ˈtuː],Code word for the digit 2 in the NATO/ICAO spelling,0
124,unaone,[ˈuːˈnɑːˈwan],(rare) Code word for the digit 1 in the ITU/IMO spelling,0
125,Victor,[ˈviktɑ],Code word for the letter V in the NATO/ICAO spelling,0
126,Whiskey,[ˈwiski],Code word for the letter W in the NATO/ICAO spelling,0
127,whois,/ˈhuːˌɪz/,(Internet) An Internet protocol for finding information,0
128,X-ray,[ˈeksˈrei],Code word for the letter X in the NATO/ICAO spelling,0
129,Yankee,[ˈjænki],Code word for the letter Y in the NATO/ICAO spelling,0
130,zero,[ˈziːˈro],Code word for the digit 0 in the NATO/ICAO spelling,0
131,Zulu,[ˈzuːluː],Code word for the letter Z in the NATO/ICAO spelling,0
132,¯,/ˈɛn.bɑɹ/,An emoticon representing a smirking face and a pair,0
133,¯,/ˈɛn.bɑɹ/,An emoticon representing a smirking face and a pair,0
134,¯,/ˈɛn.bɑɹ/,(linguistics) Used to indicate mid tone.,0
135,¯,/ˈɛn.bɑɹ/,(linguistics) Used to indicate mid tone.,0
136,ð,[ða aða],"The lowercase letter eth, which is related to d and dh.",0
137,ð,[ða aða],(IPA) voiced dental fricative.,0
138,ȡ,[d̠ʲ],The letter d with a curl.,0
139,ȴ,[l̠ʲ],(IPA) Non-standard Chinese IPA symbol for alveopalatal liquid: l̠ʲ,0
140,ʣ,[d͡za ad͡za],"(IPA, obsolete) voiced alveolar affricate",0
141,ࣇ,/ɭə/,a combination of laam and small toe,0
142,अ,/ə/,The first letter and first vowel of the Devanagari,0
143,अ़,/ʕə/,An old way of transcribing the /ʕ/ sound in Devanagari. Nowadays mainly ignored. [1],0
144,इ,/i/,"A vowel of the Devanagari script. Its matra, used to modify the inherent vowel in a consonant is written ि. For example the first consonant क with the matra looks like: कि. The matra should appear before the consonant it modifies, though it is pronounced after.",0
